seq,src,dst,noise,received,error,rssi
1,node2-1,node8-1,-15,True,False,14
2,node2-1,node8-1,-15,True,False,12
3,node2-1,node8-1,-15,True,False,9
4,node2-1,node8-1,-15,True,False,9
5,node2-1,node8-1,-15,True,False,9
6,node2-1,node8-1,-15,True,False,10
7,node2-1,node8-1,-15,True,False,11
8,node2-1,node8-1,-15,True,False,10
9,node2-1,node8-1,-15,True,False,11
10,node2-1,node8-1,-15,True,False,9
11,node2-1,node8-1,-15,True,False,9
12,node2-1,node8-1,-15,True,False,9
13,node2-1,node8-1,-15,True,False,10
14,node2-1,node8-1,-15,True,False,11
15,node2-1,node8-1,-15,True,False,9
16,node2-1,node8-1,-15,True,False,9
17,node2-1,node8-1,-15,True,False,10
18,node2-1,node8-1,-15,True,False,10
19,node2-1,node8-1,-15,True,False,10
20,node2-1,node8-1,-15,True,False,10
21,node2-1,node8-1,-15,True,False,10
22,node2-1,node8-1,-15,True,False,10
23,node2-1,node8-1,-15,True,False,10
24,node2-1,node8-1,-15,True,False,10
25,node2-1,node8-1,-15,True,False,10
26,node2-1,node8-1,-15,True,False,10
27,node2-1,node8-1,-15,True,False,9
28,node2-1,node8-1,-15,True,False,9
29,node2-1,node8-1,-15,True,False,9
30,node2-1,node8-1,-15,True,False,10
31,node2-1,node8-1,-15,True,False,9
32,node2-1,node8-1,-15,True,False,10
33,node2-1,node8-1,-15,True,False,11
34,node2-1,node8-1,-15,True,False,9
35,node2-1,node8-1,-15,True,False,11
36,node2-1,node8-1,-15,True,False,10
37,node2-1,node8-1,-15,True,False,10
38,node2-1,node8-1,-15,True,False,10
39,node2-1,node8-1,-15,True,False,9
40,node2-1,node8-1,-15,True,False,10
41,node2-1,node8-1,-15,True,False,11
42,node2-1,node8-1,-15,True,False,10
43,node2-1,node8-1,-15,True,False,10
44,node2-1,node8-1,-15,True,False,10
45,node2-1,node8-1,-15,True,False,11
46,node2-1,node8-1,-15,True,False,10
47,node2-1,node8-1,-15,True,False,10
48,node2-1,node8-1,-15,True,False,11
49,node2-1,node8-1,-15,True,False,10
50,node2-1,node8-1,-15,True,False,10
51,node2-1,node8-1,-15,True,False,11
52,node2-1,node8-1,-15,True,False,10
53,node2-1,node8-1,-15,True,False,10
54,node2-1,node8-1,-15,True,False,11
55,node2-1,node8-1,-15,True,False,10
