seq,src,dst,noise,received,error,rssi
1,node1-4,node1-6,-5,True,False,13
2,node1-4,node1-6,-5,True,False,7
3,node1-4,node1-6,-5,True,False,8
4,node1-4,node1-6,-5,True,False,7
5,node1-4,node1-6,-5,True,False,9
6,node1-4,node1-6,-5,True,False,10
7,node1-4,node1-6,-5,True,False,8
8,node1-4,node1-6,-5,True,False,8
9,node1-4,node1-6,-5,True,False,9
10,node1-4,node1-6,-5,True,False,7
11,node1-4,node1-6,-5,True,False,9
12,node1-4,node1-6,-5,True,False,8
13,node1-4,node1-6,-5,True,False,7
14,node1-4,node1-6,-5,True,False,8
15,node1-4,node1-6,-5,True,False,7
16,node1-4,node1-6,-5,True,False,7
17,node1-4,node1-6,-5,True,False,8
18,node1-4,node1-6,-5,True,False,9
19,node1-4,node1-6,-5,True,False,8
20,node1-4,node1-6,-5,True,False,9
21,node1-4,node1-6,-5,True,False,8
22,node1-4,node1-6,-5,True,False,8
23,node1-4,node1-6,-5,True,False,8
24,node1-4,node1-6,-5,True,False,8
25,node1-4,node1-6,-5,True,False,7
26,node1-4,node1-6,-5,True,False,7
27,node1-4,node1-6,-5,True,False,9
28,node1-4,node1-6,-5,True,False,8
29,node1-4,node1-6,-5,True,False,8
30,node1-4,node1-6,-5,True,False,9
31,node1-4,node1-6,-5,True,False,8
32,node1-4,node1-6,-5,True,False,9
33,node1-4,node1-6,-5,True,False,8
34,node1-4,node1-6,-5,True,False,9
35,node1-4,node1-6,-5,True,False,8
36,node1-4,node1-6,-5,True,False,8
37,node1-4,node1-6,-5,True,False,8
38,node1-4,node1-6,-5,True,False,9
39,node1-4,node1-6,-5,True,False,8
40,node1-4,node1-6,-5,True,False,10
41,node1-4,node1-6,-5,True,False,8
42,node1-4,node1-6,-5,True,False,8
43,node1-4,node1-6,-5,True,False,6
44,node1-4,node1-6,-5,True,False,9
45,node1-4,node1-6,-5,True,False,10
46,node1-4,node1-6,-5,True,False,8
47,node1-4,node1-6,-5,True,False,7
48,node1-4,node1-6,-5,True,False,8
49,node1-4,node1-6,-5,True,False,8
50,node1-4,node1-6,-5,True,False,8
51,node1-4,node1-6,-5,True,False,8
52,node1-4,node1-6,-5,True,False,8
53,node1-4,node1-6,-5,True,False,7
54,node1-4,node1-6,-5,True,False,8
55,node1-4,node1-6,-5,True,False,9
56,node1-4,node1-6,-5,True,False,8
57,node1-4,node1-6,-5,True,False,9
58,node1-4,node1-6,-5,True,False,9
59,node1-4,node1-6,-5,True,False,8
60,node1-4,node1-6,-5,True,False,8
61,node1-4,node1-6,-5,True,False,6
62,node1-4,node1-6,-5,True,False,8
63,node1-4,node1-6,-5,True,False,10
64,node1-4,node1-6,-5,True,False,9
65,node1-4,node1-6,-5,True,False,8
66,node1-4,node1-6,-5,True,False,7
67,node1-4,node1-6,-5,True,False,9
68,node1-4,node1-6,-5,True,False,10
69,node1-4,node1-6,-5,True,False,9
70,node1-4,node1-6,-5,True,False,8
71,node1-4,node1-6,-5,True,False,7
72,node1-4,node1-6,-5,True,False,8
73,node1-4,node1-6,-5,True,False,8
74,node1-4,node1-6,-5,True,False,9
75,node1-4,node1-6,-5,True,False,7
76,node1-4,node1-6,-5,True,False,8
77,node1-4,node1-6,-5,True,False,7
78,node1-4,node1-6,-5,True,False,8
79,node1-4,node1-6,-5,True,False,9
80,node1-4,node1-6,-5,True,False,8
81,node1-4,node1-6,-5,True,False,9
82,node1-4,node1-6,-5,True,False,9
83,node1-4,node1-6,-5,True,False,8
84,node1-4,node1-6,-5,True,False,9
85,node1-4,node1-6,-5,True,False,7
86,node1-4,node1-6,-5,True,False,7
87,node1-4,node1-6,-5,True,False,8
88,node1-4,node1-6,-5,True,False,8
89,node1-4,node1-6,-5,True,False,8
90,node1-4,node1-6,-5,True,False,7
91,node1-4,node1-6,-5,True,False,7
92,node1-4,node1-6,-5,True,False,8
93,node1-4,node1-6,-5,True,False,7
94,node1-4,node1-6,-5,True,False,8
95,node1-4,node1-6,-5,True,False,8
96,node1-4,node1-6,-5,True,False,9
97,node1-4,node1-6,-5,True,False,8
98,node1-4,node1-6,-5,True,False,8
99,node1-4,node1-6,-5,True,False,9
100,node1-4,node1-6,-5,True,False,8
101,node1-4,node1-6,-5,True,False,8
102,node1-4,node1-6,-5,True,False,8
103,node1-4,node1-6,-5,True,False,8
104,node1-4,node1-6,-5,True,False,9
105,node1-4,node1-6,-5,True,False,9
106,node1-4,node1-6,-5,True,False,6
107,node1-4,node1-6,-5,True,False,9
108,node1-4,node1-6,-5,True,False,6
109,node1-4,node1-6,-5,True,False,7
110,node1-4,node1-6,-5,True,False,7
111,node1-4,node1-6,-5,True,False,9
112,node1-4,node1-6,-5,True,False,6
113,node1-4,node1-6,-5,True,False,9
114,node1-4,node1-6,-5,True,False,8
115,node1-4,node1-6,-5,True,False,10
116,node1-4,node1-6,-5,True,False,6
117,node1-4,node1-6,-5,True,False,9
118,node1-4,node1-6,-5,True,False,8
119,node1-4,node1-6,-5,True,False,9
120,node1-4,node1-6,-5,True,False,9
121,node1-4,node1-6,-5,True,False,8
122,node1-4,node1-6,-5,True,False,9
123,node1-4,node1-6,-5,True,False,8
124,node1-4,node1-6,-5,True,False,8
125,node1-4,node1-6,-5,True,False,9
126,node1-4,node1-6,-5,True,False,8
127,node1-4,node1-6,-5,True,False,8
128,node1-4,node1-6,-5,True,False,8
129,node1-4,node1-6,-5,True,False,7
130,node1-4,node1-6,-5,True,False,9
131,node1-4,node1-6,-5,True,False,8
132,node1-4,node1-6,-5,True,False,8
133,node1-4,node1-6,-5,True,False,7
134,node1-4,node1-6,-5,True,False,7
135,node1-4,node1-6,-5,True,False,8
136,node1-4,node1-6,-5,True,False,8
137,node1-4,node1-6,-5,True,False,7
138,node1-4,node1-6,-5,True,False,8
139,node1-4,node1-6,-5,True,False,7
140,node1-4,node1-6,-5,True,False,9
141,node1-4,node1-6,-5,True,False,9
142,node1-4,node1-6,-5,True,False,9
143,node1-4,node1-6,-5,True,False,8
144,node1-4,node1-6,-5,True,False,8
145,node1-4,node1-6,-5,True,False,9
146,node1-4,node1-6,-5,True,False,7
147,node1-4,node1-6,-5,True,False,8
148,node1-4,node1-6,-5,True,False,9
149,node1-4,node1-6,-5,True,False,8
150,node1-4,node1-6,-5,True,False,8
151,node1-4,node1-6,-5,True,False,10
152,node1-4,node1-6,-5,True,False,7
153,node1-4,node1-6,-5,True,False,8
154,node1-4,node1-6,-5,True,False,7
155,node1-4,node1-6,-5,True,False,9
156,node1-4,node1-6,-5,True,False,5
157,node1-4,node1-6,-5,True,False,9
158,node1-4,node1-6,-5,True,False,9
159,node1-4,node1-6,-5,True,False,9
160,node1-4,node1-6,-5,True,False,9
161,node1-4,node1-6,-5,True,False,8
162,node1-4,node1-6,-5,True,False,8
163,node1-4,node1-6,-5,True,False,9
164,node1-4,node1-6,-5,True,False,10
165,node1-4,node1-6,-5,True,False,8
166,node1-4,node1-6,-5,True,False,8
167,node1-4,node1-6,-5,True,False,8
168,node1-4,node1-6,-5,True,False,9
169,node1-4,node1-6,-5,True,False,7
170,node1-4,node1-6,-5,True,False,8
171,node1-4,node1-6,-5,True,False,8
172,node1-4,node1-6,-5,True,False,9
173,node1-4,node1-6,-5,True,False,7
174,node1-4,node1-6,-5,True,False,9
175,node1-4,node1-6,-5,True,False,6
176,node1-4,node1-6,-5,True,False,9
177,node1-4,node1-6,-5,True,False,9
178,node1-4,node1-6,-5,True,False,9
179,node1-4,node1-6,-5,True,False,10
180,node1-4,node1-6,-5,True,False,7
181,node1-4,node1-6,-5,True,False,7
182,node1-4,node1-6,-5,True,False,8
183,node1-4,node1-6,-5,True,False,9
184,node1-4,node1-6,-5,True,False,9
185,node1-4,node1-6,-5,True,False,7
186,node1-4,node1-6,-5,True,False,8
187,node1-4,node1-6,-5,True,False,7
188,node1-4,node1-6,-5,True,False,8
189,node1-4,node1-6,-5,True,False,8
190,node1-4,node1-6,-5,True,False,7
191,node1-4,node1-6,-5,True,False,7
192,node1-4,node1-6,-5,True,False,8
193,node1-4,node1-6,-5,True,False,10
194,node1-4,node1-6,-5,True,False,10
195,node1-4,node1-6,-5,True,False,8
196,node1-4,node1-6,-5,True,False,9
197,node1-4,node1-6,-5,True,False,8
198,node1-4,node1-6,-5,True,False,7
199,node1-4,node1-6,-5,True,False,8
200,node1-4,node1-6,-5,True,False,8
201,node1-4,node1-6,-5,True,False,9
202,node1-4,node1-6,-5,True,False,9
203,node1-4,node1-6,-5,True,False,9
204,node1-4,node1-6,-5,True,False,9
205,node1-4,node1-6,-5,True,False,8
206,node1-4,node1-6,-5,True,False,8
207,node1-4,node1-6,-5,True,False,9
208,node1-4,node1-6,-5,True,False,8
209,node1-4,node1-6,-5,True,False,9
210,node1-4,node1-6,-5,True,False,8
211,node1-4,node1-6,-5,True,False,7
212,node1-4,node1-6,-5,True,False,7
213,node1-4,node1-6,-5,True,False,8
214,node1-4,node1-6,-5,True,False,7
215,node1-4,node1-6,-5,True,False,10
216,node1-4,node1-6,-5,True,False,6
217,node1-4,node1-6,-5,True,False,10
218,node1-4,node1-6,-5,True,False,7
219,node1-4,node1-6,-5,True,False,8
220,node1-4,node1-6,-5,True,False,9
221,node1-4,node1-6,-5,True,False,8
222,node1-4,node1-6,-5,True,False,6
223,node1-4,node1-6,-5,True,False,9
224,node1-4,node1-6,-5,True,False,7
225,node1-4,node1-6,-5,True,False,8
226,node1-4,node1-6,-5,True,False,7
227,node1-4,node1-6,-5,True,False,9
228,node1-4,node1-6,-5,True,False,7
229,node1-4,node1-6,-5,True,False,8
230,node1-4,node1-6,-5,True,False,7
231,node1-4,node1-6,-5,True,False,7
232,node1-4,node1-6,-5,True,False,8
233,node1-4,node1-6,-5,True,False,8
234,node1-4,node1-6,-5,True,False,6
235,node1-4,node1-6,-5,True,False,8
236,node1-4,node1-6,-5,True,False,8
237,node1-4,node1-6,-5,True,False,6
238,node1-4,node1-6,-5,True,False,8
239,node1-4,node1-6,-5,True,False,7
240,node1-4,node1-6,-5,True,False,9
241,node1-4,node1-6,-5,True,False,9
242,node1-4,node1-6,-5,True,False,8
243,node1-4,node1-6,-5,True,False,7
244,node1-4,node1-6,-5,True,False,8
245,node1-4,node1-6,-5,True,False,8
246,node1-4,node1-6,-5,True,False,9
247,node1-4,node1-6,-5,True,False,8
248,node1-4,node1-6,-5,True,False,8
249,node1-4,node1-6,-5,True,False,8
250,node1-4,node1-6,-5,True,False,8
251,node1-4,node1-6,-5,True,False,7
252,node1-4,node1-6,-5,True,False,8
253,node1-4,node1-6,-5,True,False,9
254,node1-4,node1-6,-5,True,False,7
255,node1-4,node1-6,-5,True,False,7
256,node1-4,node1-6,-5,True,False,7
257,node1-4,node1-6,-5,True,False,7
258,node1-4,node1-6,-5,True,False,8
259,node1-4,node1-6,-5,True,False,6
260,node1-4,node1-6,-5,True,False,10
261,node1-4,node1-6,-5,True,False,8
262,node1-4,node1-6,-5,True,False,9
263,node1-4,node1-6,-5,True,False,9
264,node1-4,node1-6,-5,True,False,7
265,node1-4,node1-6,-5,True,False,8
266,node1-4,node1-6,-5,True,False,8
267,node1-4,node1-6,-5,True,False,9
268,node1-4,node1-6,-5,True,False,9
269,node1-4,node1-6,-5,True,False,8
270,node1-4,node1-6,-5,True,False,8
271,node1-4,node1-6,-5,True,False,5
272,node1-4,node1-6,-5,True,False,7
273,node1-4,node1-6,-5,True,False,7
274,node1-4,node1-6,-5,True,False,10
275,node1-4,node1-6,-5,True,False,8
276,node1-4,node1-6,-5,True,False,8
277,node1-4,node1-6,-5,True,False,9
278,node1-4,node1-6,-5,True,False,8
279,node1-4,node1-6,-5,True,False,8
280,node1-4,node1-6,-5,True,False,8
281,node1-4,node1-6,-5,True,False,7
282,node1-4,node1-6,-5,True,False,8
283,node1-4,node1-6,-5,True,False,7
284,node1-4,node1-6,-5,True,False,7
285,node1-4,node1-6,-5,True,False,9
286,node1-4,node1-6,-5,True,False,9
287,node1-4,node1-6,-5,True,False,7
288,node1-4,node1-6,-5,True,False,8
289,node1-4,node1-6,-5,True,False,9
290,node1-4,node1-6,-5,True,False,8
291,node1-4,node1-6,-5,True,False,7
292,node1-4,node1-6,-5,True,False,8
293,node1-4,node1-6,-5,True,False,9
294,node1-4,node1-6,-5,True,False,8
295,node1-4,node1-6,-5,True,False,8
296,node1-4,node1-6,-5,True,False,9
297,node1-4,node1-6,-5,True,False,7
298,node1-4,node1-6,-5,True,False,8
299,node1-4,node1-6,-5,True,False,9
300,node1-4,node1-6,-5,True,False,7
