seq,src,dst,noise,received,error,rssi
1,node3-6,node6-3,-20,True,False,29
2,node3-6,node6-3,-20,True,False,28
3,node3-6,node6-3,-20,True,False,27
4,node3-6,node6-3,-20,True,False,23
5,node3-6,node6-3,-20,True,False,23
6,node3-6,node6-3,-20,True,False,23
7,node3-6,node6-3,-20,True,False,23
8,node3-6,node6-3,-20,True,False,23
9,node3-6,node6-3,-20,True,False,24
10,node3-6,node6-3,-20,True,False,22
11,node3-6,node6-3,-20,True,False,23
12,node3-6,node6-3,-20,True,False,23
13,node3-6,node6-3,-20,True,False,23
14,node3-6,node6-3,-20,True,False,24
15,node3-6,node6-3,-20,True,False,23
16,node3-6,node6-3,-20,True,False,23
17,node3-6,node6-3,-20,True,False,24
18,node3-6,node6-3,-20,True,False,23
19,node3-6,node6-3,-20,True,False,24
20,node3-6,node6-3,-20,True,False,24
21,node3-6,node6-3,-20,True,False,23
22,node3-6,node6-3,-20,True,False,24
23,node3-6,node6-3,-20,True,False,23
24,node3-6,node6-3,-20,True,False,24
25,node3-6,node6-3,-20,True,False,23
26,node3-6,node6-3,-20,True,False,24
27,node3-6,node6-3,-20,True,False,24
28,node3-6,node6-3,-20,True,False,23
29,node3-6,node6-3,-20,True,False,23
30,node3-6,node6-3,-20,True,False,24
31,node3-6,node6-3,-20,True,False,24
32,node3-6,node6-3,-20,True,False,23
33,node3-6,node6-3,-20,True,False,23
34,node3-6,node6-3,-20,True,False,23
35,node3-6,node6-3,-20,True,False,23
36,node3-6,node6-3,-20,True,False,24
37,node3-6,node6-3,-20,True,False,23
38,node3-6,node6-3,-20,True,False,23
39,node3-6,node6-3,-20,True,False,23
40,node3-6,node6-3,-20,True,False,23
41,node3-6,node6-3,-20,True,False,23
42,node3-6,node6-3,-20,True,False,23
43,node3-6,node6-3,-20,True,False,24
44,node3-6,node6-3,-20,True,False,23
45,node3-6,node6-3,-20,True,False,23
46,node3-6,node6-3,-20,True,False,23
47,node3-6,node6-3,-20,True,False,23
48,node3-6,node6-3,-20,True,False,23
49,node3-6,node6-3,-20,True,False,23
50,node3-6,node6-3,-20,True,False,24
51,node3-6,node6-3,-20,True,False,23
52,node3-6,node6-3,-20,True,False,23
53,node3-6,node6-3,-20,True,False,24
54,node3-6,node6-3,-20,True,False,23
55,node3-6,node6-3,-20,True,False,23
56,node3-6,node6-3,-20,True,False,24
57,node3-6,node6-3,-20,True,False,23
58,node3-6,node6-3,-20,True,False,23
59,node3-6,node6-3,-20,True,False,24
60,node3-6,node6-3,-20,True,False,24
61,node3-6,node6-3,-20,True,False,24
62,node3-6,node6-3,-20,True,False,23
63,node3-6,node6-3,-20,True,False,23
64,node3-6,node6-3,-20,True,False,23
65,node3-6,node6-3,-20,True,False,22
66,node3-6,node6-3,-20,True,False,23
67,node3-6,node6-3,-20,True,False,23
68,node3-6,node6-3,-20,True,False,24
69,node3-6,node6-3,-20,True,False,23
70,node3-6,node6-3,-20,True,False,23
71,node3-6,node6-3,-20,True,False,24
72,node3-6,node6-3,-20,True,False,23
73,node3-6,node6-3,-20,True,False,23
74,node3-6,node6-3,-20,True,False,24
75,node3-6,node6-3,-20,True,False,24
76,node3-6,node6-3,-20,True,False,24
77,node3-6,node6-3,-20,True,False,23
78,node3-6,node6-3,-20,True,False,23
79,node3-6,node6-3,-20,True,False,23
80,node3-6,node6-3,-20,True,False,22
81,node3-6,node6-3,-20,True,False,23
82,node3-6,node6-3,-20,True,False,23
83,node3-6,node6-3,-20,True,False,23
84,node3-6,node6-3,-20,True,False,23
85,node3-6,node6-3,-20,True,False,23
86,node3-6,node6-3,-20,True,False,23
87,node3-6,node6-3,-20,True,False,23
88,node3-6,node6-3,-20,True,False,23
89,node3-6,node6-3,-20,True,False,24
90,node3-6,node6-3,-20,True,False,24
91,node3-6,node6-3,-20,True,False,24
92,node3-6,node6-3,-20,True,False,24
93,node3-6,node6-3,-20,True,False,23
94,node3-6,node6-3,-20,True,False,24
95,node3-6,node6-3,-20,True,False,24
96,node3-6,node6-3,-20,True,False,23
97,node3-6,node6-3,-20,True,False,24
98,node3-6,node6-3,-20,True,False,23
99,node3-6,node6-3,-20,True,False,24
100,node3-6,node6-3,-20,True,False,23
101,node3-6,node6-3,-20,True,False,23
102,node3-6,node6-3,-20,True,False,24
103,node3-6,node6-3,-20,True,False,23
104,node3-6,node6-3,-20,True,False,23
105,node3-6,node6-3,-20,True,False,24
106,node3-6,node6-3,-20,True,False,23
107,node3-6,node6-3,-20,True,False,24
108,node3-6,node6-3,-20,True,False,24
109,node3-6,node6-3,-20,True,False,23
110,node3-6,node6-3,-20,True,False,23
111,node3-6,node6-3,-20,True,False,23
112,node3-6,node6-3,-20,True,False,24
113,node3-6,node6-3,-20,True,False,24
114,node3-6,node6-3,-20,True,False,24
115,node3-6,node6-3,-20,True,False,23
116,node3-6,node6-3,-20,True,False,23
117,node3-6,node6-3,-20,True,False,23
118,node3-6,node6-3,-20,True,False,24
119,node3-6,node6-3,-20,True,False,23
120,node3-6,node6-3,-20,True,False,23
121,node3-6,node6-3,-20,True,False,23
122,node3-6,node6-3,-20,True,False,23
123,node3-6,node6-3,-20,True,False,23
124,node3-6,node6-3,-20,True,False,23
125,node3-6,node6-3,-20,True,False,24
126,node3-6,node6-3,-20,True,False,24
127,node3-6,node6-3,-20,True,False,24
128,node3-6,node6-3,-20,True,False,23
129,node3-6,node6-3,-20,True,False,22
130,node3-6,node6-3,-20,True,False,23
131,node3-6,node6-3,-20,True,False,24
132,node3-6,node6-3,-20,True,False,23
133,node3-6,node6-3,-20,True,False,23
134,node3-6,node6-3,-20,True,False,24
135,node3-6,node6-3,-20,True,False,24
136,node3-6,node6-3,-20,True,False,23
137,node3-6,node6-3,-20,True,False,23
138,node3-6,node6-3,-20,True,False,23
139,node3-6,node6-3,-20,True,False,23
140,node3-6,node6-3,-20,True,False,23
141,node3-6,node6-3,-20,True,False,23
142,node3-6,node6-3,-20,True,False,24
143,node3-6,node6-3,-20,True,False,24
144,node3-6,node6-3,-20,True,False,23
145,node3-6,node6-3,-20,True,False,23
146,node3-6,node6-3,-20,True,False,23
147,node3-6,node6-3,-20,True,False,24
148,node3-6,node6-3,-20,True,False,23
149,node3-6,node6-3,-20,True,False,23
150,node3-6,node6-3,-20,True,False,23
151,node3-6,node6-3,-20,True,False,23
152,node3-6,node6-3,-20,True,False,23
153,node3-6,node6-3,-20,True,False,23
154,node3-6,node6-3,-20,True,False,23
155,node3-6,node6-3,-20,True,False,23
156,node3-6,node6-3,-20,True,False,24
157,node3-6,node6-3,-20,True,False,24
158,node3-6,node6-3,-20,True,False,22
159,node3-6,node6-3,-20,True,False,23
160,node3-6,node6-3,-20,True,False,23
161,node3-6,node6-3,-20,True,False,24
162,node3-6,node6-3,-20,True,False,23
163,node3-6,node6-3,-20,True,False,24
164,node3-6,node6-3,-20,True,False,23
165,node3-6,node6-3,-20,True,False,23
166,node3-6,node6-3,-20,True,False,23
167,node3-6,node6-3,-20,True,False,24
168,node3-6,node6-3,-20,True,False,23
169,node3-6,node6-3,-20,True,False,23
170,node3-6,node6-3,-20,True,False,23
171,node3-6,node6-3,-20,True,False,23
172,node3-6,node6-3,-20,True,False,23
173,node3-6,node6-3,-20,True,False,23
174,node3-6,node6-3,-20,True,False,24
175,node3-6,node6-3,-20,True,False,23
176,node3-6,node6-3,-20,True,False,23
177,node3-6,node6-3,-20,True,False,24
178,node3-6,node6-3,-20,True,False,23
179,node3-6,node6-3,-20,True,False,24
180,node3-6,node6-3,-20,True,False,23
181,node3-6,node6-3,-20,True,False,24
182,node3-6,node6-3,-20,True,False,22
183,node3-6,node6-3,-20,True,False,23
184,node3-6,node6-3,-20,True,False,22
185,node3-6,node6-3,-20,True,False,23
186,node3-6,node6-3,-20,True,False,22
187,node3-6,node6-3,-20,True,False,23
188,node3-6,node6-3,-20,True,False,24
189,node3-6,node6-3,-20,True,False,23
190,node3-6,node6-3,-20,True,False,23
191,node3-6,node6-3,-20,True,False,23
192,node3-6,node6-3,-20,True,False,23
193,node3-6,node6-3,-20,True,False,23
194,node3-6,node6-3,-20,True,False,23
195,node3-6,node6-3,-20,True,False,24
