seq,src,dst,noise,received,error,rssi
1,node6-3,node4-5,-10,True,False,22
2,node6-3,node4-5,-10,True,False,20
3,node6-3,node4-5,-10,True,False,17
4,node6-3,node4-5,-10,True,False,19
5,node6-3,node4-5,-10,True,False,17
6,node6-3,node4-5,-10,True,False,17
7,node6-3,node4-5,-10,True,False,19
8,node6-3,node4-5,-10,True,False,18
9,node6-3,node4-5,-10,True,False,18
10,node6-3,node4-5,-10,True,False,19
11,node6-3,node4-5,-10,True,False,18
12,node6-3,node4-5,-10,True,False,19
13,node6-3,node4-5,-10,True,False,18
14,node6-3,node4-5,-10,True,False,17
15,node6-3,node4-5,-10,True,False,18
16,node6-3,node4-5,-10,True,False,18
17,node6-3,node4-5,-10,True,False,19
18,node6-3,node4-5,-10,True,False,18
19,node6-3,node4-5,-10,True,False,17
20,node6-3,node4-5,-10,True,False,18
21,node6-3,node4-5,-10,True,False,17
22,node6-3,node4-5,-10,True,False,18
23,node6-3,node4-5,-10,True,False,18
24,node6-3,node4-5,-10,True,False,18
25,node6-3,node4-5,-10,True,False,19
26,node6-3,node4-5,-10,True,False,18
27,node6-3,node4-5,-10,True,False,19
28,node6-3,node4-5,-10,True,False,19
29,node6-3,node4-5,-10,True,False,19
30,node6-3,node4-5,-10,True,False,18
31,node6-3,node4-5,-10,True,False,17
32,node6-3,node4-5,-10,True,False,18
33,node6-3,node4-5,-10,True,False,18
34,node6-3,node4-5,-10,True,False,18
35,node6-3,node4-5,-10,True,False,18
36,node6-3,node4-5,-10,True,False,19
37,node6-3,node4-5,-10,True,False,18
38,node6-3,node4-5,-10,True,False,18
39,node6-3,node4-5,-10,True,False,18
40,node6-3,node4-5,-10,True,False,18
41,node6-3,node4-5,-10,True,False,19
42,node6-3,node4-5,-10,True,False,18
43,node6-3,node4-5,-10,True,False,19
44,node6-3,node4-5,-10,True,False,17
45,node6-3,node4-5,-10,True,False,19
46,node6-3,node4-5,-10,True,False,19
47,node6-3,node4-5,-10,True,False,18
48,node6-3,node4-5,-10,True,False,17
49,node6-3,node4-5,-10,True,False,19
50,node6-3,node4-5,-10,True,False,18
51,node6-3,node4-5,-10,True,False,19
52,node6-3,node4-5,-10,True,False,18
53,node6-3,node4-5,-10,True,False,19
54,node6-3,node4-5,-10,True,False,18
55,node6-3,node4-5,-10,True,False,19
56,node6-3,node4-5,-10,True,False,18
57,node6-3,node4-5,-10,True,False,19
58,node6-3,node4-5,-10,True,False,19
59,node6-3,node4-5,-10,True,False,19
60,node6-3,node4-5,-10,True,False,19
61,node6-3,node4-5,-10,True,False,19
62,node6-3,node4-5,-10,True,False,19
63,node6-3,node4-5,-10,True,False,19
64,node6-3,node4-5,-10,True,False,19
65,node6-3,node4-5,-10,True,False,20
66,node6-3,node4-5,-10,True,False,19
67,node6-3,node4-5,-10,True,False,20
68,node6-3,node4-5,-10,True,False,20
69,node6-3,node4-5,-10,True,False,19
70,node6-3,node4-5,-10,True,False,18
71,node6-3,node4-5,-10,True,False,18
72,node6-3,node4-5,-10,True,False,19
73,node6-3,node4-5,-10,True,False,18
74,node6-3,node4-5,-10,True,False,20
75,node6-3,node4-5,-10,True,False,19
76,node6-3,node4-5,-10,True,False,19
77,node6-3,node4-5,-10,True,False,18
78,node6-3,node4-5,-10,True,False,18
79,node6-3,node4-5,-10,True,False,17
80,node6-3,node4-5,-10,True,False,19
81,node6-3,node4-5,-10,True,False,18
82,node6-3,node4-5,-10,True,False,19
83,node6-3,node4-5,-10,True,False,19
84,node6-3,node4-5,-10,True,False,20
85,node6-3,node4-5,-10,True,False,19
86,node6-3,node4-5,-10,True,False,19
87,node6-3,node4-5,-10,True,False,20
88,node6-3,node4-5,-10,True,False,18
89,node6-3,node4-5,-10,True,False,19
90,node6-3,node4-5,-10,True,False,19
91,node6-3,node4-5,-10,True,False,19
92,node6-3,node4-5,-10,True,False,19
93,node6-3,node4-5,-10,True,False,19
94,node6-3,node4-5,-10,True,False,19
95,node6-3,node4-5,-10,True,False,20
96,node6-3,node4-5,-10,True,False,18
97,node6-3,node4-5,-10,True,False,19
98,node6-3,node4-5,-10,True,False,19
99,node6-3,node4-5,-10,True,False,19
100,node6-3,node4-5,-10,True,False,18
101,node6-3,node4-5,-10,True,False,19
102,node6-3,node4-5,-10,True,False,19
103,node6-3,node4-5,-10,True,False,19
104,node6-3,node4-5,-10,True,False,19
105,node6-3,node4-5,-10,True,False,18
106,node6-3,node4-5,-10,True,False,19
107,node6-3,node4-5,-10,True,False,19
108,node6-3,node4-5,-10,True,False,20
109,node6-3,node4-5,-10,True,False,20
110,node6-3,node4-5,-10,True,False,19
111,node6-3,node4-5,-10,True,False,19
112,node6-3,node4-5,-10,True,False,19
113,node6-3,node4-5,-10,True,False,19
114,node6-3,node4-5,-10,True,False,18
115,node6-3,node4-5,-10,True,False,18
116,node6-3,node4-5,-10,True,False,19
117,node6-3,node4-5,-10,True,False,19
118,node6-3,node4-5,-10,True,False,19
119,node6-3,node4-5,-10,True,False,18
120,node6-3,node4-5,-10,True,False,18
121,node6-3,node4-5,-10,True,False,19
122,node6-3,node4-5,-10,True,False,19
123,node6-3,node4-5,-10,True,False,19
124,node6-3,node4-5,-10,True,False,19
125,node6-3,node4-5,-10,True,False,18
126,node6-3,node4-5,-10,True,False,17
127,node6-3,node4-5,-10,True,False,19
128,node6-3,node4-5,-10,True,False,18
129,node6-3,node4-5,-10,True,False,18
130,node6-3,node4-5,-10,True,False,20
131,node6-3,node4-5,-10,True,False,18
132,node6-3,node4-5,-10,True,False,18
133,node6-3,node4-5,-10,True,False,19
134,node6-3,node4-5,-10,True,False,19
135,node6-3,node4-5,-10,True,False,19
136,node6-3,node4-5,-10,True,False,18
137,node6-3,node4-5,-10,True,False,18
138,node6-3,node4-5,-10,True,False,19
139,node6-3,node4-5,-10,True,False,19
140,node6-3,node4-5,-10,True,False,19
141,node6-3,node4-5,-10,True,False,19
142,node6-3,node4-5,-10,True,False,19
143,node6-3,node4-5,-10,True,False,19
144,node6-3,node4-5,-10,True,False,19
145,node6-3,node4-5,-10,True,False,19
146,node6-3,node4-5,-10,True,False,18
147,node6-3,node4-5,-10,True,False,19
148,node6-3,node4-5,-10,True,False,19
149,node6-3,node4-5,-10,True,False,19
150,node6-3,node4-5,-10,True,False,19
151,node6-3,node4-5,-10,True,False,19
152,node6-3,node4-5,-10,True,False,19
153,node6-3,node4-5,-10,True,False,16
154,node6-3,node4-5,-10,True,False,18
155,node6-3,node4-5,-10,True,False,19
156,node6-3,node4-5,-10,True,False,18
157,node6-3,node4-5,-10,True,False,19
158,node6-3,node4-5,-10,True,False,18
159,node6-3,node4-5,-10,True,False,18
160,node6-3,node4-5,-10,True,False,18
161,node6-3,node4-5,-10,True,False,19
162,node6-3,node4-5,-10,True,False,18
163,node6-3,node4-5,-10,True,False,19
164,node6-3,node4-5,-10,True,False,18
165,node6-3,node4-5,-10,True,False,18
166,node6-3,node4-5,-10,True,False,19
167,node6-3,node4-5,-10,True,False,19
168,node6-3,node4-5,-10,True,False,18
169,node6-3,node4-5,-10,True,False,19
170,node6-3,node4-5,-10,True,False,19
171,node6-3,node4-5,-10,True,False,18
172,node6-3,node4-5,-10,True,False,19
173,node6-3,node4-5,-10,True,False,19
174,node6-3,node4-5,-10,True,False,19
175,node6-3,node4-5,-10,True,False,18
176,node6-3,node4-5,-10,True,False,18
177,node6-3,node4-5,-10,True,False,19
178,node6-3,node4-5,-10,True,False,19
179,node6-3,node4-5,-10,True,False,17
180,node6-3,node4-5,-10,True,False,18
181,node6-3,node4-5,-10,True,False,19
182,node6-3,node4-5,-10,True,False,18
183,node6-3,node4-5,-10,True,False,18
184,node6-3,node4-5,-10,True,False,19
185,node6-3,node4-5,-10,True,False,18
186,node6-3,node4-5,-10,True,False,18
187,node6-3,node4-5,-10,True,False,19
188,node6-3,node4-5,-10,True,False,20
189,node6-3,node4-5,-10,True,False,19
190,node6-3,node4-5,-10,True,False,19
191,node6-3,node4-5,-10,True,False,17
192,node6-3,node4-5,-10,True,False,19
193,node6-3,node4-5,-10,True,False,18
194,node6-3,node4-5,-10,True,False,19
195,node6-3,node4-5,-10,True,False,18
196,node6-3,node4-5,-10,True,False,19
197,node6-3,node4-5,-10,True,False,19
198,node6-3,node4-5,-10,True,False,19
199,node6-3,node4-5,-10,True,False,19
200,node6-3,node4-5,-10,True,False,19
201,node6-3,node4-5,-10,True,False,18
202,node6-3,node4-5,-10,True,False,18
203,node6-3,node4-5,-10,True,False,18
204,node6-3,node4-5,-10,True,False,19
205,node6-3,node4-5,-10,True,False,18
206,node6-3,node4-5,-10,True,False,19
207,node6-3,node4-5,-10,True,False,17
208,node6-3,node4-5,-10,True,False,19
209,node6-3,node4-5,-10,True,False,19
210,node6-3,node4-5,-10,True,False,19
211,node6-3,node4-5,-10,True,False,18
212,node6-3,node4-5,-10,True,False,19
213,node6-3,node4-5,-10,True,False,19
214,node6-3,node4-5,-10,True,False,16
215,node6-3,node4-5,-10,True,False,19
216,node6-3,node4-5,-10,True,False,19
217,node6-3,node4-5,-10,True,False,18
218,node6-3,node4-5,-10,True,False,18
219,node6-3,node4-5,-10,True,False,20
220,node6-3,node4-5,-10,True,False,20
221,node6-3,node4-5,-10,True,False,19
222,node6-3,node4-5,-10,True,False,18
223,node6-3,node4-5,-10,True,False,19
224,node6-3,node4-5,-10,True,False,19
225,node6-3,node4-5,-10,True,False,19
226,node6-3,node4-5,-10,True,False,19
227,node6-3,node4-5,-10,True,False,16
228,node6-3,node4-5,-10,True,False,17
229,node6-3,node4-5,-10,True,False,19
230,node6-3,node4-5,-10,True,False,19
231,node6-3,node4-5,-10,True,False,20
232,node6-3,node4-5,-10,True,False,19
233,node6-3,node4-5,-10,True,False,18
234,node6-3,node4-5,-10,True,False,19
235,node6-3,node4-5,-10,True,False,18
236,node6-3,node4-5,-10,True,False,19
237,node6-3,node4-5,-10,True,False,18
238,node6-3,node4-5,-10,True,False,18
239,node6-3,node4-5,-10,True,False,19
240,node6-3,node4-5,-10,True,False,18
241,node6-3,node4-5,-10,True,False,19
242,node6-3,node4-5,-10,True,False,19
243,node6-3,node4-5,-10,True,False,18
244,node6-3,node4-5,-10,True,False,17
245,node6-3,node4-5,-10,True,False,19
246,node6-3,node4-5,-10,True,False,18
247,node6-3,node4-5,-10,True,False,19
248,node6-3,node4-5,-10,True,False,19
249,node6-3,node4-5,-10,True,False,18
