seq,src,dst,noise,received,error,rssi
1,node4-7,node4-5,-20,True,False,29
2,node4-7,node4-5,-20,True,False,28
3,node4-7,node4-5,-20,True,False,25
4,node4-7,node4-5,-20,True,False,21
5,node4-7,node4-5,-20,True,False,22
6,node4-7,node4-5,-20,True,False,18
7,node4-7,node4-5,-20,True,False,21
8,node4-7,node4-5,-20,True,False,22
9,node4-7,node4-5,-20,True,False,21
10,node4-7,node4-5,-20,True,False,21
11,node4-7,node4-5,-20,True,False,20
12,node4-7,node4-5,-20,True,False,20
13,node4-7,node4-5,-20,True,False,21
14,node4-7,node4-5,-20,True,False,21
15,node4-7,node4-5,-20,True,False,21
16,node4-7,node4-5,-20,True,False,21
17,node4-7,node4-5,-20,True,False,22
18,node4-7,node4-5,-20,True,False,21
19,node4-7,node4-5,-20,True,False,19
20,node4-7,node4-5,-20,True,False,21
21,node4-7,node4-5,-20,True,False,21
22,node4-7,node4-5,-20,True,False,20
23,node4-7,node4-5,-20,True,False,21
24,node4-7,node4-5,-20,True,False,20
25,node4-7,node4-5,-20,True,False,19
26,node4-7,node4-5,-20,True,False,21
27,node4-7,node4-5,-20,True,False,22
28,node4-7,node4-5,-20,True,False,20
29,node4-7,node4-5,-20,True,False,21
30,node4-7,node4-5,-20,True,False,22
31,node4-7,node4-5,-20,True,False,21
32,node4-7,node4-5,-20,True,False,21
33,node4-7,node4-5,-20,True,False,21
34,node4-7,node4-5,-20,True,False,20
35,node4-7,node4-5,-20,True,False,21
36,node4-7,node4-5,-20,True,False,21
37,node4-7,node4-5,-20,True,False,21
38,node4-7,node4-5,-20,True,False,21
39,node4-7,node4-5,-20,True,False,21
40,node4-7,node4-5,-20,True,False,21
41,node4-7,node4-5,-20,True,False,19
42,node4-7,node4-5,-20,True,False,21
43,node4-7,node4-5,-20,True,False,20
44,node4-7,node4-5,-20,True,False,22
45,node4-7,node4-5,-20,True,False,20
46,node4-7,node4-5,-20,True,False,20
47,node4-7,node4-5,-20,True,False,21
48,node4-7,node4-5,-20,True,False,22
49,node4-7,node4-5,-20,True,False,18
50,node4-7,node4-5,-20,True,False,21
51,node4-7,node4-5,-20,True,False,21
52,node4-7,node4-5,-20,True,False,21
53,node4-7,node4-5,-20,True,False,22
54,node4-7,node4-5,-20,True,False,21
55,node4-7,node4-5,-20,True,False,20
56,node4-7,node4-5,-20,True,False,20
57,node4-7,node4-5,-20,True,False,20
58,node4-7,node4-5,-20,True,False,22
59,node4-7,node4-5,-20,True,False,21
60,node4-7,node4-5,-20,True,False,21
61,node4-7,node4-5,-20,True,False,20
62,node4-7,node4-5,-20,True,False,22
63,node4-7,node4-5,-20,True,False,21
64,node4-7,node4-5,-20,True,False,22
65,node4-7,node4-5,-20,True,False,22
66,node4-7,node4-5,-20,True,False,22
67,node4-7,node4-5,-20,True,False,20
68,node4-7,node4-5,-20,True,False,21
69,node4-7,node4-5,-20,True,False,20
70,node4-7,node4-5,-20,True,False,20
71,node4-7,node4-5,-20,True,False,20
72,node4-7,node4-5,-20,True,False,21
73,node4-7,node4-5,-20,True,False,21
74,node4-7,node4-5,-20,True,False,22
75,node4-7,node4-5,-20,True,False,21
76,node4-7,node4-5,-20,True,False,21
77,node4-7,node4-5,-20,True,False,21
78,node4-7,node4-5,-20,True,False,21
79,node4-7,node4-5,-20,True,False,21
80,node4-7,node4-5,-20,True,False,22
81,node4-7,node4-5,-20,True,False,21
82,node4-7,node4-5,-20,True,False,21
83,node4-7,node4-5,-20,True,False,21
84,node4-7,node4-5,-20,True,False,22
85,node4-7,node4-5,-20,True,False,21
86,node4-7,node4-5,-20,True,False,21
87,node4-7,node4-5,-20,True,False,21
88,node4-7,node4-5,-20,True,False,20
89,node4-7,node4-5,-20,True,False,21
90,node4-7,node4-5,-20,True,False,20
91,node4-7,node4-5,-20,True,False,20
92,node4-7,node4-5,-20,True,False,21
93,node4-7,node4-5,-20,True,False,20
94,node4-7,node4-5,-20,True,False,20
95,node4-7,node4-5,-20,True,False,21
96,node4-7,node4-5,-20,True,False,22
97,node4-7,node4-5,-20,True,False,21
98,node4-7,node4-5,-20,True,False,22
99,node4-7,node4-5,-20,True,False,20
100,node4-7,node4-5,-20,True,False,22
101,node4-7,node4-5,-20,True,False,21
102,node4-7,node4-5,-20,True,False,21
103,node4-7,node4-5,-20,True,False,21
104,node4-7,node4-5,-20,True,False,21
105,node4-7,node4-5,-20,True,False,21
106,node4-7,node4-5,-20,True,False,21
107,node4-7,node4-5,-20,True,False,21
108,node4-7,node4-5,-20,True,False,19
109,node4-7,node4-5,-20,True,False,21
110,node4-7,node4-5,-20,True,False,20
111,node4-7,node4-5,-20,True,False,20
112,node4-7,node4-5,-20,True,False,21
113,node4-7,node4-5,-20,True,False,21
114,node4-7,node4-5,-20,True,False,21
115,node4-7,node4-5,-20,True,False,21
116,node4-7,node4-5,-20,True,False,21
117,node4-7,node4-5,-20,True,False,21
118,node4-7,node4-5,-20,True,False,21
119,node4-7,node4-5,-20,True,False,20
120,node4-7,node4-5,-20,True,False,19
121,node4-7,node4-5,-20,True,False,21
122,node4-7,node4-5,-20,True,False,21
123,node4-7,node4-5,-20,True,False,21
124,node4-7,node4-5,-20,True,False,19
125,node4-7,node4-5,-20,True,False,21
126,node4-7,node4-5,-20,True,False,20
127,node4-7,node4-5,-20,True,False,20
128,node4-7,node4-5,-20,True,False,20
129,node4-7,node4-5,-20,True,False,21
130,node4-7,node4-5,-20,True,False,20
131,node4-7,node4-5,-20,True,False,22
132,node4-7,node4-5,-20,True,False,20
133,node4-7,node4-5,-20,True,False,19
134,node4-7,node4-5,-20,True,False,21
135,node4-7,node4-5,-20,True,False,20
136,node4-7,node4-5,-20,True,False,20
137,node4-7,node4-5,-20,True,False,21
138,node4-7,node4-5,-20,True,False,20
139,node4-7,node4-5,-20,True,False,21
140,node4-7,node4-5,-20,True,False,19
141,node4-7,node4-5,-20,True,False,21
142,node4-7,node4-5,-20,True,False,21
143,node4-7,node4-5,-20,True,False,21
144,node4-7,node4-5,-20,True,False,21
145,node4-7,node4-5,-20,True,False,22
146,node4-7,node4-5,-20,True,False,21
147,node4-7,node4-5,-20,True,False,21
148,node4-7,node4-5,-20,True,False,20
149,node4-7,node4-5,-20,True,False,19
