seq,src,dst,noise,received,error,rssi
1,node8-5,node4-1,-20,True,False,19
2,node8-5,node4-1,-20,True,False,17
3,node8-5,node4-1,-20,True,False,16
4,node8-5,node4-1,-20,True,False,17
5,node8-5,node4-1,-20,True,False,16
6,node8-5,node4-1,-20,True,False,16
7,node8-5,node4-1,-20,True,False,15
8,node8-5,node4-1,-20,True,False,16
9,node8-5,node4-1,-20,True,False,16
10,node8-5,node4-1,-20,True,False,17
11,node8-5,node4-1,-20,True,False,17
12,node8-5,node4-1,-20,True,False,16
13,node8-5,node4-1,-20,True,False,16
14,node8-5,node4-1,-20,True,False,16
15,node8-5,node4-1,-20,True,False,16
16,node8-5,node4-1,-20,True,False,16
17,node8-5,node4-1,-20,True,False,16
18,node8-5,node4-1,-20,True,False,16
19,node8-5,node4-1,-20,True,False,17
20,node8-5,node4-1,-20,True,False,17
21,node8-5,node4-1,-20,True,False,15
22,node8-5,node4-1,-20,True,False,16
23,node8-5,node4-1,-20,True,False,16
24,node8-5,node4-1,-20,True,False,16
25,node8-5,node4-1,-20,True,False,17
26,node8-5,node4-1,-20,True,False,17
27,node8-5,node4-1,-20,True,False,17
28,node8-5,node4-1,-20,True,False,17
29,node8-5,node4-1,-20,True,False,17
30,node8-5,node4-1,-20,True,False,17
31,node8-5,node4-1,-20,True,False,17
32,node8-5,node4-1,-20,True,False,18
33,node8-5,node4-1,-20,True,False,16
34,node8-5,node4-1,-20,True,False,17
35,node8-5,node4-1,-20,True,False,17
36,node8-5,node4-1,-20,True,False,17
37,node8-5,node4-1,-20,True,False,16
38,node8-5,node4-1,-20,True,False,15
39,node8-5,node4-1,-20,True,False,15
40,node8-5,node4-1,-20,True,False,17
41,node8-5,node4-1,-20,True,False,17
42,node8-5,node4-1,-20,True,False,16
43,node8-5,node4-1,-20,True,False,17
44,node8-5,node4-1,-20,True,False,16
45,node8-5,node4-1,-20,True,False,15
46,node8-5,node4-1,-20,True,False,17
47,node8-5,node4-1,-20,True,False,17
48,node8-5,node4-1,-20,True,False,16
49,node8-5,node4-1,-20,True,False,17
50,node8-5,node4-1,-20,True,False,16
51,node8-5,node4-1,-20,True,False,16
52,node8-5,node4-1,-20,True,False,17
53,node8-5,node4-1,-20,True,False,17
54,node8-5,node4-1,-20,True,False,15
55,node8-5,node4-1,-20,True,False,17
56,node8-5,node4-1,-20,True,False,16
57,node8-5,node4-1,-20,True,False,16
58,node8-5,node4-1,-20,True,False,16
59,node8-5,node4-1,-20,True,False,17
60,node8-5,node4-1,-20,True,False,16
61,node8-5,node4-1,-20,True,False,16
62,node8-5,node4-1,-20,True,False,16
63,node8-5,node4-1,-20,True,False,17
64,node8-5,node4-1,-20,True,False,15
65,node8-5,node4-1,-20,True,False,17
66,node8-5,node4-1,-20,True,False,17
67,node8-5,node4-1,-20,True,False,16
68,node8-5,node4-1,-20,True,False,16
69,node8-5,node4-1,-20,True,False,16
70,node8-5,node4-1,-20,True,False,16
71,node8-5,node4-1,-20,True,False,17
72,node8-5,node4-1,-20,True,False,14
73,node8-5,node4-1,-20,True,False,15
74,node8-5,node4-1,-20,True,False,16
75,node8-5,node4-1,-20,True,False,16
76,node8-5,node4-1,-20,True,False,17
77,node8-5,node4-1,-20,True,False,16
78,node8-5,node4-1,-20,True,False,15
79,node8-5,node4-1,-20,True,False,16
80,node8-5,node4-1,-20,True,False,17
81,node8-5,node4-1,-20,True,False,17
82,node8-5,node4-1,-20,True,False,16
83,node8-5,node4-1,-20,True,False,15
84,node8-5,node4-1,-20,True,False,17
85,node8-5,node4-1,-20,True,False,16
86,node8-5,node4-1,-20,True,False,16
87,node8-5,node4-1,-20,True,False,17
88,node8-5,node4-1,-20,True,False,17
89,node8-5,node4-1,-20,True,False,17
90,node8-5,node4-1,-20,True,False,15
91,node8-5,node4-1,-20,True,False,17
92,node8-5,node4-1,-20,True,False,16
93,node8-5,node4-1,-20,True,False,17
94,node8-5,node4-1,-20,True,False,16
95,node8-5,node4-1,-20,True,False,16
96,node8-5,node4-1,-20,True,False,15
97,node8-5,node4-1,-20,True,False,17
98,node8-5,node4-1,-20,True,False,17
99,node8-5,node4-1,-20,True,False,17
100,node8-5,node4-1,-20,True,False,15
101,node8-5,node4-1,-20,True,False,17
102,node8-5,node4-1,-20,True,False,16
103,node8-5,node4-1,-20,True,False,16
104,node8-5,node4-1,-20,True,False,16
105,node8-5,node4-1,-20,True,False,17
106,node8-5,node4-1,-20,True,False,17
107,node8-5,node4-1,-20,True,False,16
108,node8-5,node4-1,-20,True,False,16
109,node8-5,node4-1,-20,True,False,17
110,node8-5,node4-1,-20,True,False,16
111,node8-5,node4-1,-20,True,False,16
112,node8-5,node4-1,-20,True,False,16
113,node8-5,node4-1,-20,True,False,16
114,node8-5,node4-1,-20,True,False,16
115,node8-5,node4-1,-20,True,False,16
116,node8-5,node4-1,-20,True,False,16
117,node8-5,node4-1,-20,True,False,17
118,node8-5,node4-1,-20,True,False,16
119,node8-5,node4-1,-20,True,False,17
120,node8-5,node4-1,-20,True,False,17
121,node8-5,node4-1,-20,True,False,16
122,node8-5,node4-1,-20,True,False,16
123,node8-5,node4-1,-20,True,False,16
124,node8-5,node4-1,-20,True,False,17
125,node8-5,node4-1,-20,True,False,15
126,node8-5,node4-1,-20,True,False,17
127,node8-5,node4-1,-20,True,False,16
128,node8-5,node4-1,-20,True,False,16
129,node8-5,node4-1,-20,True,False,15
130,node8-5,node4-1,-20,True,False,15
131,node8-5,node4-1,-20,True,False,17
132,node8-5,node4-1,-20,True,False,16
133,node8-5,node4-1,-20,True,False,15
134,node8-5,node4-1,-20,True,False,16
135,node8-5,node4-1,-20,True,False,16
136,node8-5,node4-1,-20,True,False,16
137,node8-5,node4-1,-20,True,False,16
138,node8-5,node4-1,-20,True,False,17
139,node8-5,node4-1,-20,True,False,17
140,node8-5,node4-1,-20,True,False,16
141,node8-5,node4-1,-20,True,False,16
142,node8-5,node4-1,-20,True,False,16
143,node8-5,node4-1,-20,True,False,16
