seq,src,dst,noise,received,error,rssi
1,node2-1,node5-6,-15,True,False,16
2,node2-1,node5-6,-15,True,False,15
3,node2-1,node5-6,-15,True,False,12
4,node2-1,node5-6,-15,True,False,11
5,node2-1,node5-6,-15,True,False,14
6,node2-1,node5-6,-15,True,False,11
7,node2-1,node5-6,-15,True,False,10
8,node2-1,node5-6,-15,True,False,13
9,node2-1,node5-6,-15,True,False,11
10,node2-1,node5-6,-15,True,False,12
11,node2-1,node5-6,-15,True,False,11
12,node2-1,node5-6,-15,True,False,12
13,node2-1,node5-6,-15,True,False,11
14,node2-1,node5-6,-15,True,False,12
15,node2-1,node5-6,-15,True,False,11
16,node2-1,node5-6,-15,True,False,12
17,node2-1,node5-6,-15,True,False,11
18,node2-1,node5-6,-15,True,False,11
19,node2-1,node5-6,-15,True,False,11
20,node2-1,node5-6,-15,True,False,12
21,node2-1,node5-6,-15,True,False,13
22,node2-1,node5-6,-15,True,False,10
23,node2-1,node5-6,-15,True,False,10
24,node2-1,node5-6,-15,True,False,12
25,node2-1,node5-6,-15,True,False,11
26,node2-1,node5-6,-15,True,False,11
27,node2-1,node5-6,-15,True,False,12
28,node2-1,node5-6,-15,True,False,12
29,node2-1,node5-6,-15,True,False,10
30,node2-1,node5-6,-15,True,False,12
31,node2-1,node5-6,-15,True,False,10
32,node2-1,node5-6,-15,True,False,12
33,node2-1,node5-6,-15,True,False,11
34,node2-1,node5-6,-15,True,False,12
35,node2-1,node5-6,-15,True,False,12
36,node2-1,node5-6,-15,True,False,12
37,node2-1,node5-6,-15,True,False,12
38,node2-1,node5-6,-15,True,False,11
39,node2-1,node5-6,-15,True,False,11
40,node2-1,node5-6,-15,True,False,13
41,node2-1,node5-6,-15,True,False,11
42,node2-1,node5-6,-15,True,False,12
43,node2-1,node5-6,-15,True,False,13
44,node2-1,node5-6,-15,True,False,12
45,node2-1,node5-6,-15,True,False,12
46,node2-1,node5-6,-15,True,False,11
47,node2-1,node5-6,-15,True,False,12
48,node2-1,node5-6,-15,True,False,10
49,node2-1,node5-6,-15,True,False,12
50,node2-1,node5-6,-15,True,False,12
51,node2-1,node5-6,-15,True,False,11
52,node2-1,node5-6,-15,True,False,12
53,node2-1,node5-6,-15,True,False,9
54,node2-1,node5-6,-15,True,False,10
55,node2-1,node5-6,-15,True,False,11
56,node2-1,node5-6,-15,True,False,12
57,node2-1,node5-6,-15,True,False,12
58,node2-1,node5-6,-15,True,False,12
59,node2-1,node5-6,-15,True,False,11
60,node2-1,node5-6,-15,True,False,12
61,node2-1,node5-6,-15,True,False,11
62,node2-1,node5-6,-15,True,False,11
63,node2-1,node5-6,-15,True,False,12
64,node2-1,node5-6,-15,True,False,12
65,node2-1,node5-6,-15,True,False,11
66,node2-1,node5-6,-15,True,False,10
67,node2-1,node5-6,-15,True,False,12
68,node2-1,node5-6,-15,True,False,11
69,node2-1,node5-6,-15,True,False,12
70,node2-1,node5-6,-15,True,False,11
71,node2-1,node5-6,-15,True,False,12
72,node2-1,node5-6,-15,True,False,12
73,node2-1,node5-6,-15,True,False,12
74,node2-1,node5-6,-15,True,False,13
75,node2-1,node5-6,-15,True,False,11
