seq,src,dst,noise,received,error,rssi
1,node8-3,node8-7,-15,True,False,24
2,node8-3,node8-7,-15,True,False,24
3,node8-3,node8-7,-15,True,False,22
4,node8-3,node8-7,-15,True,False,19
5,node8-3,node8-7,-15,True,False,21
6,node8-3,node8-7,-15,True,False,21
7,node8-3,node8-7,-15,True,False,19
8,node8-3,node8-7,-15,True,False,21
9,node8-3,node8-7,-15,True,False,20
10,node8-3,node8-7,-15,True,False,19
11,node8-3,node8-7,-15,True,False,22
12,node8-3,node8-7,-15,True,False,20
13,node8-3,node8-7,-15,True,False,21
14,node8-3,node8-7,-15,True,False,21
15,node8-3,node8-7,-15,True,False,21
16,node8-3,node8-7,-15,True,False,20
17,node8-3,node8-7,-15,True,False,21
18,node8-3,node8-7,-15,True,False,20
19,node8-3,node8-7,-15,True,False,21
20,node8-3,node8-7,-15,True,False,20
21,node8-3,node8-7,-15,True,False,20
22,node8-3,node8-7,-15,True,False,20
23,node8-3,node8-7,-15,True,False,20
24,node8-3,node8-7,-15,True,False,20
25,node8-3,node8-7,-15,True,False,21
26,node8-3,node8-7,-15,True,False,20
27,node8-3,node8-7,-15,True,False,21
28,node8-3,node8-7,-15,True,False,21
29,node8-3,node8-7,-15,True,False,21
30,node8-3,node8-7,-15,True,False,19
31,node8-3,node8-7,-15,True,False,19
32,node8-3,node8-7,-15,True,False,21
33,node8-3,node8-7,-15,True,False,21
34,node8-3,node8-7,-15,True,False,21
35,node8-3,node8-7,-15,True,False,21
36,node8-3,node8-7,-15,True,False,20
37,node8-3,node8-7,-15,True,False,20
38,node8-3,node8-7,-15,True,False,19
39,node8-3,node8-7,-15,True,False,21
40,node8-3,node8-7,-15,True,False,20
41,node8-3,node8-7,-15,True,False,21
42,node8-3,node8-7,-15,True,False,21
43,node8-3,node8-7,-15,True,False,20
44,node8-3,node8-7,-15,True,False,21
45,node8-3,node8-7,-15,True,False,21
46,node8-3,node8-7,-15,True,False,21
47,node8-3,node8-7,-15,True,False,20
48,node8-3,node8-7,-15,True,False,19
49,node8-3,node8-7,-15,True,False,20
50,node8-3,node8-7,-15,True,False,21
51,node8-3,node8-7,-15,True,False,19
52,node8-3,node8-7,-15,True,False,19
53,node8-3,node8-7,-15,True,False,19
54,node8-3,node8-7,-15,True,False,19
55,node8-3,node8-7,-15,True,False,20
56,node8-3,node8-7,-15,True,False,20
57,node8-3,node8-7,-15,True,False,21
58,node8-3,node8-7,-15,True,False,20
59,node8-3,node8-7,-15,True,False,20
60,node8-3,node8-7,-15,True,False,21
61,node8-3,node8-7,-15,True,False,20
62,node8-3,node8-7,-15,True,False,20
63,node8-3,node8-7,-15,True,False,20
64,node8-3,node8-7,-15,True,False,19
65,node8-3,node8-7,-15,True,False,21
66,node8-3,node8-7,-15,True,False,20
67,node8-3,node8-7,-15,True,False,21
68,node8-3,node8-7,-15,True,False,20
69,node8-3,node8-7,-15,True,False,21
70,node8-3,node8-7,-15,True,False,20
71,node8-3,node8-7,-15,True,False,21
72,node8-3,node8-7,-15,True,False,20
73,node8-3,node8-7,-15,True,False,20
74,node8-3,node8-7,-15,True,False,21
75,node8-3,node8-7,-15,True,False,21
76,node8-3,node8-7,-15,True,False,21
77,node8-3,node8-7,-15,True,False,21
78,node8-3,node8-7,-15,True,False,20
79,node8-3,node8-7,-15,True,False,20
80,node8-3,node8-7,-15,True,False,21
81,node8-3,node8-7,-15,True,False,21
82,node8-3,node8-7,-15,True,False,20
83,node8-3,node8-7,-15,True,False,20
84,node8-3,node8-7,-15,True,False,21
85,node8-3,node8-7,-15,True,False,20
86,node8-3,node8-7,-15,True,False,21
87,node8-3,node8-7,-15,True,False,20
88,node8-3,node8-7,-15,True,False,21
89,node8-3,node8-7,-15,True,False,21
90,node8-3,node8-7,-15,True,False,19
91,node8-3,node8-7,-15,True,False,20
92,node8-3,node8-7,-15,True,False,21
93,node8-3,node8-7,-15,True,False,21
94,node8-3,node8-7,-15,True,False,21
95,node8-3,node8-7,-15,True,False,21
96,node8-3,node8-7,-15,True,False,20
97,node8-3,node8-7,-15,True,False,21
98,node8-3,node8-7,-15,True,False,21
99,node8-3,node8-7,-15,True,False,20
100,node8-3,node8-7,-15,True,False,21
101,node8-3,node8-7,-15,True,False,21
102,node8-3,node8-7,-15,True,False,20
103,node8-3,node8-7,-15,True,False,19
104,node8-3,node8-7,-15,True,False,20
105,node8-3,node8-7,-15,True,False,21
106,node8-3,node8-7,-15,True,False,21
107,node8-3,node8-7,-15,True,False,20
108,node8-3,node8-7,-15,True,False,21
109,node8-3,node8-7,-15,True,False,21
110,node8-3,node8-7,-15,True,False,20
111,node8-3,node8-7,-15,True,False,20
112,node8-3,node8-7,-15,True,False,21
113,node8-3,node8-7,-15,True,False,21
114,node8-3,node8-7,-15,True,False,20
115,node8-3,node8-7,-15,True,False,20
116,node8-3,node8-7,-15,True,False,20
117,node8-3,node8-7,-15,True,False,20
118,node8-3,node8-7,-15,True,False,19
119,node8-3,node8-7,-15,True,False,19
120,node8-3,node8-7,-15,True,False,21
121,node8-3,node8-7,-15,True,False,20
122,node8-3,node8-7,-15,True,False,20
123,node8-3,node8-7,-15,True,False,21
124,node8-3,node8-7,-15,True,False,20
125,node8-3,node8-7,-15,True,False,21
126,node8-3,node8-7,-15,True,False,20
127,node8-3,node8-7,-15,True,False,21
128,node8-3,node8-7,-15,True,False,21
129,node8-3,node8-7,-15,True,False,21
130,node8-3,node8-7,-15,True,False,19
131,node8-3,node8-7,-15,True,False,21
132,node8-3,node8-7,-15,True,False,20
133,node8-3,node8-7,-15,True,False,21
134,node8-3,node8-7,-15,True,False,21
135,node8-3,node8-7,-15,True,False,21
136,node8-3,node8-7,-15,True,False,20
137,node8-3,node8-7,-15,True,False,20
138,node8-3,node8-7,-15,True,False,19
139,node8-3,node8-7,-15,True,False,21
140,node8-3,node8-7,-15,True,False,20
141,node8-3,node8-7,-15,True,False,20
142,node8-3,node8-7,-15,True,False,19
143,node8-3,node8-7,-15,True,False,21
144,node8-3,node8-7,-15,True,False,20
145,node8-3,node8-7,-15,True,False,21
146,node8-3,node8-7,-15,True,False,21
147,node8-3,node8-7,-15,True,False,21
148,node8-3,node8-7,-15,True,False,19
149,node8-3,node8-7,-15,True,False,21
150,node8-3,node8-7,-15,True,False,20
151,node8-3,node8-7,-15,True,False,20
152,node8-3,node8-7,-15,True,False,21
153,node8-3,node8-7,-15,True,False,20
154,node8-3,node8-7,-15,True,False,19
155,node8-3,node8-7,-15,True,False,20
156,node8-3,node8-7,-15,True,False,21
157,node8-3,node8-7,-15,True,False,20
158,node8-3,node8-7,-15,True,False,21
159,node8-3,node8-7,-15,True,False,21
160,node8-3,node8-7,-15,True,False,21
161,node8-3,node8-7,-15,True,False,21
162,node8-3,node8-7,-15,True,False,21
163,node8-3,node8-7,-15,True,False,21
164,node8-3,node8-7,-15,True,False,21
165,node8-3,node8-7,-15,True,False,21
166,node8-3,node8-7,-15,True,False,21
167,node8-3,node8-7,-15,True,False,21
168,node8-3,node8-7,-15,True,False,20
169,node8-3,node8-7,-15,True,False,21
170,node8-3,node8-7,-15,True,False,20
171,node8-3,node8-7,-15,True,False,21
172,node8-3,node8-7,-15,True,False,20
173,node8-3,node8-7,-15,True,False,21
174,node8-3,node8-7,-15,True,False,21
175,node8-3,node8-7,-15,True,False,21
176,node8-3,node8-7,-15,True,False,19
177,node8-3,node8-7,-15,True,False,21
178,node8-3,node8-7,-15,True,False,19
179,node8-3,node8-7,-15,True,False,21
180,node8-3,node8-7,-15,True,False,21
181,node8-3,node8-7,-15,True,False,20
182,node8-3,node8-7,-15,True,False,20
183,node8-3,node8-7,-15,True,False,20
184,node8-3,node8-7,-15,True,False,21
185,node8-3,node8-7,-15,True,False,21
186,node8-3,node8-7,-15,True,False,21
187,node8-3,node8-7,-15,True,False,21
188,node8-3,node8-7,-15,True,False,21
189,node8-3,node8-7,-15,True,False,20
190,node8-3,node8-7,-15,True,False,20
191,node8-3,node8-7,-15,True,False,21
192,node8-3,node8-7,-15,True,False,21
193,node8-3,node8-7,-15,True,False,20
194,node8-3,node8-7,-15,True,False,20
195,node8-3,node8-7,-15,True,False,21
196,node8-3,node8-7,-15,True,False,20
197,node8-3,node8-7,-15,True,False,21
198,node8-3,node8-7,-15,True,False,20
199,node8-3,node8-7,-15,True,False,20
200,node8-3,node8-7,-15,True,False,21
201,node8-3,node8-7,-15,True,False,20
202,node8-3,node8-7,-15,True,False,20
203,node8-3,node8-7,-15,True,False,21
204,node8-3,node8-7,-15,True,False,20
205,node8-3,node8-7,-15,True,False,21
206,node8-3,node8-7,-15,True,False,21
207,node8-3,node8-7,-15,True,False,19
208,node8-3,node8-7,-15,True,False,20
209,node8-3,node8-7,-15,True,False,20
210,node8-3,node8-7,-15,True,False,20
211,node8-3,node8-7,-15,True,False,21
212,node8-3,node8-7,-15,True,False,21
213,node8-3,node8-7,-15,True,False,20
214,node8-3,node8-7,-15,True,False,21
215,node8-3,node8-7,-15,True,False,21
216,node8-3,node8-7,-15,True,False,20
217,node8-3,node8-7,-15,True,False,20
218,node8-3,node8-7,-15,True,False,19
219,node8-3,node8-7,-15,True,False,21
220,node8-3,node8-7,-15,True,False,20
221,node8-3,node8-7,-15,True,False,20
222,node8-3,node8-7,-15,True,False,21
223,node8-3,node8-7,-15,True,False,21
224,node8-3,node8-7,-15,True,False,20
225,node8-3,node8-7,-15,True,False,20
226,node8-3,node8-7,-15,True,False,19
227,node8-3,node8-7,-15,True,False,21
228,node8-3,node8-7,-15,True,False,20
229,node8-3,node8-7,-15,True,False,20
230,node8-3,node8-7,-15,True,False,21
231,node8-3,node8-7,-15,True,False,20
232,node8-3,node8-7,-15,True,False,21
233,node8-3,node8-7,-15,True,False,19
234,node8-3,node8-7,-15,True,False,21
235,node8-3,node8-7,-15,True,False,19
236,node8-3,node8-7,-15,True,False,21
237,node8-3,node8-7,-15,True,False,21
238,node8-3,node8-7,-15,True,False,19
239,node8-3,node8-7,-15,True,False,19
240,node8-3,node8-7,-15,True,False,21
241,node8-3,node8-7,-15,True,False,20
242,node8-3,node8-7,-15,True,False,20
243,node8-3,node8-7,-15,True,False,20
244,node8-3,node8-7,-15,True,False,21
245,node8-3,node8-7,-15,True,False,21
246,node8-3,node8-7,-15,True,False,21
247,node8-3,node8-7,-15,True,False,21
248,node8-3,node8-7,-15,True,False,21
249,node8-3,node8-7,-15,True,False,20
250,node8-3,node8-7,-15,True,False,21
251,node8-3,node8-7,-15,True,False,19
252,node8-3,node8-7,-15,True,False,20
253,node8-3,node8-7,-15,True,False,20
254,node8-3,node8-7,-15,True,False,21
255,node8-3,node8-7,-15,True,False,21
256,node8-3,node8-7,-15,True,False,21
257,node8-3,node8-7,-15,True,False,20
258,node8-3,node8-7,-15,True,False,20
259,node8-3,node8-7,-15,True,False,21
260,node8-3,node8-7,-15,True,False,20
261,node8-3,node8-7,-15,True,False,21
262,node8-3,node8-7,-15,True,False,20
263,node8-3,node8-7,-15,True,False,21
264,node8-3,node8-7,-15,True,False,20
265,node8-3,node8-7,-15,True,False,20
266,node8-3,node8-7,-15,True,False,21
267,node8-3,node8-7,-15,True,False,19
268,node8-3,node8-7,-15,True,False,19
269,node8-3,node8-7,-15,True,False,21
270,node8-3,node8-7,-15,True,False,20
271,node8-3,node8-7,-15,True,False,19
272,node8-3,node8-7,-15,True,False,21
273,node8-3,node8-7,-15,True,False,21
274,node8-3,node8-7,-15,True,False,21
275,node8-3,node8-7,-15,True,False,20
276,node8-3,node8-7,-15,True,False,19
277,node8-3,node8-7,-15,True,False,21
278,node8-3,node8-7,-15,True,False,21
279,node8-3,node8-7,-15,True,False,21
280,node8-3,node8-7,-15,True,False,21
281,node8-3,node8-7,-15,True,False,20
282,node8-3,node8-7,-15,True,False,20
283,node8-3,node8-7,-15,True,False,21
284,node8-3,node8-7,-15,True,False,19
285,node8-3,node8-7,-15,True,False,21
286,node8-3,node8-7,-15,True,False,21
287,node8-3,node8-7,-15,True,False,21
288,node8-3,node8-7,-15,True,False,21
289,node8-3,node8-7,-15,True,False,20
290,node8-3,node8-7,-15,True,False,19
291,node8-3,node8-7,-15,True,False,20
292,node8-3,node8-7,-15,True,False,20
293,node8-3,node8-7,-15,True,False,21
294,node8-3,node8-7,-15,True,False,20
295,node8-3,node8-7,-15,True,False,21
296,node8-3,node8-7,-15,True,False,20
297,node8-3,node8-7,-15,True,False,21
298,node8-3,node8-7,-15,True,False,21
299,node8-3,node8-7,-15,True,False,20
300,node8-3,node8-7,-15,True,False,20
