seq,src,dst,noise,received,error,rssi
1,node2-5,node4-3,0,True,False,9
2,node2-5,node4-3,0,True,False,8
3,node2-5,node4-3,0,True,False,4
4,node2-5,node4-3,0,True,False,6
5,node2-5,node4-3,0,True,False,5
6,node2-5,node4-3,0,True,False,4
7,node2-5,node4-3,0,True,False,5
8,node2-5,node4-3,0,True,False,4
9,node2-5,node4-3,0,True,False,4
10,node2-5,node4-3,0,True,False,3
11,node2-5,node4-3,0,True,False,5
12,node2-5,node4-3,0,True,False,5
13,node2-5,node4-3,0,True,False,6
14,node2-5,node4-3,0,True,False,6
15,node2-5,node4-3,0,True,False,3
16,node2-5,node4-3,0,True,False,6
17,node2-5,node4-3,0,True,False,7
18,node2-5,node4-3,0,True,False,5
19,node2-5,node4-3,0,True,False,5
20,node2-5,node4-3,0,True,False,5
21,node2-5,node4-3,0,True,False,4
22,node2-5,node4-3,0,True,False,3
23,node2-5,node4-3,0,True,False,6
24,node2-5,node4-3,0,True,False,6
25,node2-5,node4-3,0,True,False,5
26,node2-5,node4-3,0,True,False,5
27,node2-5,node4-3,0,True,False,4
28,node2-5,node4-3,0,True,False,6
29,node2-5,node4-3,0,True,False,5
30,node2-5,node4-3,0,True,False,4
31,node2-5,node4-3,0,True,False,7
32,node2-5,node4-3,0,True,False,5
33,node2-5,node4-3,0,True,False,6
34,node2-5,node4-3,0,True,False,5
35,node2-5,node4-3,0,True,False,5
36,node2-5,node4-3,0,True,False,6
37,node2-5,node4-3,0,True,False,5
38,node2-5,node4-3,0,True,False,4
39,node2-5,node4-3,0,True,False,3
40,node2-5,node4-3,0,True,False,4
41,node2-5,node4-3,0,True,False,5
42,node2-5,node4-3,0,True,False,4
43,node2-5,node4-3,0,True,False,4
44,node2-5,node4-3,0,True,False,5
45,node2-5,node4-3,0,True,False,5
46,node2-5,node4-3,0,True,False,6
47,node2-5,node4-3,0,True,False,7
48,node2-5,node4-3,0,True,False,3
49,node2-5,node4-3,0,True,False,6
50,node2-5,node4-3,0,True,False,5
51,node2-5,node4-3,0,True,False,6
52,node2-5,node4-3,0,True,False,6
53,node2-5,node4-3,0,True,False,5
54,node2-5,node4-3,0,True,False,6
55,node2-5,node4-3,0,True,False,5
56,node2-5,node4-3,0,True,False,6
57,node2-5,node4-3,0,True,False,5
58,node2-5,node4-3,0,True,False,6
59,node2-5,node4-3,0,True,False,2
60,node2-5,node4-3,0,True,False,6
61,node2-5,node4-3,0,True,False,3
62,node2-5,node4-3,0,True,False,6
63,node2-5,node4-3,0,True,False,4
64,node2-5,node4-3,0,True,False,5
65,node2-5,node4-3,0,True,False,5
66,node2-5,node4-3,0,True,False,3
67,node2-5,node4-3,0,True,False,5
68,node2-5,node4-3,0,True,False,5
69,node2-5,node4-3,0,True,False,5
70,node2-5,node4-3,0,True,False,6
71,node2-5,node4-3,0,True,False,6
72,node2-5,node4-3,0,True,False,6
73,node2-5,node4-3,0,True,False,6
74,node2-5,node4-3,0,True,False,6
75,node2-5,node4-3,0,True,False,5
76,node2-5,node4-3,0,True,False,4
77,node2-5,node4-3,0,True,False,4
78,node2-5,node4-3,0,True,False,6
79,node2-5,node4-3,0,True,False,5
80,node2-5,node4-3,0,True,False,4
81,node2-5,node4-3,0,True,False,3
82,node2-5,node4-3,0,True,False,6
83,node2-5,node4-3,0,True,False,5
84,node2-5,node4-3,0,True,False,5
85,node2-5,node4-3,0,True,False,6
86,node2-5,node4-3,0,True,False,4
87,node2-5,node4-3,0,True,False,3
88,node2-5,node4-3,0,True,False,6
89,node2-5,node4-3,0,True,False,5
