seq,src,dst,noise,received,error,rssi
1,node1-2,node7-2,-20,True,False,23
2,node1-2,node7-2,-20,True,False,21
3,node1-2,node7-2,-20,True,False,20
4,node1-2,node7-2,-20,True,False,18
5,node1-2,node7-2,-20,True,False,19
6,node1-2,node7-2,-20,True,False,18
7,node1-2,node7-2,-20,True,False,18
8,node1-2,node7-2,-20,True,False,19
9,node1-2,node7-2,-20,True,False,18
10,node1-2,node7-2,-20,True,False,18
11,node1-2,node7-2,-20,True,False,18
12,node1-2,node7-2,-20,True,False,18
13,node1-2,node7-2,-20,True,False,19
14,node1-2,node7-2,-20,True,False,18
15,node1-2,node7-2,-20,True,False,18
16,node1-2,node7-2,-20,True,False,18
17,node1-2,node7-2,-20,True,False,18
18,node1-2,node7-2,-20,True,False,18
19,node1-2,node7-2,-20,True,False,18
20,node1-2,node7-2,-20,True,False,18
21,node1-2,node7-2,-20,True,False,17
22,node1-2,node7-2,-20,True,False,17
23,node1-2,node7-2,-20,True,False,18
24,node1-2,node7-2,-20,True,False,18
25,node1-2,node7-2,-20,True,False,18
26,node1-2,node7-2,-20,True,False,18
27,node1-2,node7-2,-20,True,False,18
28,node1-2,node7-2,-20,True,False,18
29,node1-2,node7-2,-20,True,False,18
30,node1-2,node7-2,-20,True,False,18
31,node1-2,node7-2,-20,True,False,18
32,node1-2,node7-2,-20,True,False,18
33,node1-2,node7-2,-20,True,False,19
34,node1-2,node7-2,-20,True,False,17
35,node1-2,node7-2,-20,True,False,18
36,node1-2,node7-2,-20,True,False,18
37,node1-2,node7-2,-20,True,False,18
38,node1-2,node7-2,-20,True,False,18
39,node1-2,node7-2,-20,True,False,19
40,node1-2,node7-2,-20,True,False,19
41,node1-2,node7-2,-20,True,False,18
42,node1-2,node7-2,-20,True,False,19
43,node1-2,node7-2,-20,True,False,18
44,node1-2,node7-2,-20,True,False,18
45,node1-2,node7-2,-20,True,False,18
46,node1-2,node7-2,-20,True,False,17
47,node1-2,node7-2,-20,True,False,19
48,node1-2,node7-2,-20,True,False,18
49,node1-2,node7-2,-20,True,False,18
50,node1-2,node7-2,-20,True,False,18
51,node1-2,node7-2,-20,True,False,18
52,node1-2,node7-2,-20,True,False,18
53,node1-2,node7-2,-20,True,False,18
54,node1-2,node7-2,-20,True,False,18
55,node1-2,node7-2,-20,True,False,18
56,node1-2,node7-2,-20,True,False,18
57,node1-2,node7-2,-20,True,False,19
58,node1-2,node7-2,-20,True,False,18
59,node1-2,node7-2,-20,True,False,18
60,node1-2,node7-2,-20,True,False,18
61,node1-2,node7-2,-20,True,False,18
62,node1-2,node7-2,-20,True,False,19
63,node1-2,node7-2,-20,True,False,18
64,node1-2,node7-2,-20,True,False,18
65,node1-2,node7-2,-20,True,False,19
66,node1-2,node7-2,-20,True,False,18
67,node1-2,node7-2,-20,True,False,18
68,node1-2,node7-2,-20,True,False,18
