seq,src,dst,noise,received,error,rssi
1,node4-3,node6-7,-20,True,False,15
2,node4-3,node6-7,-20,True,False,14
3,node4-3,node6-7,-20,True,False,10
4,node4-3,node6-7,-20,True,False,8
5,node4-3,node6-7,-20,True,False,10
6,node4-3,node6-7,-20,True,False,9
7,node4-3,node6-7,-20,True,False,10
8,node4-3,node6-7,-20,True,False,10
9,node4-3,node6-7,-20,True,False,9
10,node4-3,node6-7,-20,True,False,9
11,node4-3,node6-7,-20,True,False,10
12,node4-3,node6-7,-20,True,False,9
13,node4-3,node6-7,-20,True,False,10
14,node4-3,node6-7,-20,True,False,9
15,node4-3,node6-7,-20,True,False,10
16,node4-3,node6-7,-20,True,False,10
17,node4-3,node6-7,-20,True,False,10
18,node4-3,node6-7,-20,True,False,10
19,node4-3,node6-7,-20,True,False,8
20,node4-3,node6-7,-20,True,False,9
21,node4-3,node6-7,-20,True,False,10
22,node4-3,node6-7,-20,True,False,10
23,node4-3,node6-7,-20,True,False,10
24,node4-3,node6-7,-20,True,False,9
25,node4-3,node6-7,-20,True,False,10
26,node4-3,node6-7,-20,True,False,9
27,node4-3,node6-7,-20,True,False,10
28,node4-3,node6-7,-20,True,False,9
29,node4-3,node6-7,-20,True,False,7
30,node4-3,node6-7,-20,True,False,11
31,node4-3,node6-7,-20,True,False,9
32,node4-3,node6-7,-20,True,False,9
33,node4-3,node6-7,-20,True,False,10
34,node4-3,node6-7,-20,True,False,9
35,node4-3,node6-7,-20,True,False,10
36,node4-3,node6-7,-20,True,False,9
37,node4-3,node6-7,-20,True,False,9
38,node4-3,node6-7,-20,True,False,10
39,node4-3,node6-7,-20,True,False,8
40,node4-3,node6-7,-20,True,False,9
41,node4-3,node6-7,-20,True,False,11
42,node4-3,node6-7,-20,True,False,10
43,node4-3,node6-7,-20,True,False,10
44,node4-3,node6-7,-20,True,False,9
45,node4-3,node6-7,-20,True,False,9
46,node4-3,node6-7,-20,True,False,10
47,node4-3,node6-7,-20,True,False,10
48,node4-3,node6-7,-20,True,False,9
49,node4-3,node6-7,-20,True,False,10
50,node4-3,node6-7,-20,True,False,11
51,node4-3,node6-7,-20,True,False,10
52,node4-3,node6-7,-20,True,False,9
53,node4-3,node6-7,-20,True,False,10
54,node4-3,node6-7,-20,True,False,11
55,node4-3,node6-7,-20,True,False,10
56,node4-3,node6-7,-20,True,False,11
57,node4-3,node6-7,-20,True,False,10
58,node4-3,node6-7,-20,True,False,10
59,node4-3,node6-7,-20,True,False,9
60,node4-3,node6-7,-20,True,False,10
61,node4-3,node6-7,-20,True,False,10
62,node4-3,node6-7,-20,True,False,10
63,node4-3,node6-7,-20,True,False,10
64,node4-3,node6-7,-20,True,False,9
65,node4-3,node6-7,-20,True,False,11
66,node4-3,node6-7,-20,True,False,10
67,node4-3,node6-7,-20,True,False,9
68,node4-3,node6-7,-20,True,False,8
69,node4-3,node6-7,-20,True,False,10
70,node4-3,node6-7,-20,True,False,10
71,node4-3,node6-7,-20,True,False,9
72,node4-3,node6-7,-20,True,False,10
73,node4-3,node6-7,-20,True,False,9
74,node4-3,node6-7,-20,True,False,8
75,node4-3,node6-7,-20,True,False,10
76,node4-3,node6-7,-20,True,False,9
77,node4-3,node6-7,-20,True,False,8
78,node4-3,node6-7,-20,True,False,9
79,node4-3,node6-7,-20,True,False,10
80,node4-3,node6-7,-20,True,False,8
81,node4-3,node6-7,-20,True,False,10
82,node4-3,node6-7,-20,True,False,10
83,node4-3,node6-7,-20,True,False,11
84,node4-3,node6-7,-20,True,False,10
85,node4-3,node6-7,-20,True,False,10
86,node4-3,node6-7,-20,True,False,9
87,node4-3,node6-7,-20,True,False,10
88,node4-3,node6-7,-20,True,False,10
