seq,src,dst,noise,received,error,rssi
1,node6-3,node6-1,-10,True,False,5
2,node6-3,node6-1,-10,True,False,5
3,node6-3,node6-1,-10,True,False,3
4,node6-3,node6-1,-10,True,False,2
5,node6-3,node6-1,-10,True,False,4
6,node6-3,node6-1,-10,True,False,4
7,node6-3,node6-1,-10,True,False,2
8,node6-3,node6-1,-10,True,False,5
9,node6-3,node6-1,-10,True,False,3
10,node6-3,node6-1,-10,True,False,1
11,node6-3,node6-1,-10,True,False,3
12,node6-3,node6-1,-10,True,False,3
13,node6-3,node6-1,-10,True,False,5
14,node6-3,node6-1,-10,True,False,3
15,node6-3,node6-1,-10,True,False,5
16,node6-3,node6-1,-10,True,False,3
17,node6-3,node6-1,-10,True,False,4
18,node6-3,node6-1,-10,True,False,3
19,node6-3,node6-1,-10,True,False,1
20,node6-3,node6-1,-10,True,False,5
21,node6-3,node6-1,-10,True,False,3
22,node6-3,node6-1,-10,True,False,4
23,node6-3,node6-1,-10,True,False,2
24,node6-3,node6-1,-10,True,False,3
25,node6-3,node6-1,-10,True,False,3
26,node6-3,node6-1,-10,True,False,4
27,node6-3,node6-1,-10,True,False,4
28,node6-3,node6-1,-10,True,False,3
29,node6-3,node6-1,-10,True,False,3
30,node6-3,node6-1,-10,True,False,3
31,node6-3,node6-1,-10,True,False,2
32,node6-3,node6-1,-10,True,False,5
33,node6-3,node6-1,-10,True,False,2
34,node6-3,node6-1,-10,True,False,3
35,node6-3,node6-1,-10,True,False,3
36,node6-3,node6-1,-10,True,False,0
37,node6-3,node6-1,-10,True,False,1
38,node6-3,node6-1,-10,True,False,4
39,node6-3,node6-1,-10,True,False,5
40,node6-3,node6-1,-10,True,False,5
41,node6-3,node6-1,-10,True,False,3
42,node6-3,node6-1,-10,True,False,3
43,node6-3,node6-1,-10,True,False,4
44,node6-3,node6-1,-10,True,False,4
45,node6-3,node6-1,-10,True,False,4
46,node6-3,node6-1,-10,True,False,4
47,node6-3,node6-1,-10,True,False,4
48,node6-3,node6-1,-10,True,False,2
49,node6-3,node6-1,-10,True,False,4
50,node6-3,node6-1,-10,True,False,1
51,node6-3,node6-1,-10,True,False,2
52,node6-3,node6-1,-10,True,False,2
53,node6-3,node6-1,-10,True,False,3
54,node6-3,node6-1,-10,True,False,2
55,node6-3,node6-1,-10,True,False,6
56,node6-3,node6-1,-10,True,False,4
57,node6-3,node6-1,-10,True,False,4
58,node6-3,node6-1,-10,False,False,0
59,node6-3,node6-1,-10,True,False,3
60,node6-3,node6-1,-10,True,False,4
61,node6-3,node6-1,-10,True,False,5
62,node6-3,node6-1,-10,True,False,4
63,node6-3,node6-1,-10,True,False,5
64,node6-3,node6-1,-10,True,False,2
65,node6-3,node6-1,-10,True,False,3
66,node6-3,node6-1,-10,True,False,4
67,node6-3,node6-1,-10,True,False,5
68,node6-3,node6-1,-10,True,False,2
69,node6-3,node6-1,-10,True,False,3
70,node6-3,node6-1,-10,True,False,2
71,node6-3,node6-1,-10,True,False,2
72,node6-3,node6-1,-10,True,False,2
73,node6-3,node6-1,-10,True,False,5
74,node6-3,node6-1,-10,True,False,5
75,node6-3,node6-1,-10,True,False,1
76,node6-3,node6-1,-10,True,False,4
77,node6-3,node6-1,-10,True,False,2
78,node6-3,node6-1,-10,True,False,3
79,node6-3,node6-1,-10,True,False,4
80,node6-3,node6-1,-10,True,False,2
81,node6-3,node6-1,-10,True,False,3
82,node6-3,node6-1,-10,True,False,4
83,node6-3,node6-1,-10,True,False,3
84,node6-3,node6-1,-10,True,False,4
85,node6-3,node6-1,-10,True,False,2
86,node6-3,node6-1,-10,True,False,3
87,node6-3,node6-1,-10,True,False,4
88,node6-3,node6-1,-10,True,False,3
89,node6-3,node6-1,-10,True,False,2
90,node6-3,node6-1,-10,True,False,4
91,node6-3,node6-1,-10,True,False,4
92,node6-3,node6-1,-10,True,False,3
93,node6-3,node6-1,-10,True,False,4
94,node6-3,node6-1,-10,True,False,4
95,node6-3,node6-1,-10,True,False,4
96,node6-3,node6-1,-10,True,False,3
97,node6-3,node6-1,-10,True,False,2
98,node6-3,node6-1,-10,True,False,4
