seq,src,dst,noise,received,error,rssi
1,node5-8,node4-1,-10,True,False,15
2,node5-8,node4-1,-10,True,False,14
3,node5-8,node4-1,-10,True,False,10
4,node5-8,node4-1,-10,True,False,10
5,node5-8,node4-1,-10,True,False,8
6,node5-8,node4-1,-10,True,False,9
7,node5-8,node4-1,-10,True,False,10
8,node5-8,node4-1,-10,True,False,10
9,node5-8,node4-1,-10,True,False,9
10,node5-8,node4-1,-10,True,False,9
11,node5-8,node4-1,-10,True,False,10
12,node5-8,node4-1,-10,True,False,9
13,node5-8,node4-1,-10,True,False,10
14,node5-8,node4-1,-10,True,False,9
15,node5-8,node4-1,-10,True,False,10
16,node5-8,node4-1,-10,True,False,9
17,node5-8,node4-1,-10,True,False,9
18,node5-8,node4-1,-10,True,False,9
19,node5-8,node4-1,-10,True,False,10
20,node5-8,node4-1,-10,True,False,11
21,node5-8,node4-1,-10,True,False,9
22,node5-8,node4-1,-10,True,False,10
23,node5-8,node4-1,-10,True,False,10
24,node5-8,node4-1,-10,True,False,9
25,node5-8,node4-1,-10,True,False,9
26,node5-8,node4-1,-10,True,False,9
27,node5-8,node4-1,-10,True,False,9
28,node5-8,node4-1,-10,True,False,9
29,node5-8,node4-1,-10,True,False,9
30,node5-8,node4-1,-10,True,False,9
31,node5-8,node4-1,-10,True,False,9
32,node5-8,node4-1,-10,True,False,9
33,node5-8,node4-1,-10,True,False,8
34,node5-8,node4-1,-10,True,False,10
35,node5-8,node4-1,-10,True,False,8
36,node5-8,node4-1,-10,True,False,9
37,node5-8,node4-1,-10,True,False,10
38,node5-8,node4-1,-10,True,False,10
39,node5-8,node4-1,-10,True,False,9
40,node5-8,node4-1,-10,True,False,10
41,node5-8,node4-1,-10,True,False,11
42,node5-8,node4-1,-10,True,False,7
43,node5-8,node4-1,-10,True,False,9
44,node5-8,node4-1,-10,True,False,9
45,node5-8,node4-1,-10,True,False,9
46,node5-8,node4-1,-10,True,False,9
47,node5-8,node4-1,-10,True,False,10
48,node5-8,node4-1,-10,True,False,9
49,node5-8,node4-1,-10,True,False,11
50,node5-8,node4-1,-10,True,False,9
51,node5-8,node4-1,-10,True,False,8
52,node5-8,node4-1,-10,True,False,9
53,node5-8,node4-1,-10,True,False,8
54,node5-8,node4-1,-10,True,False,10
55,node5-8,node4-1,-10,True,False,9
56,node5-8,node4-1,-10,True,False,8
57,node5-8,node4-1,-10,True,False,10
58,node5-8,node4-1,-10,True,False,9
59,node5-8,node4-1,-10,True,False,8
60,node5-8,node4-1,-10,True,False,9
61,node5-8,node4-1,-10,True,False,10
62,node5-8,node4-1,-10,True,False,10
63,node5-8,node4-1,-10,True,False,9
64,node5-8,node4-1,-10,True,False,10
65,node5-8,node4-1,-10,True,False,8
66,node5-8,node4-1,-10,True,False,9
67,node5-8,node4-1,-10,True,False,10
68,node5-8,node4-1,-10,True,False,9
69,node5-8,node4-1,-10,True,False,10
70,node5-8,node4-1,-10,True,False,8
71,node5-8,node4-1,-10,True,False,10
72,node5-8,node4-1,-10,True,False,10
73,node5-8,node4-1,-10,True,False,8
74,node5-8,node4-1,-10,True,False,9
75,node5-8,node4-1,-10,True,False,9
76,node5-8,node4-1,-10,True,False,10
77,node5-8,node4-1,-10,True,False,9
78,node5-8,node4-1,-10,True,False,8
79,node5-8,node4-1,-10,True,False,10
80,node5-8,node4-1,-10,True,False,7
81,node5-8,node4-1,-10,True,False,9
82,node5-8,node4-1,-10,True,False,10
83,node5-8,node4-1,-10,True,False,11
84,node5-8,node4-1,-10,True,False,11
85,node5-8,node4-1,-10,True,False,10
86,node5-8,node4-1,-10,True,False,9
87,node5-8,node4-1,-10,True,False,9
88,node5-8,node4-1,-10,True,False,10
89,node5-8,node4-1,-10,True,False,9
90,node5-8,node4-1,-10,True,False,11
91,node5-8,node4-1,-10,True,False,10
