seq,src,dst,noise,received,error,rssi
1,node4-3,node5-6,-15,True,False,21
2,node4-3,node5-6,-15,True,False,20
3,node4-3,node5-6,-15,True,False,16
4,node4-3,node5-6,-15,True,False,13
5,node4-3,node5-6,-15,True,False,13
6,node4-3,node5-6,-15,True,False,14
7,node4-3,node5-6,-15,True,False,13
8,node4-3,node5-6,-15,True,False,15
9,node4-3,node5-6,-15,True,False,14
10,node4-3,node5-6,-15,True,False,14
11,node4-3,node5-6,-15,True,False,14
12,node4-3,node5-6,-15,True,False,14
13,node4-3,node5-6,-15,True,False,13
14,node4-3,node5-6,-15,True,False,14
15,node4-3,node5-6,-15,True,False,13
16,node4-3,node5-6,-15,True,False,14
17,node4-3,node5-6,-15,True,False,14
18,node4-3,node5-6,-15,True,False,14
19,node4-3,node5-6,-15,True,False,13
20,node4-3,node5-6,-15,True,False,13
21,node4-3,node5-6,-15,True,False,13
22,node4-3,node5-6,-15,True,False,14
23,node4-3,node5-6,-15,True,False,13
24,node4-3,node5-6,-15,True,False,14
25,node4-3,node5-6,-15,True,False,13
26,node4-3,node5-6,-15,True,False,15
27,node4-3,node5-6,-15,True,False,14
28,node4-3,node5-6,-15,True,False,14
29,node4-3,node5-6,-15,True,False,14
30,node4-3,node5-6,-15,True,False,13
31,node4-3,node5-6,-15,True,False,14
32,node4-3,node5-6,-15,True,False,13
33,node4-3,node5-6,-15,True,False,14
34,node4-3,node5-6,-15,True,False,15
35,node4-3,node5-6,-15,True,False,14
36,node4-3,node5-6,-15,True,False,14
37,node4-3,node5-6,-15,True,False,15
38,node4-3,node5-6,-15,True,False,14
39,node4-3,node5-6,-15,True,False,14
40,node4-3,node5-6,-15,True,False,14
41,node4-3,node5-6,-15,True,False,14
42,node4-3,node5-6,-15,True,False,14
43,node4-3,node5-6,-15,True,False,13
44,node4-3,node5-6,-15,True,False,13
45,node4-3,node5-6,-15,True,False,14
46,node4-3,node5-6,-15,True,False,14
47,node4-3,node5-6,-15,True,False,14
48,node4-3,node5-6,-15,True,False,14
49,node4-3,node5-6,-15,True,False,15
50,node4-3,node5-6,-15,True,False,13
51,node4-3,node5-6,-15,True,False,13
52,node4-3,node5-6,-15,True,False,13
53,node4-3,node5-6,-15,True,False,13
54,node4-3,node5-6,-15,True,False,14
55,node4-3,node5-6,-15,True,False,14
56,node4-3,node5-6,-15,True,False,14
57,node4-3,node5-6,-15,True,False,15
58,node4-3,node5-6,-15,True,False,15
59,node4-3,node5-6,-15,True,False,14
60,node4-3,node5-6,-15,True,False,13
61,node4-3,node5-6,-15,True,False,13
62,node4-3,node5-6,-15,True,False,14
63,node4-3,node5-6,-15,True,False,15
64,node4-3,node5-6,-15,True,False,13
65,node4-3,node5-6,-15,True,False,14
66,node4-3,node5-6,-15,True,False,14
67,node4-3,node5-6,-15,True,False,13
68,node4-3,node5-6,-15,True,False,13
69,node4-3,node5-6,-15,True,False,14
70,node4-3,node5-6,-15,True,False,13
71,node4-3,node5-6,-15,True,False,13
72,node4-3,node5-6,-15,True,False,14
73,node4-3,node5-6,-15,True,False,13
74,node4-3,node5-6,-15,True,False,14
75,node4-3,node5-6,-15,True,False,13
76,node4-3,node5-6,-15,True,False,14
77,node4-3,node5-6,-15,True,False,14
78,node4-3,node5-6,-15,True,False,15
79,node4-3,node5-6,-15,True,False,14
80,node4-3,node5-6,-15,True,False,15
81,node4-3,node5-6,-15,True,False,14
82,node4-3,node5-6,-15,True,False,14
83,node4-3,node5-6,-15,True,False,14
84,node4-3,node5-6,-15,True,False,15
