seq,src,dst,noise,received,error,rssi
1,node5-4,node8-5,-20,True,False,22
2,node5-4,node8-5,-20,True,False,21
3,node5-4,node8-5,-20,True,False,17
4,node5-4,node8-5,-20,True,False,18
5,node5-4,node8-5,-20,True,False,17
6,node5-4,node8-5,-20,True,False,17
7,node5-4,node8-5,-20,True,False,17
8,node5-4,node8-5,-20,True,False,17
9,node5-4,node8-5,-20,True,False,18
10,node5-4,node8-5,-20,True,False,17
11,node5-4,node8-5,-20,True,False,18
12,node5-4,node8-5,-20,True,False,17
13,node5-4,node8-5,-20,True,False,17
14,node5-4,node8-5,-20,True,False,17
15,node5-4,node8-5,-20,True,False,16
16,node5-4,node8-5,-20,True,False,16
17,node5-4,node8-5,-20,True,False,17
18,node5-4,node8-5,-20,True,False,17
19,node5-4,node8-5,-20,True,False,16
20,node5-4,node8-5,-20,True,False,16
21,node5-4,node8-5,-20,True,False,18
22,node5-4,node8-5,-20,True,False,17
23,node5-4,node8-5,-20,True,False,17
24,node5-4,node8-5,-20,True,False,16
25,node5-4,node8-5,-20,True,False,17
26,node5-4,node8-5,-20,True,False,17
27,node5-4,node8-5,-20,True,False,18
28,node5-4,node8-5,-20,True,False,18
29,node5-4,node8-5,-20,True,False,18
30,node5-4,node8-5,-20,True,False,19
31,node5-4,node8-5,-20,True,False,17
32,node5-4,node8-5,-20,True,False,18
33,node5-4,node8-5,-20,True,False,18
34,node5-4,node8-5,-20,True,False,17
35,node5-4,node8-5,-20,True,False,17
36,node5-4,node8-5,-20,True,False,16
37,node5-4,node8-5,-20,True,False,17
38,node5-4,node8-5,-20,True,False,15
39,node5-4,node8-5,-20,True,False,16
40,node5-4,node8-5,-20,True,False,16
41,node5-4,node8-5,-20,True,False,17
42,node5-4,node8-5,-20,True,False,17
43,node5-4,node8-5,-20,True,False,19
44,node5-4,node8-5,-20,True,False,16
45,node5-4,node8-5,-20,True,False,17
46,node5-4,node8-5,-20,True,False,16
47,node5-4,node8-5,-20,True,False,17
48,node5-4,node8-5,-20,True,False,17
49,node5-4,node8-5,-20,True,False,17
50,node5-4,node8-5,-20,True,False,17
51,node5-4,node8-5,-20,True,False,17
52,node5-4,node8-5,-20,True,False,17
53,node5-4,node8-5,-20,True,False,17
54,node5-4,node8-5,-20,True,False,18
55,node5-4,node8-5,-20,True,False,17
56,node5-4,node8-5,-20,True,False,17
57,node5-4,node8-5,-20,True,False,17
58,node5-4,node8-5,-20,True,False,18
59,node5-4,node8-5,-20,True,False,17
60,node5-4,node8-5,-20,True,False,17
61,node5-4,node8-5,-20,True,False,16
62,node5-4,node8-5,-20,True,False,19
63,node5-4,node8-5,-20,True,False,17
64,node5-4,node8-5,-20,True,False,18
65,node5-4,node8-5,-20,True,False,16
66,node5-4,node8-5,-20,True,False,16
67,node5-4,node8-5,-20,True,False,16
