seq,src,dst,noise,received,error,rssi
1,node6-5,node8-7,-10,True,False,12
2,node6-5,node8-7,-10,True,False,10
3,node6-5,node8-7,-10,True,False,7
4,node6-5,node8-7,-10,True,False,9
5,node6-5,node8-7,-10,True,False,8
6,node6-5,node8-7,-10,True,False,7
7,node6-5,node8-7,-10,True,False,7
8,node6-5,node8-7,-10,True,False,7
9,node6-5,node8-7,-10,True,False,6
10,node6-5,node8-7,-10,True,False,7
11,node6-5,node8-7,-10,True,False,7
12,node6-5,node8-7,-10,True,False,6
13,node6-5,node8-7,-10,True,False,8
14,node6-5,node8-7,-10,True,False,7
15,node6-5,node8-7,-10,True,False,7
16,node6-5,node8-7,-10,True,False,7
17,node6-5,node8-7,-10,True,False,7
18,node6-5,node8-7,-10,True,False,7
19,node6-5,node8-7,-10,True,False,7
20,node6-5,node8-7,-10,True,False,7
21,node6-5,node8-7,-10,True,False,8
22,node6-5,node8-7,-10,True,False,7
23,node6-5,node8-7,-10,True,False,7
24,node6-5,node8-7,-10,True,False,7
25,node6-5,node8-7,-10,True,False,8
26,node6-5,node8-7,-10,True,False,7
27,node6-5,node8-7,-10,True,False,7
28,node6-5,node8-7,-10,True,False,7
29,node6-5,node8-7,-10,True,False,7
30,node6-5,node8-7,-10,True,False,7
31,node6-5,node8-7,-10,True,False,8
32,node6-5,node8-7,-10,True,False,8
33,node6-5,node8-7,-10,True,False,8
34,node6-5,node8-7,-10,True,False,7
35,node6-5,node8-7,-10,True,False,7
36,node6-5,node8-7,-10,True,False,8
37,node6-5,node8-7,-10,True,False,6
38,node6-5,node8-7,-10,True,False,7
39,node6-5,node8-7,-10,True,False,8
40,node6-5,node8-7,-10,True,False,6
41,node6-5,node8-7,-10,True,False,8
42,node6-5,node8-7,-10,True,False,9
43,node6-5,node8-7,-10,True,False,7
44,node6-5,node8-7,-10,True,False,7
45,node6-5,node8-7,-10,True,False,9
46,node6-5,node8-7,-10,True,False,8
47,node6-5,node8-7,-10,True,False,7
48,node6-5,node8-7,-10,True,False,7
49,node6-5,node8-7,-10,True,False,8
50,node6-5,node8-7,-10,True,False,7
51,node6-5,node8-7,-10,True,False,7
52,node6-5,node8-7,-10,True,False,7
53,node6-5,node8-7,-10,True,False,7
54,node6-5,node8-7,-10,True,False,6
55,node6-5,node8-7,-10,True,False,8
56,node6-5,node8-7,-10,True,False,8
57,node6-5,node8-7,-10,True,False,7
58,node6-5,node8-7,-10,True,False,8
59,node6-5,node8-7,-10,True,False,7
60,node6-5,node8-7,-10,True,False,7
61,node6-5,node8-7,-10,True,False,8
62,node6-5,node8-7,-10,True,False,8
63,node6-5,node8-7,-10,True,False,7
