seq,src,dst,noise,received,error,rssi
1,node2-5,node4-7,-15,True,False,17
2,node2-5,node4-7,-15,True,False,15
3,node2-5,node4-7,-15,True,False,11
4,node2-5,node4-7,-15,True,False,10
5,node2-5,node4-7,-15,True,False,12
6,node2-5,node4-7,-15,True,False,9
7,node2-5,node4-7,-15,True,False,12
8,node2-5,node4-7,-15,True,False,11
9,node2-5,node4-7,-15,True,False,12
10,node2-5,node4-7,-15,True,False,12
11,node2-5,node4-7,-15,True,False,13
12,node2-5,node4-7,-15,True,False,11
13,node2-5,node4-7,-15,True,False,12
14,node2-5,node4-7,-15,True,False,11
15,node2-5,node4-7,-15,True,False,12
16,node2-5,node4-7,-15,True,False,11
17,node2-5,node4-7,-15,True,False,13
18,node2-5,node4-7,-15,True,False,13
19,node2-5,node4-7,-15,True,False,11
20,node2-5,node4-7,-15,True,False,11
21,node2-5,node4-7,-15,True,False,12
22,node2-5,node4-7,-15,True,False,13
23,node2-5,node4-7,-15,True,False,12
24,node2-5,node4-7,-15,True,False,11
25,node2-5,node4-7,-15,True,False,11
26,node2-5,node4-7,-15,True,False,11
27,node2-5,node4-7,-15,True,False,12
28,node2-5,node4-7,-15,True,False,12
29,node2-5,node4-7,-15,True,False,12
30,node2-5,node4-7,-15,True,False,12
31,node2-5,node4-7,-15,True,False,12
32,node2-5,node4-7,-15,True,False,12
33,node2-5,node4-7,-15,True,False,12
34,node2-5,node4-7,-15,True,False,13
35,node2-5,node4-7,-15,True,False,11
36,node2-5,node4-7,-15,True,False,13
37,node2-5,node4-7,-15,True,False,12
38,node2-5,node4-7,-15,True,False,12
39,node2-5,node4-7,-15,True,False,12
40,node2-5,node4-7,-15,True,False,10
41,node2-5,node4-7,-15,True,False,11
42,node2-5,node4-7,-15,True,False,12
43,node2-5,node4-7,-15,True,False,10
44,node2-5,node4-7,-15,True,False,10
45,node2-5,node4-7,-15,True,False,12
46,node2-5,node4-7,-15,True,False,13
47,node2-5,node4-7,-15,True,False,12
48,node2-5,node4-7,-15,True,False,12
49,node2-5,node4-7,-15,True,False,12
50,node2-5,node4-7,-15,True,False,13
51,node2-5,node4-7,-15,True,False,12
52,node2-5,node4-7,-15,True,False,11
53,node2-5,node4-7,-15,True,False,12
54,node2-5,node4-7,-15,True,False,12
55,node2-5,node4-7,-15,True,False,11
56,node2-5,node4-7,-15,True,False,12
57,node2-5,node4-7,-15,True,False,12
58,node2-5,node4-7,-15,True,False,13
59,node2-5,node4-7,-15,True,False,13
60,node2-5,node4-7,-15,True,False,11
61,node2-5,node4-7,-15,True,False,11
62,node2-5,node4-7,-15,True,False,12
63,node2-5,node4-7,-15,True,False,12
64,node2-5,node4-7,-15,True,False,11
65,node2-5,node4-7,-15,True,False,11
66,node2-5,node4-7,-15,True,False,11
67,node2-5,node4-7,-15,True,False,10
68,node2-5,node4-7,-15,True,False,12
69,node2-5,node4-7,-15,True,False,10
70,node2-5,node4-7,-15,True,False,12
71,node2-5,node4-7,-15,True,False,11
72,node2-5,node4-7,-15,True,False,11
73,node2-5,node4-7,-15,True,False,10
74,node2-5,node4-7,-15,True,False,11
75,node2-5,node4-7,-15,True,False,12
76,node2-5,node4-7,-15,True,False,12
77,node2-5,node4-7,-15,True,False,13
78,node2-5,node4-7,-15,True,False,11
79,node2-5,node4-7,-15,True,False,11
80,node2-5,node4-7,-15,True,False,10
81,node2-5,node4-7,-15,True,False,12
82,node2-5,node4-7,-15,True,False,12
83,node2-5,node4-7,-15,True,False,12
84,node2-5,node4-7,-15,True,False,12
85,node2-5,node4-7,-15,True,False,11
86,node2-5,node4-7,-15,True,False,10
87,node2-5,node4-7,-15,True,False,12
88,node2-5,node4-7,-15,True,False,12
89,node2-5,node4-7,-15,True,False,12
90,node2-5,node4-7,-15,True,False,12
91,node2-5,node4-7,-15,True,False,12
92,node2-5,node4-7,-15,True,False,12
93,node2-5,node4-7,-15,True,False,11
94,node2-5,node4-7,-15,True,False,11
95,node2-5,node4-7,-15,True,False,12
96,node2-5,node4-7,-15,True,False,12
97,node2-5,node4-7,-15,True,False,12
98,node2-5,node4-7,-15,True,False,12
99,node2-5,node4-7,-15,True,False,12
100,node2-5,node4-7,-15,True,False,11
101,node2-5,node4-7,-15,True,False,12
102,node2-5,node4-7,-15,True,False,11
103,node2-5,node4-7,-15,True,False,12
104,node2-5,node4-7,-15,True,False,12
105,node2-5,node4-7,-15,True,False,9
106,node2-5,node4-7,-15,True,False,11
107,node2-5,node4-7,-15,True,False,13
108,node2-5,node4-7,-15,True,False,9
109,node2-5,node4-7,-15,True,False,12
110,node2-5,node4-7,-15,True,False,12
111,node2-5,node4-7,-15,True,False,11
112,node2-5,node4-7,-15,True,False,12
113,node2-5,node4-7,-15,True,False,13
114,node2-5,node4-7,-15,True,False,12
115,node2-5,node4-7,-15,True,False,11
116,node2-5,node4-7,-15,True,False,13
117,node2-5,node4-7,-15,True,False,11
118,node2-5,node4-7,-15,True,False,11
119,node2-5,node4-7,-15,True,False,11
120,node2-5,node4-7,-15,True,False,13
121,node2-5,node4-7,-15,True,False,12
122,node2-5,node4-7,-15,True,False,13
123,node2-5,node4-7,-15,True,False,10
124,node2-5,node4-7,-15,True,False,12
125,node2-5,node4-7,-15,True,False,11
126,node2-5,node4-7,-15,True,False,11
127,node2-5,node4-7,-15,True,False,12
128,node2-5,node4-7,-15,True,False,13
129,node2-5,node4-7,-15,True,False,11
130,node2-5,node4-7,-15,True,False,9
131,node2-5,node4-7,-15,True,False,11
132,node2-5,node4-7,-15,True,False,9
133,node2-5,node4-7,-15,True,False,11
134,node2-5,node4-7,-15,True,False,12
135,node2-5,node4-7,-15,True,False,13
136,node2-5,node4-7,-15,True,False,12
137,node2-5,node4-7,-15,True,False,11
138,node2-5,node4-7,-15,True,False,12
139,node2-5,node4-7,-15,True,False,12
140,node2-5,node4-7,-15,True,False,11
141,node2-5,node4-7,-15,True,False,10
142,node2-5,node4-7,-15,True,False,12
143,node2-5,node4-7,-15,True,False,11
144,node2-5,node4-7,-15,True,False,13
145,node2-5,node4-7,-15,True,False,13
146,node2-5,node4-7,-15,True,False,11
147,node2-5,node4-7,-15,True,False,11
148,node2-5,node4-7,-15,True,False,12
149,node2-5,node4-7,-15,True,False,12
150,node2-5,node4-7,-15,True,False,13
151,node2-5,node4-7,-15,True,False,11
152,node2-5,node4-7,-15,True,False,12
153,node2-5,node4-7,-15,True,False,11
154,node2-5,node4-7,-15,True,False,10
155,node2-5,node4-7,-15,True,False,13
156,node2-5,node4-7,-15,True,False,12
157,node2-5,node4-7,-15,True,False,13
158,node2-5,node4-7,-15,True,False,11
159,node2-5,node4-7,-15,True,False,12
160,node2-5,node4-7,-15,True,False,11
161,node2-5,node4-7,-15,True,False,12
162,node2-5,node4-7,-15,True,False,12
163,node2-5,node4-7,-15,True,False,11
164,node2-5,node4-7,-15,True,False,11
165,node2-5,node4-7,-15,True,False,12
166,node2-5,node4-7,-15,True,False,11
167,node2-5,node4-7,-15,True,False,12
168,node2-5,node4-7,-15,True,False,12
169,node2-5,node4-7,-15,True,False,12
170,node2-5,node4-7,-15,True,False,13
171,node2-5,node4-7,-15,True,False,12
172,node2-5,node4-7,-15,True,False,12
173,node2-5,node4-7,-15,True,False,10
174,node2-5,node4-7,-15,True,False,11
175,node2-5,node4-7,-15,True,False,12
176,node2-5,node4-7,-15,True,False,12
177,node2-5,node4-7,-15,True,False,13
178,node2-5,node4-7,-15,True,False,12
179,node2-5,node4-7,-15,True,False,12
180,node2-5,node4-7,-15,True,False,11
181,node2-5,node4-7,-15,True,False,12
182,node2-5,node4-7,-15,True,False,11
183,node2-5,node4-7,-15,True,False,10
184,node2-5,node4-7,-15,True,False,11
185,node2-5,node4-7,-15,True,False,12
186,node2-5,node4-7,-15,True,False,12
187,node2-5,node4-7,-15,True,False,12
188,node2-5,node4-7,-15,True,False,12
189,node2-5,node4-7,-15,True,False,12
190,node2-5,node4-7,-15,True,False,12
191,node2-5,node4-7,-15,True,False,11
192,node2-5,node4-7,-15,True,False,12
193,node2-5,node4-7,-15,True,False,13
194,node2-5,node4-7,-15,True,False,10
195,node2-5,node4-7,-15,True,False,10
196,node2-5,node4-7,-15,True,False,13
197,node2-5,node4-7,-15,True,False,12
198,node2-5,node4-7,-15,True,False,12
199,node2-5,node4-7,-15,True,False,12
200,node2-5,node4-7,-15,True,False,11
201,node2-5,node4-7,-15,True,False,13
202,node2-5,node4-7,-15,True,False,12
203,node2-5,node4-7,-15,True,False,10
204,node2-5,node4-7,-15,True,False,13
205,node2-5,node4-7,-15,True,False,12
206,node2-5,node4-7,-15,True,False,12
207,node2-5,node4-7,-15,True,False,10
208,node2-5,node4-7,-15,True,False,11
209,node2-5,node4-7,-15,True,False,12
210,node2-5,node4-7,-15,True,False,10
211,node2-5,node4-7,-15,True,False,12
212,node2-5,node4-7,-15,True,False,10
213,node2-5,node4-7,-15,True,False,12
214,node2-5,node4-7,-15,True,False,12
215,node2-5,node4-7,-15,True,False,11
216,node2-5,node4-7,-15,True,False,10
217,node2-5,node4-7,-15,True,False,12
218,node2-5,node4-7,-15,True,False,11
219,node2-5,node4-7,-15,True,False,12
220,node2-5,node4-7,-15,True,False,12
221,node2-5,node4-7,-15,True,False,11
222,node2-5,node4-7,-15,True,False,11
223,node2-5,node4-7,-15,True,False,12
224,node2-5,node4-7,-15,True,False,9
225,node2-5,node4-7,-15,True,False,11
226,node2-5,node4-7,-15,True,False,12
227,node2-5,node4-7,-15,True,False,11
228,node2-5,node4-7,-15,True,False,11
229,node2-5,node4-7,-15,True,False,12
230,node2-5,node4-7,-15,True,False,12
231,node2-5,node4-7,-15,True,False,10
232,node2-5,node4-7,-15,True,False,11
233,node2-5,node4-7,-15,True,False,12
234,node2-5,node4-7,-15,True,False,12
235,node2-5,node4-7,-15,True,False,11
236,node2-5,node4-7,-15,True,False,12
237,node2-5,node4-7,-15,True,False,13
238,node2-5,node4-7,-15,True,False,12
239,node2-5,node4-7,-15,True,False,12
240,node2-5,node4-7,-15,True,False,13
241,node2-5,node4-7,-15,True,False,11
242,node2-5,node4-7,-15,True,False,10
243,node2-5,node4-7,-15,True,False,10
244,node2-5,node4-7,-15,True,False,12
245,node2-5,node4-7,-15,True,False,12
246,node2-5,node4-7,-15,True,False,12
247,node2-5,node4-7,-15,True,False,12
248,node2-5,node4-7,-15,True,False,12
249,node2-5,node4-7,-15,True,False,12
250,node2-5,node4-7,-15,True,False,11
251,node2-5,node4-7,-15,True,False,12
252,node2-5,node4-7,-15,True,False,11
253,node2-5,node4-7,-15,True,False,11
254,node2-5,node4-7,-15,True,False,12
255,node2-5,node4-7,-15,True,False,11
256,node2-5,node4-7,-15,True,False,9
257,node2-5,node4-7,-15,True,False,10
258,node2-5,node4-7,-15,True,False,12
259,node2-5,node4-7,-15,True,False,12
260,node2-5,node4-7,-15,True,False,10
261,node2-5,node4-7,-15,True,False,11
262,node2-5,node4-7,-15,True,False,12
263,node2-5,node4-7,-15,True,False,11
264,node2-5,node4-7,-15,True,False,12
265,node2-5,node4-7,-15,True,False,11
266,node2-5,node4-7,-15,True,False,10
267,node2-5,node4-7,-15,True,False,11
268,node2-5,node4-7,-15,True,False,13
269,node2-5,node4-7,-15,True,False,12
270,node2-5,node4-7,-15,True,False,10
271,node2-5,node4-7,-15,True,False,11
272,node2-5,node4-7,-15,True,False,12
273,node2-5,node4-7,-15,True,False,11
274,node2-5,node4-7,-15,True,False,10
275,node2-5,node4-7,-15,True,False,11
276,node2-5,node4-7,-15,True,False,12
277,node2-5,node4-7,-15,True,False,11
278,node2-5,node4-7,-15,True,False,12
279,node2-5,node4-7,-15,True,False,10
280,node2-5,node4-7,-15,True,False,12
281,node2-5,node4-7,-15,True,False,12
282,node2-5,node4-7,-15,True,False,9
283,node2-5,node4-7,-15,True,False,12
284,node2-5,node4-7,-15,True,False,11
285,node2-5,node4-7,-15,True,False,12
286,node2-5,node4-7,-15,True,False,12
287,node2-5,node4-7,-15,True,False,11
288,node2-5,node4-7,-15,True,False,12
289,node2-5,node4-7,-15,True,False,12
290,node2-5,node4-7,-15,True,False,11
291,node2-5,node4-7,-15,True,False,11
292,node2-5,node4-7,-15,True,False,9
293,node2-5,node4-7,-15,True,False,12
294,node2-5,node4-7,-15,True,False,12
295,node2-5,node4-7,-15,True,False,13
296,node2-5,node4-7,-15,True,False,12
297,node2-5,node4-7,-15,True,False,12
298,node2-5,node4-7,-15,True,False,11
299,node2-5,node4-7,-15,True,False,11
300,node2-5,node4-7,-15,True,False,12
