seq,src,dst,noise,received,error,rssi
1,node4-5,node5-4,-20,True,False,33
2,node4-5,node5-4,-20,True,False,32
3,node4-5,node5-4,-20,True,False,29
4,node4-5,node5-4,-20,True,False,23
5,node4-5,node5-4,-20,True,False,24
6,node4-5,node5-4,-20,True,False,25
7,node4-5,node5-4,-20,True,False,24
8,node4-5,node5-4,-20,True,False,23
9,node4-5,node5-4,-20,True,False,26
10,node4-5,node5-4,-20,True,False,24
11,node4-5,node5-4,-20,True,False,25
12,node4-5,node5-4,-20,True,False,25
13,node4-5,node5-4,-20,True,False,23
14,node4-5,node5-4,-20,True,False,24
15,node4-5,node5-4,-20,True,False,24
16,node4-5,node5-4,-20,True,False,23
17,node4-5,node5-4,-20,True,False,23
18,node4-5,node5-4,-20,True,False,23
19,node4-5,node5-4,-20,True,False,25
20,node4-5,node5-4,-20,True,False,25
21,node4-5,node5-4,-20,True,False,24
22,node4-5,node5-4,-20,True,False,25
23,node4-5,node5-4,-20,True,False,25
24,node4-5,node5-4,-20,True,False,25
25,node4-5,node5-4,-20,True,False,26
26,node4-5,node5-4,-20,True,False,25
27,node4-5,node5-4,-20,True,False,25
28,node4-5,node5-4,-20,True,False,24
29,node4-5,node5-4,-20,True,False,25
30,node4-5,node5-4,-20,True,False,24
31,node4-5,node5-4,-20,True,False,25
32,node4-5,node5-4,-20,True,False,25
33,node4-5,node5-4,-20,True,False,24
34,node4-5,node5-4,-20,True,False,24
35,node4-5,node5-4,-20,True,False,26
36,node4-5,node5-4,-20,True,False,24
37,node4-5,node5-4,-20,True,False,25
38,node4-5,node5-4,-20,True,False,25
39,node4-5,node5-4,-20,True,False,25
40,node4-5,node5-4,-20,True,False,25
41,node4-5,node5-4,-20,True,False,25
42,node4-5,node5-4,-20,True,False,24
43,node4-5,node5-4,-20,True,False,24
44,node4-5,node5-4,-20,True,False,25
45,node4-5,node5-4,-20,True,False,23
46,node4-5,node5-4,-20,True,False,24
47,node4-5,node5-4,-20,True,False,25
48,node4-5,node5-4,-20,True,False,24
49,node4-5,node5-4,-20,True,False,23
50,node4-5,node5-4,-20,True,False,26
51,node4-5,node5-4,-20,True,False,25
52,node4-5,node5-4,-20,True,False,24
53,node4-5,node5-4,-20,True,False,23
54,node4-5,node5-4,-20,True,False,24
55,node4-5,node5-4,-20,True,False,26
56,node4-5,node5-4,-20,True,False,24
57,node4-5,node5-4,-20,True,False,25
58,node4-5,node5-4,-20,True,False,23
59,node4-5,node5-4,-20,True,False,24
60,node4-5,node5-4,-20,True,False,24
61,node4-5,node5-4,-20,True,False,25
62,node4-5,node5-4,-20,True,False,25
63,node4-5,node5-4,-20,True,False,24
64,node4-5,node5-4,-20,True,False,25
65,node4-5,node5-4,-20,True,False,25
66,node4-5,node5-4,-20,True,False,24
67,node4-5,node5-4,-20,True,False,24
68,node4-5,node5-4,-20,True,False,24
69,node4-5,node5-4,-20,True,False,25
70,node4-5,node5-4,-20,True,False,24
71,node4-5,node5-4,-20,True,False,23
72,node4-5,node5-4,-20,True,False,25
73,node4-5,node5-4,-20,True,False,25
74,node4-5,node5-4,-20,True,False,25
75,node4-5,node5-4,-20,True,False,26
76,node4-5,node5-4,-20,True,False,25
77,node4-5,node5-4,-20,True,False,23
78,node4-5,node5-4,-20,True,False,24
79,node4-5,node5-4,-20,True,False,25
80,node4-5,node5-4,-20,True,False,25
81,node4-5,node5-4,-20,True,False,24
82,node4-5,node5-4,-20,True,False,25
83,node4-5,node5-4,-20,True,False,23
84,node4-5,node5-4,-20,True,False,24
85,node4-5,node5-4,-20,True,False,24
86,node4-5,node5-4,-20,True,False,25
87,node4-5,node5-4,-20,True,False,24
88,node4-5,node5-4,-20,True,False,24
89,node4-5,node5-4,-20,True,False,25
90,node4-5,node5-4,-20,True,False,25
91,node4-5,node5-4,-20,True,False,25
92,node4-5,node5-4,-20,True,False,25
93,node4-5,node5-4,-20,True,False,25
94,node4-5,node5-4,-20,True,False,25
95,node4-5,node5-4,-20,True,False,25
96,node4-5,node5-4,-20,True,False,25
97,node4-5,node5-4,-20,True,False,25
98,node4-5,node5-4,-20,True,False,25
99,node4-5,node5-4,-20,True,False,25
100,node4-5,node5-4,-20,True,False,24
101,node4-5,node5-4,-20,True,False,24
102,node4-5,node5-4,-20,True,False,25
103,node4-5,node5-4,-20,True,False,24
104,node4-5,node5-4,-20,True,False,25
105,node4-5,node5-4,-20,True,False,22
106,node4-5,node5-4,-20,True,False,26
107,node4-5,node5-4,-20,True,False,25
108,node4-5,node5-4,-20,True,False,25
109,node4-5,node5-4,-20,True,False,25
110,node4-5,node5-4,-20,True,False,24
111,node4-5,node5-4,-20,True,False,25
112,node4-5,node5-4,-20,True,False,25
113,node4-5,node5-4,-20,True,False,24
114,node4-5,node5-4,-20,True,False,24
115,node4-5,node5-4,-20,True,False,25
116,node4-5,node5-4,-20,True,False,25
117,node4-5,node5-4,-20,True,False,24
118,node4-5,node5-4,-20,True,False,25
119,node4-5,node5-4,-20,True,False,24
120,node4-5,node5-4,-20,True,False,25
121,node4-5,node5-4,-20,True,False,24
122,node4-5,node5-4,-20,True,False,24
123,node4-5,node5-4,-20,True,False,24
124,node4-5,node5-4,-20,True,False,24
125,node4-5,node5-4,-20,True,False,24
126,node4-5,node5-4,-20,True,False,26
127,node4-5,node5-4,-20,True,False,25
128,node4-5,node5-4,-20,True,False,23
129,node4-5,node5-4,-20,True,False,25
130,node4-5,node5-4,-20,True,False,24
131,node4-5,node5-4,-20,True,False,24
132,node4-5,node5-4,-20,True,False,23
133,node4-5,node5-4,-20,True,False,24
134,node4-5,node5-4,-20,True,False,24
