seq,src,dst,noise,received,error,rssi
1,node2-1,node5-4,-10,True,False,7
2,node2-1,node5-4,-10,True,False,6
3,node2-1,node5-4,-10,True,False,5
4,node2-1,node5-4,-10,True,False,5
5,node2-1,node5-4,-10,True,False,6
6,node2-1,node5-4,-10,True,False,3
7,node2-1,node5-4,-10,True,False,4
8,node2-1,node5-4,-10,True,False,5
9,node2-1,node5-4,-10,True,False,4
10,node2-1,node5-4,-10,True,False,5
11,node2-1,node5-4,-10,True,False,3
12,node2-1,node5-4,-10,True,False,4
13,node2-1,node5-4,-10,True,False,6
14,node2-1,node5-4,-10,True,False,4
15,node2-1,node5-4,-10,True,False,5
16,node2-1,node5-4,-10,True,False,5
17,node2-1,node5-4,-10,True,False,4
18,node2-1,node5-4,-10,True,False,4
19,node2-1,node5-4,-10,True,False,4
20,node2-1,node5-4,-10,True,False,3
21,node2-1,node5-4,-10,True,False,5
22,node2-1,node5-4,-10,True,False,4
23,node2-1,node5-4,-10,True,False,4
24,node2-1,node5-4,-10,True,False,5
25,node2-1,node5-4,-10,True,False,6
26,node2-1,node5-4,-10,True,False,6
27,node2-1,node5-4,-10,True,False,5
28,node2-1,node5-4,-10,True,False,4
29,node2-1,node5-4,-10,True,False,4
30,node2-1,node5-4,-10,True,False,6
31,node2-1,node5-4,-10,True,False,7
32,node2-1,node5-4,-10,True,False,5
33,node2-1,node5-4,-10,True,False,4
34,node2-1,node5-4,-10,True,False,3
35,node2-1,node5-4,-10,True,False,5
36,node2-1,node5-4,-10,True,False,2
37,node2-1,node5-4,-10,True,False,4
38,node2-1,node5-4,-10,True,False,4
39,node2-1,node5-4,-10,True,False,4
40,node2-1,node5-4,-10,True,False,5
41,node2-1,node5-4,-10,True,False,4
42,node2-1,node5-4,-10,True,False,1
43,node2-1,node5-4,-10,True,False,6
44,node2-1,node5-4,-10,True,False,3
45,node2-1,node5-4,-10,True,False,5
46,node2-1,node5-4,-10,True,False,6
47,node2-1,node5-4,-10,True,False,6
48,node2-1,node5-4,-10,True,False,3
49,node2-1,node5-4,-10,True,False,4
50,node2-1,node5-4,-10,True,False,4
51,node2-1,node5-4,-10,True,False,5
52,node2-1,node5-4,-10,True,False,6
53,node2-1,node5-4,-10,True,False,3
54,node2-1,node5-4,-10,True,False,4
55,node2-1,node5-4,-10,True,False,4
56,node2-1,node5-4,-10,True,False,6
57,node2-1,node5-4,-10,True,False,5
58,node2-1,node5-4,-10,True,False,3
59,node2-1,node5-4,-10,True,False,4
60,node2-1,node5-4,-10,True,False,4
61,node2-1,node5-4,-10,True,False,5
62,node2-1,node5-4,-10,True,False,5
63,node2-1,node5-4,-10,True,False,5
64,node2-1,node5-4,-10,True,False,4
65,node2-1,node5-4,-10,True,False,6
66,node2-1,node5-4,-10,True,False,6
67,node2-1,node5-4,-10,True,False,4
68,node2-1,node5-4,-10,True,False,3
69,node2-1,node5-4,-10,True,False,4
70,node2-1,node5-4,-10,True,False,7
71,node2-1,node5-4,-10,True,False,4
72,node2-1,node5-4,-10,True,False,7
73,node2-1,node5-4,-10,True,False,3
74,node2-1,node5-4,-10,True,False,4
75,node2-1,node5-4,-10,True,False,5
76,node2-1,node5-4,-10,True,False,3
77,node2-1,node5-4,-10,True,False,4
78,node2-1,node5-4,-10,True,False,5
79,node2-1,node5-4,-10,True,False,4
80,node2-1,node5-4,-10,True,False,4
81,node2-1,node5-4,-10,True,False,4
82,node2-1,node5-4,-10,True,False,2
83,node2-1,node5-4,-10,True,False,6
84,node2-1,node5-4,-10,True,False,5
85,node2-1,node5-4,-10,True,False,4
86,node2-1,node5-4,-10,True,False,4
87,node2-1,node5-4,-10,True,False,3
88,node2-1,node5-4,-10,True,False,3
89,node2-1,node5-4,-10,True,False,3
