seq,src,dst,noise,received,error,rssi
1,node8-7,node6-7,-15,True,False,18
2,node8-7,node6-7,-15,True,False,18
3,node8-7,node6-7,-15,True,False,15
4,node8-7,node6-7,-15,True,False,14
5,node8-7,node6-7,-15,True,False,15
6,node8-7,node6-7,-15,True,False,14
7,node8-7,node6-7,-15,True,False,14
8,node8-7,node6-7,-15,True,False,14
9,node8-7,node6-7,-15,True,False,15
10,node8-7,node6-7,-15,True,False,13
11,node8-7,node6-7,-15,True,False,14
12,node8-7,node6-7,-15,True,False,14
13,node8-7,node6-7,-15,True,False,14
14,node8-7,node6-7,-15,True,False,15
15,node8-7,node6-7,-15,True,False,14
16,node8-7,node6-7,-15,True,False,15
17,node8-7,node6-7,-15,True,False,14
18,node8-7,node6-7,-15,True,False,15
19,node8-7,node6-7,-15,True,False,14
20,node8-7,node6-7,-15,True,False,13
21,node8-7,node6-7,-15,True,False,13
22,node8-7,node6-7,-15,True,False,15
23,node8-7,node6-7,-15,True,False,12
24,node8-7,node6-7,-15,True,False,14
25,node8-7,node6-7,-15,True,False,15
26,node8-7,node6-7,-15,True,False,13
27,node8-7,node6-7,-15,True,False,13
28,node8-7,node6-7,-15,True,False,14
29,node8-7,node6-7,-15,True,False,15
30,node8-7,node6-7,-15,True,False,14
31,node8-7,node6-7,-15,True,False,15
32,node8-7,node6-7,-15,True,False,15
33,node8-7,node6-7,-15,True,False,15
34,node8-7,node6-7,-15,True,False,13
35,node8-7,node6-7,-15,True,False,15
36,node8-7,node6-7,-15,True,False,15
37,node8-7,node6-7,-15,True,False,14
38,node8-7,node6-7,-15,True,False,15
39,node8-7,node6-7,-15,True,False,15
40,node8-7,node6-7,-15,True,False,15
41,node8-7,node6-7,-15,True,False,15
42,node8-7,node6-7,-15,True,False,15
43,node8-7,node6-7,-15,True,False,14
44,node8-7,node6-7,-15,True,False,15
45,node8-7,node6-7,-15,True,False,14
46,node8-7,node6-7,-15,True,False,14
47,node8-7,node6-7,-15,True,False,15
48,node8-7,node6-7,-15,True,False,16
49,node8-7,node6-7,-15,True,False,15
50,node8-7,node6-7,-15,True,False,13
51,node8-7,node6-7,-15,True,False,15
52,node8-7,node6-7,-15,True,False,15
53,node8-7,node6-7,-15,True,False,14
54,node8-7,node6-7,-15,True,False,14
55,node8-7,node6-7,-15,True,False,14
56,node8-7,node6-7,-15,True,False,13
57,node8-7,node6-7,-15,True,False,15
58,node8-7,node6-7,-15,True,False,13
59,node8-7,node6-7,-15,True,False,14
60,node8-7,node6-7,-15,True,False,15
61,node8-7,node6-7,-15,True,False,14
62,node8-7,node6-7,-15,True,False,15
63,node8-7,node6-7,-15,True,False,14
64,node8-7,node6-7,-15,True,False,15
65,node8-7,node6-7,-15,True,False,14
66,node8-7,node6-7,-15,True,False,11
67,node8-7,node6-7,-15,True,False,12
68,node8-7,node6-7,-15,True,False,14
69,node8-7,node6-7,-15,True,False,15
70,node8-7,node6-7,-15,True,False,15
71,node8-7,node6-7,-15,True,False,14
72,node8-7,node6-7,-15,True,False,14
73,node8-7,node6-7,-15,True,False,14
74,node8-7,node6-7,-15,True,False,15
75,node8-7,node6-7,-15,True,False,15
76,node8-7,node6-7,-15,True,False,14
77,node8-7,node6-7,-15,True,False,14
78,node8-7,node6-7,-15,True,False,14
79,node8-7,node6-7,-15,True,False,14
80,node8-7,node6-7,-15,True,False,15
81,node8-7,node6-7,-15,True,False,14
82,node8-7,node6-7,-15,True,False,14
83,node8-7,node6-7,-15,True,False,13
84,node8-7,node6-7,-15,True,False,14
85,node8-7,node6-7,-15,True,False,14
86,node8-7,node6-7,-15,True,False,15
87,node8-7,node6-7,-15,True,False,13
88,node8-7,node6-7,-15,True,False,13
89,node8-7,node6-7,-15,True,False,14
90,node8-7,node6-7,-15,True,False,15
91,node8-7,node6-7,-15,True,False,14
92,node8-7,node6-7,-15,True,False,15
93,node8-7,node6-7,-15,True,False,14
94,node8-7,node6-7,-15,True,False,14
95,node8-7,node6-7,-15,True,False,15
96,node8-7,node6-7,-15,True,False,15
97,node8-7,node6-7,-15,True,False,12
98,node8-7,node6-7,-15,True,False,14
99,node8-7,node6-7,-15,True,False,15
100,node8-7,node6-7,-15,True,False,12
101,node8-7,node6-7,-15,True,False,14
102,node8-7,node6-7,-15,True,False,14
103,node8-7,node6-7,-15,True,False,15
104,node8-7,node6-7,-15,True,False,15
105,node8-7,node6-7,-15,True,False,15
106,node8-7,node6-7,-15,True,False,15
