seq,src,dst,noise,received,error,rssi
1,node4-7,node3-4,-5,True,False,11
2,node4-7,node3-4,-5,True,False,12
3,node4-7,node3-4,-5,True,False,9
4,node4-7,node3-4,-5,True,False,6
5,node4-7,node3-4,-5,True,False,3
6,node4-7,node3-4,-5,True,False,4
7,node4-7,node3-4,-5,True,False,5
8,node4-7,node3-4,-5,True,False,5
9,node4-7,node3-4,-5,True,False,5
10,node4-7,node3-4,-5,True,False,6
11,node4-7,node3-4,-5,True,False,4
12,node4-7,node3-4,-5,True,False,6
13,node4-7,node3-4,-5,True,False,4
14,node4-7,node3-4,-5,True,False,3
15,node4-7,node3-4,-5,True,False,5
16,node4-7,node3-4,-5,True,False,6
17,node4-7,node3-4,-5,True,False,6
18,node4-7,node3-4,-5,True,False,5
19,node4-7,node3-4,-5,True,False,5
20,node4-7,node3-4,-5,True,False,4
21,node4-7,node3-4,-5,True,False,3
22,node4-7,node3-4,-5,True,False,6
23,node4-7,node3-4,-5,True,False,3
24,node4-7,node3-4,-5,True,False,7
25,node4-7,node3-4,-5,True,False,3
26,node4-7,node3-4,-5,True,False,3
27,node4-7,node3-4,-5,True,False,6
28,node4-7,node3-4,-5,True,False,4
29,node4-7,node3-4,-5,True,False,1
30,node4-7,node3-4,-5,True,False,2
31,node4-7,node3-4,-5,True,False,4
32,node4-7,node3-4,-5,True,False,6
33,node4-7,node3-4,-5,True,False,5
34,node4-7,node3-4,-5,True,False,2
35,node4-7,node3-4,-5,True,False,6
36,node4-7,node3-4,-5,True,False,6
37,node4-7,node3-4,-5,True,False,5
38,node4-7,node3-4,-5,True,False,4
39,node4-7,node3-4,-5,True,False,7
40,node4-7,node3-4,-5,True,False,4
41,node4-7,node3-4,-5,True,False,4
42,node4-7,node3-4,-5,True,False,3
43,node4-7,node3-4,-5,True,False,5
44,node4-7,node3-4,-5,True,False,5
45,node4-7,node3-4,-5,True,False,2
46,node4-7,node3-4,-5,True,False,5
47,node4-7,node3-4,-5,True,False,1
48,node4-7,node3-4,-5,True,False,3
49,node4-7,node3-4,-5,True,False,6
50,node4-7,node3-4,-5,True,False,3
51,node4-7,node3-4,-5,True,False,5
52,node4-7,node3-4,-5,True,False,2
53,node4-7,node3-4,-5,True,False,5
54,node4-7,node3-4,-5,True,False,7
55,node4-7,node3-4,-5,True,False,5
56,node4-7,node3-4,-5,True,False,6
57,node4-7,node3-4,-5,True,False,4
58,node4-7,node3-4,-5,True,False,5
59,node4-7,node3-4,-5,True,False,5
60,node4-7,node3-4,-5,True,False,5
61,node4-7,node3-4,-5,True,False,5
62,node4-7,node3-4,-5,True,False,3
63,node4-7,node3-4,-5,True,False,5
64,node4-7,node3-4,-5,True,False,5
65,node4-7,node3-4,-5,True,False,5
66,node4-7,node3-4,-5,True,False,5
67,node4-7,node3-4,-5,True,False,5
68,node4-7,node3-4,-5,True,False,4
69,node4-7,node3-4,-5,True,False,5
70,node4-7,node3-4,-5,True,False,1
71,node4-7,node3-4,-5,True,False,5
72,node4-7,node3-4,-5,True,False,3
73,node4-7,node3-4,-5,True,False,5
74,node4-7,node3-4,-5,True,False,3
75,node4-7,node3-4,-5,True,False,4
76,node4-7,node3-4,-5,True,False,4
77,node4-7,node3-4,-5,True,False,6
78,node4-7,node3-4,-5,True,False,3
79,node4-7,node3-4,-5,True,False,5
80,node4-7,node3-4,-5,True,False,5
81,node4-7,node3-4,-5,True,False,5
82,node4-7,node3-4,-5,True,False,4
83,node4-7,node3-4,-5,True,False,3
84,node4-7,node3-4,-5,True,False,5
85,node4-7,node3-4,-5,True,False,4
86,node4-7,node3-4,-5,True,False,7
87,node4-7,node3-4,-5,True,False,3
88,node4-7,node3-4,-5,True,False,6
