seq,src,dst,noise,received,error,rssi
1,node8-7,node8-1,-10,True,False,14
2,node8-7,node8-1,-10,True,False,12
3,node8-7,node8-1,-10,True,False,10
4,node8-7,node8-1,-10,True,False,9
5,node8-7,node8-1,-10,True,False,10
6,node8-7,node8-1,-10,True,False,11
7,node8-7,node8-1,-10,True,False,9
8,node8-7,node8-1,-10,True,False,11
9,node8-7,node8-1,-10,True,False,10
10,node8-7,node8-1,-10,True,False,8
11,node8-7,node8-1,-10,True,False,10
12,node8-7,node8-1,-10,True,False,10
13,node8-7,node8-1,-10,True,False,10
14,node8-7,node8-1,-10,True,False,10
15,node8-7,node8-1,-10,True,False,10
16,node8-7,node8-1,-10,True,False,10
17,node8-7,node8-1,-10,True,False,9
18,node8-7,node8-1,-10,True,False,11
19,node8-7,node8-1,-10,True,False,8
20,node8-7,node8-1,-10,True,False,11
21,node8-7,node8-1,-10,True,False,9
22,node8-7,node8-1,-10,True,False,10
23,node8-7,node8-1,-10,True,False,10
24,node8-7,node8-1,-10,True,False,9
25,node8-7,node8-1,-10,True,False,9
26,node8-7,node8-1,-10,True,False,10
27,node8-7,node8-1,-10,True,False,9
28,node8-7,node8-1,-10,True,False,9
29,node8-7,node8-1,-10,True,False,10
30,node8-7,node8-1,-10,True,False,10
31,node8-7,node8-1,-10,True,False,9
32,node8-7,node8-1,-10,True,False,9
33,node8-7,node8-1,-10,True,False,8
34,node8-7,node8-1,-10,True,False,8
35,node8-7,node8-1,-10,True,False,10
36,node8-7,node8-1,-10,True,False,10
37,node8-7,node8-1,-10,True,False,10
38,node8-7,node8-1,-10,True,False,10
39,node8-7,node8-1,-10,True,False,10
40,node8-7,node8-1,-10,True,False,10
41,node8-7,node8-1,-10,True,False,9
42,node8-7,node8-1,-10,True,False,10
43,node8-7,node8-1,-10,True,False,10
44,node8-7,node8-1,-10,True,False,10
45,node8-7,node8-1,-10,True,False,10
46,node8-7,node8-1,-10,True,False,9
47,node8-7,node8-1,-10,True,False,9
48,node8-7,node8-1,-10,True,False,10
49,node8-7,node8-1,-10,True,False,9
50,node8-7,node8-1,-10,True,False,10
51,node8-7,node8-1,-10,True,False,9
52,node8-7,node8-1,-10,True,False,10
53,node8-7,node8-1,-10,True,False,9
54,node8-7,node8-1,-10,True,False,9
55,node8-7,node8-1,-10,True,False,10
56,node8-7,node8-1,-10,True,False,9
57,node8-7,node8-1,-10,True,False,9
58,node8-7,node8-1,-10,True,False,10
59,node8-7,node8-1,-10,True,False,11
60,node8-7,node8-1,-10,True,False,10
61,node8-7,node8-1,-10,True,False,9
62,node8-7,node8-1,-10,True,False,10
63,node8-7,node8-1,-10,True,False,10
64,node8-7,node8-1,-10,True,False,10
65,node8-7,node8-1,-10,True,False,11
66,node8-7,node8-1,-10,True,False,10
67,node8-7,node8-1,-10,True,False,9
68,node8-7,node8-1,-10,True,False,8
69,node8-7,node8-1,-10,True,False,10
70,node8-7,node8-1,-10,True,False,8
71,node8-7,node8-1,-10,True,False,10
72,node8-7,node8-1,-10,True,False,10
73,node8-7,node8-1,-10,True,False,8
74,node8-7,node8-1,-10,True,False,11
75,node8-7,node8-1,-10,True,False,9
76,node8-7,node8-1,-10,True,False,9
77,node8-7,node8-1,-10,True,False,9
78,node8-7,node8-1,-10,True,False,10
79,node8-7,node8-1,-10,True,False,9
80,node8-7,node8-1,-10,True,False,8
81,node8-7,node8-1,-10,True,False,9
82,node8-7,node8-1,-10,True,False,10
83,node8-7,node8-1,-10,True,False,9
84,node8-7,node8-1,-10,True,False,9
85,node8-7,node8-1,-10,True,False,8
86,node8-7,node8-1,-10,True,False,10
87,node8-7,node8-1,-10,True,False,10
88,node8-7,node8-1,-10,True,False,8
89,node8-7,node8-1,-10,True,False,9
90,node8-7,node8-1,-10,True,False,8
91,node8-7,node8-1,-10,True,False,9
92,node8-7,node8-1,-10,True,False,9
93,node8-7,node8-1,-10,True,False,10
94,node8-7,node8-1,-10,True,False,9
95,node8-7,node8-1,-10,True,False,9
96,node8-7,node8-1,-10,True,False,9
97,node8-7,node8-1,-10,True,False,9
98,node8-7,node8-1,-10,True,False,9
99,node8-7,node8-1,-10,True,False,9
100,node8-7,node8-1,-10,True,False,9
101,node8-7,node8-1,-10,True,False,9
102,node8-7,node8-1,-10,True,False,9
103,node8-7,node8-1,-10,True,False,9
104,node8-7,node8-1,-10,True,False,9
105,node8-7,node8-1,-10,True,False,8
106,node8-7,node8-1,-10,True,False,10
107,node8-7,node8-1,-10,True,False,8
108,node8-7,node8-1,-10,True,False,9
109,node8-7,node8-1,-10,True,False,10
110,node8-7,node8-1,-10,True,False,10
111,node8-7,node8-1,-10,True,False,9
112,node8-7,node8-1,-10,True,False,10
113,node8-7,node8-1,-10,True,False,9
114,node8-7,node8-1,-10,True,False,9
115,node8-7,node8-1,-10,True,False,10
116,node8-7,node8-1,-10,True,False,8
117,node8-7,node8-1,-10,True,False,9
118,node8-7,node8-1,-10,True,False,8
119,node8-7,node8-1,-10,True,False,9
120,node8-7,node8-1,-10,True,False,9
121,node8-7,node8-1,-10,True,False,10
122,node8-7,node8-1,-10,True,False,9
123,node8-7,node8-1,-10,True,False,10
124,node8-7,node8-1,-10,True,False,10
125,node8-7,node8-1,-10,True,False,9
126,node8-7,node8-1,-10,True,False,9
127,node8-7,node8-1,-10,True,False,9
128,node8-7,node8-1,-10,True,False,9
129,node8-7,node8-1,-10,True,False,9
130,node8-7,node8-1,-10,True,False,9
131,node8-7,node8-1,-10,True,False,10
132,node8-7,node8-1,-10,True,False,10
133,node8-7,node8-1,-10,True,False,9
134,node8-7,node8-1,-10,True,False,9
135,node8-7,node8-1,-10,True,False,8
136,node8-7,node8-1,-10,True,False,8
137,node8-7,node8-1,-10,True,False,10
138,node8-7,node8-1,-10,True,False,8
139,node8-7,node8-1,-10,True,False,10
140,node8-7,node8-1,-10,True,False,8
141,node8-7,node8-1,-10,True,False,10
142,node8-7,node8-1,-10,True,False,11
143,node8-7,node8-1,-10,True,False,8
144,node8-7,node8-1,-10,True,False,9
145,node8-7,node8-1,-10,True,False,9
146,node8-7,node8-1,-10,True,False,10
147,node8-7,node8-1,-10,True,False,9
148,node8-7,node8-1,-10,True,False,8
149,node8-7,node8-1,-10,True,False,8
150,node8-7,node8-1,-10,True,False,10
151,node8-7,node8-1,-10,True,False,9
152,node8-7,node8-1,-10,True,False,9
153,node8-7,node8-1,-10,True,False,9
154,node8-7,node8-1,-10,True,False,8
155,node8-7,node8-1,-10,True,False,10
156,node8-7,node8-1,-10,True,False,9
157,node8-7,node8-1,-10,True,False,10
158,node8-7,node8-1,-10,True,False,10
159,node8-7,node8-1,-10,True,False,9
160,node8-7,node8-1,-10,True,False,9
161,node8-7,node8-1,-10,True,False,9
162,node8-7,node8-1,-10,True,False,9
163,node8-7,node8-1,-10,True,False,8
164,node8-7,node8-1,-10,True,False,8
165,node8-7,node8-1,-10,True,False,8
166,node8-7,node8-1,-10,True,False,10
167,node8-7,node8-1,-10,True,False,8
168,node8-7,node8-1,-10,True,False,8
169,node8-7,node8-1,-10,True,False,9
