seq,src,dst,noise,received,error,rssi
1,node5-8,node6-3,-10,True,False,13
2,node5-8,node6-3,-10,True,False,12
3,node5-8,node6-3,-10,True,False,9
4,node5-8,node6-3,-10,True,False,11
5,node5-8,node6-3,-10,True,False,9
6,node5-8,node6-3,-10,True,False,8
7,node5-8,node6-3,-10,True,False,10
8,node5-8,node6-3,-10,True,False,10
9,node5-8,node6-3,-10,True,False,10
10,node5-8,node6-3,-10,True,False,9
11,node5-8,node6-3,-10,True,False,9
12,node5-8,node6-3,-10,True,False,8
13,node5-8,node6-3,-10,True,False,8
14,node5-8,node6-3,-10,True,False,9
15,node5-8,node6-3,-10,True,False,10
16,node5-8,node6-3,-10,True,False,9
17,node5-8,node6-3,-10,True,False,9
18,node5-8,node6-3,-10,True,False,9
19,node5-8,node6-3,-10,True,False,9
20,node5-8,node6-3,-10,True,False,10
21,node5-8,node6-3,-10,True,False,8
22,node5-8,node6-3,-10,True,False,10
23,node5-8,node6-3,-10,True,False,9
24,node5-8,node6-3,-10,True,False,10
25,node5-8,node6-3,-10,True,False,10
26,node5-8,node6-3,-10,True,False,9
27,node5-8,node6-3,-10,True,False,9
28,node5-8,node6-3,-10,True,False,10
29,node5-8,node6-3,-10,True,False,9
30,node5-8,node6-3,-10,True,False,9
31,node5-8,node6-3,-10,True,False,8
32,node5-8,node6-3,-10,True,False,9
33,node5-8,node6-3,-10,True,False,8
34,node5-8,node6-3,-10,True,False,11
35,node5-8,node6-3,-10,True,False,10
36,node5-8,node6-3,-10,True,False,10
37,node5-8,node6-3,-10,True,False,10
38,node5-8,node6-3,-10,True,False,9
39,node5-8,node6-3,-10,True,False,9
40,node5-8,node6-3,-10,True,False,11
41,node5-8,node6-3,-10,True,False,11
42,node5-8,node6-3,-10,True,False,9
43,node5-8,node6-3,-10,True,False,9
44,node5-8,node6-3,-10,True,False,9
45,node5-8,node6-3,-10,True,False,10
46,node5-8,node6-3,-10,True,False,9
47,node5-8,node6-3,-10,True,False,9
48,node5-8,node6-3,-10,True,False,8
49,node5-8,node6-3,-10,True,False,9
50,node5-8,node6-3,-10,True,False,9
51,node5-8,node6-3,-10,True,False,10
52,node5-8,node6-3,-10,True,False,11
53,node5-8,node6-3,-10,True,False,10
54,node5-8,node6-3,-10,True,False,8
55,node5-8,node6-3,-10,True,False,10
56,node5-8,node6-3,-10,True,False,10
57,node5-8,node6-3,-10,True,False,10
58,node5-8,node6-3,-10,True,False,10
59,node5-8,node6-3,-10,True,False,8
60,node5-8,node6-3,-10,True,False,9
61,node5-8,node6-3,-10,True,False,10
62,node5-8,node6-3,-10,True,False,9
63,node5-8,node6-3,-10,True,False,10
64,node5-8,node6-3,-10,True,False,9
65,node5-8,node6-3,-10,True,False,10
66,node5-8,node6-3,-10,True,False,10
67,node5-8,node6-3,-10,True,False,9
68,node5-8,node6-3,-10,True,False,9
69,node5-8,node6-3,-10,True,False,8
70,node5-8,node6-3,-10,True,False,8
71,node5-8,node6-3,-10,True,False,10
72,node5-8,node6-3,-10,True,False,11
73,node5-8,node6-3,-10,True,False,11
74,node5-8,node6-3,-10,True,False,9
75,node5-8,node6-3,-10,True,False,10
76,node5-8,node6-3,-10,True,False,11
77,node5-8,node6-3,-10,True,False,9
78,node5-8,node6-3,-10,True,False,8
79,node5-8,node6-3,-10,True,False,11
80,node5-8,node6-3,-10,True,False,10
81,node5-8,node6-3,-10,True,False,9
82,node5-8,node6-3,-10,True,False,10
83,node5-8,node6-3,-10,True,False,10
84,node5-8,node6-3,-10,True,False,8
85,node5-8,node6-3,-10,True,False,8
86,node5-8,node6-3,-10,True,False,10
87,node5-8,node6-3,-10,True,False,8
88,node5-8,node6-3,-10,True,False,9
89,node5-8,node6-3,-10,True,False,9
90,node5-8,node6-3,-10,True,False,11
91,node5-8,node6-3,-10,True,False,9
92,node5-8,node6-3,-10,True,False,9
93,node5-8,node6-3,-10,True,False,9
94,node5-8,node6-3,-10,True,False,10
95,node5-8,node6-3,-10,True,False,10
96,node5-8,node6-3,-10,True,False,9
97,node5-8,node6-3,-10,True,False,11
98,node5-8,node6-3,-10,True,False,10
99,node5-8,node6-3,-10,True,False,10
100,node5-8,node6-3,-10,True,False,9
101,node5-8,node6-3,-10,True,False,9
102,node5-8,node6-3,-10,True,False,10
103,node5-8,node6-3,-10,True,False,10
104,node5-8,node6-3,-10,True,False,9
105,node5-8,node6-3,-10,True,False,10
106,node5-8,node6-3,-10,True,False,9
107,node5-8,node6-3,-10,True,False,9
108,node5-8,node6-3,-10,True,False,10
109,node5-8,node6-3,-10,True,False,9
110,node5-8,node6-3,-10,True,False,8
111,node5-8,node6-3,-10,True,False,9
112,node5-8,node6-3,-10,True,False,9
113,node5-8,node6-3,-10,True,False,10
114,node5-8,node6-3,-10,True,False,11
115,node5-8,node6-3,-10,True,False,10
116,node5-8,node6-3,-10,True,False,11
117,node5-8,node6-3,-10,True,False,9
118,node5-8,node6-3,-10,True,False,9
119,node5-8,node6-3,-10,True,False,10
120,node5-8,node6-3,-10,True,False,9
121,node5-8,node6-3,-10,True,False,8
122,node5-8,node6-3,-10,True,False,10
123,node5-8,node6-3,-10,True,False,10
124,node5-8,node6-3,-10,True,False,10
125,node5-8,node6-3,-10,True,False,8
126,node5-8,node6-3,-10,True,False,8
127,node5-8,node6-3,-10,True,False,11
128,node5-8,node6-3,-10,True,False,11
129,node5-8,node6-3,-10,True,False,9
130,node5-8,node6-3,-10,True,False,9
131,node5-8,node6-3,-10,True,False,9
132,node5-8,node6-3,-10,True,False,8
133,node5-8,node6-3,-10,True,False,9
134,node5-8,node6-3,-10,True,False,10
135,node5-8,node6-3,-10,True,False,10
136,node5-8,node6-3,-10,True,False,7
137,node5-8,node6-3,-10,True,False,9
138,node5-8,node6-3,-10,True,False,10
139,node5-8,node6-3,-10,True,False,11
140,node5-8,node6-3,-10,True,False,10
141,node5-8,node6-3,-10,True,False,9
142,node5-8,node6-3,-10,True,False,9
143,node5-8,node6-3,-10,True,False,10
144,node5-8,node6-3,-10,True,False,10
145,node5-8,node6-3,-10,True,False,9
146,node5-8,node6-3,-10,True,False,10
147,node5-8,node6-3,-10,True,False,9
148,node5-8,node6-3,-10,True,False,8
149,node5-8,node6-3,-10,True,False,11
150,node5-8,node6-3,-10,True,False,9
151,node5-8,node6-3,-10,True,False,10
152,node5-8,node6-3,-10,True,False,11
153,node5-8,node6-3,-10,True,False,9
154,node5-8,node6-3,-10,True,False,8
155,node5-8,node6-3,-10,True,False,10
156,node5-8,node6-3,-10,True,False,9
157,node5-8,node6-3,-10,True,False,10
158,node5-8,node6-3,-10,True,False,9
159,node5-8,node6-3,-10,True,False,9
160,node5-8,node6-3,-10,True,False,11
161,node5-8,node6-3,-10,True,False,9
162,node5-8,node6-3,-10,True,False,10
163,node5-8,node6-3,-10,True,False,8
164,node5-8,node6-3,-10,True,False,11
165,node5-8,node6-3,-10,True,False,10
166,node5-8,node6-3,-10,True,False,10
167,node5-8,node6-3,-10,True,False,8
168,node5-8,node6-3,-10,True,False,10
169,node5-8,node6-3,-10,True,False,9
170,node5-8,node6-3,-10,True,False,10
171,node5-8,node6-3,-10,True,False,10
