seq,src,dst,noise,received,error,rssi
1,node1-2,node4-3,-20,True,False,27
2,node1-2,node4-3,-20,True,False,27
3,node1-2,node4-3,-20,True,False,24
4,node1-2,node4-3,-20,True,False,21
5,node1-2,node4-3,-20,True,False,22
6,node1-2,node4-3,-20,True,False,22
7,node1-2,node4-3,-20,True,False,21
8,node1-2,node4-3,-20,True,False,21
9,node1-2,node4-3,-20,True,False,21
10,node1-2,node4-3,-20,True,False,21
11,node1-2,node4-3,-20,True,False,21
12,node1-2,node4-3,-20,True,False,21
13,node1-2,node4-3,-20,True,False,22
14,node1-2,node4-3,-20,True,False,22
15,node1-2,node4-3,-20,True,False,21
16,node1-2,node4-3,-20,True,False,22
17,node1-2,node4-3,-20,True,False,22
18,node1-2,node4-3,-20,True,False,21
19,node1-2,node4-3,-20,True,False,21
20,node1-2,node4-3,-20,True,False,21
21,node1-2,node4-3,-20,True,False,21
22,node1-2,node4-3,-20,True,False,21
23,node1-2,node4-3,-20,True,False,22
24,node1-2,node4-3,-20,True,False,21
25,node1-2,node4-3,-20,True,False,21
26,node1-2,node4-3,-20,True,False,22
27,node1-2,node4-3,-20,True,False,21
28,node1-2,node4-3,-20,True,False,21
29,node1-2,node4-3,-20,True,False,21
30,node1-2,node4-3,-20,True,False,21
31,node1-2,node4-3,-20,True,False,21
32,node1-2,node4-3,-20,True,False,22
33,node1-2,node4-3,-20,True,False,21
34,node1-2,node4-3,-20,True,False,21
35,node1-2,node4-3,-20,True,False,22
36,node1-2,node4-3,-20,True,False,21
37,node1-2,node4-3,-20,True,False,21
38,node1-2,node4-3,-20,True,False,22
39,node1-2,node4-3,-20,True,False,21
40,node1-2,node4-3,-20,True,False,22
41,node1-2,node4-3,-20,True,False,21
42,node1-2,node4-3,-20,True,False,21
43,node1-2,node4-3,-20,True,False,21
44,node1-2,node4-3,-20,True,False,21
45,node1-2,node4-3,-20,True,False,21
46,node1-2,node4-3,-20,True,False,22
47,node1-2,node4-3,-20,True,False,21
48,node1-2,node4-3,-20,True,False,22
49,node1-2,node4-3,-20,True,False,21
50,node1-2,node4-3,-20,True,False,21
51,node1-2,node4-3,-20,True,False,21
52,node1-2,node4-3,-20,True,False,21
53,node1-2,node4-3,-20,True,False,22
54,node1-2,node4-3,-20,True,False,22
55,node1-2,node4-3,-20,True,False,22
56,node1-2,node4-3,-20,True,False,21
