seq,src,dst,noise,received,error,rssi
1,node8-5,node5-4,-15,True,False,16
2,node8-5,node5-4,-15,True,False,15
3,node8-5,node5-4,-15,True,False,11
4,node8-5,node5-4,-15,True,False,13
5,node8-5,node5-4,-15,True,False,12
6,node8-5,node5-4,-15,True,False,13
7,node8-5,node5-4,-15,True,False,12
8,node8-5,node5-4,-15,True,False,13
9,node8-5,node5-4,-15,True,False,12
10,node8-5,node5-4,-15,True,False,13
11,node8-5,node5-4,-15,True,False,13
12,node8-5,node5-4,-15,True,False,11
13,node8-5,node5-4,-15,True,False,12
14,node8-5,node5-4,-15,True,False,13
15,node8-5,node5-4,-15,True,False,13
16,node8-5,node5-4,-15,True,False,12
17,node8-5,node5-4,-15,True,False,11
18,node8-5,node5-4,-15,True,False,12
19,node8-5,node5-4,-15,True,False,12
20,node8-5,node5-4,-15,True,False,13
21,node8-5,node5-4,-15,True,False,14
22,node8-5,node5-4,-15,True,False,13
23,node8-5,node5-4,-15,True,False,12
24,node8-5,node5-4,-15,True,False,12
25,node8-5,node5-4,-15,True,False,13
26,node8-5,node5-4,-15,True,False,12
27,node8-5,node5-4,-15,True,False,13
28,node8-5,node5-4,-15,True,False,13
29,node8-5,node5-4,-15,True,False,13
30,node8-5,node5-4,-15,True,False,13
31,node8-5,node5-4,-15,True,False,13
32,node8-5,node5-4,-15,True,False,13
33,node8-5,node5-4,-15,True,False,12
34,node8-5,node5-4,-15,True,False,12
35,node8-5,node5-4,-15,True,False,13
36,node8-5,node5-4,-15,True,False,13
37,node8-5,node5-4,-15,True,False,12
38,node8-5,node5-4,-15,True,False,13
39,node8-5,node5-4,-15,True,False,13
40,node8-5,node5-4,-15,True,False,12
41,node8-5,node5-4,-15,True,False,12
42,node8-5,node5-4,-15,True,False,13
43,node8-5,node5-4,-15,True,False,12
44,node8-5,node5-4,-15,True,False,12
45,node8-5,node5-4,-15,True,False,13
46,node8-5,node5-4,-15,True,False,12
47,node8-5,node5-4,-15,True,False,12
48,node8-5,node5-4,-15,True,False,14
49,node8-5,node5-4,-15,True,False,11
50,node8-5,node5-4,-15,True,False,12
51,node8-5,node5-4,-15,True,False,12
52,node8-5,node5-4,-15,True,False,13
53,node8-5,node5-4,-15,True,False,12
54,node8-5,node5-4,-15,True,False,12
55,node8-5,node5-4,-15,True,False,12
56,node8-5,node5-4,-15,True,False,12
57,node8-5,node5-4,-15,True,False,12
58,node8-5,node5-4,-15,True,False,13
59,node8-5,node5-4,-15,True,False,12
60,node8-5,node5-4,-15,True,False,12
61,node8-5,node5-4,-15,True,False,12
62,node8-5,node5-4,-15,True,False,13
63,node8-5,node5-4,-15,True,False,13
64,node8-5,node5-4,-15,True,False,11
65,node8-5,node5-4,-15,True,False,12
66,node8-5,node5-4,-15,True,False,13
67,node8-5,node5-4,-15,True,False,12
68,node8-5,node5-4,-15,True,False,13
69,node8-5,node5-4,-15,True,False,11
70,node8-5,node5-4,-15,True,False,12
71,node8-5,node5-4,-15,True,False,13
72,node8-5,node5-4,-15,True,False,13
73,node8-5,node5-4,-15,True,False,11
74,node8-5,node5-4,-15,True,False,12
75,node8-5,node5-4,-15,True,False,13
76,node8-5,node5-4,-15,True,False,13
77,node8-5,node5-4,-15,True,False,12
78,node8-5,node5-4,-15,True,False,12
79,node8-5,node5-4,-15,True,False,12
80,node8-5,node5-4,-15,True,False,13
81,node8-5,node5-4,-15,True,False,12
82,node8-5,node5-4,-15,True,False,11
83,node8-5,node5-4,-15,True,False,13
84,node8-5,node5-4,-15,True,False,12
85,node8-5,node5-4,-15,True,False,13
86,node8-5,node5-4,-15,True,False,13
87,node8-5,node5-4,-15,True,False,13
88,node8-5,node5-4,-15,True,False,12
89,node8-5,node5-4,-15,True,False,13
90,node8-5,node5-4,-15,True,False,11
91,node8-5,node5-4,-15,True,False,12
92,node8-5,node5-4,-15,True,False,11
93,node8-5,node5-4,-15,True,False,13
94,node8-5,node5-4,-15,True,False,12
95,node8-5,node5-4,-15,True,False,13
96,node8-5,node5-4,-15,True,False,13
97,node8-5,node5-4,-15,True,False,13
98,node8-5,node5-4,-15,True,False,13
99,node8-5,node5-4,-15,True,False,12
100,node8-5,node5-4,-15,True,False,12
101,node8-5,node5-4,-15,True,False,12
102,node8-5,node5-4,-15,True,False,12
103,node8-5,node5-4,-15,True,False,13
104,node8-5,node5-4,-15,True,False,11
