seq,src,dst,noise,received,error,rssi
1,node8-1,node8-5,-15,True,False,6
2,node8-1,node8-5,-15,True,False,6
3,node8-1,node8-5,-15,True,False,0
4,node8-1,node8-5,-15,True,False,3
5,node8-1,node8-5,-15,True,False,3
6,node8-1,node8-5,-15,True,False,2
7,node8-1,node8-5,-15,True,False,3
8,node8-1,node8-5,-15,True,False,3
9,node8-1,node8-5,-15,True,False,0
10,node8-1,node8-5,-15,False,False,0
11,node8-1,node8-5,-15,False,False,0
12,node8-1,node8-5,-15,True,False,4
13,node8-1,node8-5,-15,True,False,3
14,node8-1,node8-5,-15,True,False,2
15,node8-1,node8-5,-15,True,False,3
16,node8-1,node8-5,-15,True,False,3
17,node8-1,node8-5,-15,True,False,2
18,node8-1,node8-5,-15,True,False,2
19,node8-1,node8-5,-15,True,False,2
20,node8-1,node8-5,-15,True,False,2
21,node8-1,node8-5,-15,False,False,0
22,node8-1,node8-5,-15,True,False,2
23,node8-1,node8-5,-15,True,False,3
24,node8-1,node8-5,-15,True,False,2
25,node8-1,node8-5,-15,True,False,3
26,node8-1,node8-5,-15,True,False,1
27,node8-1,node8-5,-15,True,False,3
28,node8-1,node8-5,-15,True,False,2
29,node8-1,node8-5,-15,True,False,2
30,node8-1,node8-5,-15,False,False,0
31,node8-1,node8-5,-15,True,False,5
32,node8-1,node8-5,-15,True,False,3
33,node8-1,node8-5,-15,False,False,0
34,node8-1,node8-5,-15,True,False,2
35,node8-1,node8-5,-15,True,False,3
36,node8-1,node8-5,-15,True,False,3
37,node8-1,node8-5,-15,False,False,0
38,node8-1,node8-5,-15,True,False,3
39,node8-1,node8-5,-15,True,False,1
40,node8-1,node8-5,-15,True,False,3
41,node8-1,node8-5,-15,True,False,1
42,node8-1,node8-5,-15,True,False,3
43,node8-1,node8-5,-15,True,False,4
44,node8-1,node8-5,-15,True,False,2
45,node8-1,node8-5,-15,True,False,2
46,node8-1,node8-5,-15,True,False,1
47,node8-1,node8-5,-15,True,False,0
48,node8-1,node8-5,-15,True,False,3
49,node8-1,node8-5,-15,True,False,3
50,node8-1,node8-5,-15,True,False,1
51,node8-1,node8-5,-15,True,False,3
52,node8-1,node8-5,-15,True,False,2
53,node8-1,node8-5,-15,True,False,2
54,node8-1,node8-5,-15,False,False,0
55,node8-1,node8-5,-15,True,False,2
56,node8-1,node8-5,-15,True,False,4
57,node8-1,node8-5,-15,True,False,2
58,node8-1,node8-5,-15,True,False,1
59,node8-1,node8-5,-15,True,False,1
60,node8-1,node8-5,-15,False,False,0
61,node8-1,node8-5,-15,True,False,3
62,node8-1,node8-5,-15,True,False,5
63,node8-1,node8-5,-15,True,False,4
64,node8-1,node8-5,-15,True,False,3
65,node8-1,node8-5,-15,True,False,2
66,node8-1,node8-5,-15,True,False,1
67,node8-1,node8-5,-15,True,False,3
68,node8-1,node8-5,-15,True,False,3
69,node8-1,node8-5,-15,True,False,3
70,node8-1,node8-5,-15,True,False,3
71,node8-1,node8-5,-15,True,False,3
72,node8-1,node8-5,-15,True,False,2
73,node8-1,node8-5,-15,True,False,2
74,node8-1,node8-5,-15,True,False,2
75,node8-1,node8-5,-15,True,False,3
76,node8-1,node8-5,-15,False,False,0
77,node8-1,node8-5,-15,True,False,2
78,node8-1,node8-5,-15,True,False,2
79,node8-1,node8-5,-15,True,False,1
80,node8-1,node8-5,-15,True,False,3
81,node8-1,node8-5,-15,True,False,1
82,node8-1,node8-5,-15,False,False,0
83,node8-1,node8-5,-15,True,False,3
84,node8-1,node8-5,-15,True,False,2
85,node8-1,node8-5,-15,True,False,2
86,node8-1,node8-5,-15,True,False,1
87,node8-1,node8-5,-15,True,False,2
88,node8-1,node8-5,-15,False,False,0
89,node8-1,node8-5,-15,True,False,2
90,node8-1,node8-5,-15,True,False,1
91,node8-1,node8-5,-15,True,False,3
92,node8-1,node8-5,-15,False,False,0
93,node8-1,node8-5,-15,False,False,0
94,node8-1,node8-5,-15,True,False,2
95,node8-1,node8-5,-15,False,True,0
96,node8-1,node8-5,-15,True,False,2
97,node8-1,node8-5,-15,False,False,0
98,node8-1,node8-5,-15,False,False,0
99,node8-1,node8-5,-15,True,False,3
100,node8-1,node8-5,-15,True,False,4
101,node8-1,node8-5,-15,True,False,2
102,node8-1,node8-5,-15,True,False,3
103,node8-1,node8-5,-15,True,False,4
104,node8-1,node8-5,-15,True,False,4
105,node8-1,node8-5,-15,True,False,4
106,node8-1,node8-5,-15,True,False,2
107,node8-1,node8-5,-15,True,False,2
108,node8-1,node8-5,-15,True,False,2
109,node8-1,node8-5,-15,True,False,2
110,node8-1,node8-5,-15,True,False,4
111,node8-1,node8-5,-15,True,False,2
112,node8-1,node8-5,-15,True,False,3
