seq,src,dst,noise,received,error,rssi
1,node8-7,node5-6,-20,True,False,16
2,node8-7,node5-6,-20,True,False,16
3,node8-7,node5-6,-20,True,False,12
4,node8-7,node5-6,-20,True,False,12
5,node8-7,node5-6,-20,True,False,12
6,node8-7,node5-6,-20,True,False,13
7,node8-7,node5-6,-20,True,False,12
8,node8-7,node5-6,-20,True,False,11
9,node8-7,node5-6,-20,True,False,12
10,node8-7,node5-6,-20,True,False,11
11,node8-7,node5-6,-20,True,False,11
12,node8-7,node5-6,-20,True,False,12
13,node8-7,node5-6,-20,True,False,11
14,node8-7,node5-6,-20,True,False,12
15,node8-7,node5-6,-20,True,False,12
16,node8-7,node5-6,-20,True,False,11
17,node8-7,node5-6,-20,True,False,12
18,node8-7,node5-6,-20,True,False,11
19,node8-7,node5-6,-20,True,False,13
20,node8-7,node5-6,-20,True,False,11
21,node8-7,node5-6,-20,True,False,12
22,node8-7,node5-6,-20,True,False,11
23,node8-7,node5-6,-20,True,False,11
24,node8-7,node5-6,-20,True,False,11
25,node8-7,node5-6,-20,True,False,12
26,node8-7,node5-6,-20,True,False,10
27,node8-7,node5-6,-20,True,False,12
28,node8-7,node5-6,-20,True,False,12
29,node8-7,node5-6,-20,True,False,12
30,node8-7,node5-6,-20,True,False,12
31,node8-7,node5-6,-20,True,False,13
32,node8-7,node5-6,-20,True,False,12
33,node8-7,node5-6,-20,True,False,11
34,node8-7,node5-6,-20,True,False,12
35,node8-7,node5-6,-20,True,False,11
36,node8-7,node5-6,-20,True,False,12
37,node8-7,node5-6,-20,True,False,10
38,node8-7,node5-6,-20,True,False,13
39,node8-7,node5-6,-20,True,False,9
40,node8-7,node5-6,-20,True,False,12
41,node8-7,node5-6,-20,True,False,12
42,node8-7,node5-6,-20,True,False,11
43,node8-7,node5-6,-20,True,False,11
44,node8-7,node5-6,-20,True,False,11
45,node8-7,node5-6,-20,True,False,12
46,node8-7,node5-6,-20,True,False,11
47,node8-7,node5-6,-20,True,False,13
48,node8-7,node5-6,-20,True,False,12
49,node8-7,node5-6,-20,True,False,12
50,node8-7,node5-6,-20,True,False,12
51,node8-7,node5-6,-20,True,False,12
52,node8-7,node5-6,-20,True,False,13
53,node8-7,node5-6,-20,True,False,11
54,node8-7,node5-6,-20,True,False,12
55,node8-7,node5-6,-20,True,False,11
56,node8-7,node5-6,-20,True,False,11
57,node8-7,node5-6,-20,True,False,12
58,node8-7,node5-6,-20,True,False,11
59,node8-7,node5-6,-20,True,False,10
60,node8-7,node5-6,-20,True,False,11
61,node8-7,node5-6,-20,True,False,11
62,node8-7,node5-6,-20,True,False,11
63,node8-7,node5-6,-20,True,False,10
64,node8-7,node5-6,-20,True,False,13
65,node8-7,node5-6,-20,True,False,13
66,node8-7,node5-6,-20,True,False,12
67,node8-7,node5-6,-20,True,False,12
68,node8-7,node5-6,-20,True,False,11
69,node8-7,node5-6,-20,True,False,12
70,node8-7,node5-6,-20,True,False,12
71,node8-7,node5-6,-20,True,False,12
72,node8-7,node5-6,-20,True,False,13
73,node8-7,node5-6,-20,True,False,13
74,node8-7,node5-6,-20,True,False,11
75,node8-7,node5-6,-20,True,False,12
76,node8-7,node5-6,-20,True,False,13
77,node8-7,node5-6,-20,True,False,12
78,node8-7,node5-6,-20,True,False,12
79,node8-7,node5-6,-20,True,False,13
80,node8-7,node5-6,-20,True,False,12
81,node8-7,node5-6,-20,True,False,12
82,node8-7,node5-6,-20,True,False,12
83,node8-7,node5-6,-20,True,False,12
84,node8-7,node5-6,-20,True,False,11
85,node8-7,node5-6,-20,True,False,12
86,node8-7,node5-6,-20,True,False,11
87,node8-7,node5-6,-20,True,False,12
88,node8-7,node5-6,-20,True,False,11
89,node8-7,node5-6,-20,True,False,13
90,node8-7,node5-6,-20,True,False,12
91,node8-7,node5-6,-20,True,False,11
92,node8-7,node5-6,-20,True,False,12
93,node8-7,node5-6,-20,True,False,12
94,node8-7,node5-6,-20,True,False,11
95,node8-7,node5-6,-20,True,False,12
96,node8-7,node5-6,-20,True,False,10
97,node8-7,node5-6,-20,True,False,12
98,node8-7,node5-6,-20,True,False,11
99,node8-7,node5-6,-20,True,False,12
100,node8-7,node5-6,-20,True,False,13
101,node8-7,node5-6,-20,True,False,12
102,node8-7,node5-6,-20,True,False,12
103,node8-7,node5-6,-20,True,False,12
104,node8-7,node5-6,-20,True,False,11
105,node8-7,node5-6,-20,True,False,13
106,node8-7,node5-6,-20,True,False,11
107,node8-7,node5-6,-20,True,False,10
108,node8-7,node5-6,-20,True,False,9
109,node8-7,node5-6,-20,True,False,12
110,node8-7,node5-6,-20,True,False,10
111,node8-7,node5-6,-20,True,False,11
112,node8-7,node5-6,-20,True,False,11
113,node8-7,node5-6,-20,True,False,10
114,node8-7,node5-6,-20,True,False,11
115,node8-7,node5-6,-20,True,False,12
116,node8-7,node5-6,-20,True,False,11
117,node8-7,node5-6,-20,True,False,11
118,node8-7,node5-6,-20,True,False,12
119,node8-7,node5-6,-20,True,False,13
120,node8-7,node5-6,-20,True,False,10
121,node8-7,node5-6,-20,True,False,12
122,node8-7,node5-6,-20,True,False,13
123,node8-7,node5-6,-20,True,False,12
124,node8-7,node5-6,-20,True,False,12
125,node8-7,node5-6,-20,True,False,11
126,node8-7,node5-6,-20,True,False,12
127,node8-7,node5-6,-20,True,False,12
128,node8-7,node5-6,-20,True,False,13
129,node8-7,node5-6,-20,True,False,12
130,node8-7,node5-6,-20,True,False,11
131,node8-7,node5-6,-20,True,False,12
132,node8-7,node5-6,-20,True,False,13
133,node8-7,node5-6,-20,True,False,11
134,node8-7,node5-6,-20,True,False,12
135,node8-7,node5-6,-20,True,False,10
136,node8-7,node5-6,-20,True,False,10
137,node8-7,node5-6,-20,True,False,12
138,node8-7,node5-6,-20,True,False,12
139,node8-7,node5-6,-20,True,False,11
140,node8-7,node5-6,-20,True,False,12
141,node8-7,node5-6,-20,True,False,13
142,node8-7,node5-6,-20,True,False,11
143,node8-7,node5-6,-20,True,False,12
144,node8-7,node5-6,-20,True,False,10
145,node8-7,node5-6,-20,True,False,12
146,node8-7,node5-6,-20,True,False,11
147,node8-7,node5-6,-20,True,False,12
148,node8-7,node5-6,-20,True,False,12
149,node8-7,node5-6,-20,True,False,11
150,node8-7,node5-6,-20,True,False,12
151,node8-7,node5-6,-20,True,False,14
152,node8-7,node5-6,-20,True,False,12
153,node8-7,node5-6,-20,True,False,10
154,node8-7,node5-6,-20,True,False,10
155,node8-7,node5-6,-20,True,False,12
156,node8-7,node5-6,-20,True,False,11
157,node8-7,node5-6,-20,True,False,11
158,node8-7,node5-6,-20,True,False,13
159,node8-7,node5-6,-20,True,False,11
160,node8-7,node5-6,-20,True,False,12
161,node8-7,node5-6,-20,True,False,13
162,node8-7,node5-6,-20,True,False,11
163,node8-7,node5-6,-20,True,False,12
164,node8-7,node5-6,-20,True,False,13
165,node8-7,node5-6,-20,True,False,12
166,node8-7,node5-6,-20,True,False,11
167,node8-7,node5-6,-20,True,False,12
168,node8-7,node5-6,-20,True,False,11
169,node8-7,node5-6,-20,True,False,12
170,node8-7,node5-6,-20,True,False,13
171,node8-7,node5-6,-20,True,False,12
172,node8-7,node5-6,-20,True,False,12
173,node8-7,node5-6,-20,True,False,12
174,node8-7,node5-6,-20,True,False,12
175,node8-7,node5-6,-20,True,False,11
176,node8-7,node5-6,-20,True,False,11
177,node8-7,node5-6,-20,True,False,11
178,node8-7,node5-6,-20,True,False,11
179,node8-7,node5-6,-20,True,False,12
180,node8-7,node5-6,-20,True,False,12
181,node8-7,node5-6,-20,True,False,11
182,node8-7,node5-6,-20,True,False,12
183,node8-7,node5-6,-20,True,False,12
184,node8-7,node5-6,-20,True,False,12
185,node8-7,node5-6,-20,True,False,12
186,node8-7,node5-6,-20,True,False,13
187,node8-7,node5-6,-20,True,False,12
188,node8-7,node5-6,-20,True,False,11
189,node8-7,node5-6,-20,True,False,12
190,node8-7,node5-6,-20,True,False,10
191,node8-7,node5-6,-20,True,False,11
192,node8-7,node5-6,-20,True,False,12
193,node8-7,node5-6,-20,True,False,12
194,node8-7,node5-6,-20,True,False,11
195,node8-7,node5-6,-20,True,False,11
196,node8-7,node5-6,-20,True,False,11
197,node8-7,node5-6,-20,True,False,12
198,node8-7,node5-6,-20,True,False,12
199,node8-7,node5-6,-20,True,False,12
200,node8-7,node5-6,-20,True,False,12
201,node8-7,node5-6,-20,True,False,13
202,node8-7,node5-6,-20,True,False,12
203,node8-7,node5-6,-20,True,False,12
204,node8-7,node5-6,-20,True,False,12
205,node8-7,node5-6,-20,True,False,13
206,node8-7,node5-6,-20,True,False,11
207,node8-7,node5-6,-20,True,False,13
208,node8-7,node5-6,-20,True,False,12
209,node8-7,node5-6,-20,True,False,11
210,node8-7,node5-6,-20,True,False,11
211,node8-7,node5-6,-20,True,False,12
212,node8-7,node5-6,-20,True,False,12
213,node8-7,node5-6,-20,True,False,12
214,node8-7,node5-6,-20,True,False,12
215,node8-7,node5-6,-20,True,False,11
216,node8-7,node5-6,-20,True,False,12
217,node8-7,node5-6,-20,True,False,11
218,node8-7,node5-6,-20,True,False,12
219,node8-7,node5-6,-20,True,False,12
220,node8-7,node5-6,-20,True,False,12
221,node8-7,node5-6,-20,True,False,11
222,node8-7,node5-6,-20,True,False,12
223,node8-7,node5-6,-20,True,False,11
224,node8-7,node5-6,-20,True,False,13
225,node8-7,node5-6,-20,True,False,13
226,node8-7,node5-6,-20,True,False,12
227,node8-7,node5-6,-20,True,False,11
228,node8-7,node5-6,-20,True,False,12
229,node8-7,node5-6,-20,True,False,12
230,node8-7,node5-6,-20,True,False,12
231,node8-7,node5-6,-20,True,False,12
232,node8-7,node5-6,-20,True,False,13
233,node8-7,node5-6,-20,True,False,12
234,node8-7,node5-6,-20,True,False,11
235,node8-7,node5-6,-20,True,False,12
236,node8-7,node5-6,-20,True,False,12
237,node8-7,node5-6,-20,True,False,13
238,node8-7,node5-6,-20,True,False,12
239,node8-7,node5-6,-20,True,False,12
240,node8-7,node5-6,-20,True,False,11
241,node8-7,node5-6,-20,True,False,14
242,node8-7,node5-6,-20,True,False,10
243,node8-7,node5-6,-20,True,False,11
244,node8-7,node5-6,-20,True,False,13
245,node8-7,node5-6,-20,True,False,11
246,node8-7,node5-6,-20,True,False,12
247,node8-7,node5-6,-20,True,False,12
248,node8-7,node5-6,-20,True,False,12
249,node8-7,node5-6,-20,True,False,11
250,node8-7,node5-6,-20,True,False,12
251,node8-7,node5-6,-20,True,False,13
252,node8-7,node5-6,-20,True,False,12
253,node8-7,node5-6,-20,True,False,12
254,node8-7,node5-6,-20,True,False,13
255,node8-7,node5-6,-20,True,False,11
256,node8-7,node5-6,-20,True,False,12
257,node8-7,node5-6,-20,True,False,11
258,node8-7,node5-6,-20,True,False,12
259,node8-7,node5-6,-20,True,False,12
260,node8-7,node5-6,-20,True,False,13
261,node8-7,node5-6,-20,True,False,12
262,node8-7,node5-6,-20,True,False,11
263,node8-7,node5-6,-20,True,False,12
264,node8-7,node5-6,-20,True,False,13
265,node8-7,node5-6,-20,True,False,13
266,node8-7,node5-6,-20,True,False,11
267,node8-7,node5-6,-20,True,False,12
268,node8-7,node5-6,-20,True,False,11
269,node8-7,node5-6,-20,True,False,13
270,node8-7,node5-6,-20,True,False,10
271,node8-7,node5-6,-20,True,False,12
272,node8-7,node5-6,-20,True,False,12
273,node8-7,node5-6,-20,True,False,12
274,node8-7,node5-6,-20,True,False,12
275,node8-7,node5-6,-20,True,False,12
276,node8-7,node5-6,-20,True,False,12
277,node8-7,node5-6,-20,True,False,13
278,node8-7,node5-6,-20,True,False,12
279,node8-7,node5-6,-20,True,False,11
280,node8-7,node5-6,-20,True,False,11
281,node8-7,node5-6,-20,True,False,12
282,node8-7,node5-6,-20,True,False,12
283,node8-7,node5-6,-20,True,False,12
284,node8-7,node5-6,-20,True,False,12
285,node8-7,node5-6,-20,True,False,11
286,node8-7,node5-6,-20,True,False,12
287,node8-7,node5-6,-20,True,False,12
288,node8-7,node5-6,-20,True,False,12
289,node8-7,node5-6,-20,True,False,12
290,node8-7,node5-6,-20,True,False,11
291,node8-7,node5-6,-20,True,False,11
292,node8-7,node5-6,-20,True,False,12
