seq,src,dst,noise,received,error,rssi
1,node4-5,node8-3,-15,True,False,25
2,node4-5,node8-3,-15,True,False,24
3,node4-5,node8-3,-15,True,False,22
4,node4-5,node8-3,-15,True,False,18
5,node4-5,node8-3,-15,True,False,18
6,node4-5,node8-3,-15,True,False,18
7,node4-5,node8-3,-15,True,False,18
8,node4-5,node8-3,-15,True,False,18
9,node4-5,node8-3,-15,True,False,18
10,node4-5,node8-3,-15,True,False,18
11,node4-5,node8-3,-15,True,False,18
12,node4-5,node8-3,-15,True,False,19
13,node4-5,node8-3,-15,True,False,19
14,node4-5,node8-3,-15,True,False,17
15,node4-5,node8-3,-15,True,False,18
16,node4-5,node8-3,-15,True,False,18
17,node4-5,node8-3,-15,True,False,18
18,node4-5,node8-3,-15,True,False,18
19,node4-5,node8-3,-15,True,False,17
20,node4-5,node8-3,-15,True,False,18
21,node4-5,node8-3,-15,True,False,18
22,node4-5,node8-3,-15,True,False,18
23,node4-5,node8-3,-15,True,False,18
24,node4-5,node8-3,-15,True,False,17
25,node4-5,node8-3,-15,True,False,17
26,node4-5,node8-3,-15,True,False,18
27,node4-5,node8-3,-15,True,False,18
28,node4-5,node8-3,-15,True,False,18
29,node4-5,node8-3,-15,True,False,19
30,node4-5,node8-3,-15,True,False,18
31,node4-5,node8-3,-15,True,False,17
32,node4-5,node8-3,-15,True,False,18
33,node4-5,node8-3,-15,True,False,18
34,node4-5,node8-3,-15,True,False,18
35,node4-5,node8-3,-15,True,False,18
36,node4-5,node8-3,-15,True,False,19
37,node4-5,node8-3,-15,True,False,18
38,node4-5,node8-3,-15,True,False,18
39,node4-5,node8-3,-15,True,False,18
40,node4-5,node8-3,-15,True,False,17
41,node4-5,node8-3,-15,True,False,17
42,node4-5,node8-3,-15,True,False,17
43,node4-5,node8-3,-15,True,False,18
44,node4-5,node8-3,-15,True,False,18
45,node4-5,node8-3,-15,True,False,18
46,node4-5,node8-3,-15,True,False,17
47,node4-5,node8-3,-15,True,False,18
48,node4-5,node8-3,-15,True,False,17
49,node4-5,node8-3,-15,True,False,18
50,node4-5,node8-3,-15,True,False,18
51,node4-5,node8-3,-15,True,False,18
52,node4-5,node8-3,-15,True,False,17
53,node4-5,node8-3,-15,True,False,18
54,node4-5,node8-3,-15,True,False,18
55,node4-5,node8-3,-15,True,False,17
56,node4-5,node8-3,-15,True,False,17
57,node4-5,node8-3,-15,True,False,18
58,node4-5,node8-3,-15,True,False,19
59,node4-5,node8-3,-15,True,False,18
60,node4-5,node8-3,-15,True,False,18
61,node4-5,node8-3,-15,True,False,19
62,node4-5,node8-3,-15,True,False,18
63,node4-5,node8-3,-15,True,False,18
64,node4-5,node8-3,-15,True,False,18
65,node4-5,node8-3,-15,True,False,17
66,node4-5,node8-3,-15,True,False,17
67,node4-5,node8-3,-15,True,False,18
68,node4-5,node8-3,-15,True,False,18
69,node4-5,node8-3,-15,True,False,18
70,node4-5,node8-3,-15,True,False,18
71,node4-5,node8-3,-15,True,False,17
72,node4-5,node8-3,-15,True,False,18
73,node4-5,node8-3,-15,True,False,18
74,node4-5,node8-3,-15,True,False,18
75,node4-5,node8-3,-15,True,False,19
76,node4-5,node8-3,-15,True,False,19
77,node4-5,node8-3,-15,True,False,19
78,node4-5,node8-3,-15,True,False,18
79,node4-5,node8-3,-15,True,False,19
80,node4-5,node8-3,-15,True,False,18
81,node4-5,node8-3,-15,True,False,18
82,node4-5,node8-3,-15,True,False,18
83,node4-5,node8-3,-15,True,False,18
84,node4-5,node8-3,-15,True,False,17
85,node4-5,node8-3,-15,True,False,18
86,node4-5,node8-3,-15,True,False,18
87,node4-5,node8-3,-15,True,False,18
88,node4-5,node8-3,-15,True,False,17
89,node4-5,node8-3,-15,True,False,18
90,node4-5,node8-3,-15,True,False,18
91,node4-5,node8-3,-15,True,False,17
92,node4-5,node8-3,-15,True,False,19
93,node4-5,node8-3,-15,True,False,18
94,node4-5,node8-3,-15,True,False,18
95,node4-5,node8-3,-15,True,False,19
96,node4-5,node8-3,-15,True,False,19
97,node4-5,node8-3,-15,True,False,18
98,node4-5,node8-3,-15,True,False,19
99,node4-5,node8-3,-15,True,False,17
100,node4-5,node8-3,-15,True,False,17
101,node4-5,node8-3,-15,True,False,18
102,node4-5,node8-3,-15,True,False,18
103,node4-5,node8-3,-15,True,False,18
104,node4-5,node8-3,-15,True,False,18
105,node4-5,node8-3,-15,True,False,18
106,node4-5,node8-3,-15,True,False,18
107,node4-5,node8-3,-15,True,False,19
108,node4-5,node8-3,-15,True,False,19
109,node4-5,node8-3,-15,True,False,18
110,node4-5,node8-3,-15,True,False,19
