seq,src,dst,noise,received,error,rssi
1,node4-1,node1-6,-15,True,False,12
2,node4-1,node1-6,-15,True,False,10
3,node4-1,node1-6,-15,True,False,8
4,node4-1,node1-6,-15,True,False,10
5,node4-1,node1-6,-15,True,False,9
6,node4-1,node1-6,-15,True,False,7
7,node4-1,node1-6,-15,True,False,9
8,node4-1,node1-6,-15,True,False,8
9,node4-1,node1-6,-15,True,False,7
10,node4-1,node1-6,-15,True,False,8
11,node4-1,node1-6,-15,True,False,6
12,node4-1,node1-6,-15,True,False,7
13,node4-1,node1-6,-15,True,False,7
14,node4-1,node1-6,-15,True,False,5
15,node4-1,node1-6,-15,True,False,8
16,node4-1,node1-6,-15,True,False,8
17,node4-1,node1-6,-15,True,False,6
18,node4-1,node1-6,-15,True,False,7
19,node4-1,node1-6,-15,True,False,6
20,node4-1,node1-6,-15,True,False,7
21,node4-1,node1-6,-15,True,False,6
22,node4-1,node1-6,-15,True,False,7
23,node4-1,node1-6,-15,True,False,5
24,node4-1,node1-6,-15,True,False,7
25,node4-1,node1-6,-15,True,False,8
26,node4-1,node1-6,-15,True,False,10
27,node4-1,node1-6,-15,True,False,7
28,node4-1,node1-6,-15,True,False,5
29,node4-1,node1-6,-15,True,False,8
30,node4-1,node1-6,-15,True,False,6
31,node4-1,node1-6,-15,True,False,6
32,node4-1,node1-6,-15,True,False,5
33,node4-1,node1-6,-15,True,False,9
34,node4-1,node1-6,-15,True,False,6
35,node4-1,node1-6,-15,True,False,9
36,node4-1,node1-6,-15,True,False,7
37,node4-1,node1-6,-15,True,False,5
38,node4-1,node1-6,-15,True,False,8
39,node4-1,node1-6,-15,True,False,10
40,node4-1,node1-6,-15,True,False,4
41,node4-1,node1-6,-15,True,False,9
42,node4-1,node1-6,-15,True,False,6
43,node4-1,node1-6,-15,True,False,7
44,node4-1,node1-6,-15,True,False,7
45,node4-1,node1-6,-15,True,False,6
46,node4-1,node1-6,-15,True,False,7
47,node4-1,node1-6,-15,True,False,7
48,node4-1,node1-6,-15,True,False,7
49,node4-1,node1-6,-15,True,False,5
50,node4-1,node1-6,-15,True,False,8
51,node4-1,node1-6,-15,True,False,5
52,node4-1,node1-6,-15,True,False,9
53,node4-1,node1-6,-15,True,False,7
54,node4-1,node1-6,-15,True,False,7
55,node4-1,node1-6,-15,True,False,7
56,node4-1,node1-6,-15,True,False,8
57,node4-1,node1-6,-15,True,False,8
58,node4-1,node1-6,-15,True,False,8
59,node4-1,node1-6,-15,True,False,8
60,node4-1,node1-6,-15,True,False,8
61,node4-1,node1-6,-15,True,False,8
62,node4-1,node1-6,-15,True,False,7
63,node4-1,node1-6,-15,True,False,6
64,node4-1,node1-6,-15,True,False,6
65,node4-1,node1-6,-15,True,False,5
66,node4-1,node1-6,-15,True,False,9
67,node4-1,node1-6,-15,True,False,8
68,node4-1,node1-6,-15,True,False,10
69,node4-1,node1-6,-15,True,False,7
70,node4-1,node1-6,-15,True,False,7
71,node4-1,node1-6,-15,True,False,7
72,node4-1,node1-6,-15,True,False,9
73,node4-1,node1-6,-15,True,False,7
74,node4-1,node1-6,-15,True,False,8
75,node4-1,node1-6,-15,True,False,6
76,node4-1,node1-6,-15,True,False,9
77,node4-1,node1-6,-15,True,False,6
78,node4-1,node1-6,-15,True,False,6
79,node4-1,node1-6,-15,True,False,7
80,node4-1,node1-6,-15,True,False,7
81,node4-1,node1-6,-15,True,False,7
82,node4-1,node1-6,-15,True,False,8
83,node4-1,node1-6,-15,True,False,6
84,node4-1,node1-6,-15,True,False,7
85,node4-1,node1-6,-15,True,False,7
86,node4-1,node1-6,-15,True,False,10
87,node4-1,node1-6,-15,True,False,7
88,node4-1,node1-6,-15,True,False,6
89,node4-1,node1-6,-15,True,False,8
90,node4-1,node1-6,-15,True,False,8
91,node4-1,node1-6,-15,True,False,6
92,node4-1,node1-6,-15,True,False,8
93,node4-1,node1-6,-15,True,False,5
94,node4-1,node1-6,-15,True,False,6
95,node4-1,node1-6,-15,True,False,7
96,node4-1,node1-6,-15,True,False,8
97,node4-1,node1-6,-15,True,False,6
98,node4-1,node1-6,-15,True,False,7
99,node4-1,node1-6,-15,True,False,7
100,node4-1,node1-6,-15,True,False,8
101,node4-1,node1-6,-15,True,False,7
102,node4-1,node1-6,-15,True,False,7
103,node4-1,node1-6,-15,True,False,8
104,node4-1,node1-6,-15,True,False,8
105,node4-1,node1-6,-15,True,False,7
106,node4-1,node1-6,-15,True,False,9
107,node4-1,node1-6,-15,True,False,7
108,node4-1,node1-6,-15,True,False,8
109,node4-1,node1-6,-15,True,False,7
110,node4-1,node1-6,-15,True,False,8
111,node4-1,node1-6,-15,True,False,8
112,node4-1,node1-6,-15,True,False,6
113,node4-1,node1-6,-15,True,False,7
114,node4-1,node1-6,-15,True,False,7
115,node4-1,node1-6,-15,True,False,7
116,node4-1,node1-6,-15,True,False,9
117,node4-1,node1-6,-15,True,False,6
118,node4-1,node1-6,-15,True,False,7
119,node4-1,node1-6,-15,True,False,8
120,node4-1,node1-6,-15,True,False,7
121,node4-1,node1-6,-15,True,False,6
122,node4-1,node1-6,-15,True,False,7
123,node4-1,node1-6,-15,True,False,8
124,node4-1,node1-6,-15,True,False,6
125,node4-1,node1-6,-15,True,False,7
126,node4-1,node1-6,-15,True,False,5
127,node4-1,node1-6,-15,True,False,7
128,node4-1,node1-6,-15,True,False,8
129,node4-1,node1-6,-15,True,False,7
130,node4-1,node1-6,-15,True,False,8
131,node4-1,node1-6,-15,True,False,7
132,node4-1,node1-6,-15,True,False,5
133,node4-1,node1-6,-15,True,False,6
134,node4-1,node1-6,-15,True,False,6
135,node4-1,node1-6,-15,True,False,6
136,node4-1,node1-6,-15,True,False,7
137,node4-1,node1-6,-15,True,False,8
138,node4-1,node1-6,-15,True,False,6
139,node4-1,node1-6,-15,True,False,6
