seq,src,dst,noise,received,error,rssi
1,node4-3,node6-3,-15,True,False,27
2,node4-3,node6-3,-15,True,False,26
3,node4-3,node6-3,-15,True,False,23
4,node4-3,node6-3,-15,True,False,20
5,node4-3,node6-3,-15,True,False,21
6,node4-3,node6-3,-15,True,False,21
7,node4-3,node6-3,-15,True,False,21
8,node4-3,node6-3,-15,True,False,21
9,node4-3,node6-3,-15,True,False,21
10,node4-3,node6-3,-15,True,False,22
11,node4-3,node6-3,-15,True,False,22
12,node4-3,node6-3,-15,True,False,20
13,node4-3,node6-3,-15,True,False,20
14,node4-3,node6-3,-15,True,False,22
15,node4-3,node6-3,-15,True,False,21
16,node4-3,node6-3,-15,True,False,21
17,node4-3,node6-3,-15,True,False,21
18,node4-3,node6-3,-15,True,False,20
19,node4-3,node6-3,-15,True,False,22
20,node4-3,node6-3,-15,True,False,21
21,node4-3,node6-3,-15,True,False,22
22,node4-3,node6-3,-15,True,False,20
23,node4-3,node6-3,-15,True,False,19
24,node4-3,node6-3,-15,True,False,21
25,node4-3,node6-3,-15,True,False,22
26,node4-3,node6-3,-15,True,False,20
27,node4-3,node6-3,-15,True,False,21
28,node4-3,node6-3,-15,True,False,21
29,node4-3,node6-3,-15,True,False,22
30,node4-3,node6-3,-15,True,False,21
31,node4-3,node6-3,-15,True,False,21
32,node4-3,node6-3,-15,True,False,20
33,node4-3,node6-3,-15,True,False,22
34,node4-3,node6-3,-15,True,False,22
35,node4-3,node6-3,-15,True,False,20
36,node4-3,node6-3,-15,True,False,20
37,node4-3,node6-3,-15,True,False,21
38,node4-3,node6-3,-15,True,False,21
39,node4-3,node6-3,-15,True,False,20
40,node4-3,node6-3,-15,True,False,21
41,node4-3,node6-3,-15,True,False,22
42,node4-3,node6-3,-15,True,False,21
43,node4-3,node6-3,-15,True,False,22
44,node4-3,node6-3,-15,True,False,19
45,node4-3,node6-3,-15,True,False,19
46,node4-3,node6-3,-15,True,False,22
47,node4-3,node6-3,-15,True,False,21
48,node4-3,node6-3,-15,True,False,20
49,node4-3,node6-3,-15,True,False,21
50,node4-3,node6-3,-15,True,False,21
51,node4-3,node6-3,-15,True,False,20
52,node4-3,node6-3,-15,True,False,22
