seq,src,dst,noise,received,error,rssi
1,node1-6,node4-7,-20,True,False,13
2,node1-6,node4-7,-20,True,False,12
3,node1-6,node4-7,-20,True,False,10
4,node1-6,node4-7,-20,True,False,10
5,node1-6,node4-7,-20,True,False,10
6,node1-6,node4-7,-20,True,False,10
7,node1-6,node4-7,-20,True,False,10
8,node1-6,node4-7,-20,True,False,11
9,node1-6,node4-7,-20,True,False,8
10,node1-6,node4-7,-20,True,False,10
11,node1-6,node4-7,-20,True,False,11
12,node1-6,node4-7,-20,True,False,10
13,node1-6,node4-7,-20,True,False,8
14,node1-6,node4-7,-20,True,False,8
15,node1-6,node4-7,-20,True,False,9
16,node1-6,node4-7,-20,True,False,9
17,node1-6,node4-7,-20,True,False,8
18,node1-6,node4-7,-20,True,False,10
19,node1-6,node4-7,-20,True,False,10
20,node1-6,node4-7,-20,True,False,11
21,node1-6,node4-7,-20,True,False,11
22,node1-6,node4-7,-20,True,False,10
23,node1-6,node4-7,-20,True,False,10
24,node1-6,node4-7,-20,True,False,11
25,node1-6,node4-7,-20,True,False,10
26,node1-6,node4-7,-20,True,False,10
27,node1-6,node4-7,-20,True,False,11
28,node1-6,node4-7,-20,True,False,10
29,node1-6,node4-7,-20,True,False,7
30,node1-6,node4-7,-20,True,False,10
31,node1-6,node4-7,-20,True,False,11
32,node1-6,node4-7,-20,True,False,9
33,node1-6,node4-7,-20,True,False,10
34,node1-6,node4-7,-20,True,False,11
35,node1-6,node4-7,-20,True,False,9
36,node1-6,node4-7,-20,True,False,8
37,node1-6,node4-7,-20,True,False,9
38,node1-6,node4-7,-20,True,False,11
39,node1-6,node4-7,-20,True,False,10
40,node1-6,node4-7,-20,True,False,11
41,node1-6,node4-7,-20,True,False,8
42,node1-6,node4-7,-20,True,False,10
43,node1-6,node4-7,-20,True,False,8
44,node1-6,node4-7,-20,True,False,9
45,node1-6,node4-7,-20,True,False,10
46,node1-6,node4-7,-20,True,False,9
47,node1-6,node4-7,-20,True,False,9
48,node1-6,node4-7,-20,True,False,8
49,node1-6,node4-7,-20,True,False,11
50,node1-6,node4-7,-20,True,False,10
51,node1-6,node4-7,-20,True,False,10
52,node1-6,node4-7,-20,True,False,10
53,node1-6,node4-7,-20,True,False,10
54,node1-6,node4-7,-20,True,False,11
55,node1-6,node4-7,-20,True,False,9
56,node1-6,node4-7,-20,True,False,10
57,node1-6,node4-7,-20,True,False,10
58,node1-6,node4-7,-20,True,False,10
59,node1-6,node4-7,-20,True,False,9
60,node1-6,node4-7,-20,True,False,10
61,node1-6,node4-7,-20,True,False,10
62,node1-6,node4-7,-20,True,False,11
63,node1-6,node4-7,-20,True,False,10
64,node1-6,node4-7,-20,True,False,9
65,node1-6,node4-7,-20,True,False,11
66,node1-6,node4-7,-20,True,False,11
67,node1-6,node4-7,-20,True,False,9
68,node1-6,node4-7,-20,True,False,11
69,node1-6,node4-7,-20,True,False,10
70,node1-6,node4-7,-20,True,False,10
71,node1-6,node4-7,-20,True,False,10
72,node1-6,node4-7,-20,True,False,10
73,node1-6,node4-7,-20,True,False,10
74,node1-6,node4-7,-20,True,False,12
75,node1-6,node4-7,-20,True,False,9
76,node1-6,node4-7,-20,True,False,11
77,node1-6,node4-7,-20,True,False,10
78,node1-6,node4-7,-20,True,False,10
79,node1-6,node4-7,-20,True,False,10
80,node1-6,node4-7,-20,True,False,8
81,node1-6,node4-7,-20,True,False,11
82,node1-6,node4-7,-20,True,False,11
