seq,src,dst,noise,received,error,rssi
1,node1-2,node2-5,-15,True,False,21
2,node1-2,node2-5,-15,True,False,20
3,node1-2,node2-5,-15,True,False,17
4,node1-2,node2-5,-15,True,False,17
5,node1-2,node2-5,-15,True,False,16
6,node1-2,node2-5,-15,True,False,16
7,node1-2,node2-5,-15,True,False,16
8,node1-2,node2-5,-15,True,False,17
9,node1-2,node2-5,-15,True,False,16
10,node1-2,node2-5,-15,True,False,17
11,node1-2,node2-5,-15,True,False,16
12,node1-2,node2-5,-15,True,False,16
13,node1-2,node2-5,-15,True,False,17
14,node1-2,node2-5,-15,True,False,17
15,node1-2,node2-5,-15,True,False,16
16,node1-2,node2-5,-15,True,False,16
17,node1-2,node2-5,-15,True,False,17
18,node1-2,node2-5,-15,True,False,16
19,node1-2,node2-5,-15,True,False,17
20,node1-2,node2-5,-15,True,False,17
21,node1-2,node2-5,-15,True,False,17
22,node1-2,node2-5,-15,True,False,17
23,node1-2,node2-5,-15,True,False,17
24,node1-2,node2-5,-15,True,False,16
25,node1-2,node2-5,-15,True,False,17
26,node1-2,node2-5,-15,True,False,17
27,node1-2,node2-5,-15,True,False,17
28,node1-2,node2-5,-15,True,False,16
29,node1-2,node2-5,-15,True,False,17
30,node1-2,node2-5,-15,True,False,16
31,node1-2,node2-5,-15,True,False,17
32,node1-2,node2-5,-15,True,False,16
33,node1-2,node2-5,-15,True,False,16
34,node1-2,node2-5,-15,True,False,16
35,node1-2,node2-5,-15,True,False,16
36,node1-2,node2-5,-15,True,False,16
37,node1-2,node2-5,-15,True,False,16
38,node1-2,node2-5,-15,True,False,17
39,node1-2,node2-5,-15,True,False,17
40,node1-2,node2-5,-15,True,False,17
41,node1-2,node2-5,-15,True,False,17
42,node1-2,node2-5,-15,True,False,17
43,node1-2,node2-5,-15,True,False,16
44,node1-2,node2-5,-15,True,False,16
45,node1-2,node2-5,-15,True,False,17
46,node1-2,node2-5,-15,True,False,17
47,node1-2,node2-5,-15,True,False,16
48,node1-2,node2-5,-15,True,False,16
49,node1-2,node2-5,-15,True,False,17
50,node1-2,node2-5,-15,True,False,16
51,node1-2,node2-5,-15,True,False,17
52,node1-2,node2-5,-15,True,False,16
53,node1-2,node2-5,-15,True,False,17
54,node1-2,node2-5,-15,True,False,17
55,node1-2,node2-5,-15,True,False,16
56,node1-2,node2-5,-15,True,False,16
57,node1-2,node2-5,-15,True,False,16
58,node1-2,node2-5,-15,True,False,17
59,node1-2,node2-5,-15,True,False,17
60,node1-2,node2-5,-15,True,False,17
61,node1-2,node2-5,-15,True,False,17
62,node1-2,node2-5,-15,True,False,16
63,node1-2,node2-5,-15,True,False,17
64,node1-2,node2-5,-15,True,False,16
65,node1-2,node2-5,-15,True,False,17
66,node1-2,node2-5,-15,True,False,17
67,node1-2,node2-5,-15,True,False,16
68,node1-2,node2-5,-15,True,False,16
69,node1-2,node2-5,-15,True,False,17
70,node1-2,node2-5,-15,True,False,17
71,node1-2,node2-5,-15,True,False,16
