seq,src,dst,noise,received,error,rssi
1,node1-2,node4-1,-10,True,False,18
2,node1-2,node4-1,-10,True,False,17
3,node1-2,node4-1,-10,True,False,13
4,node1-2,node4-1,-10,True,False,13
5,node1-2,node4-1,-10,True,False,12
6,node1-2,node4-1,-10,True,False,12
7,node1-2,node4-1,-10,True,False,13
8,node1-2,node4-1,-10,True,False,11
9,node1-2,node4-1,-10,True,False,11
10,node1-2,node4-1,-10,True,False,13
11,node1-2,node4-1,-10,True,False,11
12,node1-2,node4-1,-10,True,False,12
13,node1-2,node4-1,-10,True,False,12
14,node1-2,node4-1,-10,True,False,12
15,node1-2,node4-1,-10,True,False,11
16,node1-2,node4-1,-10,True,False,12
17,node1-2,node4-1,-10,True,False,12
18,node1-2,node4-1,-10,True,False,13
19,node1-2,node4-1,-10,True,False,11
20,node1-2,node4-1,-10,True,False,13
21,node1-2,node4-1,-10,True,False,12
22,node1-2,node4-1,-10,True,False,12
23,node1-2,node4-1,-10,True,False,12
24,node1-2,node4-1,-10,True,False,11
25,node1-2,node4-1,-10,True,False,13
26,node1-2,node4-1,-10,True,False,12
27,node1-2,node4-1,-10,True,False,12
28,node1-2,node4-1,-10,True,False,11
29,node1-2,node4-1,-10,True,False,12
30,node1-2,node4-1,-10,True,False,13
31,node1-2,node4-1,-10,True,False,11
32,node1-2,node4-1,-10,True,False,11
33,node1-2,node4-1,-10,True,False,12
34,node1-2,node4-1,-10,True,False,12
35,node1-2,node4-1,-10,True,False,13
36,node1-2,node4-1,-10,True,False,12
37,node1-2,node4-1,-10,True,False,13
38,node1-2,node4-1,-10,True,False,12
39,node1-2,node4-1,-10,True,False,12
40,node1-2,node4-1,-10,True,False,12
41,node1-2,node4-1,-10,True,False,13
42,node1-2,node4-1,-10,True,False,11
43,node1-2,node4-1,-10,True,False,12
44,node1-2,node4-1,-10,True,False,12
45,node1-2,node4-1,-10,True,False,11
46,node1-2,node4-1,-10,True,False,12
47,node1-2,node4-1,-10,True,False,13
48,node1-2,node4-1,-10,True,False,12
49,node1-2,node4-1,-10,True,False,12
50,node1-2,node4-1,-10,True,False,13
51,node1-2,node4-1,-10,True,False,13
52,node1-2,node4-1,-10,True,False,11
53,node1-2,node4-1,-10,True,False,12
54,node1-2,node4-1,-10,True,False,12
55,node1-2,node4-1,-10,True,False,13
56,node1-2,node4-1,-10,True,False,13
57,node1-2,node4-1,-10,True,False,12
58,node1-2,node4-1,-10,True,False,11
59,node1-2,node4-1,-10,True,False,12
60,node1-2,node4-1,-10,True,False,13
61,node1-2,node4-1,-10,True,False,12
62,node1-2,node4-1,-10,True,False,13
63,node1-2,node4-1,-10,True,False,12
64,node1-2,node4-1,-10,True,False,13
65,node1-2,node4-1,-10,True,False,12
66,node1-2,node4-1,-10,True,False,12
67,node1-2,node4-1,-10,True,False,11
68,node1-2,node4-1,-10,True,False,12
69,node1-2,node4-1,-10,True,False,12
70,node1-2,node4-1,-10,True,False,12
71,node1-2,node4-1,-10,True,False,11
72,node1-2,node4-1,-10,True,False,13
73,node1-2,node4-1,-10,True,False,12
74,node1-2,node4-1,-10,True,False,12
75,node1-2,node4-1,-10,True,False,11
76,node1-2,node4-1,-10,True,False,12
77,node1-2,node4-1,-10,True,False,12
78,node1-2,node4-1,-10,True,False,12
79,node1-2,node4-1,-10,True,False,13
80,node1-2,node4-1,-10,True,False,12
81,node1-2,node4-1,-10,True,False,12
82,node1-2,node4-1,-10,True,False,12
83,node1-2,node4-1,-10,True,False,12
84,node1-2,node4-1,-10,True,False,11
85,node1-2,node4-1,-10,True,False,12
86,node1-2,node4-1,-10,True,False,12
87,node1-2,node4-1,-10,True,False,12
88,node1-2,node4-1,-10,True,False,12
89,node1-2,node4-1,-10,True,False,13
90,node1-2,node4-1,-10,True,False,12
91,node1-2,node4-1,-10,True,False,11
92,node1-2,node4-1,-10,True,False,12
93,node1-2,node4-1,-10,True,False,12
94,node1-2,node4-1,-10,True,False,13
95,node1-2,node4-1,-10,True,False,12
96,node1-2,node4-1,-10,True,False,11
97,node1-2,node4-1,-10,True,False,12
98,node1-2,node4-1,-10,True,False,12
99,node1-2,node4-1,-10,True,False,12
100,node1-2,node4-1,-10,True,False,12
101,node1-2,node4-1,-10,True,False,12
102,node1-2,node4-1,-10,True,False,12
103,node1-2,node4-1,-10,True,False,11
104,node1-2,node4-1,-10,True,False,13
105,node1-2,node4-1,-10,True,False,12
106,node1-2,node4-1,-10,True,False,11
107,node1-2,node4-1,-10,True,False,12
108,node1-2,node4-1,-10,True,False,12
109,node1-2,node4-1,-10,True,False,11
110,node1-2,node4-1,-10,True,False,12
111,node1-2,node4-1,-10,True,False,12
112,node1-2,node4-1,-10,True,False,13
113,node1-2,node4-1,-10,True,False,11
114,node1-2,node4-1,-10,True,False,12
115,node1-2,node4-1,-10,True,False,13
116,node1-2,node4-1,-10,True,False,13
117,node1-2,node4-1,-10,True,False,13
118,node1-2,node4-1,-10,True,False,12
119,node1-2,node4-1,-10,True,False,12
120,node1-2,node4-1,-10,True,False,12
121,node1-2,node4-1,-10,True,False,12
122,node1-2,node4-1,-10,True,False,12
123,node1-2,node4-1,-10,True,False,11
124,node1-2,node4-1,-10,True,False,12
125,node1-2,node4-1,-10,True,False,12
126,node1-2,node4-1,-10,True,False,12
127,node1-2,node4-1,-10,True,False,12
128,node1-2,node4-1,-10,True,False,12
129,node1-2,node4-1,-10,True,False,12
130,node1-2,node4-1,-10,True,False,11
131,node1-2,node4-1,-10,True,False,12
132,node1-2,node4-1,-10,True,False,12
133,node1-2,node4-1,-10,True,False,13
134,node1-2,node4-1,-10,True,False,11
135,node1-2,node4-1,-10,True,False,12
136,node1-2,node4-1,-10,True,False,13
137,node1-2,node4-1,-10,True,False,12
138,node1-2,node4-1,-10,True,False,13
139,node1-2,node4-1,-10,True,False,12
140,node1-2,node4-1,-10,True,False,12
141,node1-2,node4-1,-10,True,False,11
142,node1-2,node4-1,-10,True,False,12
143,node1-2,node4-1,-10,True,False,13
144,node1-2,node4-1,-10,True,False,13
145,node1-2,node4-1,-10,True,False,13
146,node1-2,node4-1,-10,True,False,12
147,node1-2,node4-1,-10,True,False,11
148,node1-2,node4-1,-10,True,False,12
149,node1-2,node4-1,-10,True,False,12
150,node1-2,node4-1,-10,True,False,12
151,node1-2,node4-1,-10,True,False,13
152,node1-2,node4-1,-10,True,False,13
153,node1-2,node4-1,-10,True,False,10
154,node1-2,node4-1,-10,True,False,12
155,node1-2,node4-1,-10,True,False,13
156,node1-2,node4-1,-10,True,False,11
157,node1-2,node4-1,-10,True,False,13
158,node1-2,node4-1,-10,True,False,12
159,node1-2,node4-1,-10,True,False,12
160,node1-2,node4-1,-10,True,False,11
161,node1-2,node4-1,-10,True,False,13
162,node1-2,node4-1,-10,True,False,12
163,node1-2,node4-1,-10,True,False,12
164,node1-2,node4-1,-10,True,False,13
165,node1-2,node4-1,-10,True,False,13
166,node1-2,node4-1,-10,True,False,13
167,node1-2,node4-1,-10,True,False,12
168,node1-2,node4-1,-10,True,False,13
169,node1-2,node4-1,-10,True,False,13
170,node1-2,node4-1,-10,True,False,12
171,node1-2,node4-1,-10,True,False,12
172,node1-2,node4-1,-10,True,False,12
173,node1-2,node4-1,-10,True,False,12
174,node1-2,node4-1,-10,True,False,11
175,node1-2,node4-1,-10,True,False,12
176,node1-2,node4-1,-10,True,False,11
177,node1-2,node4-1,-10,True,False,12
178,node1-2,node4-1,-10,True,False,12
179,node1-2,node4-1,-10,True,False,12
180,node1-2,node4-1,-10,True,False,12
181,node1-2,node4-1,-10,True,False,11
182,node1-2,node4-1,-10,True,False,12
183,node1-2,node4-1,-10,True,False,12
184,node1-2,node4-1,-10,True,False,11
185,node1-2,node4-1,-10,True,False,12
186,node1-2,node4-1,-10,True,False,12
187,node1-2,node4-1,-10,True,False,12
188,node1-2,node4-1,-10,True,False,11
189,node1-2,node4-1,-10,True,False,12
190,node1-2,node4-1,-10,True,False,12
191,node1-2,node4-1,-10,True,False,12
192,node1-2,node4-1,-10,True,False,11
193,node1-2,node4-1,-10,True,False,12
194,node1-2,node4-1,-10,True,False,12
