seq,src,dst,noise,received,error,rssi
1,node3-8,node4-5,-20,True,False,26
2,node3-8,node4-5,-20,True,False,24
3,node3-8,node4-5,-20,True,False,21
4,node3-8,node4-5,-20,True,False,22
5,node3-8,node4-5,-20,True,False,20
6,node3-8,node4-5,-20,True,False,21
7,node3-8,node4-5,-20,True,False,21
8,node3-8,node4-5,-20,True,False,21
9,node3-8,node4-5,-20,True,False,20
10,node3-8,node4-5,-20,True,False,22
11,node3-8,node4-5,-20,True,False,22
12,node3-8,node4-5,-20,True,False,21
13,node3-8,node4-5,-20,True,False,20
14,node3-8,node4-5,-20,True,False,22
15,node3-8,node4-5,-20,True,False,22
16,node3-8,node4-5,-20,True,False,22
17,node3-8,node4-5,-20,True,False,22
18,node3-8,node4-5,-20,True,False,21
19,node3-8,node4-5,-20,True,False,22
20,node3-8,node4-5,-20,True,False,21
21,node3-8,node4-5,-20,True,False,22
22,node3-8,node4-5,-20,True,False,21
23,node3-8,node4-5,-20,True,False,22
24,node3-8,node4-5,-20,True,False,22
25,node3-8,node4-5,-20,True,False,21
26,node3-8,node4-5,-20,True,False,22
27,node3-8,node4-5,-20,True,False,21
28,node3-8,node4-5,-20,True,False,22
29,node3-8,node4-5,-20,True,False,20
30,node3-8,node4-5,-20,True,False,22
31,node3-8,node4-5,-20,True,False,21
32,node3-8,node4-5,-20,True,False,21
33,node3-8,node4-5,-20,True,False,22
34,node3-8,node4-5,-20,True,False,22
35,node3-8,node4-5,-20,True,False,22
36,node3-8,node4-5,-20,True,False,22
37,node3-8,node4-5,-20,True,False,22
38,node3-8,node4-5,-20,True,False,21
39,node3-8,node4-5,-20,True,False,21
40,node3-8,node4-5,-20,True,False,21
41,node3-8,node4-5,-20,True,False,20
42,node3-8,node4-5,-20,True,False,22
43,node3-8,node4-5,-20,True,False,21
44,node3-8,node4-5,-20,True,False,22
45,node3-8,node4-5,-20,True,False,20
46,node3-8,node4-5,-20,True,False,21
47,node3-8,node4-5,-20,True,False,22
48,node3-8,node4-5,-20,True,False,21
49,node3-8,node4-5,-20,True,False,22
50,node3-8,node4-5,-20,True,False,22
51,node3-8,node4-5,-20,True,False,20
52,node3-8,node4-5,-20,True,False,22
53,node3-8,node4-5,-20,True,False,21
54,node3-8,node4-5,-20,True,False,21
55,node3-8,node4-5,-20,True,False,22
56,node3-8,node4-5,-20,True,False,21
57,node3-8,node4-5,-20,True,False,21
58,node3-8,node4-5,-20,True,False,22
59,node3-8,node4-5,-20,True,False,22
60,node3-8,node4-5,-20,True,False,21
61,node3-8,node4-5,-20,True,False,21
62,node3-8,node4-5,-20,True,False,21
63,node3-8,node4-5,-20,True,False,20
64,node3-8,node4-5,-20,True,False,21
65,node3-8,node4-5,-20,True,False,21
66,node3-8,node4-5,-20,True,False,21
67,node3-8,node4-5,-20,True,False,22
68,node3-8,node4-5,-20,True,False,20
69,node3-8,node4-5,-20,True,False,21
70,node3-8,node4-5,-20,True,False,20
71,node3-8,node4-5,-20,True,False,20
72,node3-8,node4-5,-20,True,False,21
73,node3-8,node4-5,-20,True,False,22
74,node3-8,node4-5,-20,True,False,22
75,node3-8,node4-5,-20,True,False,22
76,node3-8,node4-5,-20,True,False,21
77,node3-8,node4-5,-20,True,False,20
78,node3-8,node4-5,-20,True,False,21
79,node3-8,node4-5,-20,True,False,21
80,node3-8,node4-5,-20,True,False,21
81,node3-8,node4-5,-20,True,False,19
82,node3-8,node4-5,-20,True,False,21
83,node3-8,node4-5,-20,True,False,21
84,node3-8,node4-5,-20,True,False,22
85,node3-8,node4-5,-20,True,False,22
86,node3-8,node4-5,-20,True,False,21
87,node3-8,node4-5,-20,True,False,21
88,node3-8,node4-5,-20,True,False,21
89,node3-8,node4-5,-20,True,False,20
90,node3-8,node4-5,-20,True,False,22
91,node3-8,node4-5,-20,True,False,21
92,node3-8,node4-5,-20,True,False,21
93,node3-8,node4-5,-20,True,False,21
94,node3-8,node4-5,-20,True,False,20
95,node3-8,node4-5,-20,True,False,20
96,node3-8,node4-5,-20,True,False,21
97,node3-8,node4-5,-20,True,False,20
98,node3-8,node4-5,-20,True,False,22
99,node3-8,node4-5,-20,True,False,22
100,node3-8,node4-5,-20,True,False,21
101,node3-8,node4-5,-20,True,False,19
102,node3-8,node4-5,-20,True,False,20
103,node3-8,node4-5,-20,True,False,21
104,node3-8,node4-5,-20,True,False,22
105,node3-8,node4-5,-20,True,False,21
106,node3-8,node4-5,-20,True,False,21
107,node3-8,node4-5,-20,True,False,21
108,node3-8,node4-5,-20,True,False,21
109,node3-8,node4-5,-20,True,False,22
110,node3-8,node4-5,-20,True,False,22
111,node3-8,node4-5,-20,True,False,21
112,node3-8,node4-5,-20,True,False,22
113,node3-8,node4-5,-20,True,False,21
114,node3-8,node4-5,-20,True,False,22
115,node3-8,node4-5,-20,True,False,21
116,node3-8,node4-5,-20,True,False,21
117,node3-8,node4-5,-20,True,False,21
118,node3-8,node4-5,-20,True,False,20
119,node3-8,node4-5,-20,True,False,20
120,node3-8,node4-5,-20,True,False,21
121,node3-8,node4-5,-20,True,False,20
122,node3-8,node4-5,-20,True,False,22
123,node3-8,node4-5,-20,True,False,22
124,node3-8,node4-5,-20,True,False,21
125,node3-8,node4-5,-20,True,False,22
126,node3-8,node4-5,-20,True,False,21
127,node3-8,node4-5,-20,True,False,20
128,node3-8,node4-5,-20,True,False,21
129,node3-8,node4-5,-20,True,False,20
130,node3-8,node4-5,-20,True,False,22
131,node3-8,node4-5,-20,True,False,19
132,node3-8,node4-5,-20,True,False,22
133,node3-8,node4-5,-20,True,False,22
134,node3-8,node4-5,-20,True,False,20
135,node3-8,node4-5,-20,True,False,22
136,node3-8,node4-5,-20,True,False,20
137,node3-8,node4-5,-20,True,False,21
138,node3-8,node4-5,-20,True,False,22
139,node3-8,node4-5,-20,True,False,20
140,node3-8,node4-5,-20,True,False,20
141,node3-8,node4-5,-20,True,False,22
142,node3-8,node4-5,-20,True,False,20
143,node3-8,node4-5,-20,True,False,22
144,node3-8,node4-5,-20,True,False,22
145,node3-8,node4-5,-20,True,False,22
146,node3-8,node4-5,-20,True,False,21
147,node3-8,node4-5,-20,True,False,21
148,node3-8,node4-5,-20,True,False,22
149,node3-8,node4-5,-20,True,False,22
150,node3-8,node4-5,-20,True,False,21
151,node3-8,node4-5,-20,True,False,21
152,node3-8,node4-5,-20,True,False,22
153,node3-8,node4-5,-20,True,False,22
154,node3-8,node4-5,-20,True,False,20
155,node3-8,node4-5,-20,True,False,21
156,node3-8,node4-5,-20,True,False,21
157,node3-8,node4-5,-20,True,False,21
158,node3-8,node4-5,-20,True,False,23
159,node3-8,node4-5,-20,True,False,19
160,node3-8,node4-5,-20,True,False,20
161,node3-8,node4-5,-20,True,False,22
162,node3-8,node4-5,-20,True,False,21
163,node3-8,node4-5,-20,True,False,20
164,node3-8,node4-5,-20,True,False,21
165,node3-8,node4-5,-20,True,False,21
166,node3-8,node4-5,-20,True,False,22
167,node3-8,node4-5,-20,True,False,22
168,node3-8,node4-5,-20,True,False,22
169,node3-8,node4-5,-20,True,False,21
170,node3-8,node4-5,-20,True,False,21
171,node3-8,node4-5,-20,True,False,21
172,node3-8,node4-5,-20,True,False,21
173,node3-8,node4-5,-20,True,False,21
