seq,src,dst,noise,received,error,rssi
1,node7-2,node5-8,-10,True,False,12
2,node7-2,node5-8,-10,True,False,11
3,node7-2,node5-8,-10,True,False,8
4,node7-2,node5-8,-10,True,False,6
5,node7-2,node5-8,-10,True,False,6
6,node7-2,node5-8,-10,True,False,6
7,node7-2,node5-8,-10,True,False,6
8,node7-2,node5-8,-10,True,False,8
9,node7-2,node5-8,-10,True,False,7
10,node7-2,node5-8,-10,True,False,8
11,node7-2,node5-8,-10,True,False,7
12,node7-2,node5-8,-10,True,False,6
13,node7-2,node5-8,-10,True,False,7
14,node7-2,node5-8,-10,True,False,7
15,node7-2,node5-8,-10,True,False,5
16,node7-2,node5-8,-10,True,False,6
17,node7-2,node5-8,-10,True,False,7
18,node7-2,node5-8,-10,True,False,6
19,node7-2,node5-8,-10,True,False,7
20,node7-2,node5-8,-10,True,False,5
21,node7-2,node5-8,-10,True,False,6
22,node7-2,node5-8,-10,True,False,7
23,node7-2,node5-8,-10,True,False,8
24,node7-2,node5-8,-10,True,False,7
25,node7-2,node5-8,-10,True,False,6
26,node7-2,node5-8,-10,True,False,6
27,node7-2,node5-8,-10,True,False,7
28,node7-2,node5-8,-10,True,False,7
29,node7-2,node5-8,-10,True,False,7
30,node7-2,node5-8,-10,True,False,7
31,node7-2,node5-8,-10,True,False,6
32,node7-2,node5-8,-10,True,False,6
33,node7-2,node5-8,-10,True,False,5
34,node7-2,node5-8,-10,True,False,6
35,node7-2,node5-8,-10,True,False,5
36,node7-2,node5-8,-10,True,False,5
37,node7-2,node5-8,-10,True,False,6
38,node7-2,node5-8,-10,True,False,7
39,node7-2,node5-8,-10,True,False,7
40,node7-2,node5-8,-10,True,False,7
41,node7-2,node5-8,-10,True,False,7
42,node7-2,node5-8,-10,True,False,6
43,node7-2,node5-8,-10,True,False,7
44,node7-2,node5-8,-10,True,False,7
45,node7-2,node5-8,-10,True,False,8
46,node7-2,node5-8,-10,True,False,7
47,node7-2,node5-8,-10,True,False,8
48,node7-2,node5-8,-10,True,False,7
49,node7-2,node5-8,-10,True,False,6
50,node7-2,node5-8,-10,True,False,6
51,node7-2,node5-8,-10,True,False,7
52,node7-2,node5-8,-10,True,False,7
53,node7-2,node5-8,-10,True,False,7
54,node7-2,node5-8,-10,True,False,7
55,node7-2,node5-8,-10,True,False,6
56,node7-2,node5-8,-10,True,False,8
57,node7-2,node5-8,-10,True,False,6
58,node7-2,node5-8,-10,True,False,5
59,node7-2,node5-8,-10,True,False,7
60,node7-2,node5-8,-10,True,False,6
61,node7-2,node5-8,-10,True,False,7
62,node7-2,node5-8,-10,True,False,7
63,node7-2,node5-8,-10,True,False,8
64,node7-2,node5-8,-10,True,False,7
65,node7-2,node5-8,-10,True,False,6
66,node7-2,node5-8,-10,True,False,6
67,node7-2,node5-8,-10,True,False,7
68,node7-2,node5-8,-10,True,False,6
69,node7-2,node5-8,-10,True,False,6
70,node7-2,node5-8,-10,True,False,7
71,node7-2,node5-8,-10,True,False,7
72,node7-2,node5-8,-10,True,False,6
73,node7-2,node5-8,-10,True,False,6
74,node7-2,node5-8,-10,True,False,8
75,node7-2,node5-8,-10,True,False,6
76,node7-2,node5-8,-10,True,False,7
77,node7-2,node5-8,-10,True,False,6
78,node7-2,node5-8,-10,True,False,7
79,node7-2,node5-8,-10,True,False,6
80,node7-2,node5-8,-10,True,False,7
81,node7-2,node5-8,-10,True,False,6
82,node7-2,node5-8,-10,True,False,6
83,node7-2,node5-8,-10,True,False,7
84,node7-2,node5-8,-10,True,False,6
85,node7-2,node5-8,-10,True,False,7
86,node7-2,node5-8,-10,True,False,7
87,node7-2,node5-8,-10,True,False,6
88,node7-2,node5-8,-10,True,False,6
89,node7-2,node5-8,-10,True,False,6
90,node7-2,node5-8,-10,True,False,7
91,node7-2,node5-8,-10,True,False,5
92,node7-2,node5-8,-10,True,False,6
