seq,src,dst,noise,received,error,rssi
1,node8-3,node3-2,-20,True,False,23
2,node8-3,node3-2,-20,True,False,21
3,node8-3,node3-2,-20,True,False,19
4,node8-3,node3-2,-20,True,False,17
5,node8-3,node3-2,-20,True,False,18
6,node8-3,node3-2,-20,True,False,18
7,node8-3,node3-2,-20,True,False,19
8,node8-3,node3-2,-20,True,False,19
9,node8-3,node3-2,-20,True,False,19
10,node8-3,node3-2,-20,True,False,17
11,node8-3,node3-2,-20,True,False,18
12,node8-3,node3-2,-20,True,False,17
13,node8-3,node3-2,-20,True,False,18
14,node8-3,node3-2,-20,True,False,20
15,node8-3,node3-2,-20,True,False,19
16,node8-3,node3-2,-20,True,False,18
17,node8-3,node3-2,-20,True,False,19
18,node8-3,node3-2,-20,True,False,18
19,node8-3,node3-2,-20,True,False,18
20,node8-3,node3-2,-20,True,False,19
21,node8-3,node3-2,-20,True,False,19
22,node8-3,node3-2,-20,True,False,18
23,node8-3,node3-2,-20,True,False,19
24,node8-3,node3-2,-20,True,False,19
25,node8-3,node3-2,-20,True,False,18
26,node8-3,node3-2,-20,True,False,20
27,node8-3,node3-2,-20,True,False,18
28,node8-3,node3-2,-20,True,False,19
29,node8-3,node3-2,-20,True,False,18
30,node8-3,node3-2,-20,True,False,19
31,node8-3,node3-2,-20,True,False,18
32,node8-3,node3-2,-20,True,False,17
33,node8-3,node3-2,-20,True,False,19
34,node8-3,node3-2,-20,True,False,19
35,node8-3,node3-2,-20,True,False,19
36,node8-3,node3-2,-20,True,False,19
37,node8-3,node3-2,-20,True,False,19
38,node8-3,node3-2,-20,True,False,20
39,node8-3,node3-2,-20,True,False,20
40,node8-3,node3-2,-20,True,False,19
41,node8-3,node3-2,-20,True,False,18
42,node8-3,node3-2,-20,True,False,19
43,node8-3,node3-2,-20,True,False,19
44,node8-3,node3-2,-20,True,False,19
45,node8-3,node3-2,-20,True,False,18
46,node8-3,node3-2,-20,True,False,17
47,node8-3,node3-2,-20,True,False,20
48,node8-3,node3-2,-20,True,False,18
49,node8-3,node3-2,-20,True,False,19
50,node8-3,node3-2,-20,True,False,20
51,node8-3,node3-2,-20,True,False,18
52,node8-3,node3-2,-20,True,False,19
53,node8-3,node3-2,-20,True,False,20
54,node8-3,node3-2,-20,True,False,20
55,node8-3,node3-2,-20,True,False,19
56,node8-3,node3-2,-20,True,False,20
57,node8-3,node3-2,-20,True,False,20
58,node8-3,node3-2,-20,True,False,17
59,node8-3,node3-2,-20,True,False,19
60,node8-3,node3-2,-20,True,False,18
61,node8-3,node3-2,-20,True,False,20
62,node8-3,node3-2,-20,True,False,19
63,node8-3,node3-2,-20,True,False,20
64,node8-3,node3-2,-20,True,False,19
65,node8-3,node3-2,-20,True,False,17
66,node8-3,node3-2,-20,True,False,17
67,node8-3,node3-2,-20,True,False,18
68,node8-3,node3-2,-20,True,False,19
69,node8-3,node3-2,-20,True,False,19
70,node8-3,node3-2,-20,True,False,19
71,node8-3,node3-2,-20,True,False,19
72,node8-3,node3-2,-20,True,False,19
73,node8-3,node3-2,-20,True,False,18
74,node8-3,node3-2,-20,True,False,20
75,node8-3,node3-2,-20,True,False,19
76,node8-3,node3-2,-20,True,False,18
77,node8-3,node3-2,-20,True,False,16
78,node8-3,node3-2,-20,True,False,20
79,node8-3,node3-2,-20,True,False,19
80,node8-3,node3-2,-20,True,False,18
81,node8-3,node3-2,-20,True,False,17
82,node8-3,node3-2,-20,True,False,15
83,node8-3,node3-2,-20,True,False,18
84,node8-3,node3-2,-20,True,False,18
85,node8-3,node3-2,-20,True,False,18
86,node8-3,node3-2,-20,True,False,19
87,node8-3,node3-2,-20,True,False,16
88,node8-3,node3-2,-20,True,False,19
89,node8-3,node3-2,-20,True,False,20
90,node8-3,node3-2,-20,True,False,18
91,node8-3,node3-2,-20,True,False,18
92,node8-3,node3-2,-20,True,False,17
93,node8-3,node3-2,-20,True,False,18
94,node8-3,node3-2,-20,True,False,17
95,node8-3,node3-2,-20,True,False,18
96,node8-3,node3-2,-20,True,False,17
97,node8-3,node3-2,-20,True,False,18
98,node8-3,node3-2,-20,True,False,17
99,node8-3,node3-2,-20,True,False,18
100,node8-3,node3-2,-20,True,False,16
101,node8-3,node3-2,-20,True,False,17
102,node8-3,node3-2,-20,True,False,19
103,node8-3,node3-2,-20,True,False,18
104,node8-3,node3-2,-20,True,False,18
105,node8-3,node3-2,-20,True,False,20
106,node8-3,node3-2,-20,True,False,19
107,node8-3,node3-2,-20,True,False,18
108,node8-3,node3-2,-20,True,False,18
109,node8-3,node3-2,-20,True,False,19
110,node8-3,node3-2,-20,True,False,19
111,node8-3,node3-2,-20,True,False,18
112,node8-3,node3-2,-20,True,False,17
113,node8-3,node3-2,-20,True,False,18
114,node8-3,node3-2,-20,True,False,19
115,node8-3,node3-2,-20,True,False,20
116,node8-3,node3-2,-20,True,False,19
117,node8-3,node3-2,-20,True,False,18
118,node8-3,node3-2,-20,True,False,20
119,node8-3,node3-2,-20,True,False,19
120,node8-3,node3-2,-20,True,False,19
121,node8-3,node3-2,-20,True,False,18
122,node8-3,node3-2,-20,True,False,19
123,node8-3,node3-2,-20,True,False,19
124,node8-3,node3-2,-20,True,False,20
125,node8-3,node3-2,-20,True,False,19
126,node8-3,node3-2,-20,True,False,19
127,node8-3,node3-2,-20,True,False,19
128,node8-3,node3-2,-20,True,False,20
129,node8-3,node3-2,-20,True,False,19
130,node8-3,node3-2,-20,True,False,19
131,node8-3,node3-2,-20,True,False,18
132,node8-3,node3-2,-20,True,False,18
133,node8-3,node3-2,-20,True,False,18
134,node8-3,node3-2,-20,True,False,18
135,node8-3,node3-2,-20,True,False,18
136,node8-3,node3-2,-20,True,False,20
137,node8-3,node3-2,-20,True,False,19
138,node8-3,node3-2,-20,True,False,15
139,node8-3,node3-2,-20,True,False,20
140,node8-3,node3-2,-20,True,False,17
141,node8-3,node3-2,-20,True,False,18
142,node8-3,node3-2,-20,True,False,17
143,node8-3,node3-2,-20,True,False,19
144,node8-3,node3-2,-20,True,False,18
145,node8-3,node3-2,-20,True,False,19
146,node8-3,node3-2,-20,True,False,17
147,node8-3,node3-2,-20,True,False,20
148,node8-3,node3-2,-20,True,False,17
149,node8-3,node3-2,-20,True,False,17
150,node8-3,node3-2,-20,True,False,18
151,node8-3,node3-2,-20,True,False,19
152,node8-3,node3-2,-20,True,False,17
153,node8-3,node3-2,-20,True,False,18
154,node8-3,node3-2,-20,True,False,18
155,node8-3,node3-2,-20,True,False,19
156,node8-3,node3-2,-20,True,False,17
157,node8-3,node3-2,-20,True,False,19
158,node8-3,node3-2,-20,True,False,18
159,node8-3,node3-2,-20,True,False,18
160,node8-3,node3-2,-20,True,False,17
161,node8-3,node3-2,-20,True,False,17
162,node8-3,node3-2,-20,True,False,18
163,node8-3,node3-2,-20,True,False,18
164,node8-3,node3-2,-20,True,False,18
165,node8-3,node3-2,-20,True,False,19
166,node8-3,node3-2,-20,True,False,20
167,node8-3,node3-2,-20,True,False,19
168,node8-3,node3-2,-20,True,False,18
169,node8-3,node3-2,-20,True,False,19
170,node8-3,node3-2,-20,True,False,20
171,node8-3,node3-2,-20,True,False,18
172,node8-3,node3-2,-20,True,False,19
173,node8-3,node3-2,-20,True,False,19
174,node8-3,node3-2,-20,True,False,17
175,node8-3,node3-2,-20,True,False,19
176,node8-3,node3-2,-20,True,False,18
177,node8-3,node3-2,-20,True,False,18
178,node8-3,node3-2,-20,True,False,18
179,node8-3,node3-2,-20,True,False,19
180,node8-3,node3-2,-20,True,False,18
181,node8-3,node3-2,-20,True,False,18
182,node8-3,node3-2,-20,True,False,19
183,node8-3,node3-2,-20,True,False,17
184,node8-3,node3-2,-20,True,False,19
185,node8-3,node3-2,-20,True,False,17
186,node8-3,node3-2,-20,True,False,19
187,node8-3,node3-2,-20,True,False,19
188,node8-3,node3-2,-20,True,False,17
189,node8-3,node3-2,-20,True,False,20
190,node8-3,node3-2,-20,True,False,20
191,node8-3,node3-2,-20,True,False,19
192,node8-3,node3-2,-20,True,False,17
193,node8-3,node3-2,-20,True,False,20
194,node8-3,node3-2,-20,True,False,19
195,node8-3,node3-2,-20,True,False,19
196,node8-3,node3-2,-20,True,False,19
197,node8-3,node3-2,-20,True,False,19
198,node8-3,node3-2,-20,True,False,17
199,node8-3,node3-2,-20,True,False,20
200,node8-3,node3-2,-20,True,False,19
201,node8-3,node3-2,-20,True,False,20
202,node8-3,node3-2,-20,True,False,18
203,node8-3,node3-2,-20,True,False,18
204,node8-3,node3-2,-20,True,False,18
205,node8-3,node3-2,-20,True,False,18
206,node8-3,node3-2,-20,True,False,20
207,node8-3,node3-2,-20,True,False,19
208,node8-3,node3-2,-20,True,False,20
209,node8-3,node3-2,-20,True,False,18
210,node8-3,node3-2,-20,True,False,16
211,node8-3,node3-2,-20,True,False,19
212,node8-3,node3-2,-20,True,False,17
213,node8-3,node3-2,-20,True,False,19
214,node8-3,node3-2,-20,True,False,18
215,node8-3,node3-2,-20,True,False,19
216,node8-3,node3-2,-20,True,False,20
217,node8-3,node3-2,-20,True,False,19
218,node8-3,node3-2,-20,True,False,20
219,node8-3,node3-2,-20,True,False,20
220,node8-3,node3-2,-20,True,False,19
221,node8-3,node3-2,-20,True,False,18
222,node8-3,node3-2,-20,True,False,18
223,node8-3,node3-2,-20,True,False,18
224,node8-3,node3-2,-20,True,False,18
225,node8-3,node3-2,-20,True,False,20
226,node8-3,node3-2,-20,True,False,18
227,node8-3,node3-2,-20,True,False,19
228,node8-3,node3-2,-20,True,False,18
229,node8-3,node3-2,-20,True,False,19
230,node8-3,node3-2,-20,True,False,20
231,node8-3,node3-2,-20,True,False,19
232,node8-3,node3-2,-20,True,False,19
233,node8-3,node3-2,-20,True,False,18
234,node8-3,node3-2,-20,True,False,19
235,node8-3,node3-2,-20,True,False,19
236,node8-3,node3-2,-20,True,False,20
237,node8-3,node3-2,-20,True,False,19
238,node8-3,node3-2,-20,True,False,19
239,node8-3,node3-2,-20,True,False,17
240,node8-3,node3-2,-20,True,False,19
241,node8-3,node3-2,-20,True,False,20
242,node8-3,node3-2,-20,True,False,20
243,node8-3,node3-2,-20,True,False,18
244,node8-3,node3-2,-20,True,False,17
245,node8-3,node3-2,-20,True,False,19
246,node8-3,node3-2,-20,True,False,20
247,node8-3,node3-2,-20,True,False,18
248,node8-3,node3-2,-20,True,False,17
249,node8-3,node3-2,-20,True,False,18
250,node8-3,node3-2,-20,True,False,18
251,node8-3,node3-2,-20,True,False,20
252,node8-3,node3-2,-20,True,False,17
253,node8-3,node3-2,-20,True,False,18
254,node8-3,node3-2,-20,True,False,18
255,node8-3,node3-2,-20,True,False,20
256,node8-3,node3-2,-20,True,False,18
257,node8-3,node3-2,-20,True,False,19
258,node8-3,node3-2,-20,True,False,20
259,node8-3,node3-2,-20,True,False,17
260,node8-3,node3-2,-20,True,False,17
261,node8-3,node3-2,-20,True,False,17
262,node8-3,node3-2,-20,True,False,19
263,node8-3,node3-2,-20,True,False,20
264,node8-3,node3-2,-20,True,False,18
265,node8-3,node3-2,-20,True,False,17
266,node8-3,node3-2,-20,True,False,18
267,node8-3,node3-2,-20,True,False,19
268,node8-3,node3-2,-20,True,False,19
269,node8-3,node3-2,-20,True,False,19
270,node8-3,node3-2,-20,True,False,20
271,node8-3,node3-2,-20,True,False,18
272,node8-3,node3-2,-20,True,False,18
273,node8-3,node3-2,-20,True,False,18
274,node8-3,node3-2,-20,True,False,19
275,node8-3,node3-2,-20,True,False,20
276,node8-3,node3-2,-20,True,False,19
277,node8-3,node3-2,-20,True,False,18
278,node8-3,node3-2,-20,True,False,18
279,node8-3,node3-2,-20,True,False,20
280,node8-3,node3-2,-20,True,False,18
281,node8-3,node3-2,-20,True,False,19
282,node8-3,node3-2,-20,True,False,19
283,node8-3,node3-2,-20,True,False,18
284,node8-3,node3-2,-20,True,False,17
285,node8-3,node3-2,-20,True,False,20
286,node8-3,node3-2,-20,True,False,19
