seq,src,dst,noise,received,error,rssi
1,node4-1,node7-6,-10,True,False,11
2,node4-1,node7-6,-10,True,False,9
3,node4-1,node7-6,-10,True,False,8
4,node4-1,node7-6,-10,True,False,4
5,node4-1,node7-6,-10,True,False,6
6,node4-1,node7-6,-10,True,False,5
7,node4-1,node7-6,-10,True,False,7
8,node4-1,node7-6,-10,True,False,6
9,node4-1,node7-6,-10,True,False,6
10,node4-1,node7-6,-10,True,False,6
11,node4-1,node7-6,-10,True,False,7
12,node4-1,node7-6,-10,True,False,7
13,node4-1,node7-6,-10,True,False,7
14,node4-1,node7-6,-10,True,False,5
15,node4-1,node7-6,-10,True,False,6
16,node4-1,node7-6,-10,True,False,5
17,node4-1,node7-6,-10,True,False,6
18,node4-1,node7-6,-10,True,False,6
19,node4-1,node7-6,-10,True,False,7
20,node4-1,node7-6,-10,True,False,6
21,node4-1,node7-6,-10,True,False,6
22,node4-1,node7-6,-10,True,False,5
23,node4-1,node7-6,-10,True,False,7
24,node4-1,node7-6,-10,True,False,6
25,node4-1,node7-6,-10,True,False,5
26,node4-1,node7-6,-10,True,False,5
27,node4-1,node7-6,-10,True,False,7
28,node4-1,node7-6,-10,True,False,6
29,node4-1,node7-6,-10,True,False,5
30,node4-1,node7-6,-10,True,False,7
31,node4-1,node7-6,-10,True,False,7
32,node4-1,node7-6,-10,True,False,7
33,node4-1,node7-6,-10,True,False,6
34,node4-1,node7-6,-10,True,False,5
35,node4-1,node7-6,-10,True,False,6
36,node4-1,node7-6,-10,True,False,7
37,node4-1,node7-6,-10,True,False,5
38,node4-1,node7-6,-10,True,False,7
39,node4-1,node7-6,-10,True,False,5
40,node4-1,node7-6,-10,True,False,5
41,node4-1,node7-6,-10,True,False,7
42,node4-1,node7-6,-10,True,False,6
43,node4-1,node7-6,-10,True,False,5
44,node4-1,node7-6,-10,True,False,5
45,node4-1,node7-6,-10,True,False,7
46,node4-1,node7-6,-10,True,False,6
47,node4-1,node7-6,-10,True,False,6
48,node4-1,node7-6,-10,True,False,7
49,node4-1,node7-6,-10,True,False,6
50,node4-1,node7-6,-10,True,False,6
51,node4-1,node7-6,-10,True,False,6
52,node4-1,node7-6,-10,True,False,7
53,node4-1,node7-6,-10,True,False,5
54,node4-1,node7-6,-10,True,False,5
55,node4-1,node7-6,-10,True,False,6
56,node4-1,node7-6,-10,True,False,6
57,node4-1,node7-6,-10,True,False,7
58,node4-1,node7-6,-10,True,False,6
59,node4-1,node7-6,-10,True,False,6
60,node4-1,node7-6,-10,True,False,5
61,node4-1,node7-6,-10,True,False,6
62,node4-1,node7-6,-10,True,False,7
63,node4-1,node7-6,-10,True,False,6
64,node4-1,node7-6,-10,True,False,6
65,node4-1,node7-6,-10,True,False,6
66,node4-1,node7-6,-10,True,False,6
67,node4-1,node7-6,-10,True,False,7
68,node4-1,node7-6,-10,True,False,8
69,node4-1,node7-6,-10,True,False,5
70,node4-1,node7-6,-10,True,False,7
71,node4-1,node7-6,-10,True,False,6
72,node4-1,node7-6,-10,True,False,6
73,node4-1,node7-6,-10,True,False,5
74,node4-1,node7-6,-10,True,False,5
75,node4-1,node7-6,-10,True,False,4
76,node4-1,node7-6,-10,True,False,6
77,node4-1,node7-6,-10,True,False,4
78,node4-1,node7-6,-10,True,False,8
79,node4-1,node7-6,-10,True,False,6
80,node4-1,node7-6,-10,True,False,7
81,node4-1,node7-6,-10,True,False,7
82,node4-1,node7-6,-10,True,False,6
83,node4-1,node7-6,-10,True,False,5
84,node4-1,node7-6,-10,True,False,5
85,node4-1,node7-6,-10,True,False,6
86,node4-1,node7-6,-10,True,False,6
87,node4-1,node7-6,-10,True,False,9
88,node4-1,node7-6,-10,True,False,6
89,node4-1,node7-6,-10,True,False,6
90,node4-1,node7-6,-10,True,False,5
91,node4-1,node7-6,-10,True,False,7
92,node4-1,node7-6,-10,True,False,7
93,node4-1,node7-6,-10,True,False,6
94,node4-1,node7-6,-10,True,False,6
95,node4-1,node7-6,-10,True,False,5
96,node4-1,node7-6,-10,True,False,8
97,node4-1,node7-6,-10,True,False,5
98,node4-1,node7-6,-10,True,False,5
99,node4-1,node7-6,-10,True,False,5
100,node4-1,node7-6,-10,True,False,6
101,node4-1,node7-6,-10,True,False,6
102,node4-1,node7-6,-10,True,False,5
103,node4-1,node7-6,-10,True,False,5
104,node4-1,node7-6,-10,True,False,6
105,node4-1,node7-6,-10,True,False,5
106,node4-1,node7-6,-10,True,False,5
107,node4-1,node7-6,-10,True,False,6
108,node4-1,node7-6,-10,True,False,6
109,node4-1,node7-6,-10,True,False,5
110,node4-1,node7-6,-10,True,False,6
111,node4-1,node7-6,-10,True,False,5
112,node4-1,node7-6,-10,True,False,7
113,node4-1,node7-6,-10,True,False,6
114,node4-1,node7-6,-10,True,False,5
115,node4-1,node7-6,-10,True,False,7
116,node4-1,node7-6,-10,True,False,7
117,node4-1,node7-6,-10,True,False,6
118,node4-1,node7-6,-10,True,False,6
119,node4-1,node7-6,-10,True,False,8
120,node4-1,node7-6,-10,True,False,5
121,node4-1,node7-6,-10,True,False,6
122,node4-1,node7-6,-10,True,False,6
123,node4-1,node7-6,-10,True,False,7
124,node4-1,node7-6,-10,True,False,6
125,node4-1,node7-6,-10,True,False,7
126,node4-1,node7-6,-10,True,False,4
127,node4-1,node7-6,-10,True,False,6
128,node4-1,node7-6,-10,True,False,6
129,node4-1,node7-6,-10,True,False,6
130,node4-1,node7-6,-10,True,False,6
