seq,src,dst,noise,received,error,rssi
1,node4-3,node6-5,-20,True,False,17
2,node4-3,node6-5,-20,True,False,15
3,node4-3,node6-5,-20,True,False,13
4,node4-3,node6-5,-20,True,False,10
5,node4-3,node6-5,-20,True,False,9
6,node4-3,node6-5,-20,True,False,11
7,node4-3,node6-5,-20,True,False,11
8,node4-3,node6-5,-20,True,False,10
9,node4-3,node6-5,-20,True,False,10
10,node4-3,node6-5,-20,True,False,10
11,node4-3,node6-5,-20,True,False,10
12,node4-3,node6-5,-20,True,False,10
13,node4-3,node6-5,-20,True,False,10
14,node4-3,node6-5,-20,True,False,11
15,node4-3,node6-5,-20,True,False,11
16,node4-3,node6-5,-20,True,False,9
17,node4-3,node6-5,-20,True,False,10
18,node4-3,node6-5,-20,True,False,10
19,node4-3,node6-5,-20,True,False,10
20,node4-3,node6-5,-20,True,False,10
21,node4-3,node6-5,-20,True,False,10
22,node4-3,node6-5,-20,True,False,9
23,node4-3,node6-5,-20,True,False,11
24,node4-3,node6-5,-20,True,False,11
25,node4-3,node6-5,-20,True,False,11
26,node4-3,node6-5,-20,True,False,12
27,node4-3,node6-5,-20,True,False,10
28,node4-3,node6-5,-20,True,False,11
29,node4-3,node6-5,-20,True,False,11
30,node4-3,node6-5,-20,True,False,11
31,node4-3,node6-5,-20,True,False,11
32,node4-3,node6-5,-20,True,False,11
33,node4-3,node6-5,-20,True,False,11
34,node4-3,node6-5,-20,True,False,10
35,node4-3,node6-5,-20,True,False,9
36,node4-3,node6-5,-20,True,False,11
37,node4-3,node6-5,-20,True,False,10
38,node4-3,node6-5,-20,True,False,10
39,node4-3,node6-5,-20,True,False,10
40,node4-3,node6-5,-20,True,False,9
41,node4-3,node6-5,-20,True,False,11
42,node4-3,node6-5,-20,True,False,10
43,node4-3,node6-5,-20,True,False,11
44,node4-3,node6-5,-20,True,False,10
45,node4-3,node6-5,-20,True,False,10
46,node4-3,node6-5,-20,True,False,11
47,node4-3,node6-5,-20,True,False,10
48,node4-3,node6-5,-20,True,False,10
49,node4-3,node6-5,-20,True,False,10
50,node4-3,node6-5,-20,True,False,10
51,node4-3,node6-5,-20,True,False,10
52,node4-3,node6-5,-20,True,False,11
53,node4-3,node6-5,-20,True,False,11
54,node4-3,node6-5,-20,True,False,11
55,node4-3,node6-5,-20,True,False,10
56,node4-3,node6-5,-20,True,False,10
57,node4-3,node6-5,-20,True,False,10
58,node4-3,node6-5,-20,True,False,11
59,node4-3,node6-5,-20,True,False,10
60,node4-3,node6-5,-20,True,False,11
61,node4-3,node6-5,-20,True,False,11
62,node4-3,node6-5,-20,True,False,11
63,node4-3,node6-5,-20,True,False,11
64,node4-3,node6-5,-20,True,False,10
65,node4-3,node6-5,-20,True,False,10
66,node4-3,node6-5,-20,True,False,10
67,node4-3,node6-5,-20,True,False,10
68,node4-3,node6-5,-20,True,False,9
69,node4-3,node6-5,-20,True,False,11
70,node4-3,node6-5,-20,True,False,11
71,node4-3,node6-5,-20,True,False,10
72,node4-3,node6-5,-20,True,False,10
73,node4-3,node6-5,-20,True,False,11
74,node4-3,node6-5,-20,True,False,10
75,node4-3,node6-5,-20,True,False,11
76,node4-3,node6-5,-20,True,False,9
77,node4-3,node6-5,-20,True,False,11
78,node4-3,node6-5,-20,True,False,10
79,node4-3,node6-5,-20,True,False,10
80,node4-3,node6-5,-20,True,False,11
81,node4-3,node6-5,-20,True,False,11
82,node4-3,node6-5,-20,True,False,10
83,node4-3,node6-5,-20,True,False,11
84,node4-3,node6-5,-20,True,False,11
85,node4-3,node6-5,-20,True,False,11
86,node4-3,node6-5,-20,True,False,10
87,node4-3,node6-5,-20,True,False,11
88,node4-3,node6-5,-20,True,False,11
89,node4-3,node6-5,-20,True,False,11
90,node4-3,node6-5,-20,True,False,11
91,node4-3,node6-5,-20,True,False,11
92,node4-3,node6-5,-20,True,False,9
93,node4-3,node6-5,-20,True,False,11
94,node4-3,node6-5,-20,True,False,10
95,node4-3,node6-5,-20,True,False,9
96,node4-3,node6-5,-20,True,False,9
97,node4-3,node6-5,-20,True,False,11
98,node4-3,node6-5,-20,True,False,10
99,node4-3,node6-5,-20,True,False,10
100,node4-3,node6-5,-20,True,False,10
101,node4-3,node6-5,-20,True,False,10
102,node4-3,node6-5,-20,True,False,10
103,node4-3,node6-5,-20,True,False,11
104,node4-3,node6-5,-20,True,False,10
105,node4-3,node6-5,-20,True,False,10
106,node4-3,node6-5,-20,True,False,10
107,node4-3,node6-5,-20,True,False,10
108,node4-3,node6-5,-20,True,False,10
109,node4-3,node6-5,-20,True,False,10
110,node4-3,node6-5,-20,True,False,10
111,node4-3,node6-5,-20,True,False,11
112,node4-3,node6-5,-20,True,False,10
113,node4-3,node6-5,-20,True,False,11
114,node4-3,node6-5,-20,True,False,10
115,node4-3,node6-5,-20,True,False,10
116,node4-3,node6-5,-20,True,False,12
117,node4-3,node6-5,-20,True,False,10
118,node4-3,node6-5,-20,True,False,11
119,node4-3,node6-5,-20,True,False,11
