seq,src,dst,noise,received,error,rssi
1,node2-1,node7-2,-20,True,False,12
2,node2-1,node7-2,-20,True,False,12
3,node2-1,node7-2,-20,True,False,8
4,node2-1,node7-2,-20,True,False,11
5,node2-1,node7-2,-20,True,False,9
6,node2-1,node7-2,-20,True,False,8
7,node2-1,node7-2,-20,True,False,9
8,node2-1,node7-2,-20,True,False,9
9,node2-1,node7-2,-20,True,False,8
10,node2-1,node7-2,-20,True,False,8
11,node2-1,node7-2,-20,True,False,9
12,node2-1,node7-2,-20,True,False,9
13,node2-1,node7-2,-20,True,False,8
14,node2-1,node7-2,-20,True,False,9
15,node2-1,node7-2,-20,True,False,8
16,node2-1,node7-2,-20,True,False,9
17,node2-1,node7-2,-20,True,False,8
18,node2-1,node7-2,-20,True,False,9
19,node2-1,node7-2,-20,True,False,9
20,node2-1,node7-2,-20,True,False,9
21,node2-1,node7-2,-20,True,False,8
22,node2-1,node7-2,-20,True,False,9
23,node2-1,node7-2,-20,True,False,9
24,node2-1,node7-2,-20,True,False,8
25,node2-1,node7-2,-20,True,False,9
26,node2-1,node7-2,-20,True,False,8
27,node2-1,node7-2,-20,True,False,9
28,node2-1,node7-2,-20,True,False,8
29,node2-1,node7-2,-20,True,False,9
30,node2-1,node7-2,-20,True,False,9
31,node2-1,node7-2,-20,True,False,8
32,node2-1,node7-2,-20,True,False,9
33,node2-1,node7-2,-20,True,False,8
34,node2-1,node7-2,-20,True,False,8
35,node2-1,node7-2,-20,True,False,9
36,node2-1,node7-2,-20,True,False,9
37,node2-1,node7-2,-20,True,False,9
38,node2-1,node7-2,-20,True,False,9
39,node2-1,node7-2,-20,True,False,9
40,node2-1,node7-2,-20,True,False,7
41,node2-1,node7-2,-20,True,False,8
42,node2-1,node7-2,-20,True,False,9
43,node2-1,node7-2,-20,True,False,9
44,node2-1,node7-2,-20,True,False,8
45,node2-1,node7-2,-20,True,False,9
46,node2-1,node7-2,-20,True,False,9
47,node2-1,node7-2,-20,True,False,8
48,node2-1,node7-2,-20,True,False,8
49,node2-1,node7-2,-20,True,False,9
50,node2-1,node7-2,-20,True,False,9
51,node2-1,node7-2,-20,True,False,9
52,node2-1,node7-2,-20,True,False,8
53,node2-1,node7-2,-20,True,False,9
54,node2-1,node7-2,-20,True,False,8
55,node2-1,node7-2,-20,True,False,8
56,node2-1,node7-2,-20,True,False,9
57,node2-1,node7-2,-20,True,False,8
58,node2-1,node7-2,-20,True,False,9
59,node2-1,node7-2,-20,True,False,6
60,node2-1,node7-2,-20,True,False,8
61,node2-1,node7-2,-20,True,False,9
62,node2-1,node7-2,-20,True,False,9
63,node2-1,node7-2,-20,True,False,8
64,node2-1,node7-2,-20,True,False,7
65,node2-1,node7-2,-20,True,False,9
66,node2-1,node7-2,-20,True,False,8
67,node2-1,node7-2,-20,True,False,9
68,node2-1,node7-2,-20,True,False,7
69,node2-1,node7-2,-20,True,False,9
70,node2-1,node7-2,-20,True,False,8
71,node2-1,node7-2,-20,True,False,9
72,node2-1,node7-2,-20,True,False,7
73,node2-1,node7-2,-20,True,False,8
74,node2-1,node7-2,-20,True,False,8
75,node2-1,node7-2,-20,True,False,9
76,node2-1,node7-2,-20,True,False,10
77,node2-1,node7-2,-20,True,False,8
78,node2-1,node7-2,-20,True,False,10
79,node2-1,node7-2,-20,True,False,8
80,node2-1,node7-2,-20,True,False,8
81,node2-1,node7-2,-20,True,False,7
82,node2-1,node7-2,-20,True,False,8
83,node2-1,node7-2,-20,True,False,8
84,node2-1,node7-2,-20,True,False,7
85,node2-1,node7-2,-20,True,False,10
86,node2-1,node7-2,-20,True,False,8
87,node2-1,node7-2,-20,True,False,9
88,node2-1,node7-2,-20,True,False,8
89,node2-1,node7-2,-20,True,False,8
90,node2-1,node7-2,-20,True,False,9
91,node2-1,node7-2,-20,True,False,8
92,node2-1,node7-2,-20,True,False,8
93,node2-1,node7-2,-20,True,False,8
94,node2-1,node7-2,-20,True,False,8
95,node2-1,node7-2,-20,True,False,8
96,node2-1,node7-2,-20,True,False,8
97,node2-1,node7-2,-20,True,False,8
98,node2-1,node7-2,-20,True,False,9
99,node2-1,node7-2,-20,True,False,9
100,node2-1,node7-2,-20,True,False,8
101,node2-1,node7-2,-20,True,False,8
102,node2-1,node7-2,-20,True,False,8
103,node2-1,node7-2,-20,True,False,8
104,node2-1,node7-2,-20,True,False,8
105,node2-1,node7-2,-20,True,False,8
106,node2-1,node7-2,-20,True,False,9
107,node2-1,node7-2,-20,True,False,10
108,node2-1,node7-2,-20,True,False,9
109,node2-1,node7-2,-20,True,False,10
110,node2-1,node7-2,-20,True,False,8
111,node2-1,node7-2,-20,True,False,9
112,node2-1,node7-2,-20,True,False,10
113,node2-1,node7-2,-20,True,False,9
114,node2-1,node7-2,-20,True,False,10
115,node2-1,node7-2,-20,True,False,9
116,node2-1,node7-2,-20,True,False,7
117,node2-1,node7-2,-20,True,False,10
118,node2-1,node7-2,-20,True,False,9
119,node2-1,node7-2,-20,True,False,9
120,node2-1,node7-2,-20,True,False,8
121,node2-1,node7-2,-20,True,False,7
122,node2-1,node7-2,-20,True,False,10
123,node2-1,node7-2,-20,True,False,8
124,node2-1,node7-2,-20,True,False,8
125,node2-1,node7-2,-20,True,False,10
126,node2-1,node7-2,-20,True,False,8
127,node2-1,node7-2,-20,True,False,9
128,node2-1,node7-2,-20,True,False,7
129,node2-1,node7-2,-20,True,False,8
130,node2-1,node7-2,-20,True,False,11
131,node2-1,node7-2,-20,True,False,8
132,node2-1,node7-2,-20,True,False,9
133,node2-1,node7-2,-20,True,False,9
