seq,src,dst,noise,received,error,rssi
1,node3-2,node1-4,-20,True,False,28
2,node3-2,node1-4,-20,True,False,27
3,node3-2,node1-4,-20,True,False,25
4,node3-2,node1-4,-20,True,False,22
5,node3-2,node1-4,-20,True,False,23
6,node3-2,node1-4,-20,True,False,23
7,node3-2,node1-4,-20,True,False,22
8,node3-2,node1-4,-20,True,False,23
9,node3-2,node1-4,-20,True,False,22
10,node3-2,node1-4,-20,True,False,22
11,node3-2,node1-4,-20,True,False,22
12,node3-2,node1-4,-20,True,False,21
13,node3-2,node1-4,-20,True,False,21
14,node3-2,node1-4,-20,True,False,21
15,node3-2,node1-4,-20,True,False,21
16,node3-2,node1-4,-20,True,False,21
17,node3-2,node1-4,-20,True,False,22
18,node3-2,node1-4,-20,True,False,21
19,node3-2,node1-4,-20,True,False,22
20,node3-2,node1-4,-20,True,False,22
21,node3-2,node1-4,-20,True,False,21
22,node3-2,node1-4,-20,True,False,22
23,node3-2,node1-4,-20,True,False,21
24,node3-2,node1-4,-20,True,False,22
25,node3-2,node1-4,-20,True,False,21
26,node3-2,node1-4,-20,True,False,22
27,node3-2,node1-4,-20,True,False,22
28,node3-2,node1-4,-20,True,False,21
29,node3-2,node1-4,-20,True,False,21
30,node3-2,node1-4,-20,True,False,22
31,node3-2,node1-4,-20,True,False,21
32,node3-2,node1-4,-20,True,False,22
33,node3-2,node1-4,-20,True,False,21
34,node3-2,node1-4,-20,True,False,20
35,node3-2,node1-4,-20,True,False,21
36,node3-2,node1-4,-20,True,False,21
37,node3-2,node1-4,-20,True,False,22
38,node3-2,node1-4,-20,True,False,21
39,node3-2,node1-4,-20,True,False,22
40,node3-2,node1-4,-20,True,False,21
41,node3-2,node1-4,-20,True,False,21
42,node3-2,node1-4,-20,True,False,21
43,node3-2,node1-4,-20,True,False,21
44,node3-2,node1-4,-20,True,False,21
45,node3-2,node1-4,-20,True,False,21
46,node3-2,node1-4,-20,True,False,21
47,node3-2,node1-4,-20,True,False,22
48,node3-2,node1-4,-20,True,False,22
49,node3-2,node1-4,-20,True,False,21
50,node3-2,node1-4,-20,True,False,21
51,node3-2,node1-4,-20,True,False,21
52,node3-2,node1-4,-20,True,False,20
53,node3-2,node1-4,-20,True,False,22
54,node3-2,node1-4,-20,True,False,21
55,node3-2,node1-4,-20,True,False,22
56,node3-2,node1-4,-20,True,False,22
57,node3-2,node1-4,-20,True,False,21
58,node3-2,node1-4,-20,True,False,21
59,node3-2,node1-4,-20,True,False,21
60,node3-2,node1-4,-20,True,False,22
61,node3-2,node1-4,-20,True,False,22
62,node3-2,node1-4,-20,True,False,21
63,node3-2,node1-4,-20,True,False,21
64,node3-2,node1-4,-20,True,False,21
65,node3-2,node1-4,-20,True,False,21
66,node3-2,node1-4,-20,True,False,21
67,node3-2,node1-4,-20,True,False,21
68,node3-2,node1-4,-20,True,False,21
69,node3-2,node1-4,-20,True,False,21
70,node3-2,node1-4,-20,True,False,20
71,node3-2,node1-4,-20,True,False,21
72,node3-2,node1-4,-20,True,False,21
73,node3-2,node1-4,-20,True,False,21
74,node3-2,node1-4,-20,True,False,21
75,node3-2,node1-4,-20,True,False,21
76,node3-2,node1-4,-20,True,False,21
77,node3-2,node1-4,-20,True,False,22
78,node3-2,node1-4,-20,True,False,21
79,node3-2,node1-4,-20,True,False,20
80,node3-2,node1-4,-20,True,False,21
81,node3-2,node1-4,-20,True,False,21
82,node3-2,node1-4,-20,True,False,21
83,node3-2,node1-4,-20,True,False,22
84,node3-2,node1-4,-20,True,False,21
85,node3-2,node1-4,-20,True,False,21
86,node3-2,node1-4,-20,True,False,21
87,node3-2,node1-4,-20,True,False,21
88,node3-2,node1-4,-20,True,False,21
89,node3-2,node1-4,-20,True,False,22
90,node3-2,node1-4,-20,True,False,21
91,node3-2,node1-4,-20,True,False,22
92,node3-2,node1-4,-20,True,False,21
93,node3-2,node1-4,-20,True,False,21
94,node3-2,node1-4,-20,True,False,20
95,node3-2,node1-4,-20,True,False,21
96,node3-2,node1-4,-20,True,False,21
97,node3-2,node1-4,-20,True,False,21
98,node3-2,node1-4,-20,True,False,21
99,node3-2,node1-4,-20,True,False,21
