seq,src,dst,noise,received,error,rssi
1,node1-6,node3-2,0,True,False,4
2,node1-6,node3-2,0,True,False,3
3,node1-6,node3-2,0,True,False,1
4,node1-6,node3-2,0,True,False,2
5,node1-6,node3-2,0,True,False,2
6,node1-6,node3-2,0,False,False,0
7,node1-6,node3-2,0,True,False,1
8,node1-6,node3-2,0,False,False,0
9,node1-6,node3-2,0,True,False,1
10,node1-6,node3-2,0,False,False,0
11,node1-6,node3-2,0,True,False,4
12,node1-6,node3-2,0,True,False,1
13,node1-6,node3-2,0,False,False,0
14,node1-6,node3-2,0,True,False,3
15,node1-6,node3-2,0,False,False,0
16,node1-6,node3-2,0,True,False,2
17,node1-6,node3-2,0,True,False,0
18,node1-6,node3-2,0,True,False,2
19,node1-6,node3-2,0,True,False,1
20,node1-6,node3-2,0,True,False,1
21,node1-6,node3-2,0,True,False,1
22,node1-6,node3-2,0,True,False,3
23,node1-6,node3-2,0,True,False,2
24,node1-6,node3-2,0,True,False,2
25,node1-6,node3-2,0,True,False,2
26,node1-6,node3-2,0,True,False,0
27,node1-6,node3-2,0,False,False,0
28,node1-6,node3-2,0,True,False,1
29,node1-6,node3-2,0,True,False,1
30,node1-6,node3-2,0,True,False,1
31,node1-6,node3-2,0,True,False,1
32,node1-6,node3-2,0,True,False,1
33,node1-6,node3-2,0,False,True,0
34,node1-6,node3-2,0,True,False,2
35,node1-6,node3-2,0,True,False,0
36,node1-6,node3-2,0,True,False,0
37,node1-6,node3-2,0,True,False,1
38,node1-6,node3-2,0,True,False,2
39,node1-6,node3-2,0,False,True,0
40,node1-6,node3-2,0,False,False,0
41,node1-6,node3-2,0,True,False,1
42,node1-6,node3-2,0,True,False,3
43,node1-6,node3-2,0,True,False,1
44,node1-6,node3-2,0,False,False,0
45,node1-6,node3-2,0,True,False,1
46,node1-6,node3-2,0,True,False,0
47,node1-6,node3-2,0,True,False,0
48,node1-6,node3-2,0,True,False,2
49,node1-6,node3-2,0,False,False,0
50,node1-6,node3-2,0,True,False,2
51,node1-6,node3-2,0,False,False,0
52,node1-6,node3-2,0,True,False,1
53,node1-6,node3-2,0,True,False,0
54,node1-6,node3-2,0,True,False,1
55,node1-6,node3-2,0,True,False,0
56,node1-6,node3-2,0,False,False,0
57,node1-6,node3-2,0,True,False,2
58,node1-6,node3-2,0,False,False,0
59,node1-6,node3-2,0,False,True,0
60,node1-6,node3-2,0,True,False,3
61,node1-6,node3-2,0,True,False,0
62,node1-6,node3-2,0,False,False,0
63,node1-6,node3-2,0,True,False,0
64,node1-6,node3-2,0,True,False,2
65,node1-6,node3-2,0,True,False,0
66,node1-6,node3-2,0,True,False,1
67,node1-6,node3-2,0,True,False,1
68,node1-6,node3-2,0,True,False,1
69,node1-6,node3-2,0,True,False,0
70,node1-6,node3-2,0,True,False,0
71,node1-6,node3-2,0,True,False,1
72,node1-6,node3-2,0,True,False,3
73,node1-6,node3-2,0,True,False,1
74,node1-6,node3-2,0,True,False,2
75,node1-6,node3-2,0,True,False,1
76,node1-6,node3-2,0,True,False,2
77,node1-6,node3-2,0,True,False,1
78,node1-6,node3-2,0,True,False,3
79,node1-6,node3-2,0,True,False,2
80,node1-6,node3-2,0,True,False,3
81,node1-6,node3-2,0,False,False,0
82,node1-6,node3-2,0,True,False,2
83,node1-6,node3-2,0,False,False,0
84,node1-6,node3-2,0,False,False,0
85,node1-6,node3-2,0,True,False,4
86,node1-6,node3-2,0,True,False,1
87,node1-6,node3-2,0,True,False,1
88,node1-6,node3-2,0,False,False,0
89,node1-6,node3-2,0,True,False,2
90,node1-6,node3-2,0,True,False,2
91,node1-6,node3-2,0,True,False,0
92,node1-6,node3-2,0,True,False,4
93,node1-6,node3-2,0,True,False,3
94,node1-6,node3-2,0,True,False,2
95,node1-6,node3-2,0,True,False,2
96,node1-6,node3-2,0,True,False,1
97,node1-6,node3-2,0,True,False,4
98,node1-6,node3-2,0,True,False,1
99,node1-6,node3-2,0,True,False,2
100,node1-6,node3-2,0,True,False,2
101,node1-6,node3-2,0,False,False,0
102,node1-6,node3-2,0,True,False,0
103,node1-6,node3-2,0,True,False,0
