seq,src,dst,noise,received,error,rssi
1,node6-1,node8-1,0,True,False,7
2,node6-1,node8-1,0,True,False,8
3,node6-1,node8-1,0,True,False,5
4,node6-1,node8-1,0,True,False,1
5,node6-1,node8-1,0,True,False,3
6,node6-1,node8-1,0,True,False,2
7,node6-1,node8-1,0,True,False,1
8,node6-1,node8-1,0,True,False,2
9,node6-1,node8-1,0,True,False,3
10,node6-1,node8-1,0,True,False,2
11,node6-1,node8-1,0,True,False,1
12,node6-1,node8-1,0,True,False,3
13,node6-1,node8-1,0,True,False,0
14,node6-1,node8-1,0,True,False,4
15,node6-1,node8-1,0,True,False,3
16,node6-1,node8-1,0,True,False,3
17,node6-1,node8-1,0,True,False,0
18,node6-1,node8-1,0,True,False,3
19,node6-1,node8-1,0,True,False,3
20,node6-1,node8-1,0,True,False,3
21,node6-1,node8-1,0,True,False,3
22,node6-1,node8-1,0,True,False,3
23,node6-1,node8-1,0,True,False,2
24,node6-1,node8-1,0,True,False,3
25,node6-1,node8-1,0,True,False,4
26,node6-1,node8-1,0,True,False,2
27,node6-1,node8-1,0,True,False,2
28,node6-1,node8-1,0,True,False,2
29,node6-1,node8-1,0,True,False,3
30,node6-1,node8-1,0,True,False,3
31,node6-1,node8-1,0,True,False,3
32,node6-1,node8-1,0,True,False,3
33,node6-1,node8-1,0,True,False,1
34,node6-1,node8-1,0,True,False,2
35,node6-1,node8-1,0,True,False,4
36,node6-1,node8-1,0,True,False,1
37,node6-1,node8-1,0,True,False,3
38,node6-1,node8-1,0,True,False,2
39,node6-1,node8-1,0,True,False,4
40,node6-1,node8-1,0,True,False,2
41,node6-1,node8-1,0,True,False,2
42,node6-1,node8-1,0,True,False,4
43,node6-1,node8-1,0,True,False,4
44,node6-1,node8-1,0,True,False,4
45,node6-1,node8-1,0,True,False,3
46,node6-1,node8-1,0,True,False,3
47,node6-1,node8-1,0,True,False,3
48,node6-1,node8-1,0,True,False,3
49,node6-1,node8-1,0,True,False,3
50,node6-1,node8-1,0,True,False,3
51,node6-1,node8-1,0,True,False,1
52,node6-1,node8-1,0,True,False,4
53,node6-1,node8-1,0,True,False,2
54,node6-1,node8-1,0,True,False,1
55,node6-1,node8-1,0,True,False,3
56,node6-1,node8-1,0,True,False,1
57,node6-1,node8-1,0,True,False,3
58,node6-1,node8-1,0,True,False,2
59,node6-1,node8-1,0,True,False,2
60,node6-1,node8-1,0,True,False,1
61,node6-1,node8-1,0,True,False,2
62,node6-1,node8-1,0,True,False,2
63,node6-1,node8-1,0,True,False,2
64,node6-1,node8-1,0,True,False,3
65,node6-1,node8-1,0,True,False,2
66,node6-1,node8-1,0,True,False,2
67,node6-1,node8-1,0,True,False,3
68,node6-1,node8-1,0,True,False,2
69,node6-1,node8-1,0,True,False,3
70,node6-1,node8-1,0,True,False,2
71,node6-1,node8-1,0,True,False,3
72,node6-1,node8-1,0,True,False,2
73,node6-1,node8-1,0,True,False,3
74,node6-1,node8-1,0,True,False,4
75,node6-1,node8-1,0,True,False,2
76,node6-1,node8-1,0,True,False,2
77,node6-1,node8-1,0,True,False,3
78,node6-1,node8-1,0,True,False,2
79,node6-1,node8-1,0,True,False,3
80,node6-1,node8-1,0,True,False,2
81,node6-1,node8-1,0,True,False,1
82,node6-1,node8-1,0,True,False,2
83,node6-1,node8-1,0,True,False,3
84,node6-1,node8-1,0,True,False,4
85,node6-1,node8-1,0,True,False,1
86,node6-1,node8-1,0,True,False,2
87,node6-1,node8-1,0,True,False,2
88,node6-1,node8-1,0,True,False,3
89,node6-1,node8-1,0,True,False,2
90,node6-1,node8-1,0,True,False,1
91,node6-1,node8-1,0,True,False,3
92,node6-1,node8-1,0,True,False,2
93,node6-1,node8-1,0,True,False,2
94,node6-1,node8-1,0,True,False,3
95,node6-1,node8-1,0,True,False,3
96,node6-1,node8-1,0,True,False,2
97,node6-1,node8-1,0,True,False,1
98,node6-1,node8-1,0,True,False,3
99,node6-1,node8-1,0,True,False,1
100,node6-1,node8-1,0,True,False,2
101,node6-1,node8-1,0,True,False,3
102,node6-1,node8-1,0,True,False,3
103,node6-1,node8-1,0,True,False,2
104,node6-1,node8-1,0,True,False,3
105,node6-1,node8-1,0,True,False,3
106,node6-1,node8-1,0,True,False,2
107,node6-1,node8-1,0,True,False,4
108,node6-1,node8-1,0,True,False,3
109,node6-1,node8-1,0,True,False,2
110,node6-1,node8-1,0,True,False,3
111,node6-1,node8-1,0,True,False,1
112,node6-1,node8-1,0,True,False,3
113,node6-1,node8-1,0,True,False,1
114,node6-1,node8-1,0,True,False,2
115,node6-1,node8-1,0,True,False,3
116,node6-1,node8-1,0,True,False,3
117,node6-1,node8-1,0,True,False,2
118,node6-1,node8-1,0,True,False,2
119,node6-1,node8-1,0,True,False,1
120,node6-1,node8-1,0,True,False,4
121,node6-1,node8-1,0,True,False,3
122,node6-1,node8-1,0,True,False,2
123,node6-1,node8-1,0,True,False,3
124,node6-1,node8-1,0,True,False,4
125,node6-1,node8-1,0,True,False,3
126,node6-1,node8-1,0,True,False,1
127,node6-1,node8-1,0,True,False,3
128,node6-1,node8-1,0,True,False,0
129,node6-1,node8-1,0,True,False,2
130,node6-1,node8-1,0,True,False,3
131,node6-1,node8-1,0,True,False,1
132,node6-1,node8-1,0,True,False,2
133,node6-1,node8-1,0,True,False,0
134,node6-1,node8-1,0,True,False,3
135,node6-1,node8-1,0,True,False,2
136,node6-1,node8-1,0,True,False,2
137,node6-1,node8-1,0,True,False,4
138,node6-1,node8-1,0,True,False,3
139,node6-1,node8-1,0,True,False,2
140,node6-1,node8-1,0,True,False,3
141,node6-1,node8-1,0,True,False,1
142,node6-1,node8-1,0,True,False,3
143,node6-1,node8-1,0,True,False,3
144,node6-1,node8-1,0,True,False,3
145,node6-1,node8-1,0,True,False,3
146,node6-1,node8-1,0,True,False,3
147,node6-1,node8-1,0,True,False,3
148,node6-1,node8-1,0,True,False,4
149,node6-1,node8-1,0,True,False,2
150,node6-1,node8-1,0,True,False,4
151,node6-1,node8-1,0,True,False,1
152,node6-1,node8-1,0,True,False,3
153,node6-1,node8-1,0,True,False,1
154,node6-1,node8-1,0,True,False,3
155,node6-1,node8-1,0,True,False,2
156,node6-1,node8-1,0,True,False,3
157,node6-1,node8-1,0,True,False,2
158,node6-1,node8-1,0,True,False,3
159,node6-1,node8-1,0,True,False,2
160,node6-1,node8-1,0,True,False,1
161,node6-1,node8-1,0,True,False,4
162,node6-1,node8-1,0,True,False,2
163,node6-1,node8-1,0,True,False,5
164,node6-1,node8-1,0,True,False,2
165,node6-1,node8-1,0,True,False,3
166,node6-1,node8-1,0,True,False,2
167,node6-1,node8-1,0,True,False,3
168,node6-1,node8-1,0,True,False,3
169,node6-1,node8-1,0,True,False,4
170,node6-1,node8-1,0,True,False,2
171,node6-1,node8-1,0,True,False,0
172,node6-1,node8-1,0,True,False,2
173,node6-1,node8-1,0,True,False,3
174,node6-1,node8-1,0,True,False,3
175,node6-1,node8-1,0,True,False,5
176,node6-1,node8-1,0,True,False,2
177,node6-1,node8-1,0,True,False,2
178,node6-1,node8-1,0,True,False,3
179,node6-1,node8-1,0,True,False,2
180,node6-1,node8-1,0,True,False,2
181,node6-1,node8-1,0,True,False,3
182,node6-1,node8-1,0,True,False,1
183,node6-1,node8-1,0,True,False,2
184,node6-1,node8-1,0,True,False,3
185,node6-1,node8-1,0,True,False,0
186,node6-1,node8-1,0,True,False,3
187,node6-1,node8-1,0,True,False,3
188,node6-1,node8-1,0,True,False,3
189,node6-1,node8-1,0,True,False,3
190,node6-1,node8-1,0,True,False,2
191,node6-1,node8-1,0,True,False,3
192,node6-1,node8-1,0,True,False,1
193,node6-1,node8-1,0,True,False,4
194,node6-1,node8-1,0,True,False,2
195,node6-1,node8-1,0,True,False,3
196,node6-1,node8-1,0,True,False,2
197,node6-1,node8-1,0,True,False,0
198,node6-1,node8-1,0,True,False,2
199,node6-1,node8-1,0,True,False,2
200,node6-1,node8-1,0,True,False,2
201,node6-1,node8-1,0,True,False,4
202,node6-1,node8-1,0,True,False,3
203,node6-1,node8-1,0,True,False,2
204,node6-1,node8-1,0,True,False,2
205,node6-1,node8-1,0,True,False,1
206,node6-1,node8-1,0,True,False,3
207,node6-1,node8-1,0,True,False,3
208,node6-1,node8-1,0,True,False,3
209,node6-1,node8-1,0,True,False,3
210,node6-1,node8-1,0,True,False,4
211,node6-1,node8-1,0,True,False,3
212,node6-1,node8-1,0,True,False,3
213,node6-1,node8-1,0,True,False,2
214,node6-1,node8-1,0,True,False,3
215,node6-1,node8-1,0,True,False,2
216,node6-1,node8-1,0,True,False,2
217,node6-1,node8-1,0,True,False,4
218,node6-1,node8-1,0,True,False,4
219,node6-1,node8-1,0,True,False,2
220,node6-1,node8-1,0,True,False,3
221,node6-1,node8-1,0,True,False,2
222,node6-1,node8-1,0,True,False,3
223,node6-1,node8-1,0,False,True,0
224,node6-1,node8-1,0,True,False,3
225,node6-1,node8-1,0,True,False,3
226,node6-1,node8-1,0,True,False,3
227,node6-1,node8-1,0,True,False,2
