seq,src,dst,noise,received,error,rssi
1,node1-6,node1-2,-15,True,False,11
2,node1-6,node1-2,-15,True,False,8
3,node1-6,node1-2,-15,True,False,6
4,node1-6,node1-2,-15,True,False,6
5,node1-6,node1-2,-15,True,False,7
6,node1-6,node1-2,-15,True,False,7
7,node1-6,node1-2,-15,True,False,6
8,node1-6,node1-2,-15,True,False,6
9,node1-6,node1-2,-15,True,False,6
10,node1-6,node1-2,-15,True,False,6
11,node1-6,node1-2,-15,True,False,7
12,node1-6,node1-2,-15,True,False,7
13,node1-6,node1-2,-15,True,False,4
14,node1-6,node1-2,-15,True,False,7
15,node1-6,node1-2,-15,True,False,6
16,node1-6,node1-2,-15,True,False,6
17,node1-6,node1-2,-15,True,False,7
18,node1-6,node1-2,-15,True,False,8
19,node1-6,node1-2,-15,True,False,5
20,node1-6,node1-2,-15,True,False,6
21,node1-6,node1-2,-15,True,False,6
22,node1-6,node1-2,-15,True,False,6
23,node1-6,node1-2,-15,True,False,7
24,node1-6,node1-2,-15,True,False,7
25,node1-6,node1-2,-15,True,False,6
26,node1-6,node1-2,-15,True,False,6
27,node1-6,node1-2,-15,True,False,5
28,node1-6,node1-2,-15,True,False,7
29,node1-6,node1-2,-15,True,False,7
30,node1-6,node1-2,-15,True,False,7
31,node1-6,node1-2,-15,True,False,7
32,node1-6,node1-2,-15,True,False,7
33,node1-6,node1-2,-15,True,False,6
34,node1-6,node1-2,-15,True,False,7
35,node1-6,node1-2,-15,True,False,6
36,node1-6,node1-2,-15,True,False,7
37,node1-6,node1-2,-15,True,False,7
38,node1-6,node1-2,-15,True,False,6
39,node1-6,node1-2,-15,True,False,7
40,node1-6,node1-2,-15,True,False,6
41,node1-6,node1-2,-15,True,False,7
42,node1-6,node1-2,-15,True,False,6
43,node1-6,node1-2,-15,True,False,8
44,node1-6,node1-2,-15,True,False,8
45,node1-6,node1-2,-15,True,False,5
46,node1-6,node1-2,-15,True,False,8
47,node1-6,node1-2,-15,True,False,5
48,node1-6,node1-2,-15,True,False,7
49,node1-6,node1-2,-15,True,False,6
50,node1-6,node1-2,-15,True,False,6
51,node1-6,node1-2,-15,True,False,6
52,node1-6,node1-2,-15,True,False,6
53,node1-6,node1-2,-15,True,False,6
54,node1-6,node1-2,-15,True,False,6
55,node1-6,node1-2,-15,True,False,5
56,node1-6,node1-2,-15,True,False,5
57,node1-6,node1-2,-15,True,False,6
58,node1-6,node1-2,-15,True,False,7
59,node1-6,node1-2,-15,True,False,7
60,node1-6,node1-2,-15,True,False,6
61,node1-6,node1-2,-15,True,False,6
62,node1-6,node1-2,-15,True,False,5
63,node1-6,node1-2,-15,True,False,8
64,node1-6,node1-2,-15,True,False,7
65,node1-6,node1-2,-15,True,False,8
66,node1-6,node1-2,-15,True,False,5
67,node1-6,node1-2,-15,True,False,8
68,node1-6,node1-2,-15,True,False,6
69,node1-6,node1-2,-15,True,False,8
70,node1-6,node1-2,-15,True,False,6
71,node1-6,node1-2,-15,True,False,4
72,node1-6,node1-2,-15,True,False,7
73,node1-6,node1-2,-15,True,False,5
74,node1-6,node1-2,-15,True,False,6
75,node1-6,node1-2,-15,True,False,7
76,node1-6,node1-2,-15,True,False,6
77,node1-6,node1-2,-15,True,False,7
78,node1-6,node1-2,-15,True,False,6
79,node1-6,node1-2,-15,True,False,6
80,node1-6,node1-2,-15,True,False,7
81,node1-6,node1-2,-15,True,False,5
82,node1-6,node1-2,-15,True,False,6
83,node1-6,node1-2,-15,True,False,6
84,node1-6,node1-2,-15,True,False,7
85,node1-6,node1-2,-15,True,False,7
86,node1-6,node1-2,-15,True,False,6
87,node1-6,node1-2,-15,True,False,7
88,node1-6,node1-2,-15,True,False,7
89,node1-6,node1-2,-15,True,False,7
90,node1-6,node1-2,-15,True,False,6
91,node1-6,node1-2,-15,True,False,5
92,node1-6,node1-2,-15,True,False,7
93,node1-6,node1-2,-15,True,False,7
94,node1-6,node1-2,-15,True,False,8
95,node1-6,node1-2,-15,True,False,6
96,node1-6,node1-2,-15,True,False,6
97,node1-6,node1-2,-15,True,False,6
98,node1-6,node1-2,-15,True,False,5
99,node1-6,node1-2,-15,True,False,6
100,node1-6,node1-2,-15,True,False,5
101,node1-6,node1-2,-15,True,False,6
102,node1-6,node1-2,-15,True,False,6
103,node1-6,node1-2,-15,True,False,6
104,node1-6,node1-2,-15,True,False,8
105,node1-6,node1-2,-15,True,False,4
106,node1-6,node1-2,-15,True,False,7
107,node1-6,node1-2,-15,True,False,7
108,node1-6,node1-2,-15,True,False,8
109,node1-6,node1-2,-15,True,False,7
110,node1-6,node1-2,-15,True,False,5
111,node1-6,node1-2,-15,True,False,8
112,node1-6,node1-2,-15,True,False,6
113,node1-6,node1-2,-15,True,False,6
114,node1-6,node1-2,-15,True,False,5
115,node1-6,node1-2,-15,True,False,6
116,node1-6,node1-2,-15,True,False,7
117,node1-6,node1-2,-15,True,False,6
118,node1-6,node1-2,-15,True,False,8
119,node1-6,node1-2,-15,True,False,7
120,node1-6,node1-2,-15,True,False,6
121,node1-6,node1-2,-15,True,False,6
122,node1-6,node1-2,-15,True,False,6
123,node1-6,node1-2,-15,True,False,7
124,node1-6,node1-2,-15,True,False,7
125,node1-6,node1-2,-15,True,False,6
126,node1-6,node1-2,-15,True,False,7
127,node1-6,node1-2,-15,True,False,7
128,node1-6,node1-2,-15,True,False,5
129,node1-6,node1-2,-15,True,False,6
