seq,src,dst,noise,received,error,rssi
1,node5-4,node7-2,-15,True,False,11
2,node5-4,node7-2,-15,True,False,8
3,node5-4,node7-2,-15,True,False,5
4,node5-4,node7-2,-15,True,False,3
5,node5-4,node7-2,-15,True,False,3
6,node5-4,node7-2,-15,True,False,6
7,node5-4,node7-2,-15,True,False,6
8,node5-4,node7-2,-15,True,False,6
9,node5-4,node7-2,-15,True,False,6
10,node5-4,node7-2,-15,True,False,5
11,node5-4,node7-2,-15,True,False,5
12,node5-4,node7-2,-15,True,False,5
13,node5-4,node7-2,-15,True,False,5
14,node5-4,node7-2,-15,True,False,6
15,node5-4,node7-2,-15,True,False,4
16,node5-4,node7-2,-15,True,False,4
17,node5-4,node7-2,-15,True,False,5
18,node5-4,node7-2,-15,True,False,3
19,node5-4,node7-2,-15,True,False,6
20,node5-4,node7-2,-15,True,False,4
21,node5-4,node7-2,-15,True,False,5
22,node5-4,node7-2,-15,True,False,6
23,node5-4,node7-2,-15,True,False,4
24,node5-4,node7-2,-15,True,False,4
25,node5-4,node7-2,-15,True,False,6
26,node5-4,node7-2,-15,True,False,5
27,node5-4,node7-2,-15,True,False,4
28,node5-4,node7-2,-15,True,False,4
29,node5-4,node7-2,-15,True,False,5
30,node5-4,node7-2,-15,True,False,6
31,node5-4,node7-2,-15,True,False,4
32,node5-4,node7-2,-15,True,False,5
33,node5-4,node7-2,-15,True,False,4
34,node5-4,node7-2,-15,True,False,5
35,node5-4,node7-2,-15,True,False,7
36,node5-4,node7-2,-15,True,False,4
37,node5-4,node7-2,-15,True,False,5
38,node5-4,node7-2,-15,True,False,6
39,node5-4,node7-2,-15,True,False,5
40,node5-4,node7-2,-15,True,False,4
41,node5-4,node7-2,-15,True,False,5
42,node5-4,node7-2,-15,True,False,6
43,node5-4,node7-2,-15,True,False,6
44,node5-4,node7-2,-15,True,False,5
45,node5-4,node7-2,-15,True,False,6
46,node5-4,node7-2,-15,True,False,6
47,node5-4,node7-2,-15,True,False,5
48,node5-4,node7-2,-15,True,False,4
49,node5-4,node7-2,-15,True,False,6
50,node5-4,node7-2,-15,True,False,5
51,node5-4,node7-2,-15,True,False,4
52,node5-4,node7-2,-15,True,False,4
53,node5-4,node7-2,-15,True,False,5
54,node5-4,node7-2,-15,True,False,4
55,node5-4,node7-2,-15,True,False,4
56,node5-4,node7-2,-15,True,False,3
57,node5-4,node7-2,-15,True,False,5
58,node5-4,node7-2,-15,True,False,6
59,node5-4,node7-2,-15,True,False,6
60,node5-4,node7-2,-15,True,False,6
61,node5-4,node7-2,-15,True,False,6
62,node5-4,node7-2,-15,True,False,5
63,node5-4,node7-2,-15,True,False,5
64,node5-4,node7-2,-15,True,False,5
65,node5-4,node7-2,-15,True,False,6
66,node5-4,node7-2,-15,True,False,6
67,node5-4,node7-2,-15,True,False,6
68,node5-4,node7-2,-15,True,False,3
69,node5-4,node7-2,-15,True,False,4
70,node5-4,node7-2,-15,True,False,6
71,node5-4,node7-2,-15,True,False,4
72,node5-4,node7-2,-15,True,False,6
73,node5-4,node7-2,-15,True,False,5
74,node5-4,node7-2,-15,True,False,5
75,node5-4,node7-2,-15,True,False,5
76,node5-4,node7-2,-15,True,False,6
77,node5-4,node7-2,-15,True,False,6
78,node5-4,node7-2,-15,True,False,5
79,node5-4,node7-2,-15,True,False,5
80,node5-4,node7-2,-15,True,False,5
81,node5-4,node7-2,-15,True,False,5
82,node5-4,node7-2,-15,True,False,6
83,node5-4,node7-2,-15,True,False,6
84,node5-4,node7-2,-15,True,False,4
85,node5-4,node7-2,-15,True,False,5
86,node5-4,node7-2,-15,True,False,6
87,node5-4,node7-2,-15,True,False,5
88,node5-4,node7-2,-15,True,False,6
89,node5-4,node7-2,-15,True,False,5
90,node5-4,node7-2,-15,True,False,6
91,node5-4,node7-2,-15,True,False,6
92,node5-4,node7-2,-15,True,False,5
93,node5-4,node7-2,-15,True,False,4
94,node5-4,node7-2,-15,True,False,2
95,node5-4,node7-2,-15,True,False,4
96,node5-4,node7-2,-15,True,False,4
97,node5-4,node7-2,-15,True,False,5
98,node5-4,node7-2,-15,True,False,5
99,node5-4,node7-2,-15,True,False,4
100,node5-4,node7-2,-15,True,False,4
101,node5-4,node7-2,-15,True,False,5
102,node5-4,node7-2,-15,True,False,5
103,node5-4,node7-2,-15,True,False,5
104,node5-4,node7-2,-15,True,False,4
105,node5-4,node7-2,-15,True,False,4
106,node5-4,node7-2,-15,True,False,5
107,node5-4,node7-2,-15,True,False,3
108,node5-4,node7-2,-15,True,False,5
109,node5-4,node7-2,-15,True,False,6
110,node5-4,node7-2,-15,True,False,5
111,node5-4,node7-2,-15,True,False,4
112,node5-4,node7-2,-15,True,False,5
113,node5-4,node7-2,-15,True,False,4
114,node5-4,node7-2,-15,True,False,6
115,node5-4,node7-2,-15,True,False,5
116,node5-4,node7-2,-15,True,False,7
117,node5-4,node7-2,-15,True,False,3
118,node5-4,node7-2,-15,True,False,5
119,node5-4,node7-2,-15,True,False,4
120,node5-4,node7-2,-15,True,False,4
121,node5-4,node7-2,-15,True,False,4
122,node5-4,node7-2,-15,True,False,4
123,node5-4,node7-2,-15,True,False,4
124,node5-4,node7-2,-15,True,False,5
125,node5-4,node7-2,-15,True,False,6
126,node5-4,node7-2,-15,True,False,5
127,node5-4,node7-2,-15,True,False,5
128,node5-4,node7-2,-15,True,False,3
129,node5-4,node7-2,-15,True,False,2
130,node5-4,node7-2,-15,True,False,4
131,node5-4,node7-2,-15,True,False,4
132,node5-4,node7-2,-15,True,False,5
133,node5-4,node7-2,-15,True,False,4
134,node5-4,node7-2,-15,True,False,6
135,node5-4,node7-2,-15,True,False,6
136,node5-4,node7-2,-15,True,False,5
137,node5-4,node7-2,-15,True,False,4
138,node5-4,node7-2,-15,True,False,4
139,node5-4,node7-2,-15,True,False,6
140,node5-4,node7-2,-15,True,False,5
141,node5-4,node7-2,-15,True,False,6
142,node5-4,node7-2,-15,True,False,4
143,node5-4,node7-2,-15,True,False,7
144,node5-4,node7-2,-15,True,False,5
145,node5-4,node7-2,-15,True,False,3
146,node5-4,node7-2,-15,True,False,4
147,node5-4,node7-2,-15,True,False,5
148,node5-4,node7-2,-15,True,False,6
149,node5-4,node7-2,-15,True,False,6
150,node5-4,node7-2,-15,True,False,7
151,node5-4,node7-2,-15,True,False,5
152,node5-4,node7-2,-15,True,False,4
153,node5-4,node7-2,-15,True,False,5
154,node5-4,node7-2,-15,True,False,3
155,node5-4,node7-2,-15,True,False,5
156,node5-4,node7-2,-15,True,False,5
157,node5-4,node7-2,-15,True,False,5
