seq,src,dst,noise,received,error,rssi
1,node1-8,node6-5,-15,True,False,23
2,node1-8,node6-5,-15,True,False,22
3,node1-8,node6-5,-15,True,False,18
4,node1-8,node6-5,-15,True,False,15
5,node1-8,node6-5,-15,True,False,17
6,node1-8,node6-5,-15,True,False,16
7,node1-8,node6-5,-15,True,False,15
8,node1-8,node6-5,-15,True,False,16
9,node1-8,node6-5,-15,True,False,15
10,node1-8,node6-5,-15,True,False,16
11,node1-8,node6-5,-15,True,False,15
12,node1-8,node6-5,-15,True,False,16
13,node1-8,node6-5,-15,True,False,17
14,node1-8,node6-5,-15,True,False,15
15,node1-8,node6-5,-15,True,False,16
16,node1-8,node6-5,-15,True,False,16
17,node1-8,node6-5,-15,True,False,16
18,node1-8,node6-5,-15,True,False,17
19,node1-8,node6-5,-15,True,False,17
20,node1-8,node6-5,-15,True,False,15
21,node1-8,node6-5,-15,True,False,16
22,node1-8,node6-5,-15,True,False,17
23,node1-8,node6-5,-15,True,False,16
24,node1-8,node6-5,-15,True,False,17
25,node1-8,node6-5,-15,True,False,16
26,node1-8,node6-5,-15,True,False,14
27,node1-8,node6-5,-15,True,False,16
28,node1-8,node6-5,-15,True,False,17
29,node1-8,node6-5,-15,True,False,15
30,node1-8,node6-5,-15,True,False,16
31,node1-8,node6-5,-15,True,False,16
32,node1-8,node6-5,-15,True,False,15
33,node1-8,node6-5,-15,True,False,16
34,node1-8,node6-5,-15,True,False,16
35,node1-8,node6-5,-15,True,False,17
36,node1-8,node6-5,-15,True,False,16
37,node1-8,node6-5,-15,True,False,15
38,node1-8,node6-5,-15,True,False,15
39,node1-8,node6-5,-15,True,False,16
40,node1-8,node6-5,-15,True,False,17
41,node1-8,node6-5,-15,True,False,17
42,node1-8,node6-5,-15,True,False,17
43,node1-8,node6-5,-15,True,False,16
44,node1-8,node6-5,-15,True,False,16
45,node1-8,node6-5,-15,True,False,16
46,node1-8,node6-5,-15,True,False,17
47,node1-8,node6-5,-15,True,False,17
48,node1-8,node6-5,-15,True,False,17
49,node1-8,node6-5,-15,True,False,17
50,node1-8,node6-5,-15,True,False,16
51,node1-8,node6-5,-15,True,False,17
52,node1-8,node6-5,-15,True,False,15
53,node1-8,node6-5,-15,True,False,15
54,node1-8,node6-5,-15,True,False,16
55,node1-8,node6-5,-15,True,False,15
56,node1-8,node6-5,-15,True,False,17
57,node1-8,node6-5,-15,True,False,17
58,node1-8,node6-5,-15,True,False,16
59,node1-8,node6-5,-15,True,False,16
60,node1-8,node6-5,-15,True,False,16
61,node1-8,node6-5,-15,True,False,16
62,node1-8,node6-5,-15,True,False,16
63,node1-8,node6-5,-15,True,False,17
64,node1-8,node6-5,-15,True,False,17
65,node1-8,node6-5,-15,True,False,15
66,node1-8,node6-5,-15,True,False,16
67,node1-8,node6-5,-15,True,False,17
68,node1-8,node6-5,-15,True,False,18
69,node1-8,node6-5,-15,True,False,16
70,node1-8,node6-5,-15,True,False,15
71,node1-8,node6-5,-15,True,False,15
72,node1-8,node6-5,-15,True,False,16
73,node1-8,node6-5,-15,True,False,16
74,node1-8,node6-5,-15,True,False,16
75,node1-8,node6-5,-15,True,False,16
76,node1-8,node6-5,-15,True,False,17
77,node1-8,node6-5,-15,True,False,17
78,node1-8,node6-5,-15,True,False,16
79,node1-8,node6-5,-15,True,False,15
80,node1-8,node6-5,-15,True,False,17
81,node1-8,node6-5,-15,True,False,16
82,node1-8,node6-5,-15,True,False,16
83,node1-8,node6-5,-15,True,False,17
84,node1-8,node6-5,-15,True,False,16
85,node1-8,node6-5,-15,True,False,17
86,node1-8,node6-5,-15,True,False,14
87,node1-8,node6-5,-15,True,False,16
88,node1-8,node6-5,-15,True,False,17
89,node1-8,node6-5,-15,True,False,17
90,node1-8,node6-5,-15,True,False,17
91,node1-8,node6-5,-15,True,False,17
92,node1-8,node6-5,-15,True,False,17
93,node1-8,node6-5,-15,True,False,16
94,node1-8,node6-5,-15,True,False,16
95,node1-8,node6-5,-15,True,False,16
96,node1-8,node6-5,-15,True,False,17
97,node1-8,node6-5,-15,True,False,17
98,node1-8,node6-5,-15,True,False,17
99,node1-8,node6-5,-15,True,False,15
100,node1-8,node6-5,-15,True,False,15
101,node1-8,node6-5,-15,True,False,17
102,node1-8,node6-5,-15,True,False,16
103,node1-8,node6-5,-15,True,False,17
104,node1-8,node6-5,-15,True,False,15
105,node1-8,node6-5,-15,True,False,16
106,node1-8,node6-5,-15,True,False,16
107,node1-8,node6-5,-15,True,False,16
108,node1-8,node6-5,-15,True,False,16
109,node1-8,node6-5,-15,True,False,17
110,node1-8,node6-5,-15,True,False,16
111,node1-8,node6-5,-15,True,False,16
112,node1-8,node6-5,-15,True,False,15
113,node1-8,node6-5,-15,True,False,15
114,node1-8,node6-5,-15,True,False,16
115,node1-8,node6-5,-15,True,False,16
116,node1-8,node6-5,-15,True,False,17
117,node1-8,node6-5,-15,True,False,17
118,node1-8,node6-5,-15,True,False,16
119,node1-8,node6-5,-15,True,False,16
120,node1-8,node6-5,-15,True,False,16
121,node1-8,node6-5,-15,True,False,15
122,node1-8,node6-5,-15,True,False,15
123,node1-8,node6-5,-15,True,False,15
124,node1-8,node6-5,-15,True,False,16
125,node1-8,node6-5,-15,True,False,17
126,node1-8,node6-5,-15,True,False,16
127,node1-8,node6-5,-15,True,False,16
128,node1-8,node6-5,-15,True,False,17
129,node1-8,node6-5,-15,True,False,15
130,node1-8,node6-5,-15,True,False,17
131,node1-8,node6-5,-15,True,False,17
132,node1-8,node6-5,-15,True,False,16
133,node1-8,node6-5,-15,True,False,17
134,node1-8,node6-5,-15,True,False,16
135,node1-8,node6-5,-15,True,False,16
136,node1-8,node6-5,-15,True,False,16
137,node1-8,node6-5,-15,True,False,17
138,node1-8,node6-5,-15,True,False,15
139,node1-8,node6-5,-15,True,False,17
140,node1-8,node6-5,-15,True,False,17
141,node1-8,node6-5,-15,True,False,16
142,node1-8,node6-5,-15,True,False,17
143,node1-8,node6-5,-15,True,False,14
144,node1-8,node6-5,-15,True,False,17
145,node1-8,node6-5,-15,True,False,17
146,node1-8,node6-5,-15,True,False,17
147,node1-8,node6-5,-15,True,False,16
148,node1-8,node6-5,-15,True,False,17
149,node1-8,node6-5,-15,True,False,17
150,node1-8,node6-5,-15,True,False,15
151,node1-8,node6-5,-15,True,False,17
152,node1-8,node6-5,-15,True,False,17
153,node1-8,node6-5,-15,True,False,16
154,node1-8,node6-5,-15,True,False,16
155,node1-8,node6-5,-15,True,False,16
156,node1-8,node6-5,-15,True,False,17
157,node1-8,node6-5,-15,True,False,17
158,node1-8,node6-5,-15,True,False,16
159,node1-8,node6-5,-15,True,False,16
160,node1-8,node6-5,-15,True,False,15
161,node1-8,node6-5,-15,True,False,17
162,node1-8,node6-5,-15,True,False,17
163,node1-8,node6-5,-15,True,False,16
164,node1-8,node6-5,-15,True,False,15
165,node1-8,node6-5,-15,True,False,16
166,node1-8,node6-5,-15,True,False,16
167,node1-8,node6-5,-15,True,False,17
168,node1-8,node6-5,-15,True,False,16
169,node1-8,node6-5,-15,True,False,17
170,node1-8,node6-5,-15,True,False,14
171,node1-8,node6-5,-15,True,False,16
172,node1-8,node6-5,-15,True,False,17
173,node1-8,node6-5,-15,True,False,16
174,node1-8,node6-5,-15,True,False,17
175,node1-8,node6-5,-15,True,False,17
176,node1-8,node6-5,-15,True,False,17
177,node1-8,node6-5,-15,True,False,16
178,node1-8,node6-5,-15,True,False,16
179,node1-8,node6-5,-15,True,False,17
180,node1-8,node6-5,-15,True,False,15
181,node1-8,node6-5,-15,True,False,16
182,node1-8,node6-5,-15,True,False,16
183,node1-8,node6-5,-15,True,False,15
184,node1-8,node6-5,-15,True,False,16
185,node1-8,node6-5,-15,True,False,15
186,node1-8,node6-5,-15,True,False,16
187,node1-8,node6-5,-15,True,False,16
188,node1-8,node6-5,-15,True,False,16
189,node1-8,node6-5,-15,True,False,16
190,node1-8,node6-5,-15,True,False,16
191,node1-8,node6-5,-15,True,False,17
192,node1-8,node6-5,-15,True,False,16
193,node1-8,node6-5,-15,True,False,17
194,node1-8,node6-5,-15,True,False,16
195,node1-8,node6-5,-15,True,False,17
196,node1-8,node6-5,-15,True,False,17
197,node1-8,node6-5,-15,True,False,17
198,node1-8,node6-5,-15,True,False,16
199,node1-8,node6-5,-15,True,False,16
200,node1-8,node6-5,-15,True,False,16
201,node1-8,node6-5,-15,True,False,16
202,node1-8,node6-5,-15,True,False,16
203,node1-8,node6-5,-15,True,False,16
204,node1-8,node6-5,-15,True,False,16
205,node1-8,node6-5,-15,True,False,16
206,node1-8,node6-5,-15,True,False,16
207,node1-8,node6-5,-15,True,False,15
208,node1-8,node6-5,-15,True,False,15
209,node1-8,node6-5,-15,True,False,17
210,node1-8,node6-5,-15,True,False,17
211,node1-8,node6-5,-15,True,False,16
212,node1-8,node6-5,-15,True,False,16
213,node1-8,node6-5,-15,True,False,17
214,node1-8,node6-5,-15,True,False,16
215,node1-8,node6-5,-15,True,False,16
216,node1-8,node6-5,-15,True,False,16
217,node1-8,node6-5,-15,True,False,16
218,node1-8,node6-5,-15,True,False,16
219,node1-8,node6-5,-15,True,False,14
220,node1-8,node6-5,-15,True,False,16
221,node1-8,node6-5,-15,True,False,16
222,node1-8,node6-5,-15,True,False,16
223,node1-8,node6-5,-15,True,False,16
224,node1-8,node6-5,-15,True,False,16
225,node1-8,node6-5,-15,True,False,16
226,node1-8,node6-5,-15,True,False,16
227,node1-8,node6-5,-15,True,False,15
228,node1-8,node6-5,-15,True,False,17
229,node1-8,node6-5,-15,True,False,17
230,node1-8,node6-5,-15,True,False,17
231,node1-8,node6-5,-15,True,False,15
232,node1-8,node6-5,-15,True,False,17
233,node1-8,node6-5,-15,True,False,15
234,node1-8,node6-5,-15,True,False,16
235,node1-8,node6-5,-15,True,False,16
236,node1-8,node6-5,-15,True,False,16
237,node1-8,node6-5,-15,True,False,16
238,node1-8,node6-5,-15,True,False,16
239,node1-8,node6-5,-15,True,False,16
240,node1-8,node6-5,-15,True,False,16
241,node1-8,node6-5,-15,True,False,15
242,node1-8,node6-5,-15,True,False,16
243,node1-8,node6-5,-15,True,False,17
244,node1-8,node6-5,-15,True,False,17
245,node1-8,node6-5,-15,True,False,16
246,node1-8,node6-5,-15,True,False,15
247,node1-8,node6-5,-15,True,False,16
248,node1-8,node6-5,-15,True,False,17
249,node1-8,node6-5,-15,True,False,15
250,node1-8,node6-5,-15,True,False,16
251,node1-8,node6-5,-15,True,False,17
252,node1-8,node6-5,-15,True,False,17
