seq,src,dst,noise,received,error,rssi
1,node7-2,node8-1,-15,True,False,19
2,node7-2,node8-1,-15,True,False,17
3,node7-2,node8-1,-15,True,False,16
4,node7-2,node8-1,-15,True,False,13
5,node7-2,node8-1,-15,True,False,13
6,node7-2,node8-1,-15,True,False,14
7,node7-2,node8-1,-15,True,False,14
8,node7-2,node8-1,-15,True,False,14
9,node7-2,node8-1,-15,True,False,14
10,node7-2,node8-1,-15,True,False,15
11,node7-2,node8-1,-15,True,False,14
12,node7-2,node8-1,-15,True,False,14
13,node7-2,node8-1,-15,True,False,14
14,node7-2,node8-1,-15,True,False,14
15,node7-2,node8-1,-15,True,False,14
16,node7-2,node8-1,-15,True,False,14
17,node7-2,node8-1,-15,True,False,14
18,node7-2,node8-1,-15,True,False,15
19,node7-2,node8-1,-15,True,False,14
20,node7-2,node8-1,-15,True,False,14
21,node7-2,node8-1,-15,True,False,14
22,node7-2,node8-1,-15,True,False,14
23,node7-2,node8-1,-15,True,False,14
24,node7-2,node8-1,-15,True,False,14
25,node7-2,node8-1,-15,True,False,14
26,node7-2,node8-1,-15,True,False,15
27,node7-2,node8-1,-15,True,False,13
28,node7-2,node8-1,-15,True,False,14
29,node7-2,node8-1,-15,True,False,14
30,node7-2,node8-1,-15,True,False,13
31,node7-2,node8-1,-15,True,False,14
32,node7-2,node8-1,-15,True,False,13
33,node7-2,node8-1,-15,True,False,14
34,node7-2,node8-1,-15,True,False,14
35,node7-2,node8-1,-15,True,False,14
36,node7-2,node8-1,-15,True,False,13
37,node7-2,node8-1,-15,True,False,14
38,node7-2,node8-1,-15,True,False,14
39,node7-2,node8-1,-15,True,False,14
40,node7-2,node8-1,-15,True,False,13
41,node7-2,node8-1,-15,True,False,14
42,node7-2,node8-1,-15,True,False,14
43,node7-2,node8-1,-15,True,False,15
44,node7-2,node8-1,-15,True,False,14
45,node7-2,node8-1,-15,True,False,14
46,node7-2,node8-1,-15,True,False,13
47,node7-2,node8-1,-15,True,False,13
48,node7-2,node8-1,-15,True,False,13
49,node7-2,node8-1,-15,True,False,14
50,node7-2,node8-1,-15,True,False,14
51,node7-2,node8-1,-15,True,False,14
52,node7-2,node8-1,-15,True,False,14
53,node7-2,node8-1,-15,True,False,14
54,node7-2,node8-1,-15,True,False,14
55,node7-2,node8-1,-15,True,False,15
56,node7-2,node8-1,-15,True,False,15
57,node7-2,node8-1,-15,True,False,15
58,node7-2,node8-1,-15,True,False,15
59,node7-2,node8-1,-15,True,False,14
60,node7-2,node8-1,-15,True,False,14
61,node7-2,node8-1,-15,True,False,15
62,node7-2,node8-1,-15,True,False,14
63,node7-2,node8-1,-15,True,False,14
64,node7-2,node8-1,-15,True,False,14
65,node7-2,node8-1,-15,True,False,13
66,node7-2,node8-1,-15,True,False,14
67,node7-2,node8-1,-15,True,False,14
68,node7-2,node8-1,-15,True,False,14
69,node7-2,node8-1,-15,True,False,13
70,node7-2,node8-1,-15,True,False,14
71,node7-2,node8-1,-15,True,False,14
72,node7-2,node8-1,-15,True,False,14
73,node7-2,node8-1,-15,True,False,14
74,node7-2,node8-1,-15,True,False,14
75,node7-2,node8-1,-15,True,False,13
76,node7-2,node8-1,-15,True,False,14
77,node7-2,node8-1,-15,True,False,15
78,node7-2,node8-1,-15,True,False,14
79,node7-2,node8-1,-15,True,False,14
80,node7-2,node8-1,-15,True,False,13
81,node7-2,node8-1,-15,True,False,15
82,node7-2,node8-1,-15,True,False,14
83,node7-2,node8-1,-15,True,False,14
84,node7-2,node8-1,-15,True,False,14
85,node7-2,node8-1,-15,True,False,14
86,node7-2,node8-1,-15,True,False,15
87,node7-2,node8-1,-15,True,False,13
88,node7-2,node8-1,-15,True,False,14
