seq,src,dst,noise,received,error,rssi
1,node4-5,node4-3,-10,True,False,13
2,node4-5,node4-3,-10,True,False,11
3,node4-5,node4-3,-10,True,False,8
4,node4-5,node4-3,-10,True,False,6
5,node4-5,node4-3,-10,True,False,7
6,node4-5,node4-3,-10,True,False,5
7,node4-5,node4-3,-10,True,False,5
8,node4-5,node4-3,-10,True,False,8
9,node4-5,node4-3,-10,True,False,6
10,node4-5,node4-3,-10,True,False,6
11,node4-5,node4-3,-10,True,False,7
12,node4-5,node4-3,-10,True,False,5
13,node4-5,node4-3,-10,True,False,6
14,node4-5,node4-3,-10,True,False,7
15,node4-5,node4-3,-10,True,False,5
16,node4-5,node4-3,-10,True,False,7
17,node4-5,node4-3,-10,True,False,7
18,node4-5,node4-3,-10,True,False,5
19,node4-5,node4-3,-10,True,False,6
20,node4-5,node4-3,-10,True,False,6
21,node4-5,node4-3,-10,True,False,7
22,node4-5,node4-3,-10,True,False,6
23,node4-5,node4-3,-10,True,False,6
24,node4-5,node4-3,-10,True,False,6
25,node4-5,node4-3,-10,True,False,5
26,node4-5,node4-3,-10,True,False,5
27,node4-5,node4-3,-10,True,False,5
28,node4-5,node4-3,-10,True,False,6
29,node4-5,node4-3,-10,True,False,8
30,node4-5,node4-3,-10,True,False,6
31,node4-5,node4-3,-10,True,False,6
32,node4-5,node4-3,-10,True,False,6
33,node4-5,node4-3,-10,True,False,5
34,node4-5,node4-3,-10,True,False,5
35,node4-5,node4-3,-10,True,False,7
36,node4-5,node4-3,-10,True,False,5
37,node4-5,node4-3,-10,True,False,6
38,node4-5,node4-3,-10,True,False,6
39,node4-5,node4-3,-10,True,False,6
40,node4-5,node4-3,-10,True,False,6
41,node4-5,node4-3,-10,True,False,7
42,node4-5,node4-3,-10,True,False,8
43,node4-5,node4-3,-10,True,False,6
44,node4-5,node4-3,-10,True,False,7
45,node4-5,node4-3,-10,True,False,6
46,node4-5,node4-3,-10,True,False,7
47,node4-5,node4-3,-10,True,False,6
48,node4-5,node4-3,-10,True,False,6
49,node4-5,node4-3,-10,True,False,7
50,node4-5,node4-3,-10,True,False,7
51,node4-5,node4-3,-10,True,False,8
52,node4-5,node4-3,-10,True,False,6
53,node4-5,node4-3,-10,True,False,7
54,node4-5,node4-3,-10,True,False,8
55,node4-5,node4-3,-10,True,False,6
56,node4-5,node4-3,-10,True,False,7
57,node4-5,node4-3,-10,True,False,5
58,node4-5,node4-3,-10,True,False,8
59,node4-5,node4-3,-10,True,False,5
60,node4-5,node4-3,-10,True,False,8
61,node4-5,node4-3,-10,True,False,5
62,node4-5,node4-3,-10,True,False,7
63,node4-5,node4-3,-10,True,False,9
64,node4-5,node4-3,-10,True,False,6
65,node4-5,node4-3,-10,True,False,5
66,node4-5,node4-3,-10,True,False,8
67,node4-5,node4-3,-10,True,False,5
68,node4-5,node4-3,-10,True,False,7
69,node4-5,node4-3,-10,True,False,7
70,node4-5,node4-3,-10,True,False,6
71,node4-5,node4-3,-10,True,False,7
72,node4-5,node4-3,-10,True,False,6
73,node4-5,node4-3,-10,True,False,4
74,node4-5,node4-3,-10,True,False,5
75,node4-5,node4-3,-10,True,False,5
76,node4-5,node4-3,-10,True,False,7
77,node4-5,node4-3,-10,True,False,7
78,node4-5,node4-3,-10,True,False,6
79,node4-5,node4-3,-10,True,False,7
80,node4-5,node4-3,-10,True,False,7
81,node4-5,node4-3,-10,True,False,6
82,node4-5,node4-3,-10,True,False,7
83,node4-5,node4-3,-10,True,False,6
84,node4-5,node4-3,-10,True,False,7
85,node4-5,node4-3,-10,True,False,5
86,node4-5,node4-3,-10,True,False,5
87,node4-5,node4-3,-10,True,False,5
88,node4-5,node4-3,-10,True,False,7
89,node4-5,node4-3,-10,True,False,5
90,node4-5,node4-3,-10,True,False,8
91,node4-5,node4-3,-10,True,False,5
