seq,src,dst,noise,received,error,rssi
1,node3-2,node1-8,-10,True,False,10
2,node3-2,node1-8,-10,True,False,7
3,node3-2,node1-8,-10,True,False,5
4,node3-2,node1-8,-10,True,False,5
5,node3-2,node1-8,-10,True,False,7
6,node3-2,node1-8,-10,True,False,6
7,node3-2,node1-8,-10,True,False,3
8,node3-2,node1-8,-10,True,False,4
9,node3-2,node1-8,-10,True,False,2
10,node3-2,node1-8,-10,True,False,0
11,node3-2,node1-8,-10,True,False,5
12,node3-2,node1-8,-10,True,False,3
13,node3-2,node1-8,-10,True,False,4
14,node3-2,node1-8,-10,False,False,0
15,node3-2,node1-8,-10,True,False,4
16,node3-2,node1-8,-10,True,False,3
17,node3-2,node1-8,-10,True,False,4
18,node3-2,node1-8,-10,True,False,2
19,node3-2,node1-8,-10,True,False,4
20,node3-2,node1-8,-10,False,True,0
21,node3-2,node1-8,-10,True,False,3
22,node3-2,node1-8,-10,True,False,3
23,node3-2,node1-8,-10,True,False,5
24,node3-2,node1-8,-10,True,False,4
25,node3-2,node1-8,-10,True,False,2
26,node3-2,node1-8,-10,True,False,2
27,node3-2,node1-8,-10,True,False,3
28,node3-2,node1-8,-10,True,False,4
29,node3-2,node1-8,-10,True,False,3
30,node3-2,node1-8,-10,True,False,2
31,node3-2,node1-8,-10,True,False,3
32,node3-2,node1-8,-10,True,False,3
33,node3-2,node1-8,-10,True,False,2
34,node3-2,node1-8,-10,True,False,3
35,node3-2,node1-8,-10,True,False,2
36,node3-2,node1-8,-10,True,False,2
37,node3-2,node1-8,-10,True,False,2
38,node3-2,node1-8,-10,True,False,3
39,node3-2,node1-8,-10,True,False,3
40,node3-2,node1-8,-10,True,False,2
41,node3-2,node1-8,-10,True,False,2
42,node3-2,node1-8,-10,True,False,3
43,node3-2,node1-8,-10,True,False,3
44,node3-2,node1-8,-10,True,False,3
45,node3-2,node1-8,-10,True,False,2
46,node3-2,node1-8,-10,True,False,1
47,node3-2,node1-8,-10,True,False,6
48,node3-2,node1-8,-10,True,False,3
49,node3-2,node1-8,-10,False,True,0
50,node3-2,node1-8,-10,True,False,4
51,node3-2,node1-8,-10,True,False,2
52,node3-2,node1-8,-10,True,False,4
53,node3-2,node1-8,-10,True,False,1
54,node3-2,node1-8,-10,True,False,3
55,node3-2,node1-8,-10,True,False,5
56,node3-2,node1-8,-10,True,False,5
57,node3-2,node1-8,-10,True,False,2
58,node3-2,node1-8,-10,True,False,5
59,node3-2,node1-8,-10,True,False,3
60,node3-2,node1-8,-10,True,False,5
61,node3-2,node1-8,-10,True,False,4
62,node3-2,node1-8,-10,True,False,3
63,node3-2,node1-8,-10,True,False,4
64,node3-2,node1-8,-10,True,False,5
65,node3-2,node1-8,-10,True,False,4
66,node3-2,node1-8,-10,True,False,2
67,node3-2,node1-8,-10,True,False,2
68,node3-2,node1-8,-10,True,False,2
69,node3-2,node1-8,-10,True,False,2
70,node3-2,node1-8,-10,True,False,1
71,node3-2,node1-8,-10,True,False,1
72,node3-2,node1-8,-10,True,False,3
73,node3-2,node1-8,-10,True,False,3
74,node3-2,node1-8,-10,True,False,3
75,node3-2,node1-8,-10,True,False,4
76,node3-2,node1-8,-10,True,False,2
77,node3-2,node1-8,-10,True,False,5
78,node3-2,node1-8,-10,True,False,4
79,node3-2,node1-8,-10,True,False,4
80,node3-2,node1-8,-10,True,False,3
81,node3-2,node1-8,-10,True,False,2
82,node3-2,node1-8,-10,True,False,1
83,node3-2,node1-8,-10,True,False,4
84,node3-2,node1-8,-10,True,False,3
85,node3-2,node1-8,-10,True,False,4
86,node3-2,node1-8,-10,True,False,2
87,node3-2,node1-8,-10,True,False,2
88,node3-2,node1-8,-10,True,False,4
89,node3-2,node1-8,-10,True,False,4
90,node3-2,node1-8,-10,True,False,4
91,node3-2,node1-8,-10,True,False,2
92,node3-2,node1-8,-10,True,False,3
93,node3-2,node1-8,-10,True,False,3
94,node3-2,node1-8,-10,True,False,2
95,node3-2,node1-8,-10,True,False,4
96,node3-2,node1-8,-10,True,False,3
97,node3-2,node1-8,-10,True,False,4
98,node3-2,node1-8,-10,True,False,3
99,node3-2,node1-8,-10,True,False,4
100,node3-2,node1-8,-10,True,False,4
101,node3-2,node1-8,-10,True,False,1
102,node3-2,node1-8,-10,True,False,2
103,node3-2,node1-8,-10,True,False,3
104,node3-2,node1-8,-10,True,False,2
105,node3-2,node1-8,-10,True,False,3
106,node3-2,node1-8,-10,True,False,3
107,node3-2,node1-8,-10,True,False,4
108,node3-2,node1-8,-10,True,False,2
109,node3-2,node1-8,-10,True,False,3
110,node3-2,node1-8,-10,True,False,5
111,node3-2,node1-8,-10,True,False,2
112,node3-2,node1-8,-10,True,False,1
113,node3-2,node1-8,-10,True,False,3
114,node3-2,node1-8,-10,True,False,2
115,node3-2,node1-8,-10,True,False,4
116,node3-2,node1-8,-10,True,False,1
117,node3-2,node1-8,-10,True,False,3
118,node3-2,node1-8,-10,True,False,5
119,node3-2,node1-8,-10,True,False,4
120,node3-2,node1-8,-10,True,False,4
121,node3-2,node1-8,-10,True,False,4
122,node3-2,node1-8,-10,True,False,1
123,node3-2,node1-8,-10,True,False,3
124,node3-2,node1-8,-10,True,False,4
125,node3-2,node1-8,-10,True,False,3
126,node3-2,node1-8,-10,True,False,1
127,node3-2,node1-8,-10,True,False,2
128,node3-2,node1-8,-10,True,False,3
129,node3-2,node1-8,-10,True,False,2
130,node3-2,node1-8,-10,True,False,3
131,node3-2,node1-8,-10,True,False,2
132,node3-2,node1-8,-10,True,False,2
133,node3-2,node1-8,-10,True,False,5
134,node3-2,node1-8,-10,True,False,3
135,node3-2,node1-8,-10,True,False,5
136,node3-2,node1-8,-10,True,False,3
137,node3-2,node1-8,-10,True,False,3
138,node3-2,node1-8,-10,True,False,3
139,node3-2,node1-8,-10,True,False,1
140,node3-2,node1-8,-10,True,False,3
141,node3-2,node1-8,-10,True,False,4
142,node3-2,node1-8,-10,True,False,2
143,node3-2,node1-8,-10,True,False,1
144,node3-2,node1-8,-10,True,False,4
145,node3-2,node1-8,-10,True,False,2
146,node3-2,node1-8,-10,True,False,4
147,node3-2,node1-8,-10,True,False,3
148,node3-2,node1-8,-10,True,False,4
149,node3-2,node1-8,-10,True,False,3
150,node3-2,node1-8,-10,True,False,4
151,node3-2,node1-8,-10,True,False,2
152,node3-2,node1-8,-10,True,False,4
153,node3-2,node1-8,-10,True,False,4
154,node3-2,node1-8,-10,True,False,7
155,node3-2,node1-8,-10,False,False,0
156,node3-2,node1-8,-10,True,False,4
157,node3-2,node1-8,-10,True,False,3
158,node3-2,node1-8,-10,True,False,2
159,node3-2,node1-8,-10,True,False,4
160,node3-2,node1-8,-10,True,False,5
161,node3-2,node1-8,-10,True,False,4
162,node3-2,node1-8,-10,True,False,1
163,node3-2,node1-8,-10,True,False,2
164,node3-2,node1-8,-10,True,False,4
165,node3-2,node1-8,-10,True,False,5
166,node3-2,node1-8,-10,True,False,4
167,node3-2,node1-8,-10,True,False,2
168,node3-2,node1-8,-10,True,False,3
169,node3-2,node1-8,-10,True,False,3
170,node3-2,node1-8,-10,True,False,2
171,node3-2,node1-8,-10,True,False,2
172,node3-2,node1-8,-10,True,False,4
173,node3-2,node1-8,-10,True,False,1
174,node3-2,node1-8,-10,True,False,4
175,node3-2,node1-8,-10,True,False,4
176,node3-2,node1-8,-10,True,False,3
177,node3-2,node1-8,-10,True,False,4
178,node3-2,node1-8,-10,True,False,3
179,node3-2,node1-8,-10,True,False,4
180,node3-2,node1-8,-10,True,False,3
181,node3-2,node1-8,-10,True,False,2
182,node3-2,node1-8,-10,True,False,3
183,node3-2,node1-8,-10,True,False,5
184,node3-2,node1-8,-10,True,False,2
185,node3-2,node1-8,-10,True,False,3
186,node3-2,node1-8,-10,True,False,2
187,node3-2,node1-8,-10,True,False,3
188,node3-2,node1-8,-10,True,False,4
189,node3-2,node1-8,-10,True,False,3
190,node3-2,node1-8,-10,True,False,2
191,node3-2,node1-8,-10,True,False,2
192,node3-2,node1-8,-10,True,False,3
193,node3-2,node1-8,-10,True,False,2
194,node3-2,node1-8,-10,True,False,3
195,node3-2,node1-8,-10,True,False,3
196,node3-2,node1-8,-10,True,False,3
197,node3-2,node1-8,-10,True,False,2
198,node3-2,node1-8,-10,True,False,3
199,node3-2,node1-8,-10,True,False,4
200,node3-2,node1-8,-10,True,False,4
201,node3-2,node1-8,-10,True,False,2
202,node3-2,node1-8,-10,True,False,4
203,node3-2,node1-8,-10,True,False,1
204,node3-2,node1-8,-10,True,False,3
205,node3-2,node1-8,-10,True,False,4
206,node3-2,node1-8,-10,True,False,3
207,node3-2,node1-8,-10,True,False,5
208,node3-2,node1-8,-10,True,False,3
209,node3-2,node1-8,-10,True,False,2
210,node3-2,node1-8,-10,True,False,5
211,node3-2,node1-8,-10,True,False,3
212,node3-2,node1-8,-10,True,False,3
213,node3-2,node1-8,-10,True,False,3
214,node3-2,node1-8,-10,True,False,2
215,node3-2,node1-8,-10,True,False,3
216,node3-2,node1-8,-10,True,False,4
217,node3-2,node1-8,-10,True,False,2
218,node3-2,node1-8,-10,True,False,3
219,node3-2,node1-8,-10,True,False,4
220,node3-2,node1-8,-10,True,False,4
221,node3-2,node1-8,-10,True,False,4
222,node3-2,node1-8,-10,True,False,4
223,node3-2,node1-8,-10,True,False,4
224,node3-2,node1-8,-10,True,False,1
225,node3-2,node1-8,-10,True,False,5
226,node3-2,node1-8,-10,True,False,3
227,node3-2,node1-8,-10,True,False,4
228,node3-2,node1-8,-10,True,False,4
229,node3-2,node1-8,-10,True,False,3
230,node3-2,node1-8,-10,True,False,5
231,node3-2,node1-8,-10,True,False,5
232,node3-2,node1-8,-10,True,False,3
233,node3-2,node1-8,-10,True,False,2
234,node3-2,node1-8,-10,True,False,2
235,node3-2,node1-8,-10,True,False,2
236,node3-2,node1-8,-10,True,False,3
237,node3-2,node1-8,-10,True,False,3
238,node3-2,node1-8,-10,True,False,3
239,node3-2,node1-8,-10,True,False,3
240,node3-2,node1-8,-10,True,False,4
241,node3-2,node1-8,-10,True,False,3
242,node3-2,node1-8,-10,True,False,3
243,node3-2,node1-8,-10,True,False,4
244,node3-2,node1-8,-10,True,False,3
245,node3-2,node1-8,-10,True,False,4
246,node3-2,node1-8,-10,True,False,4
247,node3-2,node1-8,-10,True,False,2
