seq,src,dst,noise,received,error,rssi
1,node3-4,node3-2,-15,True,False,13
2,node3-4,node3-2,-15,True,False,14
3,node3-4,node3-2,-15,True,False,12
4,node3-4,node3-2,-15,True,False,10
5,node3-4,node3-2,-15,True,False,11
6,node3-4,node3-2,-15,True,False,10
7,node3-4,node3-2,-15,True,False,11
8,node3-4,node3-2,-15,True,False,11
9,node3-4,node3-2,-15,True,False,12
10,node3-4,node3-2,-15,True,False,11
11,node3-4,node3-2,-15,True,False,11
12,node3-4,node3-2,-15,True,False,12
13,node3-4,node3-2,-15,True,False,12
14,node3-4,node3-2,-15,True,False,11
15,node3-4,node3-2,-15,True,False,10
16,node3-4,node3-2,-15,True,False,11
17,node3-4,node3-2,-15,True,False,10
18,node3-4,node3-2,-15,True,False,11
19,node3-4,node3-2,-15,True,False,12
20,node3-4,node3-2,-15,True,False,11
21,node3-4,node3-2,-15,True,False,11
22,node3-4,node3-2,-15,True,False,10
23,node3-4,node3-2,-15,True,False,11
24,node3-4,node3-2,-15,True,False,12
25,node3-4,node3-2,-15,True,False,9
26,node3-4,node3-2,-15,True,False,10
27,node3-4,node3-2,-15,True,False,11
28,node3-4,node3-2,-15,True,False,12
29,node3-4,node3-2,-15,True,False,11
30,node3-4,node3-2,-15,True,False,11
31,node3-4,node3-2,-15,True,False,12
32,node3-4,node3-2,-15,True,False,11
33,node3-4,node3-2,-15,True,False,11
34,node3-4,node3-2,-15,True,False,13
35,node3-4,node3-2,-15,True,False,10
36,node3-4,node3-2,-15,True,False,10
37,node3-4,node3-2,-15,True,False,11
38,node3-4,node3-2,-15,True,False,11
39,node3-4,node3-2,-15,True,False,10
40,node3-4,node3-2,-15,True,False,11
41,node3-4,node3-2,-15,True,False,11
42,node3-4,node3-2,-15,True,False,11
43,node3-4,node3-2,-15,True,False,11
44,node3-4,node3-2,-15,True,False,11
45,node3-4,node3-2,-15,True,False,11
46,node3-4,node3-2,-15,True,False,11
47,node3-4,node3-2,-15,True,False,10
48,node3-4,node3-2,-15,True,False,10
49,node3-4,node3-2,-15,True,False,11
50,node3-4,node3-2,-15,True,False,10
51,node3-4,node3-2,-15,True,False,11
52,node3-4,node3-2,-15,True,False,10
53,node3-4,node3-2,-15,True,False,10
54,node3-4,node3-2,-15,True,False,12
55,node3-4,node3-2,-15,True,False,11
56,node3-4,node3-2,-15,True,False,10
57,node3-4,node3-2,-15,True,False,10
58,node3-4,node3-2,-15,True,False,10
59,node3-4,node3-2,-15,True,False,11
60,node3-4,node3-2,-15,True,False,12
61,node3-4,node3-2,-15,True,False,11
62,node3-4,node3-2,-15,True,False,12
63,node3-4,node3-2,-15,True,False,12
64,node3-4,node3-2,-15,True,False,12
65,node3-4,node3-2,-15,True,False,10
66,node3-4,node3-2,-15,True,False,10
67,node3-4,node3-2,-15,True,False,9
68,node3-4,node3-2,-15,True,False,11
69,node3-4,node3-2,-15,True,False,10
70,node3-4,node3-2,-15,True,False,10
71,node3-4,node3-2,-15,True,False,11
72,node3-4,node3-2,-15,True,False,11
73,node3-4,node3-2,-15,True,False,11
74,node3-4,node3-2,-15,True,False,11
75,node3-4,node3-2,-15,True,False,11
76,node3-4,node3-2,-15,True,False,11
77,node3-4,node3-2,-15,True,False,11
78,node3-4,node3-2,-15,True,False,9
79,node3-4,node3-2,-15,True,False,12
80,node3-4,node3-2,-15,True,False,9
81,node3-4,node3-2,-15,True,False,11
82,node3-4,node3-2,-15,True,False,10
83,node3-4,node3-2,-15,True,False,11
84,node3-4,node3-2,-15,True,False,11
85,node3-4,node3-2,-15,True,False,10
86,node3-4,node3-2,-15,True,False,10
87,node3-4,node3-2,-15,True,False,12
88,node3-4,node3-2,-15,True,False,12
89,node3-4,node3-2,-15,True,False,10
90,node3-4,node3-2,-15,True,False,12
91,node3-4,node3-2,-15,True,False,10
92,node3-4,node3-2,-15,True,False,10
93,node3-4,node3-2,-15,True,False,10
94,node3-4,node3-2,-15,True,False,11
95,node3-4,node3-2,-15,True,False,9
96,node3-4,node3-2,-15,True,False,11
97,node3-4,node3-2,-15,True,False,12
98,node3-4,node3-2,-15,True,False,11
99,node3-4,node3-2,-15,True,False,10
100,node3-4,node3-2,-15,True,False,10
101,node3-4,node3-2,-15,True,False,11
102,node3-4,node3-2,-15,True,False,12
103,node3-4,node3-2,-15,True,False,12
