seq,src,dst,noise,received,error,rssi
1,node8-5,node4-5,-10,True,False,12
2,node8-5,node4-5,-10,True,False,10
3,node8-5,node4-5,-10,True,False,8
4,node8-5,node4-5,-10,True,False,8
5,node8-5,node4-5,-10,True,False,8
6,node8-5,node4-5,-10,True,False,9
7,node8-5,node4-5,-10,True,False,10
8,node8-5,node4-5,-10,True,False,7
9,node8-5,node4-5,-10,True,False,10
10,node8-5,node4-5,-10,True,False,8
11,node8-5,node4-5,-10,True,False,7
12,node8-5,node4-5,-10,True,False,8
13,node8-5,node4-5,-10,True,False,7
14,node8-5,node4-5,-10,True,False,8
15,node8-5,node4-5,-10,True,False,9
16,node8-5,node4-5,-10,True,False,7
17,node8-5,node4-5,-10,True,False,8
18,node8-5,node4-5,-10,True,False,7
19,node8-5,node4-5,-10,True,False,8
20,node8-5,node4-5,-10,True,False,6
21,node8-5,node4-5,-10,True,False,8
22,node8-5,node4-5,-10,True,False,8
23,node8-5,node4-5,-10,True,False,10
24,node8-5,node4-5,-10,True,False,6
25,node8-5,node4-5,-10,True,False,9
26,node8-5,node4-5,-10,True,False,8
27,node8-5,node4-5,-10,True,False,7
28,node8-5,node4-5,-10,True,False,9
29,node8-5,node4-5,-10,True,False,8
30,node8-5,node4-5,-10,True,False,7
31,node8-5,node4-5,-10,True,False,8
32,node8-5,node4-5,-10,True,False,8
33,node8-5,node4-5,-10,True,False,7
34,node8-5,node4-5,-10,True,False,7
35,node8-5,node4-5,-10,True,False,8
36,node8-5,node4-5,-10,True,False,7
37,node8-5,node4-5,-10,True,False,8
38,node8-5,node4-5,-10,True,False,7
39,node8-5,node4-5,-10,True,False,7
40,node8-5,node4-5,-10,True,False,5
41,node8-5,node4-5,-10,True,False,7
42,node8-5,node4-5,-10,True,False,9
43,node8-5,node4-5,-10,True,False,8
44,node8-5,node4-5,-10,True,False,6
45,node8-5,node4-5,-10,True,False,8
46,node8-5,node4-5,-10,True,False,10
47,node8-5,node4-5,-10,True,False,7
48,node8-5,node4-5,-10,True,False,9
49,node8-5,node4-5,-10,True,False,8
50,node8-5,node4-5,-10,True,False,9
51,node8-5,node4-5,-10,True,False,7
