seq,src,dst,noise,received,error,rssi
1,node2-1,node1-2,-20,True,False,20
2,node2-1,node1-2,-20,True,False,19
3,node2-1,node1-2,-20,True,False,14
4,node2-1,node1-2,-20,True,False,15
5,node2-1,node1-2,-20,True,False,14
6,node2-1,node1-2,-20,True,False,15
7,node2-1,node1-2,-20,True,False,15
8,node2-1,node1-2,-20,True,False,15
9,node2-1,node1-2,-20,True,False,15
10,node2-1,node1-2,-20,True,False,15
11,node2-1,node1-2,-20,True,False,14
12,node2-1,node1-2,-20,True,False,15
13,node2-1,node1-2,-20,True,False,15
14,node2-1,node1-2,-20,True,False,15
15,node2-1,node1-2,-20,True,False,14
16,node2-1,node1-2,-20,True,False,16
17,node2-1,node1-2,-20,True,False,15
18,node2-1,node1-2,-20,True,False,16
19,node2-1,node1-2,-20,True,False,16
20,node2-1,node1-2,-20,True,False,15
21,node2-1,node1-2,-20,True,False,15
22,node2-1,node1-2,-20,True,False,16
23,node2-1,node1-2,-20,True,False,15
24,node2-1,node1-2,-20,True,False,15
25,node2-1,node1-2,-20,True,False,15
26,node2-1,node1-2,-20,True,False,15
27,node2-1,node1-2,-20,True,False,14
28,node2-1,node1-2,-20,True,False,15
29,node2-1,node1-2,-20,True,False,15
30,node2-1,node1-2,-20,True,False,15
31,node2-1,node1-2,-20,True,False,15
32,node2-1,node1-2,-20,True,False,16
33,node2-1,node1-2,-20,True,False,16
34,node2-1,node1-2,-20,True,False,15
35,node2-1,node1-2,-20,True,False,14
36,node2-1,node1-2,-20,True,False,15
37,node2-1,node1-2,-20,True,False,15
38,node2-1,node1-2,-20,True,False,15
39,node2-1,node1-2,-20,True,False,15
40,node2-1,node1-2,-20,True,False,16
41,node2-1,node1-2,-20,True,False,16
42,node2-1,node1-2,-20,True,False,15
43,node2-1,node1-2,-20,True,False,14
44,node2-1,node1-2,-20,True,False,15
45,node2-1,node1-2,-20,True,False,16
46,node2-1,node1-2,-20,True,False,15
47,node2-1,node1-2,-20,True,False,16
48,node2-1,node1-2,-20,True,False,15
49,node2-1,node1-2,-20,True,False,16
50,node2-1,node1-2,-20,True,False,14
51,node2-1,node1-2,-20,True,False,15
52,node2-1,node1-2,-20,True,False,15
53,node2-1,node1-2,-20,True,False,16
54,node2-1,node1-2,-20,True,False,16
55,node2-1,node1-2,-20,True,False,14
56,node2-1,node1-2,-20,True,False,15
57,node2-1,node1-2,-20,True,False,15
58,node2-1,node1-2,-20,True,False,15
59,node2-1,node1-2,-20,True,False,15
60,node2-1,node1-2,-20,True,False,14
61,node2-1,node1-2,-20,True,False,15
62,node2-1,node1-2,-20,True,False,15
63,node2-1,node1-2,-20,True,False,15
64,node2-1,node1-2,-20,True,False,15
65,node2-1,node1-2,-20,True,False,15
66,node2-1,node1-2,-20,True,False,15
67,node2-1,node1-2,-20,True,False,15
68,node2-1,node1-2,-20,True,False,16
69,node2-1,node1-2,-20,True,False,14
70,node2-1,node1-2,-20,True,False,15
71,node2-1,node1-2,-20,True,False,15
72,node2-1,node1-2,-20,True,False,15
73,node2-1,node1-2,-20,True,False,16
74,node2-1,node1-2,-20,True,False,15
75,node2-1,node1-2,-20,True,False,15
76,node2-1,node1-2,-20,True,False,15
77,node2-1,node1-2,-20,True,False,15
78,node2-1,node1-2,-20,True,False,15
79,node2-1,node1-2,-20,True,False,15
80,node2-1,node1-2,-20,True,False,15
81,node2-1,node1-2,-20,True,False,15
82,node2-1,node1-2,-20,True,False,14
83,node2-1,node1-2,-20,True,False,14
84,node2-1,node1-2,-20,True,False,15
85,node2-1,node1-2,-20,True,False,15
86,node2-1,node1-2,-20,True,False,16
87,node2-1,node1-2,-20,True,False,14
88,node2-1,node1-2,-20,True,False,15
89,node2-1,node1-2,-20,True,False,15
90,node2-1,node1-2,-20,True,False,15
91,node2-1,node1-2,-20,True,False,15
92,node2-1,node1-2,-20,True,False,15
93,node2-1,node1-2,-20,True,False,15
94,node2-1,node1-2,-20,True,False,15
95,node2-1,node1-2,-20,True,False,16
96,node2-1,node1-2,-20,True,False,15
97,node2-1,node1-2,-20,True,False,15
98,node2-1,node1-2,-20,True,False,14
99,node2-1,node1-2,-20,True,False,14
100,node2-1,node1-2,-20,True,False,15
101,node2-1,node1-2,-20,True,False,15
102,node2-1,node1-2,-20,True,False,15
103,node2-1,node1-2,-20,True,False,15
104,node2-1,node1-2,-20,True,False,15
105,node2-1,node1-2,-20,True,False,15
106,node2-1,node1-2,-20,True,False,14
107,node2-1,node1-2,-20,True,False,15
108,node2-1,node1-2,-20,True,False,15
109,node2-1,node1-2,-20,True,False,15
110,node2-1,node1-2,-20,True,False,14
111,node2-1,node1-2,-20,True,False,15
112,node2-1,node1-2,-20,True,False,14
113,node2-1,node1-2,-20,True,False,15
114,node2-1,node1-2,-20,True,False,15
115,node2-1,node1-2,-20,True,False,15
116,node2-1,node1-2,-20,True,False,14
117,node2-1,node1-2,-20,True,False,15
118,node2-1,node1-2,-20,True,False,15
119,node2-1,node1-2,-20,True,False,16
120,node2-1,node1-2,-20,True,False,15
121,node2-1,node1-2,-20,True,False,15
122,node2-1,node1-2,-20,True,False,13
123,node2-1,node1-2,-20,True,False,16
124,node2-1,node1-2,-20,True,False,15
125,node2-1,node1-2,-20,True,False,16
126,node2-1,node1-2,-20,True,False,15
127,node2-1,node1-2,-20,True,False,15
128,node2-1,node1-2,-20,True,False,14
129,node2-1,node1-2,-20,True,False,14
130,node2-1,node1-2,-20,True,False,15
131,node2-1,node1-2,-20,True,False,15
132,node2-1,node1-2,-20,True,False,16
133,node2-1,node1-2,-20,True,False,14
134,node2-1,node1-2,-20,True,False,14
135,node2-1,node1-2,-20,True,False,15
136,node2-1,node1-2,-20,True,False,16
137,node2-1,node1-2,-20,True,False,15
138,node2-1,node1-2,-20,True,False,14
139,node2-1,node1-2,-20,True,False,16
140,node2-1,node1-2,-20,True,False,15
141,node2-1,node1-2,-20,True,False,15
142,node2-1,node1-2,-20,True,False,14
143,node2-1,node1-2,-20,True,False,15
144,node2-1,node1-2,-20,True,False,15
145,node2-1,node1-2,-20,True,False,16
146,node2-1,node1-2,-20,True,False,16
147,node2-1,node1-2,-20,True,False,14
148,node2-1,node1-2,-20,True,False,15
149,node2-1,node1-2,-20,True,False,15
150,node2-1,node1-2,-20,True,False,16
151,node2-1,node1-2,-20,True,False,15
152,node2-1,node1-2,-20,True,False,15
153,node2-1,node1-2,-20,True,False,15
154,node2-1,node1-2,-20,True,False,15
155,node2-1,node1-2,-20,True,False,15
156,node2-1,node1-2,-20,True,False,15
157,node2-1,node1-2,-20,True,False,15
158,node2-1,node1-2,-20,True,False,15
159,node2-1,node1-2,-20,True,False,15
160,node2-1,node1-2,-20,True,False,15
161,node2-1,node1-2,-20,True,False,14
162,node2-1,node1-2,-20,True,False,15
163,node2-1,node1-2,-20,True,False,15
164,node2-1,node1-2,-20,True,False,15
165,node2-1,node1-2,-20,True,False,15
166,node2-1,node1-2,-20,True,False,15
167,node2-1,node1-2,-20,True,False,15
168,node2-1,node1-2,-20,True,False,15
169,node2-1,node1-2,-20,True,False,15
170,node2-1,node1-2,-20,True,False,15
171,node2-1,node1-2,-20,True,False,15
172,node2-1,node1-2,-20,True,False,15
173,node2-1,node1-2,-20,True,False,15
174,node2-1,node1-2,-20,True,False,16
175,node2-1,node1-2,-20,True,False,13
176,node2-1,node1-2,-20,True,False,14
177,node2-1,node1-2,-20,True,False,16
178,node2-1,node1-2,-20,True,False,15
179,node2-1,node1-2,-20,True,False,14
180,node2-1,node1-2,-20,True,False,15
181,node2-1,node1-2,-20,True,False,16
182,node2-1,node1-2,-20,True,False,15
183,node2-1,node1-2,-20,True,False,15
