seq,src,dst,noise,received,error,rssi
1,node8-3,node6-7,-20,True,False,20
2,node8-3,node6-7,-20,True,False,20
3,node8-3,node6-7,-20,True,False,18
4,node8-3,node6-7,-20,True,False,15
5,node8-3,node6-7,-20,True,False,16
6,node8-3,node6-7,-20,True,False,16
7,node8-3,node6-7,-20,True,False,15
8,node8-3,node6-7,-20,True,False,16
9,node8-3,node6-7,-20,True,False,15
10,node8-3,node6-7,-20,True,False,16
11,node8-3,node6-7,-20,True,False,16
12,node8-3,node6-7,-20,True,False,16
13,node8-3,node6-7,-20,True,False,14
14,node8-3,node6-7,-20,True,False,15
15,node8-3,node6-7,-20,True,False,16
16,node8-3,node6-7,-20,True,False,16
17,node8-3,node6-7,-20,True,False,15
18,node8-3,node6-7,-20,True,False,16
19,node8-3,node6-7,-20,True,False,15
20,node8-3,node6-7,-20,True,False,15
21,node8-3,node6-7,-20,True,False,15
22,node8-3,node6-7,-20,True,False,16
23,node8-3,node6-7,-20,True,False,16
24,node8-3,node6-7,-20,True,False,14
25,node8-3,node6-7,-20,True,False,16
26,node8-3,node6-7,-20,True,False,14
27,node8-3,node6-7,-20,True,False,16
28,node8-3,node6-7,-20,True,False,16
29,node8-3,node6-7,-20,True,False,16
30,node8-3,node6-7,-20,True,False,14
31,node8-3,node6-7,-20,True,False,16
32,node8-3,node6-7,-20,True,False,16
33,node8-3,node6-7,-20,True,False,16
34,node8-3,node6-7,-20,True,False,16
35,node8-3,node6-7,-20,True,False,15
36,node8-3,node6-7,-20,True,False,16
37,node8-3,node6-7,-20,True,False,16
38,node8-3,node6-7,-20,True,False,14
39,node8-3,node6-7,-20,True,False,16
40,node8-3,node6-7,-20,True,False,15
41,node8-3,node6-7,-20,True,False,16
42,node8-3,node6-7,-20,True,False,15
43,node8-3,node6-7,-20,True,False,15
44,node8-3,node6-7,-20,True,False,16
45,node8-3,node6-7,-20,True,False,15
46,node8-3,node6-7,-20,True,False,15
47,node8-3,node6-7,-20,True,False,16
48,node8-3,node6-7,-20,True,False,16
49,node8-3,node6-7,-20,True,False,16
50,node8-3,node6-7,-20,True,False,15
51,node8-3,node6-7,-20,True,False,15
52,node8-3,node6-7,-20,True,False,15
53,node8-3,node6-7,-20,True,False,16
54,node8-3,node6-7,-20,True,False,16
55,node8-3,node6-7,-20,True,False,16
56,node8-3,node6-7,-20,True,False,15
57,node8-3,node6-7,-20,True,False,15
58,node8-3,node6-7,-20,True,False,16
