seq,src,dst,noise,received,error,rssi
1,node2-1,node6-1,-15,True,False,15
2,node2-1,node6-1,-15,True,False,13
3,node2-1,node6-1,-15,True,False,8
4,node2-1,node6-1,-15,True,False,10
5,node2-1,node6-1,-15,True,False,9
6,node2-1,node6-1,-15,True,False,10
7,node2-1,node6-1,-15,True,False,8
8,node2-1,node6-1,-15,True,False,8
9,node2-1,node6-1,-15,True,False,9
10,node2-1,node6-1,-15,True,False,9
11,node2-1,node6-1,-15,True,False,11
12,node2-1,node6-1,-15,True,False,9
13,node2-1,node6-1,-15,True,False,9
14,node2-1,node6-1,-15,True,False,10
15,node2-1,node6-1,-15,True,False,11
16,node2-1,node6-1,-15,True,False,10
17,node2-1,node6-1,-15,True,False,10
18,node2-1,node6-1,-15,True,False,9
19,node2-1,node6-1,-15,True,False,10
20,node2-1,node6-1,-15,True,False,10
21,node2-1,node6-1,-15,True,False,9
22,node2-1,node6-1,-15,True,False,10
23,node2-1,node6-1,-15,True,False,9
24,node2-1,node6-1,-15,True,False,11
25,node2-1,node6-1,-15,True,False,10
26,node2-1,node6-1,-15,True,False,10
27,node2-1,node6-1,-15,True,False,9
28,node2-1,node6-1,-15,True,False,9
29,node2-1,node6-1,-15,True,False,9
30,node2-1,node6-1,-15,True,False,9
31,node2-1,node6-1,-15,True,False,8
32,node2-1,node6-1,-15,True,False,9
33,node2-1,node6-1,-15,True,False,9
34,node2-1,node6-1,-15,True,False,9
35,node2-1,node6-1,-15,True,False,10
36,node2-1,node6-1,-15,True,False,9
37,node2-1,node6-1,-15,True,False,11
38,node2-1,node6-1,-15,True,False,9
39,node2-1,node6-1,-15,True,False,9
40,node2-1,node6-1,-15,True,False,10
41,node2-1,node6-1,-15,True,False,9
42,node2-1,node6-1,-15,True,False,9
43,node2-1,node6-1,-15,True,False,10
44,node2-1,node6-1,-15,True,False,10
45,node2-1,node6-1,-15,True,False,8
46,node2-1,node6-1,-15,True,False,9
47,node2-1,node6-1,-15,True,False,9
48,node2-1,node6-1,-15,True,False,9
49,node2-1,node6-1,-15,True,False,9
50,node2-1,node6-1,-15,True,False,10
51,node2-1,node6-1,-15,True,False,9
52,node2-1,node6-1,-15,True,False,10
53,node2-1,node6-1,-15,True,False,11
54,node2-1,node6-1,-15,True,False,9
55,node2-1,node6-1,-15,True,False,9
56,node2-1,node6-1,-15,True,False,9
57,node2-1,node6-1,-15,True,False,9
58,node2-1,node6-1,-15,True,False,11
59,node2-1,node6-1,-15,True,False,10
60,node2-1,node6-1,-15,True,False,10
61,node2-1,node6-1,-15,True,False,10
62,node2-1,node6-1,-15,True,False,10
63,node2-1,node6-1,-15,True,False,9
64,node2-1,node6-1,-15,True,False,10
65,node2-1,node6-1,-15,True,False,10
66,node2-1,node6-1,-15,True,False,9
67,node2-1,node6-1,-15,True,False,9
68,node2-1,node6-1,-15,True,False,10
69,node2-1,node6-1,-15,True,False,9
70,node2-1,node6-1,-15,True,False,9
71,node2-1,node6-1,-15,True,False,10
72,node2-1,node6-1,-15,True,False,10
73,node2-1,node6-1,-15,True,False,9
74,node2-1,node6-1,-15,True,False,9
75,node2-1,node6-1,-15,True,False,8
76,node2-1,node6-1,-15,True,False,10
77,node2-1,node6-1,-15,True,False,10
78,node2-1,node6-1,-15,True,False,9
79,node2-1,node6-1,-15,True,False,9
80,node2-1,node6-1,-15,True,False,9
81,node2-1,node6-1,-15,True,False,9
82,node2-1,node6-1,-15,True,False,10
83,node2-1,node6-1,-15,True,False,10
84,node2-1,node6-1,-15,True,False,9
85,node2-1,node6-1,-15,True,False,9
86,node2-1,node6-1,-15,True,False,9
87,node2-1,node6-1,-15,True,False,9
88,node2-1,node6-1,-15,True,False,9
89,node2-1,node6-1,-15,True,False,10
90,node2-1,node6-1,-15,True,False,8
91,node2-1,node6-1,-15,True,False,9
92,node2-1,node6-1,-15,True,False,9
93,node2-1,node6-1,-15,True,False,9
94,node2-1,node6-1,-15,True,False,8
95,node2-1,node6-1,-15,True,False,8
96,node2-1,node6-1,-15,True,False,10
