seq,src,dst,noise,received,error,rssi
1,node3-2,node8-3,-15,True,False,18
2,node3-2,node8-3,-15,True,False,17
3,node3-2,node8-3,-15,True,False,15
4,node3-2,node8-3,-15,True,False,11
5,node3-2,node8-3,-15,True,False,13
6,node3-2,node8-3,-15,True,False,14
7,node3-2,node8-3,-15,True,False,14
8,node3-2,node8-3,-15,True,False,12
9,node3-2,node8-3,-15,True,False,10
10,node3-2,node8-3,-15,True,False,12
11,node3-2,node8-3,-15,True,False,12
12,node3-2,node8-3,-15,True,False,11
13,node3-2,node8-3,-15,True,False,12
14,node3-2,node8-3,-15,True,False,11
15,node3-2,node8-3,-15,True,False,11
16,node3-2,node8-3,-15,True,False,12
17,node3-2,node8-3,-15,True,False,11
18,node3-2,node8-3,-15,True,False,11
19,node3-2,node8-3,-15,True,False,12
20,node3-2,node8-3,-15,True,False,10
21,node3-2,node8-3,-15,True,False,11
22,node3-2,node8-3,-15,True,False,10
23,node3-2,node8-3,-15,True,False,10
24,node3-2,node8-3,-15,True,False,13
25,node3-2,node8-3,-15,True,False,11
26,node3-2,node8-3,-15,True,False,11
27,node3-2,node8-3,-15,True,False,13
28,node3-2,node8-3,-15,True,False,13
29,node3-2,node8-3,-15,True,False,13
30,node3-2,node8-3,-15,True,False,13
31,node3-2,node8-3,-15,True,False,12
32,node3-2,node8-3,-15,True,False,13
33,node3-2,node8-3,-15,True,False,11
34,node3-2,node8-3,-15,True,False,12
35,node3-2,node8-3,-15,True,False,13
36,node3-2,node8-3,-15,True,False,11
37,node3-2,node8-3,-15,True,False,12
38,node3-2,node8-3,-15,True,False,13
39,node3-2,node8-3,-15,True,False,12
40,node3-2,node8-3,-15,True,False,11
41,node3-2,node8-3,-15,True,False,12
42,node3-2,node8-3,-15,True,False,12
43,node3-2,node8-3,-15,True,False,12
44,node3-2,node8-3,-15,True,False,13
45,node3-2,node8-3,-15,True,False,11
46,node3-2,node8-3,-15,True,False,12
47,node3-2,node8-3,-15,True,False,11
48,node3-2,node8-3,-15,True,False,12
49,node3-2,node8-3,-15,True,False,11
50,node3-2,node8-3,-15,True,False,11
51,node3-2,node8-3,-15,True,False,11
52,node3-2,node8-3,-15,True,False,9
53,node3-2,node8-3,-15,True,False,10
54,node3-2,node8-3,-15,True,False,12
55,node3-2,node8-3,-15,True,False,12
56,node3-2,node8-3,-15,True,False,13
57,node3-2,node8-3,-15,True,False,11
58,node3-2,node8-3,-15,True,False,12
59,node3-2,node8-3,-15,True,False,10
60,node3-2,node8-3,-15,True,False,10
61,node3-2,node8-3,-15,True,False,13
62,node3-2,node8-3,-15,True,False,11
63,node3-2,node8-3,-15,True,False,11
64,node3-2,node8-3,-15,True,False,9
65,node3-2,node8-3,-15,True,False,12
66,node3-2,node8-3,-15,True,False,11
67,node3-2,node8-3,-15,True,False,12
68,node3-2,node8-3,-15,True,False,14
69,node3-2,node8-3,-15,True,False,11
70,node3-2,node8-3,-15,True,False,11
71,node3-2,node8-3,-15,True,False,14
72,node3-2,node8-3,-15,True,False,12
73,node3-2,node8-3,-15,True,False,12
74,node3-2,node8-3,-15,True,False,10
75,node3-2,node8-3,-15,True,False,12
76,node3-2,node8-3,-15,True,False,13
77,node3-2,node8-3,-15,True,False,12
78,node3-2,node8-3,-15,True,False,12
79,node3-2,node8-3,-15,True,False,12
80,node3-2,node8-3,-15,True,False,12
81,node3-2,node8-3,-15,True,False,11
82,node3-2,node8-3,-15,True,False,12
83,node3-2,node8-3,-15,True,False,12
84,node3-2,node8-3,-15,True,False,14
85,node3-2,node8-3,-15,True,False,11
86,node3-2,node8-3,-15,True,False,13
87,node3-2,node8-3,-15,True,False,14
88,node3-2,node8-3,-15,True,False,11
89,node3-2,node8-3,-15,True,False,13
90,node3-2,node8-3,-15,True,False,13
91,node3-2,node8-3,-15,True,False,13
92,node3-2,node8-3,-15,True,False,13
93,node3-2,node8-3,-15,True,False,11
94,node3-2,node8-3,-15,True,False,10
95,node3-2,node8-3,-15,True,False,10
96,node3-2,node8-3,-15,True,False,13
97,node3-2,node8-3,-15,True,False,10
98,node3-2,node8-3,-15,True,False,12
99,node3-2,node8-3,-15,True,False,12
100,node3-2,node8-3,-15,True,False,12
101,node3-2,node8-3,-15,True,False,13
102,node3-2,node8-3,-15,True,False,12
103,node3-2,node8-3,-15,True,False,11
104,node3-2,node8-3,-15,True,False,11
105,node3-2,node8-3,-15,True,False,9
