seq,src,dst,noise,received,error,rssi
1,node6-3,node8-7,-15,True,False,13
2,node6-3,node8-7,-15,True,False,9
3,node6-3,node8-7,-15,True,False,9
4,node6-3,node8-7,-15,True,False,10
5,node6-3,node8-7,-15,True,False,9
6,node6-3,node8-7,-15,True,False,10
7,node6-3,node8-7,-15,True,False,8
8,node6-3,node8-7,-15,True,False,9
9,node6-3,node8-7,-15,True,False,10
10,node6-3,node8-7,-15,True,False,9
11,node6-3,node8-7,-15,True,False,7
12,node6-3,node8-7,-15,True,False,10
13,node6-3,node8-7,-15,True,False,8
14,node6-3,node8-7,-15,True,False,10
15,node6-3,node8-7,-15,True,False,7
16,node6-3,node8-7,-15,True,False,10
17,node6-3,node8-7,-15,True,False,8
18,node6-3,node8-7,-15,True,False,9
19,node6-3,node8-7,-15,True,False,10
20,node6-3,node8-7,-15,True,False,9
21,node6-3,node8-7,-15,True,False,9
22,node6-3,node8-7,-15,True,False,9
23,node6-3,node8-7,-15,True,False,9
24,node6-3,node8-7,-15,True,False,9
25,node6-3,node8-7,-15,True,False,8
26,node6-3,node8-7,-15,True,False,9
27,node6-3,node8-7,-15,True,False,10
28,node6-3,node8-7,-15,True,False,9
29,node6-3,node8-7,-15,True,False,10
30,node6-3,node8-7,-15,True,False,7
31,node6-3,node8-7,-15,True,False,10
32,node6-3,node8-7,-15,True,False,10
33,node6-3,node8-7,-15,True,False,10
34,node6-3,node8-7,-15,True,False,10
35,node6-3,node8-7,-15,True,False,9
36,node6-3,node8-7,-15,True,False,8
37,node6-3,node8-7,-15,True,False,8
38,node6-3,node8-7,-15,True,False,9
39,node6-3,node8-7,-15,True,False,8
40,node6-3,node8-7,-15,True,False,10
41,node6-3,node8-7,-15,True,False,8
42,node6-3,node8-7,-15,True,False,9
43,node6-3,node8-7,-15,True,False,9
44,node6-3,node8-7,-15,True,False,10
45,node6-3,node8-7,-15,True,False,10
46,node6-3,node8-7,-15,True,False,9
47,node6-3,node8-7,-15,True,False,10
48,node6-3,node8-7,-15,True,False,8
49,node6-3,node8-7,-15,True,False,9
50,node6-3,node8-7,-15,True,False,9
51,node6-3,node8-7,-15,True,False,10
52,node6-3,node8-7,-15,True,False,10
53,node6-3,node8-7,-15,True,False,8
54,node6-3,node8-7,-15,True,False,9
55,node6-3,node8-7,-15,True,False,11
56,node6-3,node8-7,-15,True,False,10
57,node6-3,node8-7,-15,True,False,9
58,node6-3,node8-7,-15,True,False,10
59,node6-3,node8-7,-15,True,False,9
60,node6-3,node8-7,-15,True,False,9
61,node6-3,node8-7,-15,True,False,9
62,node6-3,node8-7,-15,True,False,9
63,node6-3,node8-7,-15,True,False,9
64,node6-3,node8-7,-15,True,False,9
65,node6-3,node8-7,-15,True,False,9
66,node6-3,node8-7,-15,True,False,8
67,node6-3,node8-7,-15,True,False,9
68,node6-3,node8-7,-15,True,False,10
69,node6-3,node8-7,-15,True,False,9
70,node6-3,node8-7,-15,True,False,10
71,node6-3,node8-7,-15,True,False,9
72,node6-3,node8-7,-15,True,False,9
73,node6-3,node8-7,-15,True,False,10
74,node6-3,node8-7,-15,True,False,9
75,node6-3,node8-7,-15,True,False,8
76,node6-3,node8-7,-15,True,False,7
77,node6-3,node8-7,-15,True,False,10
78,node6-3,node8-7,-15,True,False,9
79,node6-3,node8-7,-15,True,False,10
80,node6-3,node8-7,-15,True,False,9
81,node6-3,node8-7,-15,True,False,9
82,node6-3,node8-7,-15,True,False,10
83,node6-3,node8-7,-15,True,False,9
84,node6-3,node8-7,-15,True,False,10
85,node6-3,node8-7,-15,True,False,10
86,node6-3,node8-7,-15,True,False,9
87,node6-3,node8-7,-15,True,False,9
88,node6-3,node8-7,-15,True,False,9
89,node6-3,node8-7,-15,True,False,9
90,node6-3,node8-7,-15,True,False,7
91,node6-3,node8-7,-15,True,False,9
92,node6-3,node8-7,-15,True,False,10
93,node6-3,node8-7,-15,True,False,8
94,node6-3,node8-7,-15,True,False,7
95,node6-3,node8-7,-15,True,False,9
96,node6-3,node8-7,-15,True,False,9
97,node6-3,node8-7,-15,True,False,9
98,node6-3,node8-7,-15,True,False,10
99,node6-3,node8-7,-15,True,False,8
100,node6-3,node8-7,-15,True,False,9
101,node6-3,node8-7,-15,True,False,9
102,node6-3,node8-7,-15,True,False,10
103,node6-3,node8-7,-15,True,False,10
104,node6-3,node8-7,-15,True,False,8
105,node6-3,node8-7,-15,True,False,10
106,node6-3,node8-7,-15,True,False,9
107,node6-3,node8-7,-15,True,False,9
108,node6-3,node8-7,-15,True,False,9
109,node6-3,node8-7,-15,True,False,10
110,node6-3,node8-7,-15,True,False,10
111,node6-3,node8-7,-15,True,False,9
112,node6-3,node8-7,-15,True,False,8
113,node6-3,node8-7,-15,True,False,8
114,node6-3,node8-7,-15,True,False,9
115,node6-3,node8-7,-15,True,False,9
116,node6-3,node8-7,-15,True,False,10
117,node6-3,node8-7,-15,True,False,8
118,node6-3,node8-7,-15,True,False,8
119,node6-3,node8-7,-15,True,False,9
120,node6-3,node8-7,-15,True,False,8
121,node6-3,node8-7,-15,True,False,9
122,node6-3,node8-7,-15,True,False,11
123,node6-3,node8-7,-15,True,False,9
124,node6-3,node8-7,-15,True,False,8
125,node6-3,node8-7,-15,True,False,9
126,node6-3,node8-7,-15,True,False,10
127,node6-3,node8-7,-15,True,False,9
128,node6-3,node8-7,-15,True,False,10
129,node6-3,node8-7,-15,True,False,11
130,node6-3,node8-7,-15,True,False,9
131,node6-3,node8-7,-15,True,False,9
132,node6-3,node8-7,-15,True,False,10
133,node6-3,node8-7,-15,True,False,8
134,node6-3,node8-7,-15,True,False,9
135,node6-3,node8-7,-15,True,False,8
136,node6-3,node8-7,-15,True,False,8
137,node6-3,node8-7,-15,True,False,10
138,node6-3,node8-7,-15,True,False,8
139,node6-3,node8-7,-15,True,False,8
140,node6-3,node8-7,-15,True,False,9
141,node6-3,node8-7,-15,True,False,10
142,node6-3,node8-7,-15,True,False,10
143,node6-3,node8-7,-15,True,False,9
144,node6-3,node8-7,-15,True,False,9
145,node6-3,node8-7,-15,True,False,11
146,node6-3,node8-7,-15,True,False,8
147,node6-3,node8-7,-15,True,False,8
148,node6-3,node8-7,-15,True,False,7
149,node6-3,node8-7,-15,True,False,8
150,node6-3,node8-7,-15,True,False,9
151,node6-3,node8-7,-15,True,False,10
152,node6-3,node8-7,-15,True,False,10
153,node6-3,node8-7,-15,True,False,9
154,node6-3,node8-7,-15,True,False,7
155,node6-3,node8-7,-15,True,False,9
156,node6-3,node8-7,-15,True,False,9
157,node6-3,node8-7,-15,True,False,9
158,node6-3,node8-7,-15,True,False,10
159,node6-3,node8-7,-15,True,False,10
160,node6-3,node8-7,-15,True,False,10
161,node6-3,node8-7,-15,True,False,10
162,node6-3,node8-7,-15,True,False,9
163,node6-3,node8-7,-15,True,False,10
164,node6-3,node8-7,-15,True,False,10
165,node6-3,node8-7,-15,True,False,8
166,node6-3,node8-7,-15,True,False,10
167,node6-3,node8-7,-15,True,False,8
168,node6-3,node8-7,-15,True,False,10
169,node6-3,node8-7,-15,True,False,8
170,node6-3,node8-7,-15,True,False,10
171,node6-3,node8-7,-15,True,False,9
172,node6-3,node8-7,-15,True,False,10
173,node6-3,node8-7,-15,True,False,8
174,node6-3,node8-7,-15,True,False,8
175,node6-3,node8-7,-15,True,False,9
176,node6-3,node8-7,-15,True,False,9
177,node6-3,node8-7,-15,True,False,9
178,node6-3,node8-7,-15,True,False,10
179,node6-3,node8-7,-15,True,False,10
180,node6-3,node8-7,-15,True,False,9
181,node6-3,node8-7,-15,True,False,10
182,node6-3,node8-7,-15,True,False,9
183,node6-3,node8-7,-15,True,False,9
184,node6-3,node8-7,-15,True,False,9
185,node6-3,node8-7,-15,True,False,9
186,node6-3,node8-7,-15,True,False,9
187,node6-3,node8-7,-15,True,False,8
188,node6-3,node8-7,-15,True,False,10
189,node6-3,node8-7,-15,True,False,10
190,node6-3,node8-7,-15,True,False,8
191,node6-3,node8-7,-15,True,False,9
192,node6-3,node8-7,-15,True,False,10
193,node6-3,node8-7,-15,True,False,9
194,node6-3,node8-7,-15,True,False,9
195,node6-3,node8-7,-15,True,False,9
196,node6-3,node8-7,-15,True,False,10
197,node6-3,node8-7,-15,True,False,9
198,node6-3,node8-7,-15,True,False,10
199,node6-3,node8-7,-15,True,False,9
200,node6-3,node8-7,-15,True,False,10
201,node6-3,node8-7,-15,True,False,10
202,node6-3,node8-7,-15,True,False,10
203,node6-3,node8-7,-15,True,False,9
204,node6-3,node8-7,-15,True,False,9
205,node6-3,node8-7,-15,True,False,8
206,node6-3,node8-7,-15,True,False,8
207,node6-3,node8-7,-15,True,False,8
208,node6-3,node8-7,-15,True,False,10
209,node6-3,node8-7,-15,True,False,9
210,node6-3,node8-7,-15,True,False,10
211,node6-3,node8-7,-15,True,False,8
212,node6-3,node8-7,-15,True,False,10
213,node6-3,node8-7,-15,True,False,9
214,node6-3,node8-7,-15,True,False,8
215,node6-3,node8-7,-15,True,False,10
216,node6-3,node8-7,-15,True,False,9
217,node6-3,node8-7,-15,True,False,9
218,node6-3,node8-7,-15,True,False,10
219,node6-3,node8-7,-15,True,False,9
220,node6-3,node8-7,-15,True,False,9
221,node6-3,node8-7,-15,True,False,9
222,node6-3,node8-7,-15,True,False,8
223,node6-3,node8-7,-15,True,False,10
224,node6-3,node8-7,-15,True,False,8
225,node6-3,node8-7,-15,True,False,10
226,node6-3,node8-7,-15,True,False,9
227,node6-3,node8-7,-15,True,False,10
228,node6-3,node8-7,-15,True,False,9
229,node6-3,node8-7,-15,True,False,10
230,node6-3,node8-7,-15,True,False,10
231,node6-3,node8-7,-15,True,False,9
232,node6-3,node8-7,-15,True,False,10
233,node6-3,node8-7,-15,True,False,8
234,node6-3,node8-7,-15,True,False,8
235,node6-3,node8-7,-15,True,False,8
236,node6-3,node8-7,-15,True,False,10
237,node6-3,node8-7,-15,True,False,8
238,node6-3,node8-7,-15,True,False,9
239,node6-3,node8-7,-15,True,False,9
240,node6-3,node8-7,-15,True,False,7
241,node6-3,node8-7,-15,True,False,9
242,node6-3,node8-7,-15,True,False,7
243,node6-3,node8-7,-15,True,False,8
244,node6-3,node8-7,-15,True,False,10
245,node6-3,node8-7,-15,True,False,8
246,node6-3,node8-7,-15,True,False,10
247,node6-3,node8-7,-15,True,False,10
248,node6-3,node8-7,-15,True,False,10
249,node6-3,node8-7,-15,True,False,10
250,node6-3,node8-7,-15,True,False,7
251,node6-3,node8-7,-15,True,False,9
252,node6-3,node8-7,-15,True,False,9
253,node6-3,node8-7,-15,True,False,9
254,node6-3,node8-7,-15,True,False,10
255,node6-3,node8-7,-15,True,False,10
256,node6-3,node8-7,-15,True,False,10
257,node6-3,node8-7,-15,True,False,9
258,node6-3,node8-7,-15,True,False,11
259,node6-3,node8-7,-15,True,False,9
260,node6-3,node8-7,-15,True,False,9
261,node6-3,node8-7,-15,True,False,8
