seq,src,dst,noise,received,error,rssi
1,node1-4,node4-7,-10,True,False,11
2,node1-4,node4-7,-10,True,False,10
3,node1-4,node4-7,-10,True,False,8
4,node1-4,node4-7,-10,True,False,6
5,node1-4,node4-7,-10,True,False,7
6,node1-4,node4-7,-10,True,False,5
7,node1-4,node4-7,-10,True,False,6
8,node1-4,node4-7,-10,True,False,7
9,node1-4,node4-7,-10,True,False,7
10,node1-4,node4-7,-10,True,False,7
11,node1-4,node4-7,-10,True,False,7
12,node1-4,node4-7,-10,True,False,8
13,node1-4,node4-7,-10,True,False,8
14,node1-4,node4-7,-10,True,False,6
15,node1-4,node4-7,-10,True,False,5
16,node1-4,node4-7,-10,True,False,7
17,node1-4,node4-7,-10,True,False,6
18,node1-4,node4-7,-10,True,False,6
19,node1-4,node4-7,-10,True,False,8
20,node1-4,node4-7,-10,True,False,6
21,node1-4,node4-7,-10,True,False,8
22,node1-4,node4-7,-10,True,False,8
23,node1-4,node4-7,-10,True,False,8
24,node1-4,node4-7,-10,True,False,8
25,node1-4,node4-7,-10,True,False,5
26,node1-4,node4-7,-10,True,False,7
27,node1-4,node4-7,-10,True,False,7
28,node1-4,node4-7,-10,True,False,7
29,node1-4,node4-7,-10,True,False,8
30,node1-4,node4-7,-10,True,False,6
31,node1-4,node4-7,-10,True,False,9
32,node1-4,node4-7,-10,True,False,7
33,node1-4,node4-7,-10,True,False,8
34,node1-4,node4-7,-10,True,False,7
35,node1-4,node4-7,-10,True,False,8
36,node1-4,node4-7,-10,True,False,6
37,node1-4,node4-7,-10,True,False,8
38,node1-4,node4-7,-10,True,False,8
39,node1-4,node4-7,-10,True,False,8
40,node1-4,node4-7,-10,True,False,5
41,node1-4,node4-7,-10,True,False,7
42,node1-4,node4-7,-10,True,False,6
43,node1-4,node4-7,-10,True,False,7
44,node1-4,node4-7,-10,True,False,8
45,node1-4,node4-7,-10,True,False,9
46,node1-4,node4-7,-10,True,False,7
47,node1-4,node4-7,-10,True,False,7
48,node1-4,node4-7,-10,True,False,7
49,node1-4,node4-7,-10,True,False,7
50,node1-4,node4-7,-10,True,False,7
