seq,src,dst,noise,received,error,rssi
1,node4-3,node5-4,-10,True,False,23
2,node4-3,node5-4,-10,True,False,22
3,node4-3,node5-4,-10,True,False,19
4,node4-3,node5-4,-10,True,False,15
5,node4-3,node5-4,-10,True,False,16
6,node4-3,node5-4,-10,True,False,16
7,node4-3,node5-4,-10,True,False,17
8,node4-3,node5-4,-10,True,False,17
9,node4-3,node5-4,-10,True,False,17
10,node4-3,node5-4,-10,True,False,17
11,node4-3,node5-4,-10,True,False,17
12,node4-3,node5-4,-10,True,False,16
13,node4-3,node5-4,-10,True,False,18
14,node4-3,node5-4,-10,True,False,16
15,node4-3,node5-4,-10,True,False,16
16,node4-3,node5-4,-10,True,False,17
17,node4-3,node5-4,-10,True,False,16
18,node4-3,node5-4,-10,True,False,15
19,node4-3,node5-4,-10,True,False,16
20,node4-3,node5-4,-10,True,False,18
21,node4-3,node5-4,-10,True,False,17
22,node4-3,node5-4,-10,True,False,17
23,node4-3,node5-4,-10,True,False,17
24,node4-3,node5-4,-10,True,False,16
25,node4-3,node5-4,-10,True,False,16
26,node4-3,node5-4,-10,True,False,17
27,node4-3,node5-4,-10,True,False,17
28,node4-3,node5-4,-10,True,False,16
29,node4-3,node5-4,-10,True,False,17
30,node4-3,node5-4,-10,True,False,16
31,node4-3,node5-4,-10,True,False,17
32,node4-3,node5-4,-10,True,False,16
33,node4-3,node5-4,-10,True,False,17
34,node4-3,node5-4,-10,True,False,17
35,node4-3,node5-4,-10,True,False,16
36,node4-3,node5-4,-10,True,False,15
37,node4-3,node5-4,-10,True,False,17
38,node4-3,node5-4,-10,True,False,17
39,node4-3,node5-4,-10,True,False,17
40,node4-3,node5-4,-10,True,False,17
41,node4-3,node5-4,-10,True,False,16
42,node4-3,node5-4,-10,True,False,17
43,node4-3,node5-4,-10,True,False,17
44,node4-3,node5-4,-10,True,False,16
45,node4-3,node5-4,-10,True,False,15
46,node4-3,node5-4,-10,True,False,17
47,node4-3,node5-4,-10,True,False,18
48,node4-3,node5-4,-10,True,False,17
49,node4-3,node5-4,-10,True,False,16
50,node4-3,node5-4,-10,True,False,16
51,node4-3,node5-4,-10,True,False,16
52,node4-3,node5-4,-10,True,False,16
53,node4-3,node5-4,-10,True,False,16
54,node4-3,node5-4,-10,True,False,17
55,node4-3,node5-4,-10,True,False,16
56,node4-3,node5-4,-10,True,False,17
57,node4-3,node5-4,-10,True,False,17
58,node4-3,node5-4,-10,True,False,17
59,node4-3,node5-4,-10,True,False,16
60,node4-3,node5-4,-10,True,False,16
61,node4-3,node5-4,-10,True,False,15
62,node4-3,node5-4,-10,True,False,17
63,node4-3,node5-4,-10,True,False,17
64,node4-3,node5-4,-10,True,False,17
65,node4-3,node5-4,-10,True,False,17
66,node4-3,node5-4,-10,True,False,17
67,node4-3,node5-4,-10,True,False,18
68,node4-3,node5-4,-10,True,False,16
69,node4-3,node5-4,-10,True,False,17
70,node4-3,node5-4,-10,True,False,16
71,node4-3,node5-4,-10,True,False,16
72,node4-3,node5-4,-10,True,False,17
73,node4-3,node5-4,-10,True,False,16
74,node4-3,node5-4,-10,True,False,17
75,node4-3,node5-4,-10,True,False,16
76,node4-3,node5-4,-10,True,False,16
77,node4-3,node5-4,-10,True,False,16
78,node4-3,node5-4,-10,True,False,16
79,node4-3,node5-4,-10,True,False,16
80,node4-3,node5-4,-10,True,False,17
81,node4-3,node5-4,-10,True,False,16
82,node4-3,node5-4,-10,True,False,16
83,node4-3,node5-4,-10,True,False,17
84,node4-3,node5-4,-10,True,False,17
85,node4-3,node5-4,-10,True,False,17
86,node4-3,node5-4,-10,True,False,16
87,node4-3,node5-4,-10,True,False,16
88,node4-3,node5-4,-10,True,False,17
89,node4-3,node5-4,-10,True,False,16
90,node4-3,node5-4,-10,True,False,16
91,node4-3,node5-4,-10,True,False,16
92,node4-3,node5-4,-10,True,False,16
93,node4-3,node5-4,-10,True,False,17
94,node4-3,node5-4,-10,True,False,18
95,node4-3,node5-4,-10,True,False,17
96,node4-3,node5-4,-10,True,False,16
97,node4-3,node5-4,-10,True,False,16
98,node4-3,node5-4,-10,True,False,15
99,node4-3,node5-4,-10,True,False,16
100,node4-3,node5-4,-10,True,False,16
101,node4-3,node5-4,-10,True,False,17
102,node4-3,node5-4,-10,True,False,17
103,node4-3,node5-4,-10,True,False,16
104,node4-3,node5-4,-10,True,False,16
105,node4-3,node5-4,-10,True,False,16
106,node4-3,node5-4,-10,True,False,17
107,node4-3,node5-4,-10,True,False,16
108,node4-3,node5-4,-10,True,False,16
109,node4-3,node5-4,-10,True,False,16
110,node4-3,node5-4,-10,True,False,15
111,node4-3,node5-4,-10,True,False,16
112,node4-3,node5-4,-10,True,False,16
113,node4-3,node5-4,-10,True,False,16
114,node4-3,node5-4,-10,True,False,17
115,node4-3,node5-4,-10,True,False,16
116,node4-3,node5-4,-10,True,False,16
117,node4-3,node5-4,-10,True,False,17
118,node4-3,node5-4,-10,True,False,17
119,node4-3,node5-4,-10,True,False,17
120,node4-3,node5-4,-10,True,False,17
121,node4-3,node5-4,-10,True,False,16
122,node4-3,node5-4,-10,True,False,16
123,node4-3,node5-4,-10,True,False,15
124,node4-3,node5-4,-10,True,False,17
125,node4-3,node5-4,-10,True,False,16
126,node4-3,node5-4,-10,True,False,17
127,node4-3,node5-4,-10,True,False,16
128,node4-3,node5-4,-10,True,False,17
129,node4-3,node5-4,-10,True,False,15
130,node4-3,node5-4,-10,True,False,16
131,node4-3,node5-4,-10,True,False,17
132,node4-3,node5-4,-10,True,False,15
133,node4-3,node5-4,-10,True,False,17
134,node4-3,node5-4,-10,True,False,16
135,node4-3,node5-4,-10,True,False,17
136,node4-3,node5-4,-10,True,False,17
137,node4-3,node5-4,-10,True,False,16
138,node4-3,node5-4,-10,True,False,16
139,node4-3,node5-4,-10,True,False,17
140,node4-3,node5-4,-10,True,False,16
141,node4-3,node5-4,-10,True,False,16
142,node4-3,node5-4,-10,True,False,16
143,node4-3,node5-4,-10,True,False,17
144,node4-3,node5-4,-10,True,False,16
145,node4-3,node5-4,-10,True,False,17
146,node4-3,node5-4,-10,True,False,16
147,node4-3,node5-4,-10,True,False,16
148,node4-3,node5-4,-10,True,False,16
149,node4-3,node5-4,-10,True,False,16
150,node4-3,node5-4,-10,True,False,17
151,node4-3,node5-4,-10,True,False,17
152,node4-3,node5-4,-10,True,False,16
153,node4-3,node5-4,-10,True,False,17
154,node4-3,node5-4,-10,True,False,16
155,node4-3,node5-4,-10,True,False,16
156,node4-3,node5-4,-10,True,False,17
157,node4-3,node5-4,-10,True,False,15
158,node4-3,node5-4,-10,True,False,16
159,node4-3,node5-4,-10,True,False,17
160,node4-3,node5-4,-10,True,False,16
161,node4-3,node5-4,-10,True,False,16
162,node4-3,node5-4,-10,True,False,17
163,node4-3,node5-4,-10,True,False,16
164,node4-3,node5-4,-10,True,False,15
165,node4-3,node5-4,-10,True,False,16
166,node4-3,node5-4,-10,True,False,15
167,node4-3,node5-4,-10,True,False,16
168,node4-3,node5-4,-10,True,False,16
169,node4-3,node5-4,-10,True,False,16
170,node4-3,node5-4,-10,True,False,17
171,node4-3,node5-4,-10,True,False,16
172,node4-3,node5-4,-10,True,False,16
173,node4-3,node5-4,-10,True,False,16
174,node4-3,node5-4,-10,True,False,17
175,node4-3,node5-4,-10,True,False,16
176,node4-3,node5-4,-10,True,False,16
177,node4-3,node5-4,-10,True,False,16
178,node4-3,node5-4,-10,True,False,17
179,node4-3,node5-4,-10,True,False,17
180,node4-3,node5-4,-10,True,False,16
181,node4-3,node5-4,-10,True,False,16
182,node4-3,node5-4,-10,True,False,16
183,node4-3,node5-4,-10,True,False,16
184,node4-3,node5-4,-10,True,False,16
185,node4-3,node5-4,-10,True,False,15
186,node4-3,node5-4,-10,True,False,17
187,node4-3,node5-4,-10,True,False,17
188,node4-3,node5-4,-10,True,False,17
189,node4-3,node5-4,-10,True,False,16
190,node4-3,node5-4,-10,True,False,16
191,node4-3,node5-4,-10,True,False,16
192,node4-3,node5-4,-10,True,False,16
193,node4-3,node5-4,-10,True,False,16
194,node4-3,node5-4,-10,True,False,17
195,node4-3,node5-4,-10,True,False,16
196,node4-3,node5-4,-10,True,False,15
197,node4-3,node5-4,-10,True,False,15
198,node4-3,node5-4,-10,True,False,16
199,node4-3,node5-4,-10,True,False,16
200,node4-3,node5-4,-10,True,False,16
201,node4-3,node5-4,-10,True,False,16
202,node4-3,node5-4,-10,True,False,16
203,node4-3,node5-4,-10,True,False,17
204,node4-3,node5-4,-10,True,False,16
205,node4-3,node5-4,-10,True,False,16
206,node4-3,node5-4,-10,True,False,16
207,node4-3,node5-4,-10,True,False,16
208,node4-3,node5-4,-10,True,False,16
209,node4-3,node5-4,-10,True,False,16
210,node4-3,node5-4,-10,True,False,16
211,node4-3,node5-4,-10,True,False,16
212,node4-3,node5-4,-10,True,False,17
213,node4-3,node5-4,-10,True,False,16
214,node4-3,node5-4,-10,True,False,15
215,node4-3,node5-4,-10,True,False,16
216,node4-3,node5-4,-10,True,False,16
217,node4-3,node5-4,-10,True,False,17
218,node4-3,node5-4,-10,True,False,17
219,node4-3,node5-4,-10,True,False,16
220,node4-3,node5-4,-10,True,False,17
221,node4-3,node5-4,-10,True,False,16
222,node4-3,node5-4,-10,True,False,17
223,node4-3,node5-4,-10,True,False,15
224,node4-3,node5-4,-10,True,False,16
225,node4-3,node5-4,-10,True,False,16
226,node4-3,node5-4,-10,True,False,16
227,node4-3,node5-4,-10,True,False,16
228,node4-3,node5-4,-10,True,False,17
229,node4-3,node5-4,-10,True,False,17
230,node4-3,node5-4,-10,True,False,17
231,node4-3,node5-4,-10,True,False,17
232,node4-3,node5-4,-10,True,False,16
233,node4-3,node5-4,-10,True,False,17
234,node4-3,node5-4,-10,True,False,15
235,node4-3,node5-4,-10,True,False,16
236,node4-3,node5-4,-10,True,False,15
237,node4-3,node5-4,-10,True,False,17
238,node4-3,node5-4,-10,True,False,16
239,node4-3,node5-4,-10,True,False,16
