seq,src,dst,noise,received,error,rssi
1,node5-2,node6-1,-5,True,False,9
2,node5-2,node6-1,-5,True,False,8
3,node5-2,node6-1,-5,True,False,4
4,node5-2,node6-1,-5,True,False,4
5,node5-2,node6-1,-5,True,False,4
6,node5-2,node6-1,-5,True,False,4
7,node5-2,node6-1,-5,True,False,4
8,node5-2,node6-1,-5,True,False,3
9,node5-2,node6-1,-5,True,False,4
10,node5-2,node6-1,-5,True,False,5
11,node5-2,node6-1,-5,True,False,4
12,node5-2,node6-1,-5,True,False,3
13,node5-2,node6-1,-5,True,False,2
14,node5-2,node6-1,-5,True,False,5
15,node5-2,node6-1,-5,True,False,3
16,node5-2,node6-1,-5,True,False,4
17,node5-2,node6-1,-5,True,False,4
18,node5-2,node6-1,-5,True,False,4
19,node5-2,node6-1,-5,True,False,4
20,node5-2,node6-1,-5,True,False,4
21,node5-2,node6-1,-5,True,False,2
22,node5-2,node6-1,-5,True,False,3
23,node5-2,node6-1,-5,True,False,4
24,node5-2,node6-1,-5,True,False,1
25,node5-2,node6-1,-5,True,False,3
26,node5-2,node6-1,-5,True,False,5
27,node5-2,node6-1,-5,True,False,3
28,node5-2,node6-1,-5,True,False,3
29,node5-2,node6-1,-5,True,False,4
30,node5-2,node6-1,-5,True,False,4
31,node5-2,node6-1,-5,True,False,4
32,node5-2,node6-1,-5,True,False,3
33,node5-2,node6-1,-5,True,False,5
34,node5-2,node6-1,-5,True,False,4
35,node5-2,node6-1,-5,True,False,2
36,node5-2,node6-1,-5,True,False,4
37,node5-2,node6-1,-5,True,False,0
38,node5-2,node6-1,-5,True,False,3
39,node5-2,node6-1,-5,True,False,5
40,node5-2,node6-1,-5,True,False,5
41,node5-2,node6-1,-5,True,False,3
42,node5-2,node6-1,-5,True,False,3
43,node5-2,node6-1,-5,True,False,4
44,node5-2,node6-1,-5,True,False,4
45,node5-2,node6-1,-5,True,False,3
46,node5-2,node6-1,-5,True,False,2
47,node5-2,node6-1,-5,True,False,4
48,node5-2,node6-1,-5,True,False,3
49,node5-2,node6-1,-5,True,False,2
50,node5-2,node6-1,-5,True,False,4
51,node5-2,node6-1,-5,True,False,4
52,node5-2,node6-1,-5,True,False,4
53,node5-2,node6-1,-5,True,False,4
54,node5-2,node6-1,-5,True,False,4
55,node5-2,node6-1,-5,True,False,2
56,node5-2,node6-1,-5,True,False,3
57,node5-2,node6-1,-5,True,False,3
58,node5-2,node6-1,-5,True,False,3
59,node5-2,node6-1,-5,True,False,5
60,node5-2,node6-1,-5,True,False,4
61,node5-2,node6-1,-5,True,False,2
62,node5-2,node6-1,-5,True,False,6
63,node5-2,node6-1,-5,True,False,4
64,node5-2,node6-1,-5,True,False,4
65,node5-2,node6-1,-5,True,False,4
66,node5-2,node6-1,-5,True,False,2
67,node5-2,node6-1,-5,True,False,4
68,node5-2,node6-1,-5,True,False,3
69,node5-2,node6-1,-5,True,False,3
70,node5-2,node6-1,-5,True,False,3
71,node5-2,node6-1,-5,True,False,4
72,node5-2,node6-1,-5,True,False,4
73,node5-2,node6-1,-5,True,False,3
74,node5-2,node6-1,-5,True,False,4
75,node5-2,node6-1,-5,True,False,4
76,node5-2,node6-1,-5,True,False,3
77,node5-2,node6-1,-5,True,False,3
78,node5-2,node6-1,-5,True,False,5
79,node5-2,node6-1,-5,True,False,4
80,node5-2,node6-1,-5,True,False,3
81,node5-2,node6-1,-5,True,False,3
82,node5-2,node6-1,-5,True,False,3
83,node5-2,node6-1,-5,True,False,3
84,node5-2,node6-1,-5,True,False,3
85,node5-2,node6-1,-5,True,False,3
86,node5-2,node6-1,-5,True,False,4
87,node5-2,node6-1,-5,True,False,4
88,node5-2,node6-1,-5,True,False,3
89,node5-2,node6-1,-5,True,False,4
90,node5-2,node6-1,-5,True,False,3
91,node5-2,node6-1,-5,True,False,3
92,node5-2,node6-1,-5,True,False,3
93,node5-2,node6-1,-5,True,False,4
94,node5-2,node6-1,-5,True,False,3
95,node5-2,node6-1,-5,True,False,3
96,node5-2,node6-1,-5,True,False,4
97,node5-2,node6-1,-5,True,False,5
98,node5-2,node6-1,-5,True,False,3
99,node5-2,node6-1,-5,True,False,3
100,node5-2,node6-1,-5,True,False,3
101,node5-2,node6-1,-5,True,False,3
102,node5-2,node6-1,-5,True,False,2
103,node5-2,node6-1,-5,True,False,5
104,node5-2,node6-1,-5,True,False,2
105,node5-2,node6-1,-5,True,False,2
106,node5-2,node6-1,-5,True,False,3
107,node5-2,node6-1,-5,True,False,3
108,node5-2,node6-1,-5,True,False,1
109,node5-2,node6-1,-5,True,False,2
110,node5-2,node6-1,-5,True,False,5
111,node5-2,node6-1,-5,True,False,3
112,node5-2,node6-1,-5,True,False,4
113,node5-2,node6-1,-5,True,False,5
114,node5-2,node6-1,-5,True,False,3
115,node5-2,node6-1,-5,True,False,5
116,node5-2,node6-1,-5,True,False,4
117,node5-2,node6-1,-5,True,False,2
118,node5-2,node6-1,-5,True,False,3
119,node5-2,node6-1,-5,True,False,6
120,node5-2,node6-1,-5,True,False,2
121,node5-2,node6-1,-5,True,False,5
122,node5-2,node6-1,-5,True,False,4
123,node5-2,node6-1,-5,True,False,4
124,node5-2,node6-1,-5,True,False,4
125,node5-2,node6-1,-5,True,False,4
126,node5-2,node6-1,-5,True,False,3
127,node5-2,node6-1,-5,True,False,5
128,node5-2,node6-1,-5,True,False,5
129,node5-2,node6-1,-5,True,False,5
130,node5-2,node6-1,-5,True,False,2
131,node5-2,node6-1,-5,True,False,4
132,node5-2,node6-1,-5,True,False,4
133,node5-2,node6-1,-5,True,False,5
134,node5-2,node6-1,-5,True,False,3
135,node5-2,node6-1,-5,True,False,4
136,node5-2,node6-1,-5,True,False,3
137,node5-2,node6-1,-5,True,False,4
138,node5-2,node6-1,-5,True,False,2
139,node5-2,node6-1,-5,True,False,4
140,node5-2,node6-1,-5,True,False,4
141,node5-2,node6-1,-5,True,False,3
142,node5-2,node6-1,-5,True,False,4
143,node5-2,node6-1,-5,True,False,4
144,node5-2,node6-1,-5,True,False,4
145,node5-2,node6-1,-5,True,False,4
146,node5-2,node6-1,-5,True,False,1
147,node5-2,node6-1,-5,True,False,1
148,node5-2,node6-1,-5,True,False,3
149,node5-2,node6-1,-5,True,False,5
150,node5-2,node6-1,-5,True,False,4
151,node5-2,node6-1,-5,True,False,3
152,node5-2,node6-1,-5,True,False,4
153,node5-2,node6-1,-5,True,False,5
154,node5-2,node6-1,-5,True,False,4
155,node5-2,node6-1,-5,True,False,5
156,node5-2,node6-1,-5,True,False,5
157,node5-2,node6-1,-5,True,False,3
158,node5-2,node6-1,-5,True,False,4
159,node5-2,node6-1,-5,True,False,3
160,node5-2,node6-1,-5,True,False,5
161,node5-2,node6-1,-5,True,False,4
162,node5-2,node6-1,-5,True,False,3
163,node5-2,node6-1,-5,True,False,5
164,node5-2,node6-1,-5,True,False,3
165,node5-2,node6-1,-5,True,False,2
166,node5-2,node6-1,-5,True,False,4
167,node5-2,node6-1,-5,True,False,4
168,node5-2,node6-1,-5,True,False,4
169,node5-2,node6-1,-5,True,False,4
170,node5-2,node6-1,-5,True,False,3
171,node5-2,node6-1,-5,True,False,5
172,node5-2,node6-1,-5,True,False,2
173,node5-2,node6-1,-5,True,False,3
174,node5-2,node6-1,-5,True,False,3
175,node5-2,node6-1,-5,True,False,4
176,node5-2,node6-1,-5,True,False,4
177,node5-2,node6-1,-5,True,False,5
178,node5-2,node6-1,-5,True,False,4
179,node5-2,node6-1,-5,True,False,3
180,node5-2,node6-1,-5,True,False,3
181,node5-2,node6-1,-5,True,False,4
182,node5-2,node6-1,-5,True,False,4
183,node5-2,node6-1,-5,True,False,4
184,node5-2,node6-1,-5,True,False,5
185,node5-2,node6-1,-5,True,False,4
186,node5-2,node6-1,-5,True,False,4
187,node5-2,node6-1,-5,True,False,2
188,node5-2,node6-1,-5,True,False,3
189,node5-2,node6-1,-5,True,False,4
190,node5-2,node6-1,-5,True,False,4
191,node5-2,node6-1,-5,True,False,5
192,node5-2,node6-1,-5,True,False,4
193,node5-2,node6-1,-5,True,False,4
194,node5-2,node6-1,-5,True,False,2
195,node5-2,node6-1,-5,True,False,3
