seq,src,dst,noise,received,error,rssi
1,node2-1,node1-2,-5,True,False,5
2,node2-1,node1-2,-5,True,False,4
3,node2-1,node1-2,-5,True,False,2
4,node2-1,node1-2,-5,True,False,2
5,node2-1,node1-2,-5,False,True,0
6,node2-1,node1-2,-5,True,False,2
7,node2-1,node1-2,-5,True,False,3
8,node2-1,node1-2,-5,True,False,3
9,node2-1,node1-2,-5,True,False,2
10,node2-1,node1-2,-5,True,False,2
11,node2-1,node1-2,-5,True,False,4
12,node2-1,node1-2,-5,True,False,1
13,node2-1,node1-2,-5,True,False,2
14,node2-1,node1-2,-5,False,False,0
15,node2-1,node1-2,-5,True,False,3
16,node2-1,node1-2,-5,True,False,2
17,node2-1,node1-2,-5,True,False,1
18,node2-1,node1-2,-5,True,False,3
19,node2-1,node1-2,-5,True,False,1
20,node2-1,node1-2,-5,True,False,2
21,node2-1,node1-2,-5,True,False,2
22,node2-1,node1-2,-5,True,False,1
23,node2-1,node1-2,-5,False,False,0
24,node2-1,node1-2,-5,True,False,2
25,node2-1,node1-2,-5,True,False,3
26,node2-1,node1-2,-5,True,False,2
27,node2-1,node1-2,-5,True,False,2
28,node2-1,node1-2,-5,True,False,0
29,node2-1,node1-2,-5,True,False,1
30,node2-1,node1-2,-5,True,False,3
31,node2-1,node1-2,-5,True,False,1
32,node2-1,node1-2,-5,True,False,3
33,node2-1,node1-2,-5,True,False,3
34,node2-1,node1-2,-5,True,False,4
35,node2-1,node1-2,-5,True,False,3
36,node2-1,node1-2,-5,True,False,4
37,node2-1,node1-2,-5,True,False,3
38,node2-1,node1-2,-5,True,False,1
39,node2-1,node1-2,-5,True,False,2
40,node2-1,node1-2,-5,True,False,2
41,node2-1,node1-2,-5,True,False,1
42,node2-1,node1-2,-5,True,False,2
43,node2-1,node1-2,-5,True,False,2
44,node2-1,node1-2,-5,True,False,2
45,node2-1,node1-2,-5,True,False,3
46,node2-1,node1-2,-5,True,False,3
47,node2-1,node1-2,-5,True,False,3
48,node2-1,node1-2,-5,True,False,3
49,node2-1,node1-2,-5,True,False,4
50,node2-1,node1-2,-5,True,False,2
51,node2-1,node1-2,-5,True,False,4
52,node2-1,node1-2,-5,True,False,3
53,node2-1,node1-2,-5,True,False,3
54,node2-1,node1-2,-5,True,False,3
55,node2-1,node1-2,-5,True,False,2
56,node2-1,node1-2,-5,True,False,3
57,node2-1,node1-2,-5,True,False,2
58,node2-1,node1-2,-5,True,False,2
59,node2-1,node1-2,-5,False,False,0
60,node2-1,node1-2,-5,True,False,3
61,node2-1,node1-2,-5,True,False,1
62,node2-1,node1-2,-5,True,False,2
63,node2-1,node1-2,-5,True,False,3
64,node2-1,node1-2,-5,True,False,1
65,node2-1,node1-2,-5,True,False,3
66,node2-1,node1-2,-5,True,False,2
67,node2-1,node1-2,-5,True,False,3
68,node2-1,node1-2,-5,True,False,3
69,node2-1,node1-2,-5,True,False,2
70,node2-1,node1-2,-5,True,False,2
71,node2-1,node1-2,-5,True,False,2
72,node2-1,node1-2,-5,False,False,0
73,node2-1,node1-2,-5,True,False,4
74,node2-1,node1-2,-5,True,False,3
75,node2-1,node1-2,-5,True,False,5
76,node2-1,node1-2,-5,True,False,2
77,node2-1,node1-2,-5,True,False,1
78,node2-1,node1-2,-5,True,False,4
79,node2-1,node1-2,-5,True,False,5
80,node2-1,node1-2,-5,True,False,4
81,node2-1,node1-2,-5,True,False,4
82,node2-1,node1-2,-5,True,False,1
83,node2-1,node1-2,-5,True,False,2
84,node2-1,node1-2,-5,True,False,1
85,node2-1,node1-2,-5,True,False,2
86,node2-1,node1-2,-5,True,False,2
