seq,src,dst,noise,received,error,rssi
1,node3-4,node8-3,-15,True,False,26
2,node3-4,node8-3,-15,True,False,25
3,node3-4,node8-3,-15,True,False,23
4,node3-4,node8-3,-15,True,False,22
5,node3-4,node8-3,-15,True,False,22
6,node3-4,node8-3,-15,True,False,22
7,node3-4,node8-3,-15,True,False,21
8,node3-4,node8-3,-15,True,False,21
9,node3-4,node8-3,-15,True,False,21
10,node3-4,node8-3,-15,True,False,22
11,node3-4,node8-3,-15,True,False,22
12,node3-4,node8-3,-15,True,False,22
13,node3-4,node8-3,-15,True,False,22
14,node3-4,node8-3,-15,True,False,21
15,node3-4,node8-3,-15,True,False,21
16,node3-4,node8-3,-15,True,False,22
17,node3-4,node8-3,-15,True,False,22
18,node3-4,node8-3,-15,True,False,22
19,node3-4,node8-3,-15,True,False,22
20,node3-4,node8-3,-15,True,False,22
21,node3-4,node8-3,-15,True,False,22
22,node3-4,node8-3,-15,True,False,22
23,node3-4,node8-3,-15,True,False,22
24,node3-4,node8-3,-15,True,False,22
25,node3-4,node8-3,-15,True,False,22
26,node3-4,node8-3,-15,True,False,22
27,node3-4,node8-3,-15,True,False,21
28,node3-4,node8-3,-15,True,False,21
29,node3-4,node8-3,-15,True,False,22
30,node3-4,node8-3,-15,True,False,21
31,node3-4,node8-3,-15,True,False,22
32,node3-4,node8-3,-15,True,False,22
33,node3-4,node8-3,-15,True,False,21
34,node3-4,node8-3,-15,True,False,21
35,node3-4,node8-3,-15,True,False,21
36,node3-4,node8-3,-15,True,False,22
37,node3-4,node8-3,-15,True,False,21
38,node3-4,node8-3,-15,True,False,22
39,node3-4,node8-3,-15,True,False,21
40,node3-4,node8-3,-15,True,False,22
41,node3-4,node8-3,-15,True,False,21
42,node3-4,node8-3,-15,True,False,21
43,node3-4,node8-3,-15,True,False,21
44,node3-4,node8-3,-15,True,False,22
45,node3-4,node8-3,-15,True,False,21
46,node3-4,node8-3,-15,True,False,22
47,node3-4,node8-3,-15,True,False,21
48,node3-4,node8-3,-15,True,False,22
49,node3-4,node8-3,-15,True,False,21
50,node3-4,node8-3,-15,True,False,22
51,node3-4,node8-3,-15,True,False,21
52,node3-4,node8-3,-15,True,False,22
53,node3-4,node8-3,-15,True,False,21
54,node3-4,node8-3,-15,True,False,21
55,node3-4,node8-3,-15,True,False,22
56,node3-4,node8-3,-15,True,False,22
57,node3-4,node8-3,-15,True,False,22
58,node3-4,node8-3,-15,True,False,20
59,node3-4,node8-3,-15,True,False,22
60,node3-4,node8-3,-15,True,False,21
61,node3-4,node8-3,-15,True,False,21
62,node3-4,node8-3,-15,True,False,22
63,node3-4,node8-3,-15,True,False,22
64,node3-4,node8-3,-15,True,False,21
65,node3-4,node8-3,-15,True,False,21
66,node3-4,node8-3,-15,True,False,22
67,node3-4,node8-3,-15,True,False,22
68,node3-4,node8-3,-15,True,False,22
69,node3-4,node8-3,-15,True,False,21
70,node3-4,node8-3,-15,True,False,21
71,node3-4,node8-3,-15,True,False,22
72,node3-4,node8-3,-15,True,False,21
73,node3-4,node8-3,-15,True,False,21
74,node3-4,node8-3,-15,True,False,21
75,node3-4,node8-3,-15,True,False,21
76,node3-4,node8-3,-15,True,False,21
77,node3-4,node8-3,-15,True,False,22
78,node3-4,node8-3,-15,True,False,22
79,node3-4,node8-3,-15,True,False,21
80,node3-4,node8-3,-15,True,False,22
81,node3-4,node8-3,-15,True,False,22
82,node3-4,node8-3,-15,True,False,22
83,node3-4,node8-3,-15,True,False,22
84,node3-4,node8-3,-15,True,False,21
85,node3-4,node8-3,-15,True,False,22
86,node3-4,node8-3,-15,True,False,22
87,node3-4,node8-3,-15,True,False,21
88,node3-4,node8-3,-15,True,False,21
89,node3-4,node8-3,-15,True,False,22
90,node3-4,node8-3,-15,True,False,22
91,node3-4,node8-3,-15,True,False,21
92,node3-4,node8-3,-15,True,False,22
93,node3-4,node8-3,-15,True,False,22
94,node3-4,node8-3,-15,True,False,22
95,node3-4,node8-3,-15,True,False,22
96,node3-4,node8-3,-15,True,False,22
97,node3-4,node8-3,-15,True,False,21
98,node3-4,node8-3,-15,True,False,22
99,node3-4,node8-3,-15,True,False,20
100,node3-4,node8-3,-15,True,False,22
101,node3-4,node8-3,-15,True,False,22
102,node3-4,node8-3,-15,True,False,22
103,node3-4,node8-3,-15,True,False,21
104,node3-4,node8-3,-15,True,False,21
105,node3-4,node8-3,-15,True,False,22
106,node3-4,node8-3,-15,True,False,22
107,node3-4,node8-3,-15,True,False,22
108,node3-4,node8-3,-15,True,False,21
109,node3-4,node8-3,-15,True,False,22
110,node3-4,node8-3,-15,True,False,21
111,node3-4,node8-3,-15,True,False,22
112,node3-4,node8-3,-15,True,False,21
113,node3-4,node8-3,-15,True,False,22
114,node3-4,node8-3,-15,True,False,22
115,node3-4,node8-3,-15,True,False,22
116,node3-4,node8-3,-15,True,False,22
117,node3-4,node8-3,-15,True,False,22
118,node3-4,node8-3,-15,True,False,22
119,node3-4,node8-3,-15,True,False,22
120,node3-4,node8-3,-15,True,False,21
121,node3-4,node8-3,-15,True,False,22
122,node3-4,node8-3,-15,True,False,22
123,node3-4,node8-3,-15,True,False,22
124,node3-4,node8-3,-15,True,False,22
125,node3-4,node8-3,-15,True,False,22
126,node3-4,node8-3,-15,True,False,22
127,node3-4,node8-3,-15,True,False,22
128,node3-4,node8-3,-15,True,False,22
129,node3-4,node8-3,-15,True,False,21
130,node3-4,node8-3,-15,True,False,21
131,node3-4,node8-3,-15,True,False,22
132,node3-4,node8-3,-15,True,False,22
133,node3-4,node8-3,-15,True,False,22
134,node3-4,node8-3,-15,True,False,22
135,node3-4,node8-3,-15,True,False,22
136,node3-4,node8-3,-15,True,False,22
