seq,src,dst,noise,received,error,rssi
1,node1-6,node3-6,0,True,False,8
2,node1-6,node3-6,0,True,False,8
3,node1-6,node3-6,0,True,False,4
4,node1-6,node3-6,0,True,False,7
5,node1-6,node3-6,0,True,False,6
6,node1-6,node3-6,0,True,False,5
7,node1-6,node3-6,0,True,False,5
8,node1-6,node3-6,0,True,False,6
9,node1-6,node3-6,0,True,False,7
10,node1-6,node3-6,0,True,False,5
11,node1-6,node3-6,0,True,False,7
12,node1-6,node3-6,0,True,False,6
13,node1-6,node3-6,0,True,False,6
14,node1-6,node3-6,0,True,False,6
15,node1-6,node3-6,0,True,False,5
16,node1-6,node3-6,0,True,False,6
17,node1-6,node3-6,0,True,False,6
18,node1-6,node3-6,0,True,False,4
19,node1-6,node3-6,0,True,False,6
20,node1-6,node3-6,0,True,False,6
21,node1-6,node3-6,0,True,False,5
22,node1-6,node3-6,0,True,False,6
23,node1-6,node3-6,0,True,False,6
24,node1-6,node3-6,0,True,False,7
25,node1-6,node3-6,0,True,False,6
26,node1-6,node3-6,0,True,False,7
27,node1-6,node3-6,0,True,False,2
28,node1-6,node3-6,0,True,False,7
29,node1-6,node3-6,0,True,False,6
30,node1-6,node3-6,0,True,False,6
31,node1-6,node3-6,0,True,False,5
32,node1-6,node3-6,0,True,False,7
33,node1-6,node3-6,0,True,False,6
34,node1-6,node3-6,0,True,False,6
35,node1-6,node3-6,0,True,False,6
36,node1-6,node3-6,0,True,False,6
37,node1-6,node3-6,0,True,False,5
38,node1-6,node3-6,0,True,False,4
39,node1-6,node3-6,0,True,False,7
40,node1-6,node3-6,0,True,False,6
41,node1-6,node3-6,0,True,False,6
42,node1-6,node3-6,0,True,False,6
43,node1-6,node3-6,0,True,False,6
44,node1-6,node3-6,0,True,False,6
45,node1-6,node3-6,0,True,False,6
46,node1-6,node3-6,0,True,False,7
47,node1-6,node3-6,0,True,False,6
48,node1-6,node3-6,0,True,False,5
49,node1-6,node3-6,0,True,False,5
50,node1-6,node3-6,0,True,False,5
51,node1-6,node3-6,0,True,False,6
52,node1-6,node3-6,0,True,False,6
53,node1-6,node3-6,0,True,False,6
54,node1-6,node3-6,0,True,False,6
55,node1-6,node3-6,0,True,False,6
56,node1-6,node3-6,0,True,False,6
57,node1-6,node3-6,0,True,False,6
58,node1-6,node3-6,0,True,False,6
59,node1-6,node3-6,0,True,False,6
60,node1-6,node3-6,0,True,False,6
61,node1-6,node3-6,0,True,False,6
62,node1-6,node3-6,0,True,False,4
63,node1-6,node3-6,0,True,False,7
64,node1-6,node3-6,0,True,False,6
65,node1-6,node3-6,0,True,False,6
66,node1-6,node3-6,0,True,False,6
67,node1-6,node3-6,0,True,False,6
68,node1-6,node3-6,0,True,False,5
69,node1-6,node3-6,0,True,False,6
70,node1-6,node3-6,0,True,False,6
71,node1-6,node3-6,0,True,False,4
72,node1-6,node3-6,0,True,False,6
73,node1-6,node3-6,0,True,False,6
74,node1-6,node3-6,0,True,False,4
75,node1-6,node3-6,0,True,False,6
76,node1-6,node3-6,0,True,False,6
77,node1-6,node3-6,0,True,False,7
78,node1-6,node3-6,0,True,False,7
79,node1-6,node3-6,0,True,False,7
80,node1-6,node3-6,0,True,False,6
81,node1-6,node3-6,0,True,False,5
82,node1-6,node3-6,0,True,False,6
83,node1-6,node3-6,0,True,False,6
84,node1-6,node3-6,0,True,False,6
85,node1-6,node3-6,0,True,False,6
86,node1-6,node3-6,0,True,False,5
87,node1-6,node3-6,0,True,False,6
88,node1-6,node3-6,0,True,False,6
89,node1-6,node3-6,0,True,False,5
90,node1-6,node3-6,0,True,False,6
91,node1-6,node3-6,0,True,False,5
92,node1-6,node3-6,0,True,False,4
93,node1-6,node3-6,0,True,False,7
94,node1-6,node3-6,0,True,False,3
95,node1-6,node3-6,0,True,False,6
96,node1-6,node3-6,0,True,False,6
97,node1-6,node3-6,0,True,False,6
98,node1-6,node3-6,0,True,False,6
99,node1-6,node3-6,0,True,False,6
100,node1-6,node3-6,0,True,False,7
101,node1-6,node3-6,0,True,False,6
102,node1-6,node3-6,0,True,False,6
103,node1-6,node3-6,0,True,False,5
104,node1-6,node3-6,0,True,False,6
105,node1-6,node3-6,0,True,False,6
106,node1-6,node3-6,0,True,False,6
107,node1-6,node3-6,0,True,False,6
108,node1-6,node3-6,0,True,False,6
109,node1-6,node3-6,0,True,False,5
110,node1-6,node3-6,0,True,False,7
111,node1-6,node3-6,0,True,False,6
112,node1-6,node3-6,0,True,False,6
113,node1-6,node3-6,0,True,False,6
114,node1-6,node3-6,0,True,False,5
115,node1-6,node3-6,0,True,False,5
116,node1-6,node3-6,0,True,False,6
117,node1-6,node3-6,0,True,False,6
118,node1-6,node3-6,0,True,False,6
119,node1-6,node3-6,0,True,False,6
120,node1-6,node3-6,0,True,False,6
121,node1-6,node3-6,0,True,False,6
122,node1-6,node3-6,0,True,False,6
123,node1-6,node3-6,0,True,False,6
124,node1-6,node3-6,0,True,False,7
125,node1-6,node3-6,0,True,False,6
126,node1-6,node3-6,0,True,False,4
127,node1-6,node3-6,0,True,False,5
128,node1-6,node3-6,0,True,False,5
129,node1-6,node3-6,0,True,False,6
130,node1-6,node3-6,0,True,False,7
131,node1-6,node3-6,0,True,False,7
132,node1-6,node3-6,0,True,False,7
133,node1-6,node3-6,0,True,False,6
134,node1-6,node3-6,0,True,False,6
135,node1-6,node3-6,0,True,False,6
136,node1-6,node3-6,0,True,False,6
137,node1-6,node3-6,0,True,False,6
138,node1-6,node3-6,0,True,False,7
139,node1-6,node3-6,0,True,False,6
140,node1-6,node3-6,0,True,False,5
141,node1-6,node3-6,0,True,False,6
142,node1-6,node3-6,0,True,False,5
143,node1-6,node3-6,0,True,False,7
144,node1-6,node3-6,0,True,False,6
145,node1-6,node3-6,0,True,False,5
146,node1-6,node3-6,0,True,False,6
147,node1-6,node3-6,0,True,False,5
148,node1-6,node3-6,0,True,False,6
149,node1-6,node3-6,0,True,False,5
150,node1-6,node3-6,0,True,False,4
151,node1-6,node3-6,0,True,False,7
152,node1-6,node3-6,0,True,False,6
153,node1-6,node3-6,0,True,False,5
154,node1-6,node3-6,0,True,False,6
155,node1-6,node3-6,0,True,False,6
156,node1-6,node3-6,0,True,False,7
157,node1-6,node3-6,0,True,False,6
158,node1-6,node3-6,0,True,False,6
159,node1-6,node3-6,0,True,False,5
160,node1-6,node3-6,0,True,False,6
161,node1-6,node3-6,0,True,False,7
162,node1-6,node3-6,0,True,False,7
163,node1-6,node3-6,0,True,False,6
164,node1-6,node3-6,0,True,False,5
165,node1-6,node3-6,0,True,False,6
166,node1-6,node3-6,0,True,False,6
167,node1-6,node3-6,0,True,False,7
168,node1-6,node3-6,0,True,False,6
169,node1-6,node3-6,0,True,False,5
170,node1-6,node3-6,0,True,False,5
171,node1-6,node3-6,0,True,False,7
172,node1-6,node3-6,0,True,False,7
173,node1-6,node3-6,0,True,False,5
174,node1-6,node3-6,0,True,False,6
175,node1-6,node3-6,0,True,False,6
176,node1-6,node3-6,0,True,False,5
177,node1-6,node3-6,0,True,False,5
178,node1-6,node3-6,0,True,False,5
179,node1-6,node3-6,0,True,False,6
180,node1-6,node3-6,0,True,False,5
181,node1-6,node3-6,0,True,False,5
182,node1-6,node3-6,0,True,False,6
183,node1-6,node3-6,0,True,False,6
184,node1-6,node3-6,0,True,False,5
185,node1-6,node3-6,0,True,False,5
186,node1-6,node3-6,0,True,False,7
187,node1-6,node3-6,0,True,False,6
188,node1-6,node3-6,0,True,False,6
189,node1-6,node3-6,0,True,False,5
190,node1-6,node3-6,0,True,False,6
191,node1-6,node3-6,0,True,False,5
192,node1-6,node3-6,0,True,False,5
193,node1-6,node3-6,0,True,False,6
194,node1-6,node3-6,0,True,False,7
195,node1-6,node3-6,0,True,False,6
196,node1-6,node3-6,0,True,False,6
197,node1-6,node3-6,0,True,False,5
198,node1-6,node3-6,0,True,False,7
199,node1-6,node3-6,0,True,False,6
200,node1-6,node3-6,0,True,False,6
201,node1-6,node3-6,0,True,False,5
202,node1-6,node3-6,0,True,False,6
203,node1-6,node3-6,0,True,False,6
204,node1-6,node3-6,0,True,False,6
205,node1-6,node3-6,0,True,False,5
206,node1-6,node3-6,0,True,False,6
207,node1-6,node3-6,0,True,False,6
208,node1-6,node3-6,0,True,False,5
209,node1-6,node3-6,0,True,False,6
210,node1-6,node3-6,0,True,False,6
211,node1-6,node3-6,0,True,False,3
212,node1-6,node3-6,0,True,False,6
213,node1-6,node3-6,0,True,False,6
214,node1-6,node3-6,0,True,False,5
215,node1-6,node3-6,0,True,False,6
216,node1-6,node3-6,0,True,False,5
217,node1-6,node3-6,0,True,False,6
218,node1-6,node3-6,0,True,False,6
219,node1-6,node3-6,0,True,False,6
220,node1-6,node3-6,0,True,False,6
221,node1-6,node3-6,0,True,False,5
222,node1-6,node3-6,0,True,False,6
223,node1-6,node3-6,0,True,False,6
224,node1-6,node3-6,0,True,False,5
225,node1-6,node3-6,0,True,False,5
226,node1-6,node3-6,0,True,False,5
227,node1-6,node3-6,0,True,False,6
228,node1-6,node3-6,0,True,False,6
229,node1-6,node3-6,0,True,False,6
230,node1-6,node3-6,0,True,False,5
231,node1-6,node3-6,0,True,False,6
232,node1-6,node3-6,0,True,False,6
233,node1-6,node3-6,0,True,False,5
234,node1-6,node3-6,0,True,False,7
235,node1-6,node3-6,0,True,False,7
236,node1-6,node3-6,0,True,False,6
237,node1-6,node3-6,0,True,False,7
238,node1-6,node3-6,0,True,False,5
