seq,src,dst,noise,received,error,rssi
1,node4-7,node8-7,-20,True,False,26
2,node4-7,node8-7,-20,True,False,25
3,node4-7,node8-7,-20,True,False,23
4,node4-7,node8-7,-20,True,False,19
5,node4-7,node8-7,-20,True,False,19
6,node4-7,node8-7,-20,True,False,19
7,node4-7,node8-7,-20,True,False,19
8,node4-7,node8-7,-20,True,False,17
9,node4-7,node8-7,-20,True,False,19
10,node4-7,node8-7,-20,True,False,18
11,node4-7,node8-7,-20,True,False,17
12,node4-7,node8-7,-20,True,False,18
13,node4-7,node8-7,-20,True,False,18
14,node4-7,node8-7,-20,True,False,19
15,node4-7,node8-7,-20,True,False,18
16,node4-7,node8-7,-20,True,False,18
17,node4-7,node8-7,-20,True,False,19
18,node4-7,node8-7,-20,True,False,19
19,node4-7,node8-7,-20,True,False,18
20,node4-7,node8-7,-20,True,False,18
21,node4-7,node8-7,-20,True,False,18
22,node4-7,node8-7,-20,True,False,18
23,node4-7,node8-7,-20,True,False,19
24,node4-7,node8-7,-20,True,False,18
25,node4-7,node8-7,-20,True,False,17
26,node4-7,node8-7,-20,True,False,18
27,node4-7,node8-7,-20,True,False,19
28,node4-7,node8-7,-20,True,False,18
29,node4-7,node8-7,-20,True,False,19
30,node4-7,node8-7,-20,True,False,19
31,node4-7,node8-7,-20,True,False,19
32,node4-7,node8-7,-20,True,False,18
33,node4-7,node8-7,-20,True,False,18
34,node4-7,node8-7,-20,True,False,18
35,node4-7,node8-7,-20,True,False,18
36,node4-7,node8-7,-20,True,False,18
37,node4-7,node8-7,-20,True,False,19
38,node4-7,node8-7,-20,True,False,18
39,node4-7,node8-7,-20,True,False,19
40,node4-7,node8-7,-20,True,False,17
41,node4-7,node8-7,-20,True,False,19
42,node4-7,node8-7,-20,True,False,19
43,node4-7,node8-7,-20,True,False,19
44,node4-7,node8-7,-20,True,False,17
45,node4-7,node8-7,-20,True,False,17
46,node4-7,node8-7,-20,True,False,18
47,node4-7,node8-7,-20,True,False,18
48,node4-7,node8-7,-20,True,False,19
49,node4-7,node8-7,-20,True,False,18
50,node4-7,node8-7,-20,True,False,19
51,node4-7,node8-7,-20,True,False,19
52,node4-7,node8-7,-20,True,False,19
53,node4-7,node8-7,-20,True,False,19
54,node4-7,node8-7,-20,True,False,19
55,node4-7,node8-7,-20,True,False,17
56,node4-7,node8-7,-20,True,False,19
57,node4-7,node8-7,-20,True,False,18
58,node4-7,node8-7,-20,True,False,19
59,node4-7,node8-7,-20,True,False,19
60,node4-7,node8-7,-20,True,False,18
61,node4-7,node8-7,-20,True,False,19
62,node4-7,node8-7,-20,True,False,18
63,node4-7,node8-7,-20,True,False,19
64,node4-7,node8-7,-20,True,False,19
65,node4-7,node8-7,-20,True,False,18
66,node4-7,node8-7,-20,True,False,17
67,node4-7,node8-7,-20,True,False,18
68,node4-7,node8-7,-20,True,False,18
69,node4-7,node8-7,-20,True,False,18
70,node4-7,node8-7,-20,True,False,19
71,node4-7,node8-7,-20,True,False,19
72,node4-7,node8-7,-20,True,False,19
73,node4-7,node8-7,-20,True,False,19
74,node4-7,node8-7,-20,True,False,18
75,node4-7,node8-7,-20,True,False,18
76,node4-7,node8-7,-20,True,False,18
77,node4-7,node8-7,-20,True,False,19
78,node4-7,node8-7,-20,True,False,18
79,node4-7,node8-7,-20,True,False,18
80,node4-7,node8-7,-20,True,False,18
81,node4-7,node8-7,-20,True,False,17
82,node4-7,node8-7,-20,True,False,18
83,node4-7,node8-7,-20,True,False,19
84,node4-7,node8-7,-20,True,False,19
85,node4-7,node8-7,-20,True,False,18
86,node4-7,node8-7,-20,True,False,19
87,node4-7,node8-7,-20,True,False,19
88,node4-7,node8-7,-20,True,False,18
89,node4-7,node8-7,-20,True,False,18
90,node4-7,node8-7,-20,True,False,18
91,node4-7,node8-7,-20,True,False,19
92,node4-7,node8-7,-20,True,False,19
93,node4-7,node8-7,-20,True,False,18
94,node4-7,node8-7,-20,True,False,19
95,node4-7,node8-7,-20,True,False,19
96,node4-7,node8-7,-20,True,False,18
97,node4-7,node8-7,-20,True,False,19
98,node4-7,node8-7,-20,True,False,18
99,node4-7,node8-7,-20,True,False,17
100,node4-7,node8-7,-20,True,False,17
101,node4-7,node8-7,-20,True,False,19
102,node4-7,node8-7,-20,True,False,18
103,node4-7,node8-7,-20,True,False,19
104,node4-7,node8-7,-20,True,False,18
105,node4-7,node8-7,-20,True,False,18
106,node4-7,node8-7,-20,True,False,19
107,node4-7,node8-7,-20,True,False,19
108,node4-7,node8-7,-20,True,False,19
109,node4-7,node8-7,-20,True,False,19
110,node4-7,node8-7,-20,True,False,18
111,node4-7,node8-7,-20,True,False,18
112,node4-7,node8-7,-20,True,False,19
113,node4-7,node8-7,-20,True,False,19
114,node4-7,node8-7,-20,True,False,18
115,node4-7,node8-7,-20,True,False,18
