seq,src,dst,noise,received,error,rssi
1,node6-1,node4-5,-5,True,False,9
2,node6-1,node4-5,-5,True,False,8
3,node6-1,node4-5,-5,True,False,6
4,node6-1,node4-5,-5,True,False,3
5,node6-1,node4-5,-5,True,False,4
6,node6-1,node4-5,-5,True,False,5
7,node6-1,node4-5,-5,True,False,7
8,node6-1,node4-5,-5,True,False,2
9,node6-1,node4-5,-5,True,False,4
10,node6-1,node4-5,-5,True,False,4
11,node6-1,node4-5,-5,True,False,4
12,node6-1,node4-5,-5,True,False,2
13,node6-1,node4-5,-5,True,False,3
14,node6-1,node4-5,-5,True,False,5
15,node6-1,node4-5,-5,True,False,5
16,node6-1,node4-5,-5,True,False,6
17,node6-1,node4-5,-5,True,False,6
18,node6-1,node4-5,-5,True,False,4
19,node6-1,node4-5,-5,True,False,5
20,node6-1,node4-5,-5,True,False,4
21,node6-1,node4-5,-5,True,False,3
22,node6-1,node4-5,-5,True,False,4
23,node6-1,node4-5,-5,True,False,4
24,node6-1,node4-5,-5,True,False,5
25,node6-1,node4-5,-5,True,False,6
26,node6-1,node4-5,-5,True,False,5
27,node6-1,node4-5,-5,True,False,3
28,node6-1,node4-5,-5,True,False,4
29,node6-1,node4-5,-5,True,False,5
30,node6-1,node4-5,-5,True,False,4
31,node6-1,node4-5,-5,True,False,3
32,node6-1,node4-5,-5,True,False,6
33,node6-1,node4-5,-5,True,False,3
34,node6-1,node4-5,-5,False,False,0
35,node6-1,node4-5,-5,True,False,4
36,node6-1,node4-5,-5,True,False,3
37,node6-1,node4-5,-5,True,False,2
38,node6-1,node4-5,-5,True,False,4
39,node6-1,node4-5,-5,True,False,4
40,node6-1,node4-5,-5,True,False,6
41,node6-1,node4-5,-5,True,False,2
42,node6-1,node4-5,-5,True,False,6
43,node6-1,node4-5,-5,True,False,3
44,node6-1,node4-5,-5,True,False,4
45,node6-1,node4-5,-5,True,False,5
46,node6-1,node4-5,-5,True,False,4
47,node6-1,node4-5,-5,True,False,4
48,node6-1,node4-5,-5,True,False,5
49,node6-1,node4-5,-5,False,False,0
50,node6-1,node4-5,-5,True,False,5
51,node6-1,node4-5,-5,True,False,6
52,node6-1,node4-5,-5,True,False,4
53,node6-1,node4-5,-5,True,False,5
54,node6-1,node4-5,-5,True,False,6
55,node6-1,node4-5,-5,True,False,3
56,node6-1,node4-5,-5,True,False,4
57,node6-1,node4-5,-5,True,False,5
58,node6-1,node4-5,-5,True,False,2
59,node6-1,node4-5,-5,True,False,3
60,node6-1,node4-5,-5,True,False,3
61,node6-1,node4-5,-5,True,False,5
62,node6-1,node4-5,-5,True,False,5
63,node6-1,node4-5,-5,True,False,4
64,node6-1,node4-5,-5,True,False,3
65,node6-1,node4-5,-5,True,False,4
66,node6-1,node4-5,-5,True,False,2
67,node6-1,node4-5,-5,True,False,4
68,node6-1,node4-5,-5,True,False,6
69,node6-1,node4-5,-5,True,False,4
70,node6-1,node4-5,-5,True,False,3
71,node6-1,node4-5,-5,True,False,5
72,node6-1,node4-5,-5,True,False,3
73,node6-1,node4-5,-5,True,False,4
74,node6-1,node4-5,-5,True,False,5
75,node6-1,node4-5,-5,True,False,3
76,node6-1,node4-5,-5,True,False,4
77,node6-1,node4-5,-5,True,False,5
78,node6-1,node4-5,-5,True,False,4
79,node6-1,node4-5,-5,True,False,7
80,node6-1,node4-5,-5,True,False,2
81,node6-1,node4-5,-5,True,False,6
82,node6-1,node4-5,-5,True,False,6
83,node6-1,node4-5,-5,True,False,5
84,node6-1,node4-5,-5,True,False,5
85,node6-1,node4-5,-5,True,False,5
86,node6-1,node4-5,-5,True,False,3
87,node6-1,node4-5,-5,True,False,4
88,node6-1,node4-5,-5,True,False,3
89,node6-1,node4-5,-5,True,False,6
90,node6-1,node4-5,-5,True,False,5
91,node6-1,node4-5,-5,True,False,4
92,node6-1,node4-5,-5,True,False,3
93,node6-1,node4-5,-5,True,False,5
94,node6-1,node4-5,-5,True,False,4
95,node6-1,node4-5,-5,True,False,4
96,node6-1,node4-5,-5,True,False,4
97,node6-1,node4-5,-5,True,False,4
98,node6-1,node4-5,-5,True,False,4
99,node6-1,node4-5,-5,True,False,2
100,node6-1,node4-5,-5,True,False,4
101,node6-1,node4-5,-5,True,False,3
102,node6-1,node4-5,-5,True,False,3
103,node6-1,node4-5,-5,True,False,4
104,node6-1,node4-5,-5,True,False,4
105,node6-1,node4-5,-5,True,False,5
106,node6-1,node4-5,-5,True,False,3
107,node6-1,node4-5,-5,True,False,4
108,node6-1,node4-5,-5,True,False,5
109,node6-1,node4-5,-5,True,False,3
110,node6-1,node4-5,-5,True,False,5
111,node6-1,node4-5,-5,True,False,2
112,node6-1,node4-5,-5,True,False,5
113,node6-1,node4-5,-5,True,False,3
114,node6-1,node4-5,-5,True,False,5
115,node6-1,node4-5,-5,True,False,6
116,node6-1,node4-5,-5,True,False,5
117,node6-1,node4-5,-5,True,False,4
118,node6-1,node4-5,-5,True,False,3
119,node6-1,node4-5,-5,True,False,2
120,node6-1,node4-5,-5,True,False,4
121,node6-1,node4-5,-5,True,False,8
122,node6-1,node4-5,-5,True,False,4
123,node6-1,node4-5,-5,True,False,6
124,node6-1,node4-5,-5,True,False,4
125,node6-1,node4-5,-5,True,False,4
126,node6-1,node4-5,-5,True,False,4
127,node6-1,node4-5,-5,True,False,1
128,node6-1,node4-5,-5,True,False,5
129,node6-1,node4-5,-5,True,False,2
130,node6-1,node4-5,-5,True,False,6
131,node6-1,node4-5,-5,True,False,4
132,node6-1,node4-5,-5,True,False,4
133,node6-1,node4-5,-5,True,False,3
134,node6-1,node4-5,-5,True,False,2
135,node6-1,node4-5,-5,True,False,4
136,node6-1,node4-5,-5,True,False,3
137,node6-1,node4-5,-5,True,False,4
138,node6-1,node4-5,-5,True,False,1
139,node6-1,node4-5,-5,True,False,3
140,node6-1,node4-5,-5,True,False,5
141,node6-1,node4-5,-5,True,False,5
142,node6-1,node4-5,-5,True,False,4
143,node6-1,node4-5,-5,True,False,4
144,node6-1,node4-5,-5,True,False,0
145,node6-1,node4-5,-5,True,False,0
146,node6-1,node4-5,-5,True,False,5
147,node6-1,node4-5,-5,True,False,6
148,node6-1,node4-5,-5,True,False,6
149,node6-1,node4-5,-5,True,False,6
150,node6-1,node4-5,-5,True,False,4
151,node6-1,node4-5,-5,True,False,7
152,node6-1,node4-5,-5,True,False,6
153,node6-1,node4-5,-5,True,False,4
154,node6-1,node4-5,-5,True,False,2
155,node6-1,node4-5,-5,True,False,3
156,node6-1,node4-5,-5,True,False,3
157,node6-1,node4-5,-5,True,False,5
158,node6-1,node4-5,-5,True,False,3
159,node6-1,node4-5,-5,True,False,3
160,node6-1,node4-5,-5,True,False,3
161,node6-1,node4-5,-5,True,False,1
162,node6-1,node4-5,-5,True,False,2
163,node6-1,node4-5,-5,True,False,6
164,node6-1,node4-5,-5,True,False,5
165,node6-1,node4-5,-5,True,False,4
166,node6-1,node4-5,-5,True,False,2
167,node6-1,node4-5,-5,True,False,5
168,node6-1,node4-5,-5,True,False,4
169,node6-1,node4-5,-5,True,False,5
170,node6-1,node4-5,-5,True,False,4
