seq,src,dst,noise,received,error,rssi
1,node8-7,node4-3,-10,True,False,16
2,node8-7,node4-3,-10,True,False,16
3,node8-7,node4-3,-10,True,False,13
4,node8-7,node4-3,-10,True,False,13
5,node8-7,node4-3,-10,True,False,11
6,node8-7,node4-3,-10,True,False,11
7,node8-7,node4-3,-10,True,False,11
8,node8-7,node4-3,-10,True,False,12
9,node8-7,node4-3,-10,True,False,12
10,node8-7,node4-3,-10,True,False,12
11,node8-7,node4-3,-10,True,False,11
12,node8-7,node4-3,-10,True,False,12
13,node8-7,node4-3,-10,True,False,11
14,node8-7,node4-3,-10,True,False,13
15,node8-7,node4-3,-10,True,False,12
16,node8-7,node4-3,-10,True,False,12
17,node8-7,node4-3,-10,True,False,13
18,node8-7,node4-3,-10,True,False,12
19,node8-7,node4-3,-10,True,False,12
20,node8-7,node4-3,-10,True,False,11
21,node8-7,node4-3,-10,True,False,12
22,node8-7,node4-3,-10,True,False,13
23,node8-7,node4-3,-10,True,False,12
24,node8-7,node4-3,-10,True,False,12
25,node8-7,node4-3,-10,True,False,13
26,node8-7,node4-3,-10,True,False,12
27,node8-7,node4-3,-10,True,False,12
28,node8-7,node4-3,-10,True,False,12
29,node8-7,node4-3,-10,True,False,11
30,node8-7,node4-3,-10,True,False,12
31,node8-7,node4-3,-10,True,False,12
32,node8-7,node4-3,-10,True,False,11
33,node8-7,node4-3,-10,True,False,12
34,node8-7,node4-3,-10,True,False,12
35,node8-7,node4-3,-10,True,False,11
36,node8-7,node4-3,-10,True,False,12
37,node8-7,node4-3,-10,True,False,12
38,node8-7,node4-3,-10,True,False,11
39,node8-7,node4-3,-10,True,False,11
40,node8-7,node4-3,-10,True,False,12
41,node8-7,node4-3,-10,True,False,11
42,node8-7,node4-3,-10,True,False,11
43,node8-7,node4-3,-10,True,False,11
44,node8-7,node4-3,-10,True,False,10
45,node8-7,node4-3,-10,True,False,10
46,node8-7,node4-3,-10,True,False,12
47,node8-7,node4-3,-10,True,False,12
48,node8-7,node4-3,-10,True,False,11
49,node8-7,node4-3,-10,True,False,12
50,node8-7,node4-3,-10,True,False,12
51,node8-7,node4-3,-10,True,False,12
52,node8-7,node4-3,-10,True,False,10
53,node8-7,node4-3,-10,True,False,12
54,node8-7,node4-3,-10,True,False,11
55,node8-7,node4-3,-10,True,False,12
56,node8-7,node4-3,-10,True,False,12
57,node8-7,node4-3,-10,True,False,11
58,node8-7,node4-3,-10,True,False,10
59,node8-7,node4-3,-10,True,False,11
60,node8-7,node4-3,-10,True,False,12
61,node8-7,node4-3,-10,True,False,11
62,node8-7,node4-3,-10,True,False,12
63,node8-7,node4-3,-10,True,False,11
64,node8-7,node4-3,-10,True,False,11
65,node8-7,node4-3,-10,True,False,10
66,node8-7,node4-3,-10,True,False,11
67,node8-7,node4-3,-10,True,False,12
68,node8-7,node4-3,-10,True,False,12
69,node8-7,node4-3,-10,True,False,12
70,node8-7,node4-3,-10,True,False,12
71,node8-7,node4-3,-10,True,False,11
72,node8-7,node4-3,-10,True,False,11
73,node8-7,node4-3,-10,True,False,12
74,node8-7,node4-3,-10,True,False,12
75,node8-7,node4-3,-10,True,False,11
76,node8-7,node4-3,-10,True,False,12
77,node8-7,node4-3,-10,True,False,10
78,node8-7,node4-3,-10,True,False,13
79,node8-7,node4-3,-10,True,False,13
80,node8-7,node4-3,-10,True,False,13
81,node8-7,node4-3,-10,True,False,10
82,node8-7,node4-3,-10,True,False,12
83,node8-7,node4-3,-10,True,False,11
84,node8-7,node4-3,-10,True,False,12
85,node8-7,node4-3,-10,True,False,12
86,node8-7,node4-3,-10,True,False,11
87,node8-7,node4-3,-10,True,False,11
88,node8-7,node4-3,-10,True,False,12
89,node8-7,node4-3,-10,True,False,11
90,node8-7,node4-3,-10,True,False,11
91,node8-7,node4-3,-10,True,False,11
92,node8-7,node4-3,-10,True,False,11
93,node8-7,node4-3,-10,True,False,11
94,node8-7,node4-3,-10,True,False,12
95,node8-7,node4-3,-10,True,False,10
96,node8-7,node4-3,-10,True,False,12
97,node8-7,node4-3,-10,True,False,12
98,node8-7,node4-3,-10,True,False,10
99,node8-7,node4-3,-10,True,False,11
100,node8-7,node4-3,-10,True,False,11
101,node8-7,node4-3,-10,True,False,12
102,node8-7,node4-3,-10,True,False,12
103,node8-7,node4-3,-10,True,False,12
104,node8-7,node4-3,-10,True,False,10
105,node8-7,node4-3,-10,True,False,11
106,node8-7,node4-3,-10,True,False,12
107,node8-7,node4-3,-10,True,False,11
108,node8-7,node4-3,-10,True,False,12
109,node8-7,node4-3,-10,True,False,11
110,node8-7,node4-3,-10,True,False,11
111,node8-7,node4-3,-10,True,False,12
112,node8-7,node4-3,-10,True,False,11
113,node8-7,node4-3,-10,True,False,11
114,node8-7,node4-3,-10,True,False,12
115,node8-7,node4-3,-10,True,False,10
116,node8-7,node4-3,-10,True,False,11
117,node8-7,node4-3,-10,True,False,11
118,node8-7,node4-3,-10,True,False,12
119,node8-7,node4-3,-10,True,False,12
120,node8-7,node4-3,-10,True,False,13
121,node8-7,node4-3,-10,True,False,12
122,node8-7,node4-3,-10,True,False,9
123,node8-7,node4-3,-10,True,False,12
124,node8-7,node4-3,-10,True,False,11
125,node8-7,node4-3,-10,True,False,12
126,node8-7,node4-3,-10,True,False,13
127,node8-7,node4-3,-10,True,False,11
128,node8-7,node4-3,-10,True,False,11
129,node8-7,node4-3,-10,True,False,12
130,node8-7,node4-3,-10,True,False,12
131,node8-7,node4-3,-10,True,False,11
132,node8-7,node4-3,-10,True,False,12
133,node8-7,node4-3,-10,True,False,12
134,node8-7,node4-3,-10,True,False,11
135,node8-7,node4-3,-10,True,False,12
